,mark_id,page_ark,implicator_bbox,region_bbox
0,4673b88a-5c77-4a49-97ea-5016591ed28f,d7nd38-008,0103000020967F000001000000050000000000000000108B400000000000007EC00000000000108B400000000000C069C00000000000F4A0400000000000C069C00000000000F4A0400000000000007EC00000000000108B400000000000007EC0,0103000020967F0000010000000500000000000000000066400000000000689AC000000000000066400000000000607FC00000000000F0A6400000000000607FC00000000000F0A6400000000000689AC000000000000066400000000000689AC0
1,e5e144bd-8376-40ca-8cc1-cbce98f09afb,d7160g-014,0103000020967F00000100000005000000000000000050A8400000000000007FC0000000000050A84000000000000070C0000000000008B34000000000000070C0000000000008B3400000000000007FC0000000000050A8400000000000007FC0,0103000020967F00000100000005000000000000000070A640000000000080A9C0000000000070A6400000000000C085C00000000000A0B3400000000000C085C00000000000A0B340000000000080A9C0000000000070A640000000000080A9C0
2,c278fa82-83d3-42ae-bbd2-946cb0e4633f,d7265p-018,0103000020967F00000100000005000000000000000038A9400000000000AC9DC0000000000038A9400000000000CC9BC0000000000038AD400000000000CC9BC0000000000038AD400000000000AC9DC0000000000038A9400000000000AC9DC0,0103000020967F000001000000050000000000000000D8A7400000000000CEA4C00000000000D8A74000000000006C9FC0000000000090AE4000000000006C9FC0000000000090AE400000000000CEA4C00000000000D8A7400000000000CEA4C0
3,b53d3882-1b02-4435-9f0e-3548be90d430,d7v30w-039,0103000020967F00000100000005000000000000000040754000000000007092C000000000004075400000000000808EC00000000000608E400000000000808EC00000000000608E4000000000007092C0000000000040754000000000007092C0,0103000020967F000001000000050000000000000000007040000000000060B2C0000000000000704000000000000089C0000000000060AD4000000000000089C0000000000060AD40000000000060B2C00000000000007040000000000060B2C0
4,12f951f6-cf4d-49d1-a07c-6362e62da9fe,d7fw2v-034,0103000020967F00000100000005000000000000000080814000000000008088C0000000000080814000000000008080C00000000000D0AA4000000000008080C00000000000D0AA4000000000008088C0000000000080814000000000008088C0,0103000020967F00000100000005000000000000000080804000000000006098C0000000000080804000000000004086C0000000000020AD4000000000004086C0000000000020AD4000000000006098C0000000000080804000000000006098C0
5,3d78f51e-be01-4409-8ea4-d68587e0b200,d7gw25-007,0103000020967F000001000000050000000000000000006E400000000000209AC00000000000006E400000000000008BC0000000000010AC400000000000008BC0000000000010AC400000000000209AC00000000000006E400000000000209AC0,0103000020967F000001000000050000000000000000007040000000000068B4C000000000000070400000000000E09BC00000000000D0AB400000000000E09BC00000000000D0AB40000000000068B4C00000000000007040000000000068B4C0
6,9a1ba884-42f9-4ce3-a406-de900360aa45,d7265p-018,0103000020967F00000100000005000000000000000024B04000000000003881C0000000000024B0400000000000B078C0000000000024B2400000000000B078C0000000000024B24000000000003881C0000000000024B04000000000003881C0,0103000020967F000001000000050000000000000000F0AE4000000000009C95C00000000000F0AE4000000000007883C00000000000ECB24000000000007883C00000000000ECB24000000000009C95C00000000000F0AE4000000000009C95C0
7,8f15ca58-cd95-4eb3-a3f3-978789fdf7f2,d74s4s-027,0103000020967F000001000000050000000000000000008340000000000080AAC00000000000008340000000000000A9C00000000000F0A340000000000000A9C00000000000F0A340000000000080AAC00000000000008340000000000080AAC0,0103000020967F000001000000050000000000000000807E40000000000010B0C00000000000807E40000000000000AAC00000000000E0AB40000000000000AAC00000000000E0AB40000000000010B0C00000000000807E40000000000010B0C0
8,79ccd247-d91d-453c-ab41-5ab1acd24118,d7ks9q-005,0103000020967F00000100000005000000000000000088B1400000000000D49EC0000000000088B1400000000000A49DC00000000000A4B2400000000000A49DC00000000000A4B2400000000000D49EC0000000000088B1400000000000D49EC0,0103000020967F00000100000005000000000000000060B1400000000000A2A3C0000000000060B1400000000000449DC000000000009CB4400000000000449DC000000000009CB4400000000000A2A3C0000000000060B1400000000000A2A3C0
9,bb070dfe-c669-4215-9e48-16b420eab3a8,d7qc72-006,0103000020967F00000100000005000000000000000000834000000000004087C000000000000083400000000000807AC0000000000060A2400000000000807AC0000000000060A24000000000004087C0000000000000834000000000004087C0,0103000020967F000001000000050000000000000000807D400000000000609FC00000000000807D4000000000000083C0000000000070AC4000000000000083C0000000000070AC400000000000609FC00000000000807D400000000000609FC0
10,f73501a0-1181-4d46-b00c-07e1856f93b4,d7265p-018,0103000020967F00000100000005000000000000000024B04000000000006C9FC0000000000024B04000000000002C9DC0000000000040B24000000000002C9DC0000000000040B24000000000006C9FC0000000000024B04000000000006C9FC0,0103000020967F000001000000050000000000000000F8AE400000000000CEA4C00000000000F8AE40000000000036A0C00000000000ECB240000000000036A0C00000000000ECB2400000000000CEA4C00000000000F8AE400000000000CEA4C0
11,c63a1f89-26cd-42db-9947-3497c7474e94,d7jp4g-094,0103000020967F000001000000050000000000000000807B400000000000E0A2C00000000000807B40000000000030A2C00000000000209B40000000000030A2C00000000000209B400000000000E0A2C00000000000807B400000000000E0A2C0,0103000020967F000001000000050000000000000000807740000000000038B5C00000000000807740000000000000A2C0000000000080AC40000000000000A2C0000000000080AC40000000000038B5C00000000000807740000000000038B5C0
12,e8c75ec4-0c2f-4869-93bf-936193da7c9d,d7qc72-006,0103000020967F0000010000000500000000000000004083400000000000C0A0C000000000004083400000000000009EC0000000000020A2400000000000009EC0000000000020A2400000000000C0A0C000000000004083400000000000C0A0C0,0103000020967F000001000000050000000000000000807F40000000000090A8C00000000000807F400000000000809FC0000000000010AD400000000000809FC0000000000010AD40000000000090A8C00000000000807F40000000000090A8C0
13,16061097-abc5-4c33-8a2c-ad73930e6665,d7fd21-002,0103000020967F000001000000050000000000000000589C40000000000002A8C00000000000589C40000000000062A7C00000000000B8A640000000000062A7C00000000000B8A640000000000002A8C00000000000589C40000000000002A8C0,
14,cb8c1626-3e19-446c-839f-fc7acbaa0ddc,d7265p-018,0103000020967F000001000000050000000000000000B4B3400000000000B880C00000000000B4B3400000000000307AC00000000000B4B5400000000000307AC00000000000B4B5400000000000B880C00000000000B4B3400000000000B880C0,0103000020967F00000100000005000000000000000008B3400000000000F88FC0000000000008B3400000000000D883C0000000000094B6400000000000D883C0000000000094B6400000000000F88FC0000000000008B3400000000000F88FC0
15,905867bd-334e-4f52-b787-726569dea898,d7qc72-006,0103000020967F0000010000000500000000000000000084400000000000C0A9C000000000000084400000000000F0A7C00000000000B0A2400000000000F0A7C00000000000B0A2400000000000C0A9C000000000000084400000000000C0A9C0,0103000020967F000001000000050000000000000000008040000000000008B1C000000000000080400000000000A0A8C0000000000030AC400000000000A0A8C0000000000030AC40000000000008B1C00000000000008040000000000008B1C0
16,dd288c95-19ac-45fe-a329-8169a8362eee,d7g073-024,0103000020967F00000100000005000000000000000058A8400000000000E883C0000000000058A8400000000000206EC0000000000048B6400000000000206EC0000000000048B6400000000000E883C0000000000058A8400000000000E883C0,0103000020967F000001000000050000000000000000F8A7400000000000C2A0C00000000000F8A74000000000006886C0000000000050B64000000000006886C0000000000050B6400000000000C2A0C00000000000F8A7400000000000C2A0C0
17,af1a748b-b044-4e67-b41f-b30710240770,d7k01r-014,0103000020967F000001000000050000000000000000807D4000000000006091C00000000000807D400000000000008AC000000000008097400000000000008AC0000000000080974000000000006091C00000000000807D4000000000006091C0,0103000020967F000001000000050000000000000000808140000000000080A7C000000000008081400000000000A090C00000000000408A400000000000A090C00000000000408A40000000000080A7C00000000000808140000000000080A7C0
18,9cdbfd09-f4e1-46c3-b527-c0880c8227b8,d7q36x-009,0103000020967F0000010000000500000000000000000CB4400000000000D494C000000000000CB44000000000006493C00000000000E4B44000000000006493C00000000000E4B4400000000000D494C000000000000CB4400000000000D494C0,0103000020967F00000100000005000000000000000030AB400000000000A495C0000000000030AB400000000000C492C000000000003CB6400000000000C492C000000000003CB6400000000000A495C0000000000030AB400000000000A495C0
19,956f6197-a1bb-43a0-ae8d-9c8e5df942c8,d7sq1v-023,,
20,869b2cd8-0ffd-47a2-b356-a79a8c6a5251,d77q0h-015,0103000020967F000001000000050000000000000000B8AA400000000000D096C00000000000B8AA4000000000004091C0000000000004B04000000000004091C0000000000004B0400000000000D096C00000000000B8AA400000000000D096C0,0103000020967F000001000000050000000000000000B8AA400000000000A0A2C00000000000B8AA400000000000F090C0000000000020B0400000000000F090C0000000000020B0400000000000A0A2C00000000000B8AA400000000000A0A2C0
21,06ebe652-f957-4fa6-b8de-0cdc47ee60d3,d7xk57-017,0103000020967F00000100000005000000000000000018A940000000000020B5C0000000000018A94000000000009CB4C0000000000098AB4000000000009CB4C0000000000098AB40000000000020B5C0000000000018A940000000000020B5C0,0103000020967F00000100000005000000000000000070A34000000000008CB3C0000000000070A340000000000098AFC00000000000F8AD40000000000098AFC00000000000F8AD4000000000008CB3C0000000000070A34000000000008CB3C0
22,129cdd57-48f4-4630-b59f-1e0e14630078,d75948-004,0103000020967F0000010000000500000000000000006097400000000000D083C0000000000060974000000000001080C0000000000090A14000000000001080C0000000000090A1400000000000D083C000000000006097400000000000D083C0,0103000020967F000001000000050000000000000000807C400000000000C895C00000000000807C4000000000001080C0000000000020AB4000000000001080C0000000000020AB400000000000C895C00000000000807C400000000000C895C0
23,1dbde7c6-62da-4c68-9c49-d301f6760649,d7dm1d-016,,
24,68b65881-c953-4ed3-b459-167110c9395a,d7sq1v-023,,
25,44eaacff-bc8f-4e5c-8af8-71f86a820585,d75948-004,0103000020967F0000010000000500000000000000002096400000000000A899C0000000000020964000000000008897C0000000000020A14000000000008897C0000000000020A1400000000000A899C000000000002096400000000000A899C0,0103000020967F000001000000050000000000000000807940000000000074A3C000000000008079400000000000E897C0000000000030AB400000000000E897C0000000000030AB40000000000074A3C00000000000807940000000000074A3C0
26,80544f16-3037-40e6-9487-13302dcfee94,d79p49-004,0103000020967F000001000000050000000000000000007940000000000050B2C000000000000079400000000000D8B0C000000000008098400000000000D8B0C00000000000809840000000000050B2C00000000000007940000000000050B2C0,0103000020967F0000010000000500000000000000000076400000000000C0B3C0000000000000764000000000008083C0000000000090AD4000000000008083C0000000000090AD400000000000C0B3C000000000000076400000000000C0B3C0
27,fa7c514f-0b44-45f6-b8b5-ac3bb8993323,d7fd21-002,0103000020967F0000010000000500000000000000005CA040000000000062A4C000000000005CA04000000000001AA4C0000000000088A24000000000001AA4C0000000000088A240000000000062A4C000000000005CA040000000000062A4C0,
28,f819febc-d867-44d8-8d96-df96ba661289,d7fd21-002,0103000020967F00000100000005000000000000000060A4400000000000AAA3C0000000000060A440000000000072A3C00000000000F4A440000000000072A3C00000000000F4A4400000000000AAA3C0000000000060A4400000000000AAA3C0,
29,273abf6b-2bcf-40f6-9d41-f18c578504af,d7k06n-020,0103000020967F000001000000050000000000000000A09F4000000000001884C00000000000A09F400000000000307BC00000000000C0A6400000000000307BC00000000000C0A64000000000001884C00000000000A09F4000000000001884C0,0103000020967F000001000000050000000000000000809E400000000000B6AAC00000000000809E400000000000B071C0000000000090AF400000000000B071C0000000000090AF400000000000B6AAC00000000000809E400000000000B6AAC0
30,45f1a1d5-f40f-433e-908a-b6b2dda71273,d7fd21-002,0103000020967F000001000000050000000000000000A4A5400000000000B6A3C00000000000A4A54000000000005AA3C0000000000080A64000000000005AA3C0000000000080A6400000000000B6A3C00000000000A4A5400000000000B6A3C0,
31,7b373a54-5b8e-4c2b-ab1f-6572d4b67d98,d7k940-014,0103000020967F000001000000050000000000000000B89E400000000000FAA4C00000000000B89E400000000000DAA3C00000000000A8A2400000000000DAA3C00000000000A8A2400000000000FAA4C00000000000B89E400000000000FAA4C0,0103000020967F00000100000005000000000000000030984000000000003AACC0000000000030984000000000003EA3C00000000000D0A64000000000003EA3C00000000000D0A64000000000003AACC0000000000030984000000000003AACC0
32,876078c8-6c9c-4bea-a347-6903427976cd,d7fd21-002,0103000020967F00000100000005000000000000000038A240000000000062A7C0000000000038A24000000000001AA7C00000000000A8A34000000000001AA7C00000000000A8A340000000000062A7C0000000000038A240000000000062A7C0,
33,7a184824-1385-4ba5-aa54-c4105a15d853,d7nd38-008,0103000020967F00000100000005000000000000000040A04000000000001082C0000000000040A04000000000003080C0000000000058A44000000000003080C0000000000058A44000000000001082C0000000000040A04000000000001082C0,0103000020967F000001000000050000000000000000409F4000000000008895C00000000000409F400000000000E07DC00000000000F8A6400000000000E07DC00000000000F8A64000000000008895C00000000000409F4000000000008895C0
34,bcb35ad7-b673-4cf5-b78e-852d908b95a1,d7fd21-002,0103000020967F000001000000050000000000000000E8A240000000000002A7C00000000000E8A2400000000000C2A6C0000000000094A3400000000000C2A6C0000000000094A340000000000002A7C00000000000E8A240000000000002A7C0,
35,8dda6943-4eee-4d7c-ba76-e91f7bf656e2,d7fd21-002,0103000020967F0000010000000500000000000000006094400000000000D49CC000000000006094400000000000149CC000000000009096400000000000149CC000000000009096400000000000D49CC000000000006094400000000000D49CC0,
36,e986583b-4071-406a-966c-e2b741a23bc0,d7fd21-002,0103000020967F0000010000000500000000000000004CA440000000000006A7C000000000004CA4400000000000CAA6C0000000000028A5400000000000CAA6C0000000000028A540000000000006A7C000000000004CA440000000000006A7C0,
37,815148af-164f-4697-815f-4173f3a515fa,d7z363-035,0103000020967F000001000000050000000000000000109F400000000000889CC00000000000109F400000000000689AC0000000000090A6400000000000689AC0000000000090A6400000000000889CC00000000000109F400000000000889CC0,0103000020967F000001000000050000000000000000009F400000000000A4A7C00000000000009F400000000000189DC00000000000C8A6400000000000189DC00000000000C8A6400000000000A4A7C00000000000009F400000000000A4A7C0
38,92babec7-03a9-47ff-b6d7-e46246ba6824,d7fd21-002,0103000020967F000001000000050000000000000000ACA540000000000022A7C00000000000ACA5400000000000AEA6C0000000000098A6400000000000AEA6C0000000000098A640000000000022A7C00000000000ACA540000000000022A7C0,
39,d37456b6-dc1a-4391-8f31-5174fad4afa4,d7gd3q-008,0103000020967F000001000000050000000000000000A0724000000000001084C00000000000A072400000000000A080C00000000000909B400000000000A080C00000000000909B4000000000001084C00000000000A0724000000000001084C0,0103000020967F000001000000050000000000000000A072400000000000689BC00000000000A072400000000000A084C00000000000A89B400000000000A084C00000000000A89B400000000000689BC00000000000A072400000000000689BC0
