,mark_id,page_id,user_id,type,implicator_top,implicator_left,implicator_bottom,implicator_right,region_top,region_left,region_bottom,region_right,section_title,wine_type,bottle_type,color,vintage,country,bottle_price,case_price,created
0,4673b88a-5c77-4a49-97ea-5016591ed28f,/collection/sherry-lehmann/D-637/d7nd38/media/images/d7nd38-008.jpg,ijvalenc,section_title,206.0,866.0,480.0,2170.0,502.0,176.0,1690.0,2936.0,Sparkling Wine,,,,,,,,2019-12-12 19:46:40.459205
1,e5e144bd-8376-40ca-8cc1-cbce98f09afb,/collection/sherry-lehmann/D-005/d7160g/media/images/d7160g-014.jpg,quinn,wine_type,256.0,3112.0,496.0,4872.0,696.0,2872.0,3264.0,5024.0,,sparkling,,,,,,,2019-12-10 01:32:08.589580
2,c278fa82-83d3-42ae-bbd2-946cb0e4633f,/collection/sherry-lehmann/D-637/d7265p/media/images/d7265p-018.jpg,quinn,vintage,1779.0,3228.0,1899.0,3740.0,2011.0,3052.0,2663.0,3912.0,,,,,1976.0,,,,2019-12-10 18:15:20.614147
3,b53d3882-1b02-4435-9f0e-3548be90d430,/collection/sherry-lehmann/D-202/d7v30w/media/images/d7v30w-039.jpg,quinn,section_title,976.0,340.0,1180.0,972.0,800.0,256.0,4704.0,3760.0,Sherry-Lehmann Inc,,,,,,,,2019-12-10 01:32:08.589580
4,12f951f6-cf4d-49d1-a07c-6362e62da9fe,/collection/sherry-lehmann/D-202/d7fw2v/media/images/d7fw2v-034.jpg,quinn,section_title,528.0,560.0,784.0,3432.0,712.0,528.0,1560.0,3728.0,Red Wines of the Rhone Valley,,,,,,,,2019-12-10 18:54:08.641467
5,3d78f51e-be01-4409-8ea4-d68587e0b200,/collection/sherry-lehmann/D-202/d7gw25/media/images/d7gw25-007.jpg,foo,section_title,864.0,240.0,1672.0,3592.0,1784.0,256.0,5224.0,3560.0,Red burgundies,,,,,,,,2019-12-11 09:31:37.141384
6,9a1ba884-42f9-4ce3-a406-de900360aa45,/collection/sherry-lehmann/D-637/d7265p/media/images/d7265p-018.jpg,quinn,vintage,395.0,4132.0,551.0,4644.0,623.0,3960.0,1383.0,4844.0,,,,,1975.0,,,,2019-12-10 18:15:31.547085
7,8f15ca58-cd95-4eb3-a3f3-978789fdf7f2,/collection/sherry-lehmann/D-202/d74s4s/media/images/d74s4s-027.jpg,quinn,wine_type,3200.0,608.0,3392.0,2552.0,3328.0,488.0,4112.0,3568.0,,still,,,,,,,2019-12-10 01:32:08.589580
8,79ccd247-d91d-453c-ab41-5ab1acd24118,/collection/sherry-lehmann/D-637/d7ks9q/media/images/d7ks9q-005.jpg,ladragoo,section_title,1897.0,4488.0,1973.0,4772.0,1873.0,4448.0,2513.0,5276.0,Reisling,,,,,,,,2019-12-11 23:12:19.950297
9,bb070dfe-c669-4215-9e48-16b420eab3a8,/collection/sherry-lehmann/D-202/d7qc72/media/images/d7qc72-006.jpg,quinn,vintage,424.0,608.0,744.0,2352.0,608.0,472.0,2008.0,3640.0,,,,,1955.0,,,,2019-12-10 18:04:42.922000
10,f73501a0-1181-4d46-b00c-07e1856f93b4,/collection/sherry-lehmann/D-637/d7265p/media/images/d7265p-018.jpg,quinn,vintage,1867.0,4132.0,2011.0,4672.0,2075.0,3964.0,2663.0,4844.0,,,,,1970.0,,,,2019-12-10 18:15:45.306473
11,c63a1f89-26cd-42db-9947-3497c7474e94,/collection/sherry-lehmann/D-005/d7jp4g/media/images/d7jp4g-094.jpg,ladragoo,section_title,2328.0,440.0,2416.0,1736.0,2304.0,376.0,5432.0,3648.0,Clarets of 1962,,,,,,,,2019-12-11 22:42:01.126962
12,e8c75ec4-0c2f-4869-93bf-936193da7c9d,/collection/sherry-lehmann/D-202/d7qc72/media/images/d7qc72-006.jpg,quinn,vintage,1920.0,616.0,2144.0,2320.0,2016.0,504.0,3144.0,3720.0,,,,,1953.0,,,,2019-12-10 18:04:54.339409
13,16061097-abc5-4c33-8a2c-ad73930e6665,/collection/sherry-lehmann/D-637/d7fd21/media/images/d7fd21-002.jpg,pppandia,section_title,2993.0,1814.0,3073.0,2908.0,,,,,Henkell Trocken,,,,,,,,2019-12-12 19:47:18.231135
14,cb8c1626-3e19-446c-839f-fc7acbaa0ddc,/collection/sherry-lehmann/D-637/d7265p/media/images/d7265p-018.jpg,quinn,vintage,419.0,5044.0,535.0,5556.0,635.0,4872.0,1023.0,5780.0,,,,,1966.0,,,,2019-12-10 18:16:01.621744
15,905867bd-334e-4f52-b787-726569dea898,/collection/sherry-lehmann/D-202/d7qc72/media/images/d7qc72-006.jpg,quinn,vintage,3064.0,640.0,3296.0,2392.0,3152.0,512.0,4360.0,3608.0,,,,,1952.0,,,,2019-12-10 18:05:05.751229
16,dd288c95-19ac-45fe-a329-8169a8362eee,/collection/sherry-lehmann/D-637/d7g073/media/images/d7g073-024.jpg,quinn,section_title,241.0,3116.0,637.0,5704.0,717.0,3068.0,2145.0,5712.0,Bordeaux,,,,,,,,2019-12-12 19:12:11.210447
17,af1a748b-b044-4e67-b41f-b30710240770,/collection/sherry-lehmann/D-005/d7k01r/media/images/d7k01r-014.jpg,christon,section_title,832.0,472.0,1112.0,1504.0,1064.0,560.0,3008.0,840.0,No.,,,,,,,,2019-12-12 19:47:16.267802
18,9cdbfd09-f4e1-46c3-b527-c0880c8227b8,/collection/sherry-lehmann/D-637/d7q36x/media/images/d7q36x-009.jpg,quinn,bottle_price,1241.0,5132.0,1333.0,5348.0,1201.0,3480.0,1385.0,5692.0,,,,,,,3.69,,2019-12-12 19:16:05.133339
19,956f6197-a1bb-43a0-ae8d-9c8e5df942c8,/collection/sherry-lehmann/D-637/d7sq1v/media/images/d7sq1v-023.jpg,pppandia,country,,,,,,,,,,,,,,Scotland,,,2019-12-12 19:16:20.117947
20,869b2cd8-0ffd-47a2-b356-a79a8c6a5251,/collection/sherry-lehmann/D-637/d77q0h/media/images/d77q0h-015.jpg,ladragoo,section_title,1104.0,3420.0,1460.0,4100.0,1084.0,3420.0,2384.0,4128.0,Vega-Sicilia,,,,,,,,2019-12-11 22:48:36.641694
21,06ebe652-f957-4fa6-b8de-0cdc47ee60d3,/collection/sherry-lehmann/D-202/d7xk57/media/images/d7xk57-017.jpg,wpschmid,case_price,5276.0,3212.0,5408.0,3532.0,4044.0,2488.0,5004.0,3836.0,,,,,,,,16.95,2019-12-12 19:46:59.746521
22,129cdd57-48f4-4630-b59f-1e0e14630078,/collection/sherry-lehmann/D-637/d75948/media/images/d75948-004.jpg,jecd,section_title,514.0,1496.0,634.0,2248.0,514.0,456.0,1394.0,3472.0,Austrian Wines,,,,,,,,2019-12-12 19:16:28.353399
23,1dbde7c6-62da-4c68-9c49-d301f6760649,/collection/sherry-lehmann/D-637/d7dm1d/media/images/d7dm1d-016.jpg,njchan,section_title,,,,,,,,,White Burgundy,,,,,,,,2019-12-12 19:50:06.495825
24,68b65881-c953-4ed3-b459-167110c9395a,/collection/sherry-lehmann/D-637/d7sq1v/media/images/d7sq1v-023.jpg,pppandia,bottle_price,,,,,,,,,,,,,,,29.95,,2019-12-12 19:16:55.312712
25,44eaacff-bc8f-4e5c-8af8-71f86a820585,/collection/sherry-lehmann/D-637/d75948/media/images/d75948-004.jpg,jecd,section_title,1506.0,1416.0,1642.0,2192.0,1530.0,408.0,2490.0,3480.0,Wines of Italy,,,,,,,,2019-12-12 19:16:45.395732
26,80544f16-3037-40e6-9487-13302dcfee94,/collection/sherry-lehmann/D-202/d79p49/media/images/d79p49-004.jpg,njchan,country,4312.0,400.0,4688.0,1568.0,624.0,352.0,5056.0,3784.0,,,,,,United States,,,2019-12-12 19:54:18.399713
27,fa7c514f-0b44-45f6-b8b5-ac3bb8993323,/collection/sherry-lehmann/D-637/d7fd21/media/images/d7fd21-002.jpg,pppandia,country,2573.0,2094.0,2609.0,2372.0,,,,,,,,,,United States,,,2019-12-12 19:42:10.998217
28,f819febc-d867-44d8-8d96-df96ba661289,/collection/sherry-lehmann/D-637/d7fd21/media/images/d7fd21-002.jpg,pppandia,bottle_price,2489.0,2608.0,2517.0,2682.0,,,,,,,,,,,4.49,,2019-12-12 19:42:47.701713
29,273abf6b-2bcf-40f6-9d41-f18c578504af,/collection/sherry-lehmann/D-637/d7k06n/media/images/d7k06n-020.jpg,wpschmid,section_title,435.0,2024.0,643.0,2912.0,283.0,1952.0,3419.0,4040.0,Dry White Bordeaux,,,,,,,,2019-12-12 20:11:24.020305
30,45f1a1d5-f40f-433e-908a-b6b2dda71273,/collection/sherry-lehmann/D-637/d7fd21/media/images/d7fd21-002.jpg,pppandia,case_price,2477.0,2770.0,2523.0,2880.0,,,,,,,,,,,,51.95,2019-12-12 19:42:58.142374
31,7b373a54-5b8e-4c2b-ab1f-6572d4b67d98,/collection/sherry-lehmann/D-637/d7k940/media/images/d7k940-014.jpg,christon,country,2541.0,1966.0,2685.0,2388.0,2463.0,1548.0,3613.0,2920.0,,,,,,Spain,,,2019-12-12 19:59:53.713465
32,876078c8-6c9c-4bea-a347-6903427976cd,/collection/sherry-lehmann/D-637/d7fd21/media/images/d7fd21-002.jpg,pppandia,country,2957.0,2332.0,2993.0,2516.0,,,,,,,,,,France,,,2019-12-12 19:46:35.467164
33,7a184824-1385-4ba5-aa54-c4105a15d853,/collection/sherry-lehmann/D-637/d7nd38/media/images/d7nd38-008.jpg,ijvalenc,section_title,518.0,2080.0,578.0,2604.0,478.0,2000.0,1378.0,2940.0,California Sparkling Wine,,,,,,,,2019-12-12 19:59:53.161874
34,bcb35ad7-b673-4cf5-b78e-852d908b95a1,/collection/sherry-lehmann/D-637/d7fd21/media/images/d7fd21-002.jpg,pppandia,vintage,2913.0,2420.0,2945.0,2506.0,,,,,,,,,1975.0,,,,2019-12-12 19:46:44.910087
