LAT,LON,PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
47.1322,2.1567,T2M,1981,1.74,1.24,2.84,7.22,10.3,17.4,20.62,21.49,17.13,7.16,4.22,1.87,9.48
47.1322,2.1567,T2M,1982,-3.5,0.89,1.07,3.49,10.73,13.91,18.88,19.4,13.78,8.04,1.21,-1.39,7.25
47.1322,2.1567,T2M,1983,0.4,0.76,1.72,2.94,10.46,13.73,16.67,18.69,15.97,10.9,1.87,0.28,7.92
47.1322,2.1567,T2M,1984,0.77,0.78,3.91,4.48,11.33,14.64,22.09,19.79,16.48,6.45,1.31,-1.87,8.38
47.1322,2.1567,T2M,1985,-0.34,0.2,0.73,8.15,9.54,18.57,22.07,18.67,11.93,8.89,0.28,-0.32,8.25
47.1322,2.1567,T2M,1986,2.92,1.95,5.38,5.88,10.39,16.73,18.69,21.29,11.36,9.11,4.64,1.43,9.2
47.1322,2.1567,T2M,1987,-1.9,0.96,2.38,8.96,12.63,17.98,17.98,20.58,17.83,13.21,3.89,-2,9.41
47.1322,2.1567,T2M,1988,-1.09,3.33,4.2,6.74,9.28,16.02,22.65,21.38,17.04,14,2.11,-0.9,9.59
47.1322,2.1567,T2M,1989,-2.6,-1.78,3.14,8.27,9.69,15.79,19.89,17.84,14.58,8.2,4.38,2.35,8.37
47.1322,2.1567,T2M,1990,-0.04,-1.7,4.05,8.83,9.01,14.68,20.76,19.01,16.35,10.84,4.25,-2.32,8.7
47.1322,2.1567,T2M,1991,1.16,4.79,0.09,4.62,7.9,13.57,20.86,18.91,18.54,12.66,4.92,0.89,9.1
47.1322,2.1567,T2M,1992,0.03,2.45,4.93,8.2,14.59,15.78,19.19,21.1,16.7,11.71,3.56,-2.34,9.68
47.1322,2.1567,T2M,1993,-3.09,-1.12,4.91,5.7,9.98,13.11,17.71,18.44,16.99,10.66,3.23,-0.58,8.05
47.1322,2.1567,T2M,1994,1.33,-0.77,4.87,6.85,11.08,16.34,22.2,20.59,16.17,8.9,-1.47,-1.43,8.79
47.1322,2.1567,T2M,1995,0.37,4.96,1.54,4.89,9.06,12.82,17.97,19.08,17.25,12.07,7.82,1.74,9.15
47.1322,2.1567,T2M,1996,0.78,1.52,3.85,6.92,9.79,15.88,22.15,21.52,14.88,9.47,4.74,1.39,9.44
47.1322,2.1567,T2M,1997,0.44,1.39,5.13,6.12,13.84,15.45,20.4,19.62,15.96,8.51,4.46,-1.08,9.23
47.1322,2.1567,T2M,1998,0.74,-0.62,3.14,4.8,6.13,12.9,20.13,21.38,16.51,7.8,2.01,-1.29,7.86
47.1322,2.1567,T2M,1999,0.5,-0.84,1.88,4.38,10.23,15.31,19.49,18.32,18.14,12.6,5.36,0.94,8.92
47.1322,2.1567,T2M,2000,0.44,1.25,3.87,7.79,10.73,17.95,19.61,20.69,15.31,8.97,1.71,1.64,9.19
47.1322,2.1567,T2M,2001,-1.14,-1.08,5.82,4.56,15.38,17.11,20.75,21.59,17.87,12.86,4.49,-0.95,9.85
47.1322,2.1567,T2M,2002,-1.59,2.18,2.65,7.29,10.46,17.55,23.15,20.71,17.37,10.59,5.05,0.42,9.69
47.1322,2.1567,T2M,2003,3.88,1.23,4.22,2.75,10.71,17.4,23.06,19.79,18.76,13.69,2.08,0.18,9.88
47.1322,2.1567,T2M,2004,-0.47,0.1,7.25,7.72,11.51,17.73,21.87,20.81,16.51,9.1,2.66,0.96,9.68
47.1322,2.1567,T2M,2005,-0.77,2.03,4.19,5.5,10.63,12.82,22.73,21.61,14.71,10.47,5.09,1.61,9.27
47.1322,2.1567,T2M,2006,0.09,1.7,-1.1,5.45,12.15,17.75,22.64,20.17,16.97,9.66,4.04,0.29,9.19
47.1322,2.1567,T2M,2007,-1.06,1.7,5.68,7,12.53,17.15,22.09,20.68,14.45,8.02,5.54,-1.74,9.38
47.1322,2.1567,T2M,2008,-2.64,-0.14,3.33,5.26,11.34,17.31,22.08,21.57,18.29,10.81,5.86,-1.02,9.36
47.1322,2.1567,T2M,2009,1.12,0.52,2.63,6.14,13.02,15.07,22.12,20.49,18.58,8.72,3.87,-1.54,9.28
47.1322,2.1567,T2M,2010,0.76,1.43,2.51,3.64,6.9,14.73,21.5,19.2,17.21,10.42,1.7,0.12,8.39
47.1322,2.1567,T2M,2011,0.31,-1.3,1.01,4.68,7.19,13.23,19.06,20.69,19.38,10.33,2.43,1.06,8.23
47.1322,2.1567,T2M,2012,1.77,1.31,1.71,6.65,11.52,15.06,20.87,22.81,19.59,11.12,5.12,-1.13,9.73
47.1322,2.1567,T2M,2013,-2.82,1.1,5.42,7.94,11.52,18.01,23.11,19.87,15.25,9.12,5.13,0.44,9.55
47.1322,2.1567,T2M,2014,4.01,2.91,4.73,7.72,11.83,17.94,23.62,20.25,17.64,11.98,5.32,1.79,10.86
47.1322,2.1567,T2M,2015,3.49,5.52,7.08,7.39,11.15,20.13,20.97,20.8,17.52,13.34,1.87,-1.08,10.71
