LAT,LON,PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
47.278,1.8158,T2M,1981,25.8,27.17,27.36,27.2,26.31,25.73,24.51,24.14,24.61,25.46,25.84,26.53,25.88
47.278,1.8158,T2M,1982,26.26,26.14,26.4,26.42,25.76,25.13,23.63,22.95,24.05,24.75,25.63,26.22,25.27
47.278,1.8158,T2M,1983,23.88,27.86,29.05,27.63,26.75,25.29,24.03,23.72,24.73,25.83,27.15,26.36,26.01
47.278,1.8158,T2M,1984,27.08,28.51,27.58,26.7,26.06,25.47,24.64,24.45,24.67,25.37,25.93,26.44,26.07
47.278,1.8158,T2M,1985,27.23,28.19,27.85,26.59,25.95,25.09,23.84,24.15,24.09,25.43,25.95,25.43,25.8
47.278,1.8158,T2M,1986,26.56,26.86,26.47,26.88,26.65,25.64,23.94,24.06,24.46,25.12,26.21,25.96,25.72
47.278,1.8158,T2M,1987,28.06,28.68,28,28.45,27.61,25.94,25.69,25.3,25.26,25.74,26.91,27.07,26.88
47.278,1.8158,T2M,1988,27.69,28.61,27.83,27.38,26.83,25.51,24.5,24.05,24.74,25.69,26.28,25.69,26.22
47.278,1.8158,T2M,1989,24.41,26.32,26.87,26.94,26.2,25.39,24.44,24.24,24.46,25.25,26.46,26.14,25.58
47.278,1.8158,T2M,1990,26.8,27.44,28.68,27.49,26.37,25.99,24.51,24.39,24.88,25.57,26.22,26.32,26.21
47.278,1.8158,T2M,1991,26.77,27.85,27.63,26.89,26.38,25.97,24.77,24.02,25.18,25,26.55,26.6,26.12
47.278,1.8158,T2M,1992,25.74,28.51,28.93,27.52,26.47,25.39,24.41,24.59,24.89,25.65,26.09,27.33,26.28
47.278,1.8158,T2M,1993,26.95,28.38,27.39,27.51,26.91,25.75,24.35,24.49,24.84,25.84,26.47,26.58,26.27
47.278,1.8158,T2M,1994,27.25,28.35,27.64,27.48,26.58,25.62,24.69,24.71,24.79,25.21,26.02,25.62,26.15
47.278,1.8158,T2M,1995,27.04,27.82,27.26,27.34,26.49,25.9,24.59,24.71,24.89,25.27,26.21,26.26,26.14
47.278,1.8158,T2M,1996,27.04,27.44,27.19,27.29,26.78,25.78,24.57,24.47,24.75,25.39,26.62,27.04,26.19
47.278,1.8158,T2M,1997,27.23,27.48,27.79,26.49,26.33,25.52,24.35,24.36,25.5,26.12,27.1,26.71,26.24
47.278,1.8158,T2M,1998,26.58,28.96,29.54,28.77,27.55,26.25,24.99,24.51,25.41,25.79,26.96,26.55,26.8
47.278,1.8158,T2M,1999,26.96,27.42,27.76,27.36,26.87,25.94,24.65,24.43,24.8,25.16,25.92,26.4,26.13
47.278,1.8158,T2M,2000,26.94,26.51,28.01,27.5,27.22,25.37,24.71,24.4,24.8,25.56,26.76,26.63,26.2
47.278,1.8158,T2M,2001,27.21,27.62,28.02,27.27,26.58,25.42,24.65,24.28,24.85,26.07,26.78,27.83,26.37
47.278,1.8158,T2M,2002,26.47,28.66,28.26,27.63,27.2,25.66,25.03,24.53,24.89,25.55,26.49,26.01,26.35
47.278,1.8158,T2M,2003,26.81,28.29,28.45,27.41,27.08,25.42,24.59,24.68,25.25,25.98,26.43,25.89,26.34
47.278,1.8158,T2M,2004,26.56,27.08,27.68,26.97,26.55,25.52,24.33,24.57,25.21,25.76,26.34,26.81,26.11
47.278,1.8158,T2M,2005,24.22,27.77,27.57,27.57,26.65,25.69,24.85,24.22,25.5,25.75,26.74,27.08,26.12
47.278,1.8158,T2M,2006,27.45,27.98,27.39,27.77,26.53,25.9,25.24,24.56,25.07,26.14,26.22,26.63,26.4
47.278,1.8158,T2M,2007,24.98,28.01,28.23,27.47,26.85,25.51,24.92,24.54,25.17,25.34,26.22,25.74,26.07
47.278,1.8158,T2M,2008,24.09,26.23,26.97,27.05,26.77,25.67,24.9,24.64,25.26,25.79,26.35,26.09,25.81
47.278,1.8158,T2M,2009,25.86,26.72,27.25,26.78,26.56,25.89,24.97,24.59,25.2,25.57,26.07,26.87,26.02
47.278,1.8158,T2M,2010,27.35,28.17,27.68,27.81,27.11,26.03,24.91,24.96,25.17,25.63,26.26,26.12,26.42
47.278,1.8158,T2M,2011,25.53,26.79,27.35,27.18,26.84,25.79,24.8,24.49,25.22,25.7,26.23,25.67,25.96
47.278,1.8158,T2M,2012,25.96,26.83,27.35,26.94,26.43,25.42,24.79,24.26,25.19,25.63,26.24,25.98,25.91
47.278,1.8158,T2M,2013,26.52,27.07,27.56,27.23,26.36,25.57,24.71,24.58,25.36,25.88,26.54,26.52,26.15
47.278,1.8158,T2M,2014,27.2,27.73,27.63,27.48,27.09,26.17,25.52,24.75,24.89,25.73,26.27,26.73,26.43
47.278,1.8158,T2M,2015,25.14,27.73,27.82,27.42,27.34,25.98,25.44,25.71,25.98,26.31,27.21,25.56,26.46
47.278,1.8158,T2M,2016,27.36,29.11,28.72,28.1,27.2,25.84,25.23,25.33,25.56,26.32,27.4,27.35,26.95
47.278,1.8158,T2M,2017,27.81,28.24,28.25,27.92,27.43,26.24,25.12,24.76,25.26,26.24,26.65,26.78,26.71
47.278,1.8158,T2M,2018,26.6,28.28,27.6,27.61,26.83,26.15,25.35,25.09,25.51,26.13,26.92,26.57,26.54
47.278,1.8158,T2M,2019,27.53,28.06,27.85,28.04,27.22,25.99,25.32,25.28,25.61,25.63,27,26.45,26.65
47.278,1.8158,RH2M,1981,77.13,76.59,77.95,81.89,84.42,87.25,86.37,86.2,87.26,87.89,79.17,77.1,82.47
47.278,1.8158,RH2M,1982,71.85,77.5,80.86,85.9,87.6,88.5,88.75,86.78,86.98,86.96,81.18,75.35,83.2
47.278,1.8158,RH2M,1983,57.97,69.79,66.03,79.77,83.35,87.31,86.59,83.3,84.42,81.07,73.68,74.95,77.37
47.278,1.8158,RH2M,1984,61.24,63.45,75.51,81.04,85.22,85.43,85.71,84.67,86.34,86.11,79.83,66.34,78.44
47.278,1.8158,RH2M,1985,70.86,61.99,71.91,82.1,85.95,85.45,87.83,87.62,88.03,86.08,84.8,71.36,80.43
47.278,1.8158,RH2M,1986,70.21,76.52,79.33,81.92,80.62,83.73,86.64,82.55,85.08,85.89,77.44,66.51,79.7
47.278,1.8158,RH2M,1987,66.48,67.22,73.04,74.12,78.75,83.43,83.88,86.64,88.45,87.48,81.07,73.49,78.73
