LAT,LON,PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
46.1134,4.7264,T2M,1981,8.97,12.35,15.76,22.39,23.52,27.78,28.57,28.47,25.4,22.16,18.68,12.75,20.6
46.1134,4.7264,T2M,1982,12.14,13.15,18.03,20.28,24.39,28.27,28.28,28.05,25.04,21.08,17.17,14.94,20.95
46.1134,4.7264,T2M,1983,10.16,11.95,14,17.84,23.27,25.78,27.67,27.76,24.4,20.8,16.29,10.19,19.22
46.1134,4.7264,T2M,1984,8.5,12.07,15.48,19.67,23.76,26.25,26.91,26.73,24.7,23.32,15.16,16.63,19.96
46.1134,4.7264,T2M,1985,8.27,11.3,18.47,20.53,24.32,26.62,26.91,27.73,25.21,22.55,19.27,10.46,20.18
46.1134,4.7264,T2M,1986,10.54,14.51,16.14,19.7,24.45,27.61,28.1,27.47,27.3,21.65,18.83,11.63,20.68
46.1134,4.7264,T2M,1987,9.72,13.4,15.03,18.35,24.56,26.25,27.62,28,25.54,18.3,15.87,14.42,19.79
46.1134,4.7264,T2M,1988,9.32,11.5,15.67,19.79,23.05,25.76,27.22,27.57,25.73,20.03,18.24,13.48,19.8
46.1134,4.7264,T2M,1989,15.45,13.3,16.57,19.88,24.72,26.41,27.17,27.43,25.15,20.13,16.96,8.11,20.14
46.1134,4.7264,T2M,1990,13.53,15.41,16.9,19.64,24.05,27.74,27.61,28.28,26.46,20.51,17.36,14.44,21.02
46.1134,4.7264,T2M,1991,12.18,13.96,17.34,22.09,24.69,26.43,27.33,27.39,24.96,21.28,12.94,14.23,20.44
46.1134,4.7264,T2M,1992,10.87,14.2,16.44,19.68,22.72,26.86,27.89,26.39,25.47,20.5,14.36,14.47,20
46.1134,4.7264,T2M,1993,13.87,12.55,14.78,17.98,22.58,26.66,28.03,28.51,26.39,21.39,14.98,11.87,20.01
46.1134,4.7264,T2M,1994,10.16,13.85,16.42,20.68,23.87,26.69,27.08,26.99,25.12,21.49,18.27,13.45,20.37
