LAT,LON,PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
44.2581,0.2982,T2M,1981,2.51,3.44,8.84,11.65,15.87,19.78,21.69,22,18.73,15.2,8.32,6.02,12.89
44.2581,0.2982,T2M,1982,3,2.87,6.8,10.1,16.17,20.82,23,22.59,20.71,14.93,10.21,7.05,13.25
44.2581,0.2982,T2M,1983,6.39,2.89,8.16,11.78,16.24,19.51,24.55,22.91,19.35,14.29,7.46,4.98,13.28
44.2581,0.2982,T2M,1984,4.62,4.06,6.31,10.64,13.44,18.09,21.48,21.24,18.3,14.7,9.75,6.05,12.41
44.2581,0.2982,T2M,1985,0.93,2.4,6.86,10.88,16.13,18.7,22.99,22.87,20.46,14.59,7.48,7.43,12.71
44.2581,0.2982,T2M,1986,4.3,0.47,6.35,11.19,18.35,19.39,21.49,23.23,18.16,14.4,9.38,4.85,12.71
44.2581,0.2982,T2M,1987,0.85,4.1,4.05,11.37,14.6,18.99,23.19,21.96,21.53,14.71,9.57,5.85,12.6
44.2581,0.2982,T2M,1988,6.9,6.16,7.57,11.7,16.29,19.11,23.67,23.24,18.82,15.01,6.12,5.58,13.38
44.2581,0.2982,T2M,1989,3.9,6.59,10.08,12.31,15.98,18.88,22.33,22.27,18.24,13.6,7.86,5.71,13.19
44.2581,0.2982,T2M,1990,4.45,7.67,10.2,10.96,17.33,19.84,22.48,22.66,18.2,14.92,9.7,4.07,13.58
44.2581,0.2982,T2M,1991,3.59,2.8,9.8,10.41,13.03,18.86,23.19,23.42,20.18,12.98,8.87,3.43,12.6
44.2581,0.2982,T2M,1992,3.87,5.28,7.97,11.34,16.67,19.19,22.53,25.57,19.64,14.24,10.77,5.15,13.54
44.2581,0.2982,T2M,1993,3.97,3.82,6.38,11.52,17.93,20.81,22.05,23.9,18.22,14.68,6.34,7.02,13.12
44.2581,0.2982,T2M,1994,6.36,4.64,10.5,11.25,15.98,20.12,24.41,25.07,19.98,13.19,11.16,6.28,14.14
