LAT,LON,PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
47.1847,0.7386,T2M,1981,25.11,25.69,26.25,26.78,27.82,27.87,28.33,28.38,28.38,27.64,27.03,26.27,27.14
47.1847,0.7386,T2M,1982,25.98,25.99,26.31,26.84,26.74,27.47,27.75,28.14,27.92,27.64,27.22,26.02,27.01
47.1847,0.7386,T2M,1983,26.27,25.83,26.33,27.01,28,28.33,28.3,28.27,28.29,27.65,27.45,26.88,27.39
47.1847,0.7386,T2M,1984,26.19,26.09,26.33,26.81,27.28,27.67,27.74,27.99,27.22,27.23,26.62,25.79,26.92
47.1847,0.7386,T2M,1985,25.22,25.42,25.59,26.05,27.24,27.79,27.9,27.98,27.97,27.3,26.92,26.28,26.81
47.1847,0.7386,T2M,1986,25.56,25.37,25.84,26.66,27.34,27.13,27.7,28.01,27.91,27.35,27.51,26.63,26.93
47.1847,0.7386,T2M,1987,25.59,25.86,26.31,26.99,27.6,28.28,28.19,28.5,28.39,27.91,27.74,26.89,27.36
47.1847,0.7386,T2M,1988,26.25,26.09,26.37,27.18,27.69,28.1,28.31,28.11,27.82,27.7,27.17,26.24,27.25
47.1847,0.7386,T2M,1989,25.93,25.47,25.4,26.54,26.89,27.55,27.92,28.33,28.27,27.99,27.79,26.79,27.08
47.1847,0.7386,T2M,1990,26.58,26.02,25.87,26.61,27.31,27.86,28.09,28.65,28.4,27.68,27.01,26.41,27.21
47.1847,0.7386,T2M,1991,26.21,25.86,26.24,26.64,27.35,27.74,28.14,28.1,28.03,27.75,27.42,26,27.13
47.1847,0.7386,T2M,1992,25.88,25.92,26.28,27.02,26.84,27.87,28.37,28.39,27.7,27.85,27.73,26.71,27.22
47.1847,0.7386,T2M,1993,25.99,25.59,25.93,26.74,26.63,27.52,28.02,28.18,28.03,28.11,27.51,26.46,27.07
47.1847,0.7386,T2M,1994,26.17,25.94,26.25,26.79,27.37,28,28.02,28.15,27.9,27.32,27.34,26.34,27.14
47.1847,0.7386,T2M,1995,25.81,25.86,25.8,26.86,27.56,28.06,28.5,28.41,28.48,27.72,27.41,26.86,27.28
47.1847,0.7386,T2M,1996,25.97,25.85,25.98,26.84,27.24,27.92,28.11,28.19,28.37,27.58,26.69,25.5,27.02
47.1847,0.7386,T2M,1997,25.55,26.02,26,26.56,27.65,27.86,28.42,28.28,28.66,27.77,27.92,27.17,27.33
47.1847,0.7386,T2M,1998,26.68,26.07,26.62,27.14,28.07,28.99,28.69,29.04,28.41,28.1,27.8,27.12,27.74
47.1847,0.7386,T2M,1999,26.44,25.47,26.18,27.1,27.4,27.91,28.16,28.55,28.44,27.91,26.83,25.59,27.17
47.1847,0.7386,T2M,2000,25.13,25.34,25.25,26.59,27.2,27.91,28.3,28.36,27.84,27.81,27.31,26.53,26.97
47.1847,0.7386,T2M,2001,25.41,25.98,26,26.84,27.33,27.82,28.45,28.9,28.53,28.29,26.77,26.86,27.27
47.1847,0.7386,T2M,2002,26.36,25.98,26.53,26.79,27.38,27.57,28.44,28.67,28.1,28.05,27.82,27.19,27.42
47.1847,0.7386,T2M,2003,26.22,26.56,26.82,27.21,28.09,28.04,28.4,28.62,28.68,28.4,27.83,26.71,27.64
47.1847,0.7386,T2M,2004,25.8,26.24,26.39,27.03,27.6,28.3,28.37,28.81,28.02,28.25,27.25,26.62,27.39
47.1847,0.7386,T2M,2005,25.57,24.88,26.69,27.52,27.74,28.24,28.61,28.62,28.87,27.57,27.55,26.6,27.39
47.1847,0.7386,T2M,2006,25.86,25.85,26.06,27,27.94,28.26,28.36,28.67,28.79,28.7,27.79,27.26,27.55
47.1847,0.7386,T2M,2007,26.61,26.39,26.65,27.08,27.87,28.37,28.66,28.59,28.44,27.65,27.09,26.56,27.5
47.1847,0.7386,T2M,2008,25.81,26.15,26.16,26.75,27.57,27.88,28.32,28.47,28.24,28.07,27.05,26.29,27.23
47.1847,0.7386,T2M,2009,25.93,25.59,25.28,26.71,27.06,27.52,28.45,28.64,28.78,28.33,27.82,27.4,27.3
47.1847,0.7386,T2M,2010,26.22,26.21,26.62,27.24,28.21,28.51,28.67,28.72,28.51,27.96,26.67,24.95,27.38
47.1847,0.7386,T2M,2011,25.51,25.74,25.77,26.75,27.34,27.65,28.05,28.48,28.43,27.96,27.58,26.64,27.17
47.1847,0.7386,T2M,2012,26,25.97,26.23,26.72,27.74,28.21,28.64,28.38,28.49,28.03,27.01,26.76,27.35
47.1847,0.7386,T2M,2013,26.33,26.14,25.86,27.12,27.72,27.96,28.05,28.37,28.43,28.22,27.57,27.17,27.42
47.1847,0.7386,T2M,2014,26.59,26.52,26.57,27.28,27.48,27.75,28.16,28.46,28.13,28.2,27.71,26.61,27.46
47.1847,0.7386,T2M,2015,26.38,26.12,26.63,27.07,27.61,28.12,28.24,28.62,28.83,28.6,27.81,27.24,27.62
47.1847,0.7386,T2M,2016,26.28,26.16,26.62,27.22,27.81,28.23,28.45,28.64,28.66,27.91,27.33,27.24,27.55
47.1847,0.7386,T2M,2017,25.84,26.01,26.23,27.02,27.47,28.1,28.42,28.7,28.82,28.42,27.5,26.96,27.47
47.1847,0.7386,T2M,2018,26.32,26.03,25.86,26.98,27.31,27.81,28.29,28.37,28.27,27.77,27.76,27.06,27.33
47.1847,0.7386,T2M,2019,26.07,26.25,26.36,27.13,27.53,28.38,28.72,29.16,29.01,28.48,27.89,27.59,27.72
47.1847,0.7386,RH2M,1981,73.9,73.45,72.48,69.82,73.25,75.53,74.63,75.15,74.48,76.53,75.17,75.8,74.19
47.1847,0.7386,RH2M,1982,73.7,70.04,69.77,70.47,76.16,77.75,75.38,75.84,77.53,75.01,72.57,70.97,73.79
47.1847,0.7386,RH2M,1983,74.11,74.07,75.71,70.37,72.59,75.32,76.06,75.38,74.56,75.46,74.02,72.96,74.23
47.1847,0.7386,RH2M,1984,71.07,73.37,70.15,71.95,72.45,76.43,75.17,75.51,76.87,74.98,72.04,71.64,73.46
47.1847,0.7386,RH2M,1985,70.55,72.69,72.06,70.58,74.07,72.67,74.51,75.81,75.6,76.98,75.56,72.65,73.65
47.1847,0.7386,RH2M,1986,72.29,68.68,72.37,69.44,72.64,79.94,76.24,75.48,74.27,75.65,73.71,73.03,73.68
47.1847,0.7386,RH2M,1987,71.99,73.61,70.2,75.07,73.92,74.98,77.01,76.17,75.38,77,74.91,76.33,74.72
47.1847,0.7386,RH2M,1988,72.54,71.4,69.64,69.44,75.34,76.77,76.42,76.71,77.75,76.15,75.23,72.13,74.13
47.1847,0.7386,RH2M,1989,71.65,71.34,70.88,71.85,74.46,75.26,74.12,74.46,73.95,72.91,71.76,72.05,72.9
47.1847,0.7386,RH2M,1990,70.24,69.81,71.72,71.86,75.01,76.78,74.37,73.24,73.8,78.32,77.14,72.31,73.74
47.1847,0.7386,RH2M,1991,70.37,71.23,70.62,72.8,75.6,77.21,75.53,75.59,75.94,75.53,74.62,70.16,73.77
47.1847,0.7386,RH2M,1992,72.21,72.44,71.3,72.31,75.13,77.34,73.16,73.99,77.12,74.57,71.58,69.72,73.4
47.1847,0.7386,RH2M,1993,74,72.7,72.51,72.81,80.12,79.6,76.37,75.32,75.58,75.7,76.03,74.69,75.47
47.1847,0.7386,RH2M,1994,73.2,72.29,73.1,71.8,77.76,75.38,73.95,75.74,77.11,76.74,76.94,73.41,74.8
47.1847,0.7386,RH2M,1995,72.09,72.98,71.72,70.31,74.64,76.56,74.72,75.69,75.6,77.71,74.7,73.57,74.2
47.1847,0.7386,RH2M,1996,71.43,73.39,73.14,71.41,75.64,75.59,74.86,74.83,75.16,78.31,77.54,71.53,74.4
47.1847,0.7386,RH2M,1997,72.74,72.02,70.06,70.96,72.27,78.49,76.1,77.87,76.36,76.83,74.88,74.59,74.44
47.1847,0.7386,RH2M,1998,74.69,71.19,74.12,69.5,72.2,74.71,75.14,75.74,77.61,78.12,74.38,73.37,74.26
47.1847,0.7386,RH2M,1999,71.03,70.58,71.51,68.78,74.71,76.78,75.8,74.99,75.44,77.65,75.92,70.33,73.64
47.1847,0.7386,RH2M,2000,69.88,70.58,68.49,69.94,73.61,74.72,73.24,75.87,79.02,76.11,71.65,75.96,73.26
47.1847,0.7386,RH2M,2001,75.07,70.72,72.07,71.03,75.58,75.7,73.96,74.58,75.16,77.03,74.93,76.9,74.43
47.1847,0.7386,RH2M,2002,73.85,71.55,69.73,70.21,76.09,78.77,75.32,74.88,79.04,76.97,75.55,72.7,74.57
47.1847,0.7386,RH2M,2003,74.95,72.31,71.26,71.97,72.7,75.55,74.3,75.3,74.53,75.87,74.7,73.49,73.92
47.1847,0.7386,RH2M,2004,71.65,70.48,68.96,69.67,74.59,74.52,75.27,74.13,78.71,72.91,70,72.95,72.83
47.1847,0.7386,RH2M,2005,71.8,68.99,71.62,70.91,77.85,80.1,78.67,78.03,76.55,83.28,75.07,73.1,75.55
47.1847,0.7386,RH2M,2006,72.23,72.28,69.97,70.17,71.48,77.02,76.34,76.11,74.57,75.57,75.19,74.85,73.82
47.1847,0.7386,RH2M,2007,70.9,72.51,71.83,72.11,74.11,76,74.3,75.82,74.98,80.67,76.76,71.9,74.33
