LAT,LON,PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
40.4348,13.5342,T2M,1981,5.75,4.84,7.41,7.84,10.24,12.51,14.17,15.55,13.64,7.89,8.05,3.71,9.32
40.4348,13.5342,T2M,1982,4.57,5.86,5.8,8.19,10.01,13.57,14.87,14.23,12.89,10.33,7.54,5.3,9.45
40.4348,13.5342,T2M,1983,6.21,3.2,6.34,5.88,9.09,12.76,17.02,15.99,12.66,10.23,8.33,7.2,9.62
40.4348,13.5342,T2M,1984,3.88,5.05,4.66,7.97,9.85,13.89,15.22,16.07,12.8,10.61,7.58,6.26,9.5
40.4348,13.5342,T2M,1985,2.77,4.35,5.1,7.79,9.76,11.68,14.3,13.09,13.54,10.98,5.4,6.81,8.82
40.4348,13.5342,T2M,1986,4.48,1.35,5.12,5.44,9.39,13.04,14.25,12.2,11.31,10.38,7.84,5.93,8.44
40.4348,13.5342,T2M,1987,3.57,4.58,5.03,8.64,9.72,11.79,14.86,14.64,12.47,9.15,7.55,7.09,9.12
40.4348,13.5342,T2M,1988,5.49,4.51,6.43,7.98,10.48,13.63,13.54,13.77,12.47,10.52,7.24,7.72,9.5
40.4348,13.5342,T2M,1989,6.98,6.09,6.82,6.27,11.29,13.16,16.47,15.13,13.22,11.49,7.72,5.85,10.07
40.4348,13.5342,T2M,1990,6.83,6.48,7.6,7.47,11.59,12.59,15.3,15.91,12.56,11.43,7.42,4.89,10.04
40.4348,13.5342,T2M,1991,4.05,3.45,7.16,7.4,10.79,11.64,15.1,15.55,13.75,9.97,7.31,6.5,9.43
40.4348,13.5342,T2M,1992,5.37,6.44,7.29,7.77,11.2,14.26,14.8,13.64,11.96,8.03,7.66,5.19,9.47
40.4348,13.5342,T2M,1993,6.2,6.1,6.5,8.72,9.9,13.34,13.85,13.49,12.27,8.47,6.59,5.63,9.27
40.4348,13.5342,T2M,1994,5.35,4.53,6.5,7.09,9.32,12.52,14.68,13.77,11.99,10.49,10.2,7.33,9.51
40.4348,13.5342,T2M,1995,5.44,6.33,5.31,8.19,10.07,13.12,15.94,17.09,12.99,12.77,8.82,5.01,10.11
40.4348,13.5342,T2M,1996,6.44,3.95,5.29,7.99,8.47,12.81,14.61,14.22,13.2,11.3,6.78,4.86,9.18
40.4348,13.5342,T2M,1997,4.67,6.43,7.7,9.04,10.48,12.41,15.02,15.96,13.53,11.27,9.26,7.23,10.27
