LAT,LON,PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
44.9073,8.6117,T2M,1981,2.91,3.61,9.48,14.56,19.96,24.93,28.81,26.44,21.01,11.5,8.02,3.89,14.65
44.9073,8.6117,T2M,1982,1.32,1.33,6.29,16.5,21.98,26.91,28.61,26.89,20.57,13.54,2.8,1.01,14.05
44.9073,8.6117,T2M,1983,1.68,5.83,6.81,15.98,21.7,27.23,31.67,29.31,21.53,13.57,10.15,2.36,15.7
44.9073,8.6117,T2M,1984,-0.45,-5.29,7.73,14.31,21.22,28.1,31.57,30.27,20.95,13.48,7.57,-6.39,13.65
44.9073,8.6117,T2M,1985,-0.24,4.95,5.33,16.48,21.4,28.36,30.45,26.49,22.44,12.28,6.01,3.31,14.81
44.9073,8.6117,T2M,1986,3.21,3.73,4.37,14.87,22.95,27.03,29.68,27.07,23.14,14.72,6.72,2.01,15.02
44.9073,8.6117,T2M,1987,4.18,4.6,9.71,12.71,21.54,26.3,28.49,29.67,21.69,9.73,7.05,6.57,15.25
44.9073,8.6117,T2M,1988,2.93,3.16,7.92,18.26,20.42,29.72,31.3,27.69,22.51,14.2,12.44,6.71,16.46
44.9073,8.6117,T2M,1989,-0.31,-0.16,9.68,12.99,20.51,27.29,30.24,28.12,20.81,16.07,7.15,5.75,14.94
44.9073,8.6117,T2M,1990,-1.1,3.01,7.67,13.78,21.89,29.85,29.2,28.58,23.17,13.52,9.07,1.15,15.04
44.9073,8.6117,T2M,1991,-1,2.03,6.49,15.49,19.78,26.22,29.87,27.19,21.63,14.96,7.45,2.69,14.46
44.9073,8.6117,T2M,1992,1.21,4.25,4.99,14.57,16.94,25.19,29.14,25.63,19.76,13.09,10.44,5.17,14.22
44.9073,8.6117,T2M,1993,0.4,2.56,5.77,13.75,17.57,25.48,28.87,25.94,21.17,12.21,3.83,0.06,13.19
44.9073,8.6117,T2M,1994,0.26,-2.13,8.27,11,20.58,28.36,29.04,28.22,18.26,14.35,10.78,1.35,14.13
44.9073,8.6117,T2M,1995,0.09,3.41,7.3,14.91,20.89,27.71,30.18,27.83,21.55,12.91,10.04,1.05,14.87
44.9073,8.6117,T2M,1996,-0.8,0.5,4.81,12.5,19.72,26.98,29.3,26.53,21.93,12.95,5.39,5.39,13.81
44.9073,8.6117,T2M,1997,1.79,1.78,7.83,15.77,19.42,27.64,30.45,27.4,22.04,17.82,5.08,1.78,14.98
44.9073,8.6117,T2M,1998,0.41,-0.16,6.19,14.86,18.06,25.18,29.88,28.59,22.39,13.81,9.06,4.89,14.51
44.9073,8.6117,T2M,1999,0.72,7,5.57,12.59,20.87,25.47,28.14,29.89,22.05,15.99,5.89,4.38,14.93
44.9073,8.6117,T2M,2000,2.26,2.52,7.65,17.62,23.11,27.27,29.91,29,22.29,11,5.73,4.15,15.25
44.9073,8.6117,T2M,2001,-0.86,3.97,10.5,17.03,25.86,29.13,28.07,26.66,20.09,12.48,9.12,2.88,15.47
44.9073,8.6117,T2M,2002,3.11,4.48,10.19,14.2,18.95,25.84,28.99,29.37,22.97,17.82,9.84,-2.12,15.36
44.9073,8.6117,T2M,2003,4.17,3.68,7.18,12.64,17.69,24.16,28.72,28.17,22.54,16.4,7.66,1.91,14.64
44.9073,8.6117,T2M,2004,3.53,6.41,8.64,14.04,22.03,27.82,28.95,27.81,22.83,12.94,10.5,2.35,15.67
44.9073,8.6117,T2M,2005,0.34,-1.68,11.06,14.34,19.74,28.17,30.59,27.16,23.91,15.65,7.52,3.91,15.16
44.9073,8.6117,T2M,2006,-3.59,6.27,10.18,16.28,23.4,27.62,28.62,28.76,20.98,17.31,8.03,-0.02,15.36
44.9073,8.6117,T2M,2007,1.33,4.54,7.5,17.54,21.08,27.75,29.48,28.39,21.98,12.31,9.9,-0.95,15.11
44.9073,8.6117,T2M,2008,-8.66,-0.79,13.31,16.3,24.03,28.97,30.54,29.14,21.28,13.53,6.54,3.11,14.82
44.9073,8.6117,T2M,2009,2.67,4.81,9.7,11.68,19.59,24.06,28.53,27.17,21.58,14.77,7.31,3.54,14.68
44.9073,8.6117,T2M,2010,3.72,1.83,9.85,15.68,20.42,26.72,28.87,29.08,21.68,16.54,9.06,3.23,15.64
44.9073,8.6117,T2M,2011,0.72,0.78,7.15,16.53,22.75,27.71,29.31,28.55,22.27,14.94,4,-1.99,14.47
44.9073,8.6117,T2M,2012,-1.41,-1.93,5.51,17.06,20.49,27.36,29.42,29.43,21.42,14.79,5.69,0.07,14.04
44.9073,8.6117,T2M,2013,2.04,3.75,9.6,13.87,20.92,27.94,29.8,27.93,24.37,15.45,8.18,1.25,15.49
