LAT,LON,PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
38.9629,16.3093,T2M,1981,3.43,2.19,7.76,7.64,11.12,13.32,15.85,17.05,14.69,8.1,6.36,-0.18,8.98
38.9629,16.3093,T2M,1982,2.43,4.07,5.34,8.09,11.61,15.63,16.95,16.26,14.89,9.9,7.53,3.29,9.69
38.9629,16.3093,T2M,1983,5.57,1.09,5.5,6.61,10.01,14.42,19.27,17.26,13.8,10.05,6.46,4.65,9.62
38.9629,16.3093,T2M,1984,2.88,2.68,4.05,7.17,9.69,14.79,16.78,17.73,13.65,11.12,8.02,4.68,9.46
38.9629,16.3093,T2M,1985,-0.34,1.05,3.86,7.97,11.3,13.03,16.68,14.96,14.53,10.61,3.29,6.16,8.64
38.9629,16.3093,T2M,1986,2.45,-1.85,4.1,5.39,10.86,14.87,16.66,14.5,11.52,10.94,7.4,4.95,8.55
38.9629,16.3093,T2M,1987,-0.91,2.5,3.33,9.83,9.97,13.44,16.31,16.13,13.98,10.03,5.78,4.89,8.8
38.9629,16.3093,T2M,1988,4.93,3.72,5.56,7.64,12.11,14.34,15.19,15.83,13.56,10.59,4.85,5.95,9.55
38.9629,16.3093,T2M,1989,4.75,5.31,7.43,6.3,13.25,14.87,18.57,17.5,15.54,11.71,5.77,4.77,10.52
38.9629,16.3093,T2M,1990,6,6.91,7.49,7.82,12.9,14.32,17.83,19.42,13.66,11.86,6.39,3.42,10.7
38.9629,16.3093,T2M,1991,3.04,0.92,7.56,7.72,10.92,12.73,17.79,18.28,15.41,9.77,6.15,3.51,9.54
38.9629,16.3093,T2M,1992,2.68,4.32,6.74,8.32,13.78,16.25,17.29,16.39,13.55,7.29,6.96,3.2,9.74
38.9629,16.3093,T2M,1993,5.17,3.39,5.63,9.07,11.76,15.51,15.86,15.32,12.52,8.28,3.85,4.72,9.29
38.9629,16.3093,T2M,1994,4.52,2.62,6.98,7.41,10.66,14.74,18.52,16.36,12.69,9.63,9.57,6.01,10.02
38.9629,16.3093,T2M,1995,4.08,5.94,4.65,8.65,11.34,13.74,18.82,18.9,13.63,12.5,7.16,1.41,10.1
38.9629,16.3093,T2M,1996,3.47,1.48,3.77,7.86,8.97,14.95,17,16.76,13.5,11.29,5.04,1.97,8.86
38.9629,16.3093,T2M,1997,0.4,5.82,7.93,8.57,11.58,14.36,17.21,19.7,14.47,9.66,8.09,5.32,10.28
38.9629,16.3093,T2M,1998,4.39,5.81,7.4,7.58,12.84,14.45,15.71,16.43,14.74,10.35,4.95,5.08,10.01
38.9629,16.3093,T2M,1999,5.36,4.21,7.06,8.95,12.87,14.26,17.93,16.52,15.82,10.26,6.77,4.16,10.39
38.9629,16.3093,T2M,2000,3.89,5.57,6.7,7.83,12.28,15.2,15.39,16.82,14.97,10.13,6.78,5.22,10.08
38.9629,16.3093,T2M,2001,2.68,3.92,4.83,7.23,12.13,14.16,17.65,17.2,13.09,13.14,6.49,2.66,9.64
