LAT,LON,PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
45.0522,7.5154,T2M,1981,10.58,10.59,10.67,12.66,14.77,18.68,17.87,18.05,17.41,13.94,12.62,10.57,14.05
45.0522,7.5154,T2M,1982,6.79,9.83,9.57,11.26,13.61,14.88,17.03,17.72,17.19,15.05,10.97,8.76,12.73
45.0522,7.5154,T2M,1983,9.58,11.23,11.22,11.13,13.58,15.64,17.4,18.77,19.17,16.77,12.11,10.36,13.93
45.0522,7.5154,T2M,1984,8.82,9.69,11.49,11.31,15.26,16.28,19.27,18.47,19.74,14.2,11.07,8.09,13.65
45.0522,7.5154,T2M,1985,7.92,9.52,9.28,13.19,13.57,17.91,18.67,17.78,16.54,14.86,9.79,8.11,13.11
45.0522,7.5154,T2M,1986,11.25,11.69,12.63,11.83,13.73,16.81,17.73,17.84,15.81,15.22,12.86,9.92,13.96
45.0522,7.5154,T2M,1987,8.39,10.35,10.95,13.68,15.87,16.69,16.9,18.15,17.87,17.18,12.2,8.77,13.93
45.0522,7.5154,T2M,1988,9.08,10.45,11.64,12.75,13.85,16.77,19.07,18.15,17.34,15.5,11.77,8.93,13.78
45.0522,7.5154,T2M,1989,7.58,7.63,11.09,13.89,14.43,16.75,17.41,17.38,16.67,14.8,12.02,9.92,13.33
45.0522,7.5154,T2M,1990,9.25,8.21,10.85,13.89,14.36,16.57,18.27,18.96,18.32,15.92,11.91,6.95,13.65
45.0522,7.5154,T2M,1991,8.95,11.8,9.6,11.34,13.03,15.33,17.69,17.57,17.7,16.85,12.12,9.34,13.45
45.0522,7.5154,T2M,1992,8.9,11.64,12.42,14.13,16.73,16.86,18.63,18.58,18,16.97,12.52,8.77,14.52
45.0522,7.5154,T2M,1993,8.49,9.71,12.31,12.37,14.6,17.27,17.81,18.74,17.64,16.21,11.82,9.01,13.86
45.0522,7.5154,T2M,1994,9.51,9.38,11.78,12.61,14.11,16.24,16.98,17.84,17.82,15.25,9.21,8.19,13.27
45.0522,7.5154,T2M,1995,10.7,11.32,10.94,11.58,13.17,15.34,18.17,18.05,17.41,16.21,13.79,10.9,13.98
45.0522,7.5154,T2M,1996,10.1,11.31,11.78,13.29,14.35,16.12,18.37,18.28,16.93,15,11.96,10.62,14.02
45.0522,7.5154,T2M,1997,9.64,9.88,11.47,12.67,17.01,16.84,18.18,19,19.64,15.64,13.79,9.18,14.43
45.0522,7.5154,T2M,1998,11.03,10.16,11.13,11.5,12.59,15.41,17.25,18.94,17.76,14.79,11.32,7.46,13.3
45.0522,7.5154,T2M,1999,8.66,8.97,9.1,11.15,12.32,15.13,16.39,17.68,17.48,16.19,12.59,9.48,12.95
45.0522,7.5154,T2M,2000,9.79,10.62,10.58,12.6,14.57,16.83,16.59,17.24,18.29,14.32,10.16,9.53,13.43
45.0522,7.5154,T2M,2001,8.34,8.99,11.91,10.81,16.35,16.78,17.03,17.29,16.81,15.98,12.78,9.62,13.59
45.0522,7.5154,T2M,2002,7.96,10,10.31,12.03,13.24,15.73,17.25,17.58,17.85,15.11,12.67,10.76,13.39
45.0522,7.5154,T2M,2003,11.35,9.93,11.71,10.79,13.81,16.43,17.86,18.61,18.72,16.37,11.1,10.1,13.93
45.0522,7.5154,T2M,2004,9.13,9.77,13.08,13.27,14.52,16.11,17.68,18.68,18.46,14.93,11.43,9.71,13.91
45.0522,7.5154,T2M,2005,8.89,10.99,12.47,11.72,14.84,15.33,18.15,17.83,16.13,14.93,12.78,10.56,13.74
45.0522,7.5154,T2M,2006,9.5,9.99,9.08,11.91,14.09,16.54,18.64,17.3,16.97,15.19,12.1,8.96,13.37
45.0522,7.5154,T2M,2007,7.33,10,12.03,12.17,13.93,15.83,17.79,18.11,17.24,14.39,12.08,8.19,13.27
45.0522,7.5154,T2M,2008,7.9,9.23,10.27,11.44,13.97,16.49,17.5,18.26,17.96,16.04,12.91,8.11,13.35
