LAT,LON,PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
41.0612,14.8511,T2M,1981,21.98,23.87,25.63,27.91,28.63,26.79,26.31,25.94,26.38,25.74,25.1,23.31,25.64
41.0612,14.8511,T2M,1982,22.28,23.38,25.6,27.54,28.35,27.89,25.69,25.9,25.74,25.66,25.29,25.01,25.7
41.0612,14.8511,T2M,1983,24.29,24.75,26.94,28.16,29.68,29.3,27.49,26.51,26.74,25.87,24.71,23.27,26.48
41.0612,14.8511,T2M,1984,23.88,24.03,26.59,27.99,27.94,26.76,26.68,25.85,26.84,25.56,24.82,23.7,25.89
41.0612,14.8511,T2M,1985,23.12,25.33,26.68,27.88,27.66,26.55,25.99,25.94,25.91,25.55,25.03,23.7,25.78
41.0612,14.8511,T2M,1986,23.3,24.04,26.03,27.3,28.04,27.81,26.4,25.74,25.57,25.43,24.98,23.25,25.66
41.0612,14.8511,T2M,1987,22.81,22.98,25.88,28.1,29.5,27.55,26.64,26.78,26.13,26.37,25.65,24.3,26.07
41.0612,14.8511,T2M,1988,24.79,24.82,26.05,27.17,27.91,26.44,26.52,26.73,26.77,25.83,24.64,22.52,25.85
41.0612,14.8511,T2M,1989,23.89,23.65,24.41,26.53,26.73,26.39,26.22,25.83,25.79,25.77,24.28,23.03,25.22
41.0612,14.8511,T2M,1990,23.65,24.41,25.45,28.71,28.15,26.44,25.95,26.07,25.91,25.47,25.1,23.78,25.76
41.0612,14.8511,T2M,1991,23.22,24.01,24.52,27.11,27.85,26.98,26.16,25.78,25.79,25.68,24.31,23.46,25.41
41.0612,14.8511,T2M,1992,23.45,24.18,26.04,28.21,28.13,27.91,26.29,26.02,25.66,25.52,23.95,23.56,25.74
41.0612,14.8511,T2M,1993,23.03,23.89,25.28,27.35,28.38,28.39,26.55,25.91,25.65,25.19,25.07,24.07,25.74
41.0612,14.8511,T2M,1994,23.57,24.01,25.1,27.16,28.07,26.92,25.53,26.06,25.77,25.32,24.31,23.81,25.48
41.0612,14.8511,T2M,1995,23.34,23.64,24.99,27.3,27.39,27.39,26.39,26.29,26.18,25.87,25.37,23.32,25.63
41.0612,14.8511,T2M,1996,23.07,23.13,25.3,26.06,27.27,26.72,26.41,26.32,26.26,26.15,25.3,23.07,25.43
41.0612,14.8511,T2M,1997,22.43,23.74,24.63,27.39,27.31,27.24,25.98,25.73,25.86,26.08,25.3,24.24,25.5
41.0612,14.8511,T2M,1998,24.46,25.86,26.41,28.43,28.45,28.14,27.36,26.77,26.42,26.1,25.68,25.18,26.61
41.0612,14.8511,T2M,1999,24.19,23,25.31,26.11,26.7,26.11,25.9,25.55,25.62,25.66,24.8,24.11,25.27
41.0612,14.8511,T2M,2000,23.52,24.13,25.12,26.7,26.87,26.41,25.63,26,25.62,25.67,25.33,24.78,25.48
