LAT,LON,PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
45.9295,11.5621,T2M,1981,8.94,10.13,13.15,15.15,18.34,24.49,25.47,25.31,23.68,21.56,14.51,14.1,17.95
45.9295,11.5621,T2M,1982,10.13,8.48,10.83,13.95,17.86,23.25,25.53,25.96,23.83,19.77,14.49,12.36,17.26
45.9295,11.5621,T2M,1983,9.61,8.72,10.99,15.53,19.82,22.05,25.63,25.14,22.69,18.21,14,12.17,17.1
45.9295,11.5621,T2M,1984,11.36,10.67,11.32,13.74,19.02,22.78,24.91,24.66,23.93,21.12,15.62,11.75,17.6
45.9295,11.5621,T2M,1985,11.17,9.24,11.36,15.98,20.7,24.58,25.45,26,22.79,17.39,16.3,13.19,17.9
45.9295,11.5621,T2M,1986,11.68,11.37,11.56,16.44,19.22,23.67,26.1,26.34,23.37,18.72,13.48,10.91,17.77
45.9295,11.5621,T2M,1987,11.11,10.77,8.51,13.73,17.7,23.69,26.19,26.03,24.45,18.04,15.58,12.18,17.36
45.9295,11.5621,T2M,1988,11.74,10.67,11.89,14.42,19.63,24.42,27.74,26.32,23.99,18.57,13.14,11.43,17.86
45.9295,11.5621,T2M,1989,9.02,10.72,13.04,16.69,18.51,23.05,25.5,26.01,23.63,18.01,14.78,11.88,17.6
45.9295,11.5621,T2M,1990,9.69,11.19,13.63,16.06,19.57,23.61,26.17,25.25,23.33,19.53,17.11,13.09,18.22
45.9295,11.5621,T2M,1991,10.24,10.28,12.28,14.48,17.69,23.53,25.3,25.51,23.15,19.68,15.67,8.9,17.26
45.9295,11.5621,T2M,1992,9.89,9.25,11.62,15.38,17.61,23.01,24.85,25.96,22.47,21.33,16.42,10.76,17.4
45.9295,11.5621,T2M,1993,10.1,8.64,11.56,14.81,18.97,24.18,25.87,25.85,23.63,20.96,14.26,13.49,17.75
45.9295,11.5621,T2M,1994,11.89,10.9,12.49,15.63,20.32,23.53,25.83,27.17,25.7,21.1,14.86,11.95,18.49
45.9295,11.5621,T2M,1995,11.23,12.21,12.16,14.55,19.05,25.05,26.28,26.17,23.86,17.83,13.66,12.63,17.92
45.9295,11.5621,T2M,1996,9.61,10.22,9.62,13.85,20.61,23.5,25.78,26.09,23.2,17.94,15.8,13.05,17.46
45.9295,11.5621,T2M,1997,11.46,10.81,11.18,12.69,19.28,24.35,26.6,25.37,21.67,18.56,15.15,12.16,17.48
45.9295,11.5621,T2M,1998,10.93,11.56,10.26,15.2,18.39,23.84,26.86,26.78,23.51,20.64,16.53,10.91,17.98
45.9295,11.5621,T2M,1999,10.82,10.7,13.02,15.59,20.25,25.1,26.64,27.18,24.26,21.23,16.25,14.36,18.83
45.9295,11.5621,T2M,2000,8.4,10.65,12.14,16.45,20.02,23.63,27.22,25.99,23.7,18.89,17.66,13.26,18.19
45.9295,11.5621,T2M,2001,11.88,11.53,14.84,15.21,19.05,23.93,27.37,26.97,24.78,20.61,15.34,9.57,18.46
45.9295,11.5621,T2M,2002,9.54,12.58,13.1,14.77,19.16,23.91,27.51,26.8,23.54,20.27,17.01,11.85,18.37
45.9295,11.5621,T2M,2003,12.25,7.25,10.23,13.19,19.92,24.63,27.19,27.25,23.27,20.67,16.15,12.14,17.92
45.9295,11.5621,T2M,2004,9.71,10.65,12.23,14.71,18.15,23.88,26.1,26.75,23.26,20.84,16.08,13.34,18
45.9295,11.5621,T2M,2005,11.09,9.87,12.5,14.65,19.64,22.91,26.74,26.98,23.8,18.64,15.1,12.71,17.94
45.9295,11.5621,T2M,2006,8.73,10.29,12.31,15.21,19.22,23.87,25.12,27.76,23.13,19.23,14.43,11.9,17.64
45.9295,11.5621,T2M,2007,12.01,10.95,12.55,15.17,20.03,25.72,27.7,27.48,23.72,19.97,15.38,11.4,18.55
45.9295,11.5621,T2M,2008,10.2,10.44,14.05,15.51,19.58,24.63,26.9,27.08,23.38,19.79,16.62,12.98,18.45
45.9295,11.5621,T2M,2009,12.05,10.35,12.31,14.79,20.02,24.33,27.35,26.15,22.89,20.37,16.74,14.41,18.53
45.9295,11.5621,T2M,2010,11.24,12.59,13.3,15.93,20.4,24.24,27.28,28.68,24.57,19.46,18.31,13.97,19.2
45.9295,11.5621,T2M,2011,11.47,11.2,11.79,13.97,18.35,23.74,27.35,26.79,25.05,18.14,12.98,12.82,17.85
45.9295,11.5621,T2M,2012,8.87,9.87,12.37,16.15,20.32,25.34,28.45,28.11,24.78,22.34,17.75,12.94,18.97
45.9295,11.5621,T2M,2013,11.77,12.19,13.39,16.16,21.2,24.24,26.58,26.85,24.75,19.57,17.31,11.76,18.85
45.9295,11.5621,T2M,2014,12.98,12.5,13.18,15.83,19.6,24.19,26.81,27.81,24.41,19.59,15.9,13.91,18.93
45.9295,11.5621,T2M,2015,11.01,10.57,12.19,14.68,20.08,23.19,26.64,27.35,25.03,19.93,17.3,12.52,18.42
45.9295,11.5621,T2M,2016,11.53,13.57,13.22,17.55,19.74,25.36,27.19,27.02,23.87,20.07,16.23,10.46,18.83
