-BEGIN HEADER-
NASA/POWER SRB/FLASHFlux/MERRA2/GEOS 5.12.4 (FP-IT) 0.5 x 0.5 Degree Interannual Averages/Sums 
Dates (month/day/year): 01/01/1981 through 12/31/2019 
Location: Latitude  48.2492   Longitude 7.4075 
Elevation from MERRA-2: Average for 1/2x1/2 degree lat/lon region = 372.11 meters   Site = na 
Climate zone: na (reference Briggs et al: http://www.energycodes.gov) 
Value for missing model data cannot be computed or out of model availability range: -999 
Parameter(s): 
RH2M MERRA2 1/2x1/2 Relative Humidity at 2 Meters (%) 
T2M MERRA2 1/2x1/2 Temperature at 2 Meters (C) 
-END HEADER-
LAT,LON,PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
48.24919,7.40748,T2M,1981,   -2.68,   -1.23,    6.74,    8.99,   12.46,   15.47,   16.75,   17.32,   14.64,    8.35,    3.39,   -0.91,    8.33
48.24919,7.40748,T2M,1982,   -0.61,    0.95,    3.73,    6.58,   12.78,   16.68,   19.17,   16.91,   16.22,    9.05,    5.41,    1.32,    9.06
48.24919,7.40748,T2M,1983,    1.79,   -2.17,    4.25,    8.29,   10.53,   16.74,   20.92,   18.27,   13.86,    8.93,    2.99,   -0.13,    8.76
48.24919,7.40748,T2M,1984,   -0.37,   -0.78,    2.22,    6.77,    9.87,   14.59,   17.00,   17.36,   12.68,    9.80,    6.00,    0.88,    8.03
48.24919,7.40748,T2M,1985,   -6.54,   -1.17,    2.45,    7.77,   12.96,   14.06,   18.40,   17.03,   15.13,    9.23,    0.37,    1.68,    7.67
48.24919,7.40748,T2M,1986,   -0.36,   -5.99,    2.90,    5.92,   14.18,   16.53,   17.68,   17.02,   13.10,   10.67,    4.91,    0.91,    8.22
48.24919,7.40748,T2M,1987,   -5.59,    0.23,    0.86,    9.36,   10.07,   14.57,   17.91,   17.06,   16.35,   10.22,    3.94,    0.87,    8.02
48.24919,7.40748,T2M,1988,    3.20,    1.25,    3.28,    8.99,   14.39,   15.86,   17.42,   18.13,   13.66,   10.40,    2.66,    2.06,    9.31
48.24919,7.40748,T2M,1989,    0.89,    2.59,    7.43,    7.04,   14.32,   15.58,   18.74,   18.28,   14.72,   10.53,    2.59,    1.92,    9.61
48.24919,7.40748,T2M,1990,    0.78,    5.58,    6.54,    7.04,   14.83,   15.97,   18.78,   20.09,   13.55,   11.36,    3.60,   -1.67,    9.73
