LAT,LON,PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
41.4109,4.9598,T2M,1981,-5.09,-2.68,4.59,5.72,13.5,17.09,17.67,17.11,14.28,8.58,1.73,-5.37,7.32
41.4109,4.9598,T2M,1982,-7.03,-3.96,2.9,4.72,13.32,16.72,19.2,19.53,17.15,9.77,4.09,-0.33,8.08
41.4109,4.9598,T2M,1983,0.93,-4.51,3.38,9.88,14.91,16.85,20.93,19.34,15.43,9.01,1.32,-2.14,8.86
41.4109,4.9598,T2M,1984,-1.89,-2.33,0.87,7.46,12.85,15.12,16.42,18.73,13.71,9.91,2.85,-2.3,7.65
41.4109,4.9598,T2M,1985,-9.47,-8,2.43,7.45,14.46,14.14,18.03,17.31,12.88,7.65,-1.18,0.73,6.47
41.4109,4.9598,T2M,1986,-2.91,-8.51,1.79,8.95,14.97,16.34,18.3,18.28,12,8.66,3.88,-2.3,7.55
41.4109,4.9598,T2M,1987,-11.83,-2.61,-2.78,7.01,11.11,16,18.62,15.72,15.01,9.34,3.09,-0.9,6.51
41.4109,4.9598,T2M,1988,0.72,0.41,0.42,6.93,14.16,16.14,19.93,19,14.05,8.66,-1.24,-0.75,8.24
41.4109,4.9598,T2M,1989,-1.11,1.94,5.2,9.28,13.43,15.23,18.84,18.48,15.04,9.57,1.03,-0.86,8.88
41.4109,4.9598,T2M,1990,-1.13,3.1,6.31,7.43,14.08,16.65,18.08,19.21,11.5,8.63,3.42,-3.51,8.68
41.4109,4.9598,T2M,1991,-1.99,-5.18,4.56,6.83,9.64,15.66,19.86,18.39,15.02,7.69,2.27,-3.64,7.5
41.4109,4.9598,T2M,1992,-2.85,-0.45,2.58,7.07,12.82,18.52,21.07,23.6,14.25,6.29,2.31,-4.67,8.4
41.4109,4.9598,T2M,1993,-2.17,-3.4,0.52,7.87,16,16.44,17.76,18.36,13.38,8.53,-0.89,0.08,7.78
41.4109,4.9598,T2M,1994,0.74,-2.23,4.45,8.42,12.59,16.26,22.61,19.98,15.46,6.44,3.02,-0.51,9.01
41.4109,4.9598,T2M,1995,-3.45,1.72,1.88,7.44,12.14,16.38,20.67,19.28,13.04,10.24,-0.46,-5.16,7.85
41.4109,4.9598,T2M,1996,-7.36,-7.09,-1.49,7.1,14.14,17.05,16.88,18.07,9.83,8.66,4.51,-7.12,6.13
41.4109,4.9598,T2M,1997,-8.23,-0.81,2.2,3.99,13.63,16.86,17.48,18.27,13.08,5.74,1.9,-1.31,6.94
41.4109,4.9598,T2M,1998,-0.68,1.61,1.02,9.25,13.63,17.65,18.24,18.04,13.61,7.72,-1.11,-4.14,7.93
41.4109,4.9598,T2M,1999,-1.6,-2.81,3.45,8.9,12.96,16.78,19.33,18,16.85,8.06,0.44,-1.88,8.27
41.4109,4.9598,T2M,2000,-4.83,0.8,2.68,11.18,15.03,18.05,16.92,18.83,12.83,12.48,6.5,0.13,9.23
41.4109,4.9598,T2M,2001,-3.98,-1.15,2.08,6.85,14.42,14.75,19.35,19.33,11.93,11.22,0.5,-7.19,7.4
41.4109,4.9598,T2M,2002,-4.73,2.53,4.1,7.73,16.72,17.82,20.78,20.97,13.41,6.84,4.63,-5.34,8.82
41.4109,4.9598,T2M,2003,-4.39,-6.19,2.02,6.5,15.7,19.61,20.35,21.21,14.87,5.17,4.95,-0.76,8.33
41.4109,4.9598,T2M,2004,-6.22,-1.57,1.72,8.42,12.06,16.07,18.61,19.74,14.45,10.31,3.27,-0.97,8.02
41.4109,4.9598,T2M,2005,-1.34,-5.75,-0.7,8.67,13.53,16.5,19.84,17.61,15.41,9.81,1.77,-3.23,7.76
41.4109,4.9598,T2M,2006,-9.5,-5.17,-1.7,8.81,13.16,17.51,23.06,17.52,16.78,11.02,5.76,1.71,8.31
41.4109,4.9598,T2M,2007,1.94,1.1,5.08,9.48,15.18,19.56,20.43,20.09,12.53,7.63,0.58,-2.44,9.32
41.4109,4.9598,T2M,2008,0.08,1.57,3.25,8.65,13.83,18.75,19.62,19.3,13.09,9.56,4.9,0.08,9.41
41.4109,4.9598,T2M,2009,-4.64,-2.19,1.97,11.07,13.66,16.14,19.89,19.82,16.34,7.17,4.88,-1.3,8.62
41.4109,4.9598,T2M,2010,-9.23,-4,2.3,8.25,12.09,16.5,20.47,18.71,12.16,5.51,5.62,-6.72,6.85
41.4109,4.9598,T2M,2011,-2.06,-3.08,2.85,10.18,13.62,18.29,17.59,19.12,16.17,8.61,2.08,0.63,8.73
41.4109,4.9598,T2M,2012,-2.43,-7.35,3.94,8.63,15.51,18,21.64,20.82,15.27,8.32,5.09,-3.19,8.74
41.4109,4.9598,T2M,2013,-4.9,-1.88,-1.48,7.7,13.69,17.34,19.81,19.96,12.67,10.05,4.17,0.27,8.17
41.4109,4.9598,T2M,2014,-0.64,1.9,6.23,10.6,13.72,17.03,21.16,17.76,15.17,9.95,5.49,-0.12,9.89
41.4109,4.9598,T2M,2015,-0.62,-1.36,3.78,7.87,13.1,17.5,21.91,23.77,15.68,8.09,5.06,2.28,9.83
41.4109,4.9598,T2M,2016,-3.18,2.41,3.46,8.43,14.43,19.01,20.11,18.42,16.98,7.1,2.67,-1.71,9.02
41.4109,4.9598,T2M,2017,-6.93,-0.91,5.25,6.67,13.6,18.69,19.83,20.98,13.61,9.32,3.26,0.06,8.68
41.4109,4.9598,T2M,2018,0.11,-3.81,0.15,12.98,16.85,19.08,20.79,22.02,16.43,11,4.38,-0.36,10.05
41.4109,4.9598,T2M,2019,-3.67,0.77,5.25,9.55,12.12,21.96,20.34,21.31,14.9,10.62,6.57,1.54,10.15
41.4109,4.9598,RH2M,1981,89.68,90.04,87.68,78.87,77.85,75.92,73.69,73.2,78.64,85.2,91.96,93.46,82.98
41.4109,4.9598,RH2M,1982,90.61,90.98,84.46,80.46,75.47,72.04,68.85,62.52,65.38,78.33,86.61,92.77,78.97
41.4109,4.9598,RH2M,1983,91.16,90.77,84.89,78.44,75.12,67.83,57.01,58.38,59.69,74.15,84.87,88.91,75.85
41.4109,4.9598,RH2M,1984,88.05,85.75,76.85,73.76,76.25,69.08,67.93,61.85,75.33,83.24,87.57,90.74,78.01
41.4109,4.9598,RH2M,1985,88.39,86.23,86.27,78.28,78.09,77.98,70.06,79.87,78.12,83.98,89.66,93.44,82.52
41.4109,4.9598,RH2M,1986,90.62,85.79,85.36,78.53,71.86,71.51,62.23,69.54,75.35,74.97,89.86,90.55,78.79
41.4109,4.9598,RH2M,1987,87.84,89.18,81.93,79.94,77.04,79.09,72.6,72.49,73.32,76.62,92.09,92.35,81.14
41.4109,4.9598,RH2M,1988,93.22,89.55,86.93,74.32,73.69,73.32,62.8,61.52,76.3,73.34,86.51,92.31,78.6
