-BEGIN HEADER-
NASA/POWER SRB/FLASHFlux/MERRA2/GEOS 5.12.4 (FP-IT) 0.5 x 0.5 Degree Interannual Averages/Sums 
Dates (month/day/year): 01/01/1981 through 12/31/2019 
Location: Latitude  45.3462   Longitude 4.8815 
Elevation from MERRA-2: Average for 1/2x1/2 degree lat/lon region = 517.73 meters   Site = na 
Climate zone: na (reference Briggs et al: http://www.energycodes.gov) 
Value for missing model data cannot be computed or out of model availability range: -999 
Parameter(s): 
RH2M MERRA2 1/2x1/2 Relative Humidity at 2 Meters (%) 
T2M MERRA2 1/2x1/2 Temperature at 2 Meters (C) 
-END HEADER-
LAT,LON,PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
45.34621,4.8815,T2M,1981,   -1.36,   -0.40,    7.00,    9.41,   11.69,   15.44,   17.17,   18.52,   15.71,    9.97,    4.03,    1.31,    9.10
45.34621,4.8815,T2M,1982,    3.27,    2.81,    3.88,    7.25,   13.11,   17.59,   21.34,   17.99,   16.95,    9.73,    6.26,    1.63,   10.19
45.34621,4.8815,T2M,1983,    2.19,   -0.80,    4.84,    8.01,   11.24,   16.52,   22.26,   19.11,   15.89,   10.13,    5.39,    1.69,    9.77
45.34621,4.8815,T2M,1984,    0.95,    0.34,    3.09,    7.59,    9.71,   15.36,   19.34,   18.12,   13.79,   10.08,    7.52,    2.09,    9.02
45.34621,4.8815,T2M,1985,   -4.77,    2.35,    2.79,    8.33,   11.51,   15.06,   19.76,   18.47,   17.52,   11.59,    1.45,    2.64,    8.93
45.34621,4.8815,T2M,1986,    0.25,   -2.18,    4.21,    6.11,   14.18,   16.89,   19.75,   19.56,   16.04,   12.25,    5.82,    1.63,    9.62
45.34621,4.8815,T2M,1987,   -4.17,    1.30,    3.03,    9.48,   10.73,   15.18,   19.35,   19.71,   18.66,   11.92,    4.79,    3.18,    9.47
45.34621,4.8815,T2M,1988,    3.88,    2.04,    3.95,    9.42,   13.50,   15.76,   18.68,   19.81,   15.27,   11.92,    3.71,    1.88,   10.02
45.34621,4.8815,T2M,1989,    1.91,    3.65,    7.24,    7.36,   14.66,   16.76,   21.20,   20.53,   16.02,   11.11,    5.13,    3.49,   10.81
45.34621,4.8815,T2M,1990,    2.15,    6.85,    6.94,    7.47,   16.11,   17.43,   21.41,   21.42,   15.65,   12.64,    4.65,   -1.16,   10.99
45.34621,4.8815,T2M,1991,    1.14,    1.00,    7.82,    7.64,   10.90,   17.34,   22.26,   22.36,   18.12,    9.23,    4.43,    0.06,   10.25
45.34621,4.8815,T2M,1992,   -0.62,    2.09,    5.77,    8.63,   14.22,   15.16,   19.49,   21.92,   15.44,    8.06,    6.79,    2.81,   10.01
45.34621,4.8815,T2M,1993,    2.74,    1.09,    4.34,    9.12,   13.64,   17.36,   18.04,   19.96,   14.07,    9.16,    2.54,    2.57,    9.61
