-BEGIN HEADER-
NASA/POWER SRB/FLASHFlux/MERRA2/GEOS 5.12.4 (FP-IT) 0.5 x 0.5 Degree Interannual Averages/Sums 
Dates (month/day/year): 01/01/1981 through 12/31/2019 
Location: Latitude  44.8152   Longitude 4.3987 
Elevation from MERRA-2: Average for 1/2x1/2 degree lat/lon region = 704.79 meters   Site = na 
Climate zone: na (reference Briggs et al: http://www.energycodes.gov) 
Value for missing model data cannot be computed or out of model availability range: -999 
Parameter(s): 
RH2M MERRA2 1/2x1/2 Relative Humidity at 2 Meters (%) 
T2M MERRA2 1/2x1/2 Temperature at 2 Meters (C) 
-END HEADER-
LAT,LON,PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
44.8152,4.39866,T2M,1981,   -0.88,   -0.26,    6.22,    8.66,   10.75,   15.32,   17.17,   18.87,   15.28,    9.25,    4.38,    1.05,    8.87
44.8152,4.39866,T2M,1982,    2.93,    2.66,    3.13,    6.70,   12.48,   16.91,   21.24,   17.43,   16.13,    9.11,    5.66,    1.37,    9.68
44.8152,4.39866,T2M,1983,    2.07,   -1.20,    4.50,    6.87,   10.19,   15.62,   21.81,   18.56,   15.48,   10.03,    5.34,    1.75,    9.32
44.8152,4.39866,T2M,1984,    0.60,   -0.04,    2.16,    7.11,    8.62,   14.68,   18.89,   17.48,   13.10,    9.77,    6.67,    1.90,    8.44
44.8152,4.39866,T2M,1985,   -4.47,    2.34,    2.16,    7.52,   10.51,   14.37,   19.70,   18.45,   17.68,   11.28,    1.37,    2.59,    8.66
44.8152,4.39866,T2M,1986,   -0.11,   -3.03,    3.75,    5.18,   13.22,   16.30,   19.66,   19.18,   15.82,   11.50,    5.52,    1.57,    9.13
44.8152,4.39866,T2M,1987,   -3.88,    1.05,    2.29,    8.41,    9.96,   14.60,   18.84,   19.79,   18.10,   10.83,    4.21,    3.25,    8.99
44.8152,4.39866,T2M,1988,    3.24,    1.43,    3.49,    8.34,   12.35,   14.83,   18.59,   19.74,   15.09,   11.37,    3.45,    1.84,    9.51
44.8152,4.39866,T2M,1989,    2.06,    3.33,    6.51,    6.42,   13.85,   16.63,   20.87,   20.08,   15.18,   10.42,    4.79,    3.50,   10.36
44.8152,4.39866,T2M,1990,    2.01,    6.06,    6.40,    6.93,   14.98,   16.60,   20.90,   20.49,   15.19,   11.73,    4.25,   -1.19,   10.39
44.8152,4.39866,T2M,1991,    0.78,    0.47,    6.85,    6.72,   10.30,   16.61,   21.67,   21.64,   17.18,    8.40,    4.01,    0.37,    9.64
44.8152,4.39866,T2M,1992,   -0.14,    1.97,    5.32,    8.06,   13.46,   14.13,   18.73,   20.97,   14.87,    7.66,    6.60,    2.77,    9.56
44.8152,4.39866,T2M,1993,    2.63,    1.16,    3.78,    8.01,   12.54,   16.52,   17.51,   19.99,   13.41,    8.67,    2.63,    2.24,    9.14
44.8152,4.39866,T2M,1994,    1.25,    1.72,    7.31,    6.12,   12.46,   16.06,   22.18,   21.48,   13.73,    9.55,    7.90,    2.62,   10.26
44.8152,4.39866,T2M,1995,    0.18,    4.25,    3.13,    7.59,   11.70,   15.18,   21.31,   19.12,   12.09,   12.54,    4.02,    1.82,    9.45
44.8152,4.39866,T2M,1996,    3.57,   -0.60,    2.99,    7.49,   11.17,   16.22,   17.65,   17.13,   11.87,    9.33,    4.13,    2.16,    8.63
44.8152,4.39866,T2M,1997,    0.66,    3.66,    6.89,    7.45,   13.03,   15.62,   18.13,   20.97,   17.00,   10.70,    6.21,    2.02,   10.23
44.8152,4.39866,T2M,1998,    1.82,    3.54,    4.63,    6.86,   12.75,   16.16,   19.72,   20.01,   14.17,    9.08,    2.05,    0.97,    9.35
44.8152,4.39866,T2M,1999,    1.89,    0.41,    5.23,    7.64,   14.04,   15.32,   19.91,   19.42,   16.48,   10.59,    2.40,    1.26,    9.62
44.8152,4.39866,T2M,2000,    0.17,    3.42,    4.83,    8.00,   13.66,   16.57,   16.93,   20.17,   15.76,    9.40,    5.05,    4.03,    9.85
44.8152,4.39866,T2M,2001,    1.95,    2.01,    6.98,    6.40,   13.31,   15.90,   19.16,   20.17,   12.49,   12.83,    2.79,   -1.23,    9.46
44.8152,4.39866,T2M,2002,    1.48,    3.76,    6.00,    8.64,   11.56,   18.60,   19.37,   18.65,   13.08,   10.08,    6.97,    3.49,   10.17
44.8152,4.39866,T2M,2003,   -0.80,   -0.69,    5.50,    8.31,   13.55,   21.78,   21.78,   24.54,   14.76,    8.49,    6.13,    2.09,   10.52
44.8152,4.39866,T2M,2004,    0.71,    1.30,    3.12,    7.08,   11.30,   17.01,   19.32,   18.74,   15.64,   12.05,    3.92,    1.66,    9.35
44.8152,4.39866,T2M,2005,    0.57,   -1.38,    4.00,    7.86,   12.76,   18.57,   20.13,   17.85,   15.07,   11.77,    3.84,   -1.57,    9.19
44.8152,4.39866,T2M,2006,   -0.56,    0.02,    3.83,    8.47,   12.33,   17.77,   23.13,   16.61,   16.74,   12.63,    7.09,    2.67,   10.12
44.8152,4.39866,T2M,2007,    2.99,    3.74,    4.69,   12.15,   13.19,   16.54,   18.00,   17.88,   13.77,    9.39,    3.49,    1.24,    9.79
44.8152,4.39866,T2M,2008,    2.76,    3.74,    3.60,    7.42,   13.25,   15.87,   18.20,   18.27,   13.24,    9.76,    4.45,   -0.13,    9.22
44.8152,4.39866,T2M,2009,   -0.73,    0.84,    4.07,    8.99,   13.93,   16.95,   20.16,   21.28,   15.67,   10.25,    6.85,    1.12,   10.00
44.8152,4.39866,T2M,2010,   -2.03,   -0.17,    2.97,    8.69,   10.40,   15.60,   20.56,   18.81,   14.15,    9.02,    4.29,   -0.68,    8.52
