-BEGIN HEADER-
NASA/POWER SRB/FLASHFlux/MERRA2/GEOS 5.12.4 (FP-IT) 0.5 x 0.5 Degree Interannual Averages/Sums 
Dates (month/day/year): 01/01/1981 through 12/31/2019 
Location: Latitude  42.4794   Longitude 3.1276 
Elevation from MERRA-2: Average for 1/2x1/2 degree lat/lon region = 87.1 meters   Site = na 
Climate zone: na (reference Briggs et al: http://www.energycodes.gov) 
Value for missing model data cannot be computed or out of model availability range: -999 
Parameter(s): 
RH2M MERRA2 1/2x1/2 Relative Humidity at 2 Meters (%) 
T2M MERRA2 1/2x1/2 Temperature at 2 Meters (C) 
-END HEADER-
LAT,LON,PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
42.47942,3.1276,T2M,1981,    7.95,    8.07,   12.39,   13.46,   15.69,   20.54,   21.46,   23.20,   21.16,   16.93,   13.05,   10.07,   15.37
42.47942,3.1276,T2M,1982,   10.35,   10.10,   10.29,   13.13,   15.80,   20.72,   24.16,   22.06,   20.33,   16.00,   12.69,    9.85,   15.49
42.47942,3.1276,T2M,1983,    9.65,    8.07,   11.08,   12.99,   15.90,   20.00,   24.72,   22.92,   21.36,   17.24,   13.76,    9.98,   15.69
42.47942,3.1276,T2M,1984,    8.91,    8.28,    9.67,   12.67,   14.07,   18.98,   22.48,   21.78,   18.95,   15.65,   13.87,    9.80,   14.61
42.47942,3.1276,T2M,1985,    5.15,   10.61,    9.77,   13.86,   15.17,   19.70,   23.87,   22.57,   21.77,   18.16,   10.34,   10.17,   15.12
42.47942,3.1276,T2M,1986,    8.43,    7.39,   10.74,   11.38,   17.67,   19.77,   23.15,   23.32,   21.29,   17.52,   12.97,    9.62,   15.32
42.47942,3.1276,T2M,1987,    6.62,    8.82,   10.03,   13.52,   14.94,   18.98,   22.92,   23.42,   22.97,   17.98,   12.41,   11.25,   15.36
42.47942,3.1276,T2M,1988,   10.64,    9.16,   10.55,   13.29,   16.52,   19.79,   23.00,   23.65,   20.31,   17.56,   12.59,    9.32,   15.56
42.47942,3.1276,T2M,1989,    9.38,   10.49,   12.21,   12.46,   17.56,   20.71,   23.88,   24.21,   20.07,   16.90,   13.56,   11.70,   16.13
42.47942,3.1276,T2M,1990,   10.04,   12.33,   12.22,   13.00,   18.30,   20.42,   23.35,   24.08,   21.08,   17.35,   12.20,    7.70,   16.03
42.47942,3.1276,T2M,1991,    9.02,    8.65,   12.33,   12.11,   14.71,   19.42,   23.59,   24.27,   22.37,   15.28,   11.61,    9.82,   15.31
42.47942,3.1276,T2M,1992,    8.26,    9.36,   11.27,   13.38,   17.55,   18.16,   22.32,   24.25,   20.09,   15.15,   13.75,   10.26,   15.34
42.47942,3.1276,T2M,1993,    9.71,    8.85,   10.81,   13.08,   17.03,   20.45,   21.51,   23.09,   19.36,   15.32,   11.52,   10.36,   15.13
42.47942,3.1276,T2M,1994,    8.99,    9.56,   12.82,   12.01,   17.30,   20.44,   24.93,   25.30,   19.80,   16.20,   14.57,   10.83,   16.11
42.47942,3.1276,T2M,1995,    8.52,   11.23,   10.73,   13.46,   16.40,   19.33,   24.19,   23.68,   18.64,   18.19,   13.16,   10.83,   15.73
42.47942,3.1276,T2M,1996,   11.02,    8.30,   10.52,   13.31,   16.25,   20.53,   22.43,   22.62,   18.46,   15.53,   12.18,   10.32,   15.15
42.47942,3.1276,T2M,1997,    9.45,   11.19,   13.05,   13.80,   16.88,   19.76,   21.67,   24.01,   21.11,   17.97,   13.81,   10.30,   16.11
42.47942,3.1276,T2M,1998,    9.87,   10.88,   11.85,   12.95,   17.05,   20.28,   23.47,   23.69,   20.06,   16.32,   11.01,    9.35,   15.60
42.47942,3.1276,T2M,1999,    9.63,    8.46,   11.78,   13.60,   17.51,   20.16,   22.97,   23.92,   21.76,   17.62,   10.94,    9.21,   15.68
42.47942,3.1276,T2M,2000,    8.30,   10.75,   11.61,   13.25,   17.56,   20.32,   21.62,   23.51,   20.89,   16.27,   12.98,   11.79,   15.75
42.47942,3.1276,T2M,2001,   10.09,    9.64,   13.59,   12.89,   17.25,   20.93,   22.94,   24.11,   19.27,   18.76,   11.29,    8.25,   15.80
42.47942,3.1276,T2M,2002,    9.95,   10.42,   12.33,   13.86,   15.68,   21.01,   22.15,   21.74,   19.71,   17.30,   13.77,   11.20,   15.79
42.47942,3.1276,T2M,2003,    8.27,    8.28,   12.07,   13.83,   17.55,   23.78,   24.85,   26.85,   20.64,   15.92,   13.57,   10.28,   16.37
42.47942,3.1276,T2M,2004,    9.38,    9.21,   10.26,   12.76,   15.70,   20.87,   22.38,   23.77,   20.86,   18.44,   11.62,   10.05,   15.46
42.47942,3.1276,T2M,2005,    8.48,    6.88,   10.26,   13.30,   17.38,   22.28,   23.74,   22.29,   20.34,   17.79,   12.34,    7.69,   15.28
42.47942,3.1276,T2M,2006,    8.81,    8.49,   11.39,   14.07,   17.50,   20.74,   26.18,   22.60,   21.33,   18.99,   15.08,   10.88,   16.39
42.47942,3.1276,T2M,2007,   10.67,   11.32,   11.37,   15.27,   17.52,   20.88,   22.61,   22.40,   19.78,   16.40,   11.36,    9.83,   15.81
42.47942,3.1276,T2M,2008,   10.76,   11.07,   11.04,   13.66,   16.98,   20.62,   23.26,   23.51,   20.01,   16.68,   11.77,    9.13,   15.72
42.47942,3.1276,T2M,2009,    8.59,    8.99,   11.32,   13.18,   17.88,   21.77,   23.59,   24.97,   21.22,   17.65,   14.05,    9.64,   16.11
42.47942,3.1276,T2M,2010,    7.60,    8.44,   10.03,   14.03,   15.76,   20.30,   24.54,   23.47,   20.13,   15.79,   11.68,    8.53,   15.06
42.47942,3.1276,T2M,2011,    8.63,    9.92,   11.43,   15.46,   18.43,   20.13,   21.59,   23.62,   22.09,   18.29,   15.02,   11.12,   16.34
42.47942,3.1276,T2M,2012,    9.51,    5.69,   12.20,   12.94,   17.43,   21.58,   22.74,   24.89,   20.44,   17.54,   13.02,   10.06,   15.71
42.47942,3.1276,T2M,2013,    8.96,    7.74,   10.98,   12.98,   15.02,   19.35,   24.37,   23.74,   20.97,   18.64,   11.82,   10.28,   15.46
42.47942,3.1276,T2M,2014,   10.54,   10.64,   11.93,   15.12,   16.62,   21.71,   22.70,   22.69,   21.93,   19.55,   15.41,    9.92,   16.59
42.47942,3.1276,T2M,2015,    9.39,    8.09,   11.62,   14.22,   17.96,   22.48,   25.52,   23.54,   20.01,   16.67,   14.27,   12.59,   16.42
42.47942,3.1276,T2M,2016,   10.97,   10.70,   10.91,   13.51,   16.29,   20.76,   24.01,   23.73,   22.33,   17.28,   13.57,   11.62,   16.32
42.47942,3.1276,T2M,2017,    8.06,   11.36,   13.20,   14.33,   17.69,   22.97,   23.62,   24.11,   19.41,   18.07,   12.01,    9.09,   16.19
42.47942,3.1276,T2M,2018,   11.00,    7.49,   11.12,   14.75,   16.97,   21.41,   24.87,   24.98,   22.13,   17.40,   13.97,   12.11,   16.57
42.47942,3.1276,T2M,2019,    8.19,   10.73,   12.37,   13.40,   15.76,   20.65,   25.27,   24.46,   21.30,   18.58,   12.53,   12.21,   16.33
42.47942,3.1276,RH2M,1981,   74.03,   73.76,   78.06,   77.77,   75.46,   65.53,   68.03,   66.05,   71.75,   74.54,   72.25,   75.36,   72.72
42.47942,3.1276,RH2M,1982,   81.24,   81.68,   74.87,   73.24,   74.93,   73.42,   68.61,   70.59,   74.35,   76.11,   79.99,   78.73,   75.60
42.47942,3.1276,RH2M,1983,   73.64,   75.82,   73.77,   72.99,   71.87,   68.92,   67.20,   68.52,   67.93,   70.68,   83.91,   74.44,   72.44
42.47942,3.1276,RH2M,1984,   76.77,   72.31,   71.09,   71.82,   73.93,   71.57,   65.98,   68.01,   68.80,   74.98,   82.31,   77.70,   72.94
42.47942,3.1276,RH2M,1985,   76.52,   79.22,   70.77,   71.65,   74.87,   73.22,   66.80,   64.45,   64.97,   74.12,   73.21,   75.73,   72.08
42.47942,3.1276,RH2M,1986,   75.86,   78.47,   74.57,   73.42,   70.67,   67.99,   59.39,   64.30,   69.48,   79.55,   77.15,   76.84,   72.26
42.47942,3.1276,RH2M,1987,   77.70,   77.91,   74.41,   76.93,   69.85,   68.66,   69.26,   66.92,   69.48,   80.63,   75.72,   83.31,   74.22
42.47942,3.1276,RH2M,1988,   83.06,   72.59,   70.82,   79.74,   79.29,   73.61,   67.56,   66.75,   69.34,   79.81,   76.16,   74.29,   74.42
42.47942,3.1276,RH2M,1989,   80.03,   73.49,   73.07,   71.79,   71.31,   66.42,   61.05,   64.29,   69.39,   73.96,   79.99,   82.88,   72.30
42.47942,3.1276,RH2M,1990,   76.51,   79.77,   68.49,   71.12,   70.19,   71.18,   64.59,   64.14,   70.92,   77.86,   75.10,   75.38,   72.04
42.47942,3.1276,RH2M,1991,   75.78,   76.34,   80.28,   68.96,   66.77,   67.87,   63.20,   66.38,   70.26,   74.54,   77.29,   76.06,   71.95
42.47942,3.1276,RH2M,1992,   77.16,   75.83,   74.13,   69.39,   72.61,   75.10,   73.49,   72.76,   73.98,   78.50,   80.96,   83.10,   75.59
42.47942,3.1276,RH2M,1993,   78.41,   75.30,   74.61,   77.20,   77.86,   70.97,   66.77,   67.99,   72.54,   77.66,   80.66,   78.79,   74.89
42.47942,3.1276,RH2M,1994,   75.15,   79.58,   74.84,   70.45,   73.27,   64.94,   63.76,   66.06,   70.74,   82.30,   81.28,   78.81,   73.40
42.47942,3.1276,RH2M,1995,   75.56,   76.49,   69.45,   69.13,   69.88,   68.17,   66.11,   64.47,   69.48,   81.02,   72.56,   83.19,   72.12
42.47942,3.1276,RH2M,1996,   85.68,   75.24,   74.68,   75.32,   73.59,   69.49,   66.84,   70.33,   68.23,   74.32,   77.94,   85.52,   74.78
42.47942,3.1276,RH2M,1997,   84.30,   77.57,   69.60,   69.07,   74.38,   75.48,   69.87,   73.07,   71.46,   73.66,   78.80,   78.79,   74.66
42.47942,3.1276,RH2M,1998,   79.35,   75.47,   71.64,   70.98,   71.58,   70.03,   63.28,   63.84,   71.99,   71.74,   71.08,   77.20,   71.49
42.47942,3.1276,RH2M,1999,   77.93,   72.76,   73.18,   71.57,   77.82,   67.96,   68.45,   70.98,   73.14,   75.77,   74.63,   75.20,   73.30
42.47942,3.1276,RH2M,2000,   76.78,   75.30,   71.01,   76.43,   76.03,   72.03,   67.08,   67.62,   70.49,   76.76,   74.86,   80.46,   73.73
42.47942,3.1276,RH2M,2001,   81.49,   72.82,   76.55,   70.06,   71.33,   63.46,   66.59,   65.37,   67.94,   79.70,   73.78,   72.19,   71.80
