-BEGIN HEADER-
NASA/POWER SRB/FLASHFlux/MERRA2/GEOS 5.12.4 (FP-IT) 0.5 x 0.5 Degree Interannual Averages/Sums 
Dates (month/day/year): 01/01/1981 through 12/31/2019 
Location: Latitude  42.9668   Longitude 2.1818 
Elevation from MERRA-2: Average for 1/2x1/2 degree lat/lon region = 894.59 meters   Site = na 
Climate zone: na (reference Briggs et al: http://www.energycodes.gov) 
Value for missing model data cannot be computed or out of model availability range: -999 
Parameter(s): 
T2M MERRA2 1/2x1/2 Temperature at 2 Meters (C) 
RH2M MERRA2 1/2x1/2 Relative Humidity at 2 Meters (%) 
-END HEADER-
LAT,LON,PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
42.96678,2.18177,T2M,1981,    0.87,    1.09,    7.41,    8.21,   10.64,   16.22,   17.12,   19.27,   16.17,   11.06,    7.23,    3.14,    9.92
42.96678,2.18177,T2M,1982,    4.18,    3.79,    3.68,    7.95,   11.76,   16.91,   20.99,   17.97,   15.82,    9.79,    6.03,    2.51,   10.15
42.96678,2.18177,T2M,1983,    3.58,    0.52,    5.43,    7.59,   10.98,   16.73,   22.50,   18.20,   16.96,   11.50,    7.99,    3.32,   10.50
42.96678,2.18177,T2M,1984,    2.30,    1.07,    2.86,    8.06,    8.40,   15.15,   20.26,   17.32,   13.85,   10.41,    7.64,    2.47,    9.17
42.96678,2.18177,T2M,1985,   -3.25,    4.85,    2.82,    8.82,   10.19,   15.88,   21.03,   19.14,   17.81,   12.69,    2.87,    3.46,    9.71
42.96678,2.18177,T2M,1986,    1.28,   -0.36,    4.80,    5.18,   13.98,   16.95,   19.94,   19.78,   16.76,   12.07,    6.30,    2.69,   10.02
42.96678,2.18177,T2M,1987,   -0.67,    2.28,    4.29,    9.45,   10.57,   15.61,   18.90,   20.58,   18.95,   12.08,    5.42,    5.59,   10.30
42.96678,2.18177,T2M,1988,    4.44,    2.29,    4.27,    8.46,   12.23,   15.17,   19.66,   20.11,   16.06,   12.92,    6.35,    2.73,   10.42
42.96678,2.18177,T2M,1989,    3.10,    4.35,    7.45,    6.69,   14.06,   17.36,   21.01,   20.23,   15.03,   11.84,    7.61,    5.66,   11.25
42.96678,2.18177,T2M,1990,    3.61,    7.40,    6.90,    7.11,   14.24,   16.95,   20.87,   20.34,   16.82,   11.89,    5.12,    0.20,   10.98
42.96678,2.18177,T2M,1991,    2.25,    2.22,    7.27,    6.57,    9.85,   16.30,   21.11,   21.96,   17.31,    9.13,    5.32,    2.84,   10.23
42.96678,2.18177,T2M,1992,    1.01,    3.02,    5.21,    8.01,   13.88,   13.17,   19.04,   20.99,   15.82,    8.49,    8.21,    3.49,   10.05
42.96678,2.18177,T2M,1993,    3.69,    1.71,    5.14,    7.74,   12.66,   16.85,   18.45,   20.48,   14.21,    8.83,    4.88,    4.05,    9.95
42.96678,2.18177,T2M,1994,    2.21,    3.18,    8.32,    5.89,   13.50,   16.61,   22.47,   22.08,   14.12,   10.79,    8.60,    4.06,   11.05
42.96678,2.18177,T2M,1995,    1.34,    5.46,    4.30,    8.31,   12.40,   15.29,   21.04,   18.83,   12.84,   13.24,    6.48,    4.15,   10.34
42.96678,2.18177,T2M,1996,    4.43,    0.84,    4.55,    7.92,   11.65,   16.31,   18.88,   17.77,   12.95,    9.89,    5.54,    3.29,    9.54
42.96678,2.18177,T2M,1997,    2.19,    6.12,    8.05,    8.74,   13.38,   15.68,   17.75,   20.15,   16.95,   12.68,    7.04,    3.40,   11.04
42.96678,2.18177,T2M,1998,    2.98,    5.72,    6.41,    6.90,   12.57,   17.21,   20.28,   19.82,   15.36,   10.18,    3.82,    2.45,   10.34
42.96678,2.18177,T2M,1999,    2.38,    1.44,    5.68,    8.13,   14.09,   16.10,   19.73,   20.34,   16.84,   11.78,    3.40,    2.43,   10.26
