-BEGIN HEADER-
NASA/POWER SRB/FLASHFlux/MERRA2/GEOS 5.12.4 (FP-IT) 0.5 x 0.5 Degree Interannual Averages/Sums 
Dates (month/day/year): 01/01/1981 through 12/31/2019 
Location: Latitude  48.6265   Longitude 1.858 
Elevation from MERRA-2: Average for 1/2x1/2 degree lat/lon region = 130.9 meters   Site = na 
Climate zone: na (reference Briggs et al: http://www.energycodes.gov) 
Value for missing model data cannot be computed or out of model availability range: -999 
Parameter(s): 
T2M MERRA2 1/2x1/2 Temperature at 2 Meters (C) 
RH2M MERRA2 1/2x1/2 Relative Humidity at 2 Meters (%) 
-END HEADER-
LAT,LON,PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
48.62651,1.858,T2M,1981,    2.97,    1.64,    8.42,    9.16,   12.02,   14.67,   16.75,   17.54,   15.14,    9.68,    6.02,    2.00,    9.72
48.62651,1.858,T2M,1982,    2.19,    3.99,    5.48,    7.99,   12.59,   16.89,   18.38,   16.97,   16.49,   10.17,    7.31,    3.53,   10.19
48.62651,1.858,T2M,1983,    4.73,    0.84,    6.20,    7.83,   10.70,   16.64,   20.71,   18.01,   14.70,   10.43,    5.45,    2.96,    9.99
48.62651,1.858,T2M,1984,    3.36,    2.30,    4.28,    8.05,    9.88,   15.33,   17.42,   17.60,   13.69,   10.91,    8.50,    3.45,    9.58
48.62651,1.858,T2M,1985,   -2.26,    0.81,    3.94,    8.80,   12.30,   14.41,   17.90,   16.01,   15.74,   10.14,    2.68,    4.06,    8.76
48.62651,1.858,T2M,1986,    2.65,   -3.10,    4.34,    5.94,   12.68,   17.05,   17.69,   16.31,   12.48,   12.72,    7.07,    4.46,    9.28
48.62651,1.858,T2M,1987,   -3.35,    1.84,    3.39,   10.67,   10.89,   14.83,   17.62,   17.56,   16.87,   11.40,    5.83,    3.05,    9.25
48.62651,1.858,T2M,1988,    5.79,    4.03,    6.11,    9.63,   13.71,   15.83,   16.69,   17.85,   14.63,   11.55,    4.82,    5.66,   10.55
48.62651,1.858,T2M,1989,    2.85,    4.78,    8.88,    7.64,   15.31,   16.18,   19.44,   18.74,   15.89,   12.87,    5.15,    3.87,   11.02
48.62651,1.858,T2M,1990,    4.30,    7.91,    7.95,    8.61,   15.50,   16.03,   19.94,   21.51,   15.28,   12.91,    6.41,    2.37,   11.59
48.62651,1.858,T2M,1991,    3.18,    0.00,    8.70,    8.88,   11.82,   15.13,   20.21,   20.94,   17.72,   10.51,    5.68,    1.69,   10.44
48.62651,1.858,T2M,1992,    0.98,    3.67,    7.57,    9.17,   15.43,   16.82,   19.97,   19.96,   14.97,    8.50,    8.42,    3.20,   10.74
48.62651,1.858,T2M,1993,    5.13,    2.25,    6.34,   10.76,   14.06,   17.12,   17.33,   17.19,   13.52,    8.68,    2.45,    5.15,   10.05
48.62651,1.858,T2M,1994,    4.89,    3.68,    8.15,    8.45,   13.04,   16.08,   20.76,   18.42,   13.91,   10.57,    9.51,    5.53,   11.13
48.62651,1.858,T2M,1995,    4.14,    7.02,    5.59,    9.00,   12.79,   15.12,   20.44,   19.74,   13.81,   13.58,    6.20,    1.59,   10.78
48.62651,1.858,T2M,1996,    2.80,    1.42,    5.04,    9.08,   11.07,   17.03,   18.06,   17.84,   13.20,   11.06,    5.46,    0.39,    9.39
48.62651,1.858,T2M,1997,   -1.42,    5.66,    8.45,    8.70,   13.10,   15.97,   18.09,   21.72,   15.66,   10.53,    7.42,    4.31,   10.71
48.62651,1.858,T2M,1998,    3.50,    4.36,    7.36,    8.54,   14.77,   16.42,   17.35,   18.76,   15.27,   10.80,    3.88,    3.76,   10.44
48.62651,1.858,T2M,1999,    4.87,    3.62,    7.46,    9.88,   14.73,   15.62,   19.68,   18.47,   17.08,   10.63,    5.06,    4.47,   11.02
48.62651,1.858,T2M,2000,    2.51,    5.57,    6.70,    8.97,   14.38,   16.64,   16.28,   18.44,   15.61,   10.84,    6.92,    5.69,   10.73
48.62651,1.858,T2M,2001,    3.45,    4.19,    7.30,    8.02,   14.09,   15.72,   18.28,   18.76,   13.13,   13.44,    5.23,    1.54,   10.31
48.62651,1.858,T2M,2002,    3.84,    6.38,    7.53,    9.52,   12.65,   16.71,   17.51,   17.76,   14.04,   11.18,    8.29,    5.52,   10.93
48.62651,1.858,T2M,2003,    1.54,    1.86,    7.93,    9.68,   13.31,   19.34,   19.73,   22.43,   15.64,    8.55,    7.42,    3.50,   10.96
48.62651,1.858,T2M,2004,    3.74,    3.79,    5.59,    9.77,   12.76,   17.41,   18.47,   19.40,   16.68,   11.59,    6.47,    2.24,   10.68
48.62651,1.858,T2M,2005,    3.96,    2.05,    6.30,   10.09,   13.34,   18.14,   19.07,   17.73,   16.67,   14.28,    5.22,    2.09,   10.80
48.62651,1.858,T2M,2006,    1.37,    1.89,    4.76,    9.29,   13.69,   17.63,   22.54,   16.75,   18.12,   13.68,    8.05,    3.91,   11.02
48.62651,1.858,T2M,2007,    6.34,    6.69,    6.74,   13.14,   14.18,   16.87,   17.00,   16.98,   14.11,   10.25,    5.59,    2.94,   10.92
48.62651,1.858,T2M,2008,    4.79,    4.67,    5.96,    8.41,   15.20,   16.25,   17.87,   17.71,   13.21,   10.02,    6.55,    1.58,   10.21
48.62651,1.858,T2M,2009,   -0.33,    2.47,    5.98,   11.06,   13.86,   16.34,   18.48,   19.73,   15.57,   11.10,    8.56,    2.23,   10.46
48.62651,1.858,T2M,2010,   -0.90,    2.15,    5.47,    9.57,   11.75,   17.07,   20.06,   17.53,   14.49,   10.26,    5.59,   -1.33,    9.34
48.62651,1.858,T2M,2011,    2.75,    4.86,    7.18,   12.72,   14.25,   16.58,   16.69,   18.05,   16.69,   12.20,    8.44,    6.01,   11.40
48.62651,1.858,T2M,2012,    4.74,    0.15,    8.34,    7.91,   14.03,   15.87,   17.29,   19.05,   14.58,   11.25,    6.12,    4.87,   10.40
48.62651,1.858,T2M,2013,    2.29,    1.39,    3.34,    8.42,   10.98,   15.55,   20.10,   18.25,   15.43,   12.64,    5.82,    4.03,    9.91
48.62651,1.858,T2M,2014,    5.24,    5.66,    7.87,   10.92,   12.56,   16.33,   18.87,   16.32,   16.29,   12.78,    8.32,    3.43,   11.24
48.62651,1.858,T2M,2015,    3.01,    2.53,    6.48,   10.54,   12.78,   16.80,   19.61,   19.40,   13.44,   10.12,    9.49,    7.33,   11.01
48.62651,1.858,T2M,2016,    3.90,    4.65,    5.34,    8.38,   13.36,   16.37,   18.49,   19.05,   17.38,    9.80,    6.41,    2.86,   10.51
48.62651,1.858,T2M,2017,    0.12,    5.39,    8.95,    9.14,   14.60,   18.86,   19.15,   18.45,   14.38,   12.74,    6.71,    4.32,   11.10
48.62651,1.858,T2M,2018,    6.35,    0.29,    5.45,   11.79,   14.73,   17.89,   21.18,   19.59,   15.74,   12.09,    6.32,    5.50,   11.48
48.62651,1.858,T2M,2019,    2.32,    5.06,    8.18,    9.97,   12.22,   17.90,   20.63,   19.44,   15.95,   12.16,    6.65,    5.37,   11.36
48.62651,1.858,RH2M,1981,   91.62,   86.81,   86.42,   81.50,   84.35,   80.47,   81.62,   81.36,   80.09,   87.94,   91.11,   94.71,   85.68
48.62651,1.858,RH2M,1982,   94.69,   91.53,   83.58,   78.98,   81.30,   80.69,   79.90,   79.38,   81.78,   90.03,   93.19,   94.50,   85.77
48.62651,1.858,RH2M,1983,   93.48,   88.55,   86.92,   86.25,   83.37,   80.52,   80.45,   80.20,   81.63,   84.93,   93.03,   93.29,   86.04
48.62651,1.858,RH2M,1984,   92.19,   87.51,   82.99,   76.11,   82.04,   77.52,   76.14,   78.76,   84.17,   89.93,   92.63,   94.78,   84.57
