-BEGIN HEADER-
NASA/POWER SRB/FLASHFlux/MERRA2/GEOS 5.12.4 (FP-IT) 0.5 x 0.5 Degree Interannual Averages/Sums 
Dates (month/day/year): 01/01/1981 through 12/31/2019 
Location: Latitude  50.6444   Longitude 3.0139 
Elevation from MERRA-2: Average for 1/2x1/2 degree lat/lon region = 33.58 meters   Site = na 
Climate zone: na (reference Briggs et al: http://www.energycodes.gov) 
Value for missing model data cannot be computed or out of model availability range: -999 
Parameter(s): 
RH2M MERRA2 1/2x1/2 Relative Humidity at 2 Meters (%) 
T2M MERRA2 1/2x1/2 Temperature at 2 Meters (C) 
-END HEADER-
LAT,LON,PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
50.64439,3.0139,T2M,1981,    3.21,    1.57,    8.17,    8.56,   12.57,   14.31,   16.42,   16.88,   14.78,    9.03,    6.63,    0.44,    9.43
50.64439,3.0139,T2M,1982,    0.60,    2.89,    5.22,    7.52,   12.58,   16.31,   18.09,   16.81,   16.01,   10.44,    7.61,    3.01,    9.79
50.64439,3.0139,T2M,1983,    5.34,    0.22,    5.56,    8.10,   10.57,   15.54,   19.63,   17.86,   14.33,   10.72,    5.89,    3.31,    9.82
50.64439,3.0139,T2M,1984,    3.25,    2.17,    4.17,    7.60,   10.20,   14.29,   16.44,   17.55,   13.64,   11.18,    8.42,    3.82,    9.42
50.64439,3.0139,T2M,1985,   -2.69,   -1.13,    3.68,    8.51,   12.53,   13.94,   17.22,   15.94,   14.79,   10.37,    2.57,    4.87,    8.44
50.64439,3.0139,T2M,1986,    2.26,   -3.62,    3.78,    5.87,   12.49,   16.20,   16.91,   15.46,   12.00,   11.86,    7.26,    4.41,    8.82
50.64439,3.0139,T2M,1987,   -2.80,    1.53,    2.79,   10.17,   10.26,   14.27,   16.90,   16.50,   15.47,   11.06,    5.89,    3.17,    8.80
50.64439,3.0139,T2M,1988,    5.53,    4.05,    5.65,    8.47,   13.35,   14.58,   16.07,   16.73,   14.29,   11.10,    5.29,    6.35,   10.15
50.64439,3.0139,T2M,1989,    3.77,    4.85,    8.07,    7.06,   14.08,   15.01,   18.21,   17.57,   15.62,   12.32,    5.16,    4.11,   10.53
50.64439,3.0139,T2M,1990,    4.66,    7.20,    8.03,    8.45,   14.01,   14.88,   17.48,   19.44,   13.78,   12.25,    6.23,    3.15,   10.83
50.64439,3.0139,T2M,1991,    2.89,   -0.24,    8.35,    8.37,   10.38,   13.56,   18.19,   18.55,   16.13,   10.54,    5.52,    2.43,    9.62
50.64439,3.0139,T2M,1992,    1.70,    4.14,    7.04,    8.70,   14.54,   16.32,   18.31,   17.95,   14.29,    8.12,    7.72,    2.94,   10.16
50.64439,3.0139,T2M,1993,    4.81,    2.33,    5.55,   10.73,   14.20,   16.09,   16.49,   15.84,   13.52,    8.78,    2.24,    4.92,    9.68
50.64439,3.0139,T2M,1994,    4.66,    2.31,    7.37,    8.20,   12.20,   15.22,   20.08,   17.48,   13.55,    9.63,    9.66,    5.34,   10.53
50.64439,3.0139,T2M,1995,    4.11,    6.48,    5.27,    9.01,   12.55,   14.45,   19.71,   19.13,   13.99,   12.86,    6.57,    0.01,   10.37
50.64439,3.0139,T2M,1996,    0.92,    0.69,    3.34,    8.66,   10.35,   15.34,   16.52,   16.87,   12.90,   10.77,    5.35,   -0.24,    8.48
50.64439,3.0139,T2M,1997,   -2.11,    5.44,    8.10,    7.90,   12.54,   15.75,   17.27,   20.69,   14.72,    9.93,    6.78,    4.54,   10.16
50.64439,3.0139,T2M,1998,    3.84,    4.75,    7.22,    8.64,   14.71,   15.70,   16.47,   17.03,   15.11,   10.11,    3.53,    4.04,   10.13
50.64439,3.0139,T2M,1999,    4.88,    3.49,    7.02,    9.46,   13.96,   14.98,   18.58,   17.57,   16.91,   10.36,    5.79,    4.40,   10.66
50.64439,3.0139,T2M,2000,    3.36,    5.43,    6.87,    9.16,   14.22,   15.84,   15.53,   17.52,   15.68,   11.11,    7.36,    4.90,   10.59
50.64439,3.0139,T2M,2001,    2.31,    4.10,    5.74,    7.61,   13.34,   14.66,   17.98,   18.05,   13.17,   13.46,    6.48,    2.19,    9.97
50.64439,3.0139,T2M,2002,    3.46,    6.56,    6.84,    8.95,   12.77,   16.06,   17.08,   17.83,   14.04,   10.25,    8.15,    3.79,   10.50
50.64439,3.0139,T2M,2003,    2.01,    1.52,    7.00,    9.11,   13.04,   17.83,   18.35,   19.19,   14.65,    7.92,    7.34,    3.56,   10.17
50.64439,3.0139,T2M,2004,    3.23,    4.35,    5.44,    9.58,   12.07,   15.78,   16.94,   18.40,   15.42,   11.32,    6.14,    2.74,   10.13
50.64439,3.0139,T2M,2005,    4.57,    2.17,    6.19,    9.53,   12.40,   16.65,   17.70,   16.44,   15.94,   13.44,    6.30,    3.24,   10.43
50.64439,3.0139,T2M,2006,    0.80,    2.08,    3.97,    8.54,   13.34,   15.87,   20.91,   16.31,   17.43,   13.32,    8.53,    4.82,   10.54
50.64439,3.0139,T2M,2007,    6.60,    5.85,    7.15,   12.13,   13.65,   16.60,   16.72,   16.74,   14.14,   10.10,    6.37,    3.30,   10.80
50.64439,3.0139,T2M,2008,    5.61,    4.56,    6.03,    8.35,   15.01,   15.50,   17.39,   17.06,   13.28,    9.95,    6.60,    2.13,   10.14
50.64439,3.0139,T2M,2009,   -0.52,    2.46,    6.02,   11.02,   13.40,   15.51,   17.57,   18.01,   15.21,   10.97,    8.84,    1.89,   10.07
50.64439,3.0139,T2M,2010,   -0.80,    1.58,    5.44,    8.84,   10.63,   16.09,   19.00,   16.69,   13.98,   10.37,    5.84,   -1.07,    8.92
50.64439,3.0139,T2M,2011,    2.69,    4.65,    6.30,   12.34,   13.52,   15.81,   15.87,   17.01,   15.97,   11.67,    7.87,    5.69,   10.81
50.64439,3.0139,T2M,2012,    4.60,    0.26,    7.57,    7.84,   13.40,   15.17,   16.84,   18.04,   14.09,   10.76,    6.34,    4.46,    9.99
50.64439,3.0139,T2M,2013,    1.61,    1.14,    2.20,    7.57,   10.63,   14.87,   18.98,   17.83,   14.61,   12.37,    6.21,    4.57,    9.44
50.64439,3.0139,T2M,2014,    5.00,    5.40,    7.55,   11.22,   12.90,   15.71,   18.67,   15.81,   15.88,   12.72,    7.66,    3.85,   11.06
50.64439,3.0139,T2M,2015,    2.92,    2.67,    5.74,    8.89,   12.19,   15.50,   17.75,   18.13,   12.89,    9.81,    9.67,    8.03,   10.40
50.64439,3.0139,T2M,2016,    4.21,    4.24,    4.98,    8.06,   13.48,   16.09,   17.83,   17.88,   16.98,    9.97,    5.69,    3.34,   10.25
50.64439,3.0139,T2M,2017,    0.51,    5.01,    8.48,    8.43,   14.31,   18.07,   18.15,   17.54,   14.01,   12.88,    6.74,    4.26,   10.73
50.64439,3.0139,T2M,2018,    5.38,    0.40,    4.62,   11.58,   15.00,   17.02,   20.44,   18.59,   15.02,   12.05,    6.33,    5.36,   11.05
50.64439,3.0139,T2M,2019,    2.85,    5.32,    8.19,    9.95,   11.97,   17.50,   19.06,   18.79,   15.25,   11.81,    6.29,    5.39,   11.07
50.64439,3.0139,RH2M,1981,   92.14,   88.69,   88.54,   82.64,   83.34,   81.61,   83.04,   82.84,   83.61,   88.12,   90.41,   93.49,   86.54
50.64439,3.0139,RH2M,1982,   93.19,   91.34,   85.65,   81.34,   79.43,   80.66,   79.88,   81.44,   83.93,   89.88,   91.76,   93.50,   85.97
50.64439,3.0139,RH2M,1983,   91.48,   87.44,   88.22,   84.95,   83.92,   80.95,   80.04,   80.79,   82.96,   85.53,   92.77,   92.62,   85.97
50.64439,3.0139,RH2M,1984,   89.88,   88.00,   85.22,   76.36,   82.71,   78.31,   78.95,   80.60,   86.07,   89.37,   91.48,   94.52,   85.13
50.64439,3.0139,RH2M,1985,   91.04,   87.42,   87.69,   81.72,   82.31,   80.63,   79.63,   80.80,   84.07,   86.44,   89.23,   93.24,   85.35
50.64439,3.0139,RH2M,1986,   91.26,   83.71,   87.93,   84.04,   78.83,   79.49,   78.43,   77.87,   83.15,   87.39,   90.80,   92.19,   84.60
50.64439,3.0139,RH2M,1987,   87.10,   92.77,   82.96,   81.50,   79.50,   81.88,   79.93,   81.65,   84.34,   87.37,   92.79,   95.15,   85.52
50.64439,3.0139,RH2M,1988,   93.00,   87.81,   88.16,   80.84,   81.62,   81.75,   81.98,   81.15,   84.17,   89.70,   92.80,   94.77,   86.49
50.64439,3.0139,RH2M,1989,   94.97,   89.58,   84.70,   83.41,   75.63,   76.49,   78.18,   78.03,   81.76,   84.22,   90.05,   93.85,   84.21
50.64439,3.0139,RH2M,1990,   92.16,   84.82,   81.86,   76.01,   72.26,   76.42,   69.34,   68.78,   76.47,   81.47,   90.68,   92.01,   80.15
50.64439,3.0139,RH2M,1991,   89.74,   88.84,   82.43,   73.92,   75.76,   75.10,   76.99,   71.44,   74.14,   82.36,   90.33,   92.15,   81.07
50.64439,3.0139,RH2M,1992,   92.67,   89.10,   83.38,   76.84,   73.09,   76.90,   75.31,   77.68,   81.00,   83.89,   90.42,   93.09,   82.76
50.64439,3.0139,RH2M,1993,   90.59,   90.30,   79.23,   78.74,   74.77,   76.81,   78.41,   76.48,   81.73,   86.02,   91.07,   93.39,   83.08
50.64439,3.0139,RH2M,1994,   92.63,   88.97,   84.30,   79.38,   78.65,   78.53,   76.42,   78.73,   84.49,   84.72,   93.18,   93.98,   84.47
50.64439,3.0139,RH2M,1995,   89.98,   88.42,   82.54,   82.67,   75.34,   80.75,   78.10,   75.17,   82.45,   86.96,   90.01,   92.77,   83.72
50.64439,3.0139,RH2M,1996,   91.45,   87.77,   82.36,   73.60,   76.64,   74.44,   73.70,   76.14,   79.71,   84.90,   91.51,   90.44,   81.88
50.64439,3.0139,RH2M,1997,   92.06,   87.87,   84.50,   72.34,   76.20,   77.27,   78.56,   74.76,   75.38,   82.25,   92.47,   92.63,   82.18
50.64439,3.0139,RH2M,1998,   90.00,   91.12,   83.72,   82.91,   76.18,   79.78,   78.34,   76.75,   83.06,   86.46,   91.17,   93.51,   84.36
50.64439,3.0139,RH2M,1999,   90.48,   88.35,   85.95,   82.73,   79.35,   77.94,   77.18,   78.39,   82.90,   86.25,   90.56,   92.28,   84.34
50.64439,3.0139,RH2M,2000,   93.33,   88.80,   85.68,   81.76,   81.36,   79.08,   83.80,   80.77,   84.71,   87.54,   92.57,   93.36,   86.07
50.64439,3.0139,RH2M,2001,   94.21,   90.59,   90.50,   85.84,   80.80,   78.28,   80.84,   80.84,   86.51,   89.93,   92.49,   93.85,   87.04
50.64439,3.0139,RH2M,2002,   93.73,   87.32,   85.79,   79.84,   80.60,   79.64,   81.29,   83.24,   83.08,   86.24,   93.52,   94.23,   85.72
50.64439,3.0139,RH2M,2003,   92.78,   88.53,   84.31,   77.55,   79.44,   78.05,   78.41,   77.77,   77.21,   83.74,   93.43,   93.61,   83.72
50.64439,3.0139,RH2M,2004,   92.00,   86.34,   83.03,   80.36,   76.45,   77.55,   77.29,   80.37,   79.63,   85.22,   92.74,   94.96,   83.83
50.64439,3.0139,RH2M,2005,   90.86,   87.87,   86.01,   81.45,   77.15,   74.29,   80.11,   79.66,   81.02,   86.20,   91.40,   94.03,   84.16
50.64439,3.0139,RH2M,2006,   91.63,   91.04,   81.63,   79.46,   79.93,   75.66,   73.06,   82.59,   82.70,   87.91,   90.60,   93.53,   84.11
50.64439,3.0139,RH2M,2007,   90.99,   90.64,   83.59,   76.26,   78.84,   81.66,   79.76,   80.67,   83.26,   87.98,   90.36,   93.53,   84.77
50.64439,3.0139,RH2M,2008,   91.65,   86.94,   84.13,   80.13,   75.39,   79.35,   79.03,   82.23,   81.54,   87.38,   92.84,   94.89,   84.63
50.64439,3.0139,RH2M,2009,   93.53,   92.23,   82.82,   81.72,   78.82,   76.93,   77.86,   76.27,   80.48,   85.92,   90.36,   93.74,   84.18
50.64439,3.0139,RH2M,2010,   92.84,   90.54,   83.16,   76.58,   76.95,   75.39,   74.92,   80.98,   82.35,   85.79,   92.20,   93.58,   83.74
50.64439,3.0139,RH2M,2011,   94.68,   91.65,   83.00,   75.26,   73.06,   77.09,   76.96,   79.21,   81.67,   82.93,   93.96,   90.96,   83.32
50.64439,3.0139,RH2M,2012,   90.82,   86.71,   85.51,   80.66,   78.84,   78.88,   77.92,   77.86,   79.25,   87.09,   92.96,   93.78,   84.19
50.64439,3.0139,RH2M,2013,   92.59,   88.24,   84.04,   79.90,   81.21,   80.22,   79.04,   79.43,   82.22,   88.11,   92.15,   93.44,   85.04
50.64439,3.0139,RH2M,2014,   92.86,   89.26,   82.84,   78.82,   78.00,   76.92,   80.54,   81.83,   84.27,   88.04,   93.73,   93.82,   85.06
50.64439,3.0139,RH2M,2015,   92.91,   91.01,   85.06,   77.90,   78.36,   74.81,   78.21,   78.94,   82.80,   88.34,   90.31,   92.65,   84.25
