-BEGIN HEADER-
NASA/POWER SRB/FLASHFlux/MERRA2/GEOS 5.12.4 (FP-IT) 0.5 x 0.5 Degree Interannual Averages/Sums 
Dates (month/day/year): 01/01/1981 through 12/31/2019 
Location: Latitude  46.9243   Longitude 4.7406 
Elevation from MERRA-2: Average for 1/2x1/2 degree lat/lon region = 311.35 meters   Site = na 
Climate zone: na (reference Briggs et al: http://www.energycodes.gov) 
Value for missing model data cannot be computed or out of model availability range: -999 
Parameter(s): 
RH2M MERRA2 1/2x1/2 Relative Humidity at 2 Meters (%) 
T2M MERRA2 1/2x1/2 Temperature at 2 Meters (C) 
-END HEADER-
LAT,LON,PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
46.92434,4.74063,T2M,1981,   -0.84,   -0.19,    7.56,    9.75,   12.22,   15.61,   17.52,   18.18,   15.45,    9.84,    4.10,    1.77,    9.30
46.92434,4.74063,T2M,1982,    3.21,    2.94,    4.41,    7.58,   13.21,   17.42,   20.26,   17.78,   17.46,    9.81,    6.57,    2.30,   10.28
46.92434,4.74063,T2M,1983,    2.59,   -0.20,    5.11,    8.28,   11.00,   17.27,   22.12,   19.01,   15.41,    9.99,    4.81,    1.61,    9.81
46.92434,4.74063,T2M,1984,    1.39,    0.58,    3.53,    7.98,   10.10,   15.54,   18.67,   18.42,   13.81,   10.37,    7.91,    2.21,    9.23
46.92434,4.74063,T2M,1985,   -4.94,    1.21,    3.30,    8.66,   12.37,   15.04,   19.62,   18.02,   17.09,   11.43,    1.40,    2.72,    8.87
46.92434,4.74063,T2M,1986,    0.99,   -2.86,    4.04,    6.14,   14.18,   17.32,   19.31,   18.50,   15.29,   12.25,    6.03,    2.07,    9.52
46.92434,4.74063,T2M,1987,   -4.22,    1.18,    2.88,    9.90,   10.93,   15.32,   19.09,   18.45,   17.83,   11.75,    4.83,    2.71,    9.26
46.92434,4.74063,T2M,1988,    4.45,    2.29,    4.32,    9.92,   14.20,   16.33,   18.09,   19.44,   15.11,   11.73,    3.85,    3.00,   10.26
46.92434,4.74063,T2M,1989,    1.54,    3.50,    7.86,    7.66,   15.23,   16.33,   20.13,   19.77,   15.99,   11.50,    4.55,    3.15,   10.65
46.92434,4.74063,T2M,1990,    1.89,    6.97,    7.03,    7.86,   15.96,   16.95,   20.65,   21.66,   15.57,   13.05,    4.95,   -0.70,   11.02
46.92434,4.74063,T2M,1991,    1.45,    0.32,    8.29,    7.97,   11.31,   16.38,   21.95,   22.46,   18.63,    9.34,    4.56,    0.15,   10.30
46.92434,4.74063,T2M,1992,   -0.67,    2.19,    6.07,    8.79,   15.13,   16.45,   20.33,   21.87,   15.60,    8.32,    7.07,    2.66,   10.34
46.92434,4.74063,T2M,1993,    3.06,    0.76,    5.05,   10.11,   14.38,   17.79,   18.45,   19.64,   14.19,    8.91,    1.95,    3.46,    9.87
46.92434,4.74063,T2M,1994,    2.29,    3.01,    8.07,    7.43,   13.52,   16.95,   22.18,   20.50,   14.34,   10.58,    8.10,    3.88,   10.96
46.92434,4.74063,T2M,1995,    1.20,    5.16,    4.20,    8.51,   12.94,   15.22,   21.39,   19.64,   13.11,   13.75,    4.51,    1.41,   10.12
46.92434,4.74063,T2M,1996,    3.30,    0.47,    3.85,    8.89,   12.35,   17.33,   18.24,   18.21,   12.85,   10.25,    4.47,    1.14,    9.31
46.92434,4.74063,T2M,1997,   -0.60,    4.39,    7.12,    8.20,   13.72,   16.52,   18.53,   22.17,   16.61,   10.29,    6.26,    3.09,   10.56
46.92434,4.74063,T2M,1998,    2.48,    3.26,    5.68,    8.19,   14.23,   17.25,   19.27,   19.98,   15.01,    9.89,    2.08,    1.39,    9.94
46.92434,4.74063,T2M,1999,    2.82,    1.12,    6.30,    9.05,   15.34,   15.58,   19.77,   19.58,   17.62,   10.50,    2.42,    2.35,   10.27
46.92434,4.74063,T2M,2000,    0.69,    4.26,    5.44,    9.37,   15.03,   17.73,   17.36,   20.42,   16.56,   10.72,    6.74,    4.76,   10.77
46.92434,4.74063,T2M,2001,    2.90,    3.38,    7.90,    7.66,   15.27,   16.54,   20.48,   20.96,   12.93,   14.00,    2.98,   -0.47,   10.44
46.92434,4.74063,T2M,2002,    0.99,    5.37,    7.13,   10.01,   13.22,   20.32,   19.90,   19.34,   14.67,   11.08,    7.64,    4.83,   11.23
46.92434,4.74063,T2M,2003,    0.19,   -0.10,    7.01,    9.88,   14.92,   23.51,   22.60,   25.80,   16.12,    8.73,    6.53,    2.26,   11.52
46.92434,4.74063,T2M,2004,    1.65,    2.06,    4.42,    9.11,   12.82,   18.33,   19.66,   19.88,   16.41,   12.81,    4.42,    0.87,   10.23
46.92434,4.74063,T2M,2005,    1.16,   -0.21,    5.17,    9.31,   13.79,   18.60,   19.84,   18.10,   16.53,   13.52,    4.13,   -0.09,   10.05
46.92434,4.74063,T2M,2006,   -0.54,    0.46,    4.67,    8.99,   13.40,   18.07,   23.57,   16.53,   17.94,   13.77,    7.65,    2.42,   10.63
46.92434,4.74063,T2M,2007,    3.97,    5.23,    5.77,   13.44,   14.80,   17.56,   17.68,   17.45,   13.64,    9.79,    3.84,    1.23,   10.39
46.92434,4.74063,T2M,2008,    3.03,    4.12,    4.77,    8.22,   15.32,   17.11,   18.67,   18.05,   13.12,    9.84,    5.13,    0.44,    9.84
46.92434,4.74063,T2M,2009,   -1.54,    0.95,    4.89,   10.70,   15.26,   17.04,   19.70,   20.84,   15.82,   10.42,    7.81,    1.75,   10.35
46.92434,4.74063,T2M,2010,   -1.72,    0.86,    4.53,    9.95,   11.74,   17.05,   20.97,   18.33,   13.96,    9.74,    5.27,   -0.68,    9.21
