-BEGIN HEADER-
NASA/POWER SRB/FLASHFlux/MERRA2/GEOS 5.12.4 (FP-IT) 0.5 x 0.5 Degree Interannual Averages/Sums 
Dates (month/day/year): 01/01/1981 through 12/31/2019 
Location: Latitude  47.8742   Longitude 3.9811 
Elevation from MERRA-2: Average for 1/2x1/2 degree lat/lon region = 227.39 meters   Site = na 
Climate zone: na (reference Briggs et al: http://www.energycodes.gov) 
Value for missing model data cannot be computed or out of model availability range: -999 
Parameter(s): 
T2M MERRA2 1/2x1/2 Temperature at 2 Meters (C) 
RH2M MERRA2 1/2x1/2 Relative Humidity at 2 Meters (%) 
-END HEADER-
LAT,LON,PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
47.87424,3.98106,T2M,1981,    0.51,    0.65,    8.16,    9.24,   12.20,   14.90,   17.11,   17.66,   15.19,    9.75,    4.79,    2.06,    9.40
47.87424,3.98106,T2M,1982,    3.05,    3.23,    4.66,    7.57,   12.98,   17.22,   19.48,   17.46,   17.34,   10.16,    7.14,    2.85,   10.30
47.87424,3.98106,T2M,1983,    3.51,    0.12,    5.23,    8.18,   10.63,   17.08,   21.29,   18.50,   14.91,   10.03,    5.03,    2.16,    9.78
47.87424,3.98106,T2M,1984,    2.11,    1.13,    3.58,    8.01,    9.96,   15.31,   18.02,   18.14,   13.47,   10.45,    8.46,    2.38,    9.27
47.87424,3.98106,T2M,1985,   -3.98,    1.07,    3.34,    8.61,   12.25,   14.63,   18.75,   16.76,   16.17,   10.35,    1.76,    2.58,    8.56
47.87424,3.98106,T2M,1986,    1.74,   -3.32,    4.03,    5.94,   13.54,   17.26,   18.49,   17.17,   13.54,   12.29,    6.17,    2.79,    9.22
47.87424,3.98106,T2M,1987,   -4.05,    1.30,    2.82,   10.15,   10.86,   15.00,   18.32,   17.98,   17.47,   11.64,    5.14,    2.57,    9.13
47.87424,3.98106,T2M,1988,    5.32,    2.96,    4.96,    9.84,   13.97,   16.17,   17.27,   18.63,   14.83,   11.68,    4.42,    4.18,   10.38
47.87424,3.98106,T2M,1989,    1.94,    3.78,    8.57,    7.60,   15.39,   16.34,   19.81,   19.43,   15.94,   11.87,    4.84,    3.41,   10.80
47.87424,3.98106,T2M,1990,    2.79,    7.39,    7.49,    8.10,   15.91,   16.78,   20.36,   21.89,   15.07,   12.80,    5.51,    0.52,   11.25
47.87424,3.98106,T2M,1991,    2.01,   -0.11,    8.47,    8.21,   11.36,   15.38,   21.33,   21.59,   18.24,    9.64,    5.13,    0.86,   10.24
47.87424,3.98106,T2M,1992,   -0.16,    2.93,    6.73,    8.89,   15.37,   16.71,   20.44,   21.14,   15.31,    8.15,    7.50,    2.98,   10.52
47.87424,3.98106,T2M,1993,    4.16,    1.40,    5.61,   10.73,   14.55,   17.76,   18.01,   18.52,   13.67,    8.84,    2.03,    4.16,   10.01
47.87424,3.98106,T2M,1994,    3.59,    3.31,    8.25,    8.00,   13.36,   16.72,   21.59,   19.33,   14.24,   10.79,    8.67,    4.97,   11.12
47.87424,3.98106,T2M,1995,    2.43,    5.82,    4.73,    8.71,   13.03,   15.00,   20.72,   19.30,   13.19,   13.70,    5.21,    1.46,   10.31
47.87424,3.98106,T2M,1996,    3.12,    0.82,    4.33,    9.07,   12.06,   17.28,   18.38,   17.97,   12.75,   10.15,    4.90,    0.69,    9.32
47.87424,3.98106,T2M,1997,   -1.07,    4.99,    7.54,    8.25,   13.21,   16.25,   18.25,   22.01,   15.85,   10.04,    6.72,    3.72,   10.51
47.87424,3.98106,T2M,1998,    2.96,    3.50,    6.43,    8.29,   14.24,   16.84,   18.10,   19.80,   14.89,    9.94,    2.46,    2.44,   10.04
47.87424,3.98106,T2M,1999,    3.58,    2.07,    6.74,    9.46,   15.00,   15.53,   19.76,   18.99,   17.33,   10.48,    3.38,    3.16,   10.52
47.87424,3.98106,T2M,2000,    1.27,    4.85,    5.66,    9.13,   14.76,   16.95,   16.38,   19.13,   15.83,   10.58,    7.01,    5.60,   10.61
47.87424,3.98106,T2M,2001,    3.35,    3.62,    7.68,    7.79,   14.58,   15.54,   18.81,   19.51,   12.47,   13.69,    3.48,    0.25,   10.12
47.87424,3.98106,T2M,2002,    2.18,    5.65,    7.18,    9.39,   12.79,   18.20,   18.53,   18.54,   14.26,   10.89,    7.77,    5.28,   10.92
47.87424,3.98106,T2M,2003,    0.52,    0.82,    7.70,    9.86,   14.12,   21.29,   21.04,   24.54,   15.79,    8.34,    7.03,    2.78,   11.21
47.87424,3.98106,T2M,2004,    2.28,    2.70,    4.86,    9.40,   12.35,   17.21,   18.59,   19.09,   16.02,   11.92,    5.00,    1.27,   10.08
47.87424,3.98106,T2M,2005,    2.31,    0.34,    5.61,    9.90,   13.77,   18.69,   19.79,   17.77,   16.06,   13.75,    4.26,    0.83,   10.32
47.87424,3.98106,T2M,2006,    0.23,    0.74,    4.76,    9.19,   13.48,   17.80,   23.30,   16.49,   17.90,   13.59,    7.74,    3.07,   10.74
47.87424,3.98106,T2M,2007,    4.98,    6.11,    6.02,   13.30,   14.75,   17.57,   17.39,   16.95,   13.58,    9.82,    4.27,    2.11,   10.59
47.87424,3.98106,T2M,2008,    3.87,    4.35,    5.28,    8.06,   15.24,   16.61,   18.24,   17.78,   12.84,    9.82,    5.73,    1.07,    9.93
47.87424,3.98106,T2M,2009,   -1.01,    1.55,    5.20,   10.98,   14.77,   16.67,   18.92,   20.16,   15.47,   10.53,    8.06,    1.92,   10.31
47.87424,3.98106,T2M,2010,   -1.51,    1.38,    4.95,    9.67,   11.66,   17.30,   20.63,   17.96,   14.09,    9.56,    5.41,   -1.84,    9.14
