-BEGIN HEADER-
NASA/POWER SRB/FLASHFlux/MERRA2/GEOS 5.12.4 (FP-IT) 0.5 x 0.5 Degree Interannual Averages/Sums 
Dates (month/day/year): 01/01/1981 through 12/31/2019 
Location: Latitude  45.8319   Longitude -0.9067 
Elevation from MERRA-2: Average for 1/2x1/2 degree lat/lon region = 29.68 meters   Site = na 
Climate zone: na (reference Briggs et al: http://www.energycodes.gov) 
Value for missing model data cannot be computed or out of model availability range: -999 
Parameter(s): 
T2M MERRA2 1/2x1/2 Temperature at 2 Meters (C) 
RH2M MERRA2 1/2x1/2 Relative Humidity at 2 Meters (%) 
-END HEADER-
LAT,LON,PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
45.83195,-0.90666,T2M,1981,    5.59,    4.08,   10.06,   11.23,   13.38,   16.57,   18.42,   20.64,   17.92,   13.42,    8.36,    7.27,   12.30
45.83195,-0.90666,T2M,1982,    7.75,    6.92,    7.80,   10.12,   14.08,   18.22,   20.61,   18.73,   18.91,   13.03,   10.37,    6.93,   12.82
45.83195,-0.90666,T2M,1983,    6.29,    4.53,    8.11,    9.93,   12.37,   17.71,   22.28,   19.82,   17.75,   13.69,    9.52,    5.61,   12.35
45.83195,-0.90666,T2M,1984,    6.81,    4.55,    6.56,   11.01,   11.56,   17.14,   20.23,   19.89,   16.19,   13.21,   10.96,    6.08,   12.04
45.83195,-0.90666,T2M,1985,    0.97,    6.42,    6.63,   10.92,   12.96,   16.43,   19.87,   18.05,   19.12,   14.35,    5.83,    6.23,   11.51
45.83195,-0.90666,T2M,1986,    6.46,    1.95,    7.75,    7.72,   13.69,   17.59,   19.84,   18.65,   16.98,   15.55,    9.51,    7.49,   12.00
45.83195,-0.90666,T2M,1987,    0.24,    5.11,    6.88,   12.11,   13.18,   16.49,   20.71,   20.68,   19.57,   14.35,    8.82,    6.79,   12.11
45.83195,-0.90666,T2M,1988,    8.97,    6.79,    8.03,   12.00,   14.97,   17.66,   18.03,   19.45,   17.39,   14.76,    8.42,    6.71,   12.78
45.83195,-0.90666,T2M,1989,    4.73,    7.36,   10.44,    9.59,   17.47,   19.73,   22.32,   21.31,   18.41,   15.04,    9.60,    8.10,   13.72
45.83195,-0.90666,T2M,1990,    7.09,   10.67,    9.55,   10.74,   17.87,   17.94,   22.45,   23.14,   18.59,   15.28,    9.35,    3.98,   13.91
45.83195,-0.90666,T2M,1991,    5.29,    4.40,   10.02,   10.31,   13.95,   16.59,   21.15,   23.15,   20.32,   12.48,    8.73,    4.84,   12.65
45.83195,-0.90666,T2M,1992,    2.83,    5.79,    8.73,   10.39,   16.68,   17.95,   20.75,   20.91,   16.80,   11.35,   11.47,    6.58,   12.54
45.83195,-0.90666,T2M,1993,    7.10,    5.25,    8.24,   11.28,   15.06,   18.68,   18.94,   20.16,   15.74,   11.68,    6.55,    8.70,   12.33
45.83195,-0.90666,T2M,1994,    7.16,    7.49,   10.15,   10.14,   14.98,   17.87,   21.83,   21.19,   16.33,   14.07,   11.46,    8.70,   13.49
45.83195,-0.90666,T2M,1995,    6.63,    8.96,    8.25,   10.74,   14.63,   17.14,   21.99,   21.69,   15.85,   16.19,    8.96,    6.30,   13.15
45.83195,-0.90666,T2M,1996,    8.02,    5.09,    7.64,   10.98,   13.53,   18.44,   20.08,   19.34,   16.01,   13.34,    9.06,    4.79,   12.22
45.83195,-0.90666,T2M,1997,    3.40,    8.36,   10.23,   11.27,   15.24,   17.07,   19.48,   22.80,   18.99,   14.50,   10.71,    7.29,   13.30
45.83195,-0.90666,T2M,1998,    6.78,    6.39,    8.96,   10.07,   15.26,   16.86,   18.71,   20.76,   17.44,   13.33,    6.94,    5.79,   12.32
45.83195,-0.90666,T2M,1999,    7.13,    5.90,    9.46,   11.33,   16.14,   17.35,   20.88,   20.51,   18.88,   13.88,    7.04,    7.36,   13.04
45.83195,-0.90666,T2M,2000,    4.32,    7.77,    7.89,   10.73,   15.61,   17.95,   18.22,   20.44,   18.05,   13.46,   10.23,    9.00,   12.82
45.83195,-0.90666,T2M,2001,    7.29,    6.34,   10.45,    9.94,   15.12,   17.39,   19.34,   20.63,   15.71,   16.06,    7.02,    3.34,   12.43
45.83195,-0.90666,T2M,2002,    6.59,    8.14,    9.50,   11.31,   14.08,   18.30,   19.23,   18.93,   16.89,   14.37,   10.98,    8.91,   13.13
45.83195,-0.90666,T2M,2003,    4.16,    4.66,   10.03,   12.21,   14.90,   21.28,   21.39,   24.85,   18.39,   12.47,   10.23,    6.83,   13.50
45.83195,-0.90666,T2M,2004,    6.46,    5.26,    7.14,   10.65,   14.37,   19.07,   19.70,   20.47,   18.93,   14.79,    8.53,    5.57,   12.60
45.83195,-0.90666,T2M,2005,    6.15,    3.91,    8.33,   11.45,   15.15,   20.69,   21.51,   20.59,   18.25,   16.28,    7.62,    4.03,   12.88
45.83195,-0.90666,T2M,2006,    4.60,    4.13,    8.57,   11.08,   14.81,   19.25,   23.73,   19.06,   19.72,   16.25,   11.14,    5.44,   13.20
45.83195,-0.90666,T2M,2007,    7.95,    9.17,    8.58,   14.17,   15.34,   17.81,   18.36,   18.89,   16.30,   12.86,    7.48,    5.79,   12.74
