-BEGIN HEADER-
NASA/POWER SRB/FLASHFlux/MERRA2/GEOS 5.12.4 (FP-IT) 0.5 x 0.5 Degree Interannual Averages/Sums 
Dates (month/day/year): 01/01/1981 through 12/31/2019 
Location: Latitude  50.677   Longitude 5.8833 
Elevation from MERRA-2: Average for 1/2x1/2 degree lat/lon region = 185.66 meters   Site = na 
Climate zone: na (reference Briggs et al: http://www.energycodes.gov) 
Value for missing model data cannot be computed or out of model availability range: -999 
Parameter(s): 
RH2M MERRA2 1/2x1/2 Relative Humidity at 2 Meters (%) 
T2M MERRA2 1/2x1/2 Temperature at 2 Meters (C) 
-END HEADER-
LAT,LON,PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
50.67703,5.88326,T2M,1981,    0.52,   -0.02,    7.13,    7.90,   12.46,   14.37,   16.03,   16.43,   13.91,    7.81,    4.83,   -1.79,    8.35
50.67703,5.88326,T2M,1982,   -0.80,    1.34,    4.12,    6.58,   12.12,   15.98,   18.02,   16.52,   16.13,   10.01,    6.56,    1.79,    9.07
50.67703,5.88326,T2M,1983,    3.69,   -1.99,    4.42,    7.84,   10.14,   15.62,   19.69,   17.66,   13.68,    9.68,    4.52,    1.74,    8.96
50.67703,5.88326,T2M,1984,    1.17,    0.61,    2.89,    6.79,   10.06,   13.54,   15.87,   17.55,   12.61,   10.26,    6.86,    2.04,    8.38
50.67703,5.88326,T2M,1985,   -5.50,   -2.55,    2.65,    7.30,   12.64,   13.28,   17.03,   15.48,   14.02,    9.33,    0.86,    3.33,    7.39
50.67703,5.88326,T2M,1986,    0.48,   -5.59,    3.25,    5.33,   12.79,   16.01,   16.84,   15.49,   11.18,   10.82,    6.01,    2.48,    8.02
50.67703,5.88326,T2M,1987,   -4.73,   -0.41,    1.11,    9.64,    9.49,   13.67,   16.54,   15.91,   14.95,   10.22,    4.57,    1.80,    7.77
50.67703,5.88326,T2M,1988,    4.36,    2.33,    3.69,    7.97,   13.75,   14.71,   15.93,   16.62,   13.44,   10.32,    3.95,    4.91,    9.36
50.67703,5.88326,T2M,1989,    2.54,    3.40,    7.09,    6.41,   13.88,   14.98,   17.91,   17.43,   15.04,   11.23,    4.03,    3.14,    9.80
50.67703,5.88326,T2M,1990,    2.83,    5.82,    6.83,    7.25,   13.78,   15.06,   17.26,   19.50,   12.32,   11.36,    4.57,    0.95,    9.83
50.67703,5.88326,T2M,1991,    1.36,   -2.03,    7.20,    7.21,   10.05,   12.88,   18.91,   18.72,   15.98,    9.30,    4.16,    1.17,    8.82
50.67703,5.88326,T2M,1992,    0.59,    2.75,    5.51,    7.61,   14.19,   16.29,   18.41,   18.61,   13.88,    6.90,    6.26,    1.97,    9.43
50.67703,5.88326,T2M,1993,    3.12,    0.55,    4.43,   10.28,   14.35,   16.21,   16.57,   15.90,   12.86,    7.82,    0.85,    3.23,    8.90
50.67703,5.88326,T2M,1994,    2.95,    0.69,    6.20,    7.43,   12.04,   15.31,   21.45,   17.78,   13.07,    8.60,    8.43,    3.98,    9.89
50.67703,5.88326,T2M,1995,    1.43,    4.98,    3.58,    8.43,   12.40,   14.09,   20.26,   19.43,   13.23,   12.43,    4.67,   -1.30,    9.50
50.67703,5.88326,T2M,1996,   -1.10,   -1.38,    2.02,    8.40,   10.59,   15.96,   16.76,   17.52,   11.58,    9.40,    4.00,   -1.80,    7.69
50.67703,5.88326,T2M,1997,   -2.80,    3.96,    7.03,    6.74,   12.28,   15.41,   17.14,   20.67,   14.56,    8.68,    5.14,    2.62,    9.32
50.67703,5.88326,T2M,1998,    2.37,    3.79,    5.84,    8.00,   14.29,   15.71,   16.02,   17.02,   14.07,    8.55,    1.87,    1.86,    9.15
