-BEGIN HEADER-
NASA/POWER SRB/FLASHFlux/MERRA2/GEOS 5.12.4 (FP-IT) 0.5 x 0.5 Degree Interannual Averages/Sums 
Dates (month/day/year): 01/01/1981 through 12/31/2019 
Location: Latitude  45.5238   Longitude 6.0116 
Elevation from MERRA-2: Average for 1/2x1/2 degree lat/lon region = 1094.08 meters   Site = na 
Climate zone: na (reference Briggs et al: http://www.energycodes.gov) 
Value for missing model data cannot be computed or out of model availability range: -999 
Parameter(s): 
T2M MERRA2 1/2x1/2 Temperature at 2 Meters (C) 
RH2M MERRA2 1/2x1/2 Relative Humidity at 2 Meters (%) 
-END HEADER-
LAT,LON,PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
45.52376,6.01162,T2M,1981,   -5.76,   -4.49,    2.42,    7.17,    9.35,   13.59,   14.35,   15.90,   12.86,    6.78,    2.13,   -3.54,    5.95
45.52376,6.01162,T2M,1982,   -0.98,   -0.73,   -0.73,    4.23,   10.61,   14.37,   18.14,   15.26,   14.54,    6.94,    2.95,   -1.35,    6.98
45.52376,6.01162,T2M,1983,   -0.49,   -4.99,    1.65,    4.81,    8.14,   14.37,   20.19,   16.25,   13.17,    8.21,    3.86,   -1.38,    7.06
45.52376,6.01162,T2M,1984,   -3.11,   -4.94,   -0.82,    3.98,    7.00,   12.83,   16.16,   15.40,   10.51,    7.90,    4.50,   -0.33,    5.79
45.52376,6.01162,T2M,1985,   -7.94,   -0.38,   -0.95,    5.08,    8.94,   12.24,   17.24,   15.45,   14.97,   10.01,   -1.03,    0.40,    6.20
45.52376,6.01162,T2M,1986,   -4.36,   -6.19,    0.88,    2.91,   12.07,   14.35,   16.15,   16.08,   13.74,    9.68,    3.33,   -1.77,    6.48
45.52376,6.01162,T2M,1987,   -6.54,   -2.00,   -1.27,    6.50,    7.66,   12.10,   16.16,   15.95,   15.71,    9.00,    2.28,    1.95,    6.50
45.52376,6.01162,T2M,1988,    0.03,   -2.67,   -0.65,    6.52,   11.05,   13.10,   16.12,   16.94,   12.42,    9.86,    2.09,   -1.33,    6.99
45.52376,6.01162,T2M,1989,    0.43,    1.61,    4.66,    4.08,   11.82,   12.92,   17.45,   17.11,   12.98,    9.17,    3.43,    1.80,    8.17
45.52376,6.01162,T2M,1990,    0.26,    2.34,    4.30,    4.27,   12.24,   13.30,   17.10,   17.82,   12.48,    9.77,    1.25,   -4.28,    7.61
45.52376,6.01162,T2M,1991,   -1.73,   -2.76,    5.09,    4.60,    7.34,   12.89,   18.62,   19.28,   15.40,    6.72,    1.81,   -2.01,    7.17
