-BEGIN HEADER-
NASA/POWER SRB/FLASHFlux/MERRA2/GEOS 5.12.4 (FP-IT) 0.5 x 0.5 Degree Interannual Averages/Sums 
Dates (month/day/year): 01/01/1981 through 12/31/2019 
Location: Latitude  42.5251   Longitude 3.0832 
Elevation from MERRA-2: Average for 1/2x1/2 degree lat/lon region = 76.52 meters   Site = na 
Climate zone: na (reference Briggs et al: http://www.energycodes.gov) 
Value for missing model data cannot be computed or out of model availability range: -999 
Parameter(s): 
RH2M MERRA2 1/2x1/2 Relative Humidity at 2 Meters (%) 
T2M MERRA2 1/2x1/2 Temperature at 2 Meters (C) 
-END HEADER-
LAT,LON,PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
42.52506,3.08317,T2M,1981,    7.39,    7.48,   11.87,   13.19,   15.31,   20.36,   21.16,   23.13,   20.74,   16.32,   12.36,    9.51,   14.94
42.52506,3.08317,T2M,1982,    9.89,    9.73,    9.87,   12.77,   15.55,   20.68,   24.29,   21.80,   20.20,   15.45,   12.29,    9.27,   15.18
42.52506,3.08317,T2M,1983,    8.92,    7.39,   10.56,   12.61,   15.66,   19.82,   24.74,   22.81,   21.01,   16.73,   13.34,    9.32,   15.29
42.52506,3.08317,T2M,1984,    8.41,    7.62,    9.14,   12.26,   13.87,   19.01,   22.40,   21.69,   18.50,   15.35,   13.63,    9.23,   14.28
42.52506,3.08317,T2M,1985,    4.18,   10.03,    9.13,   13.42,   14.93,   19.49,   23.76,   22.22,   21.44,   17.85,    9.48,    9.43,   14.64
42.52506,3.08317,T2M,1986,    7.83,    6.54,   10.08,   10.84,   17.31,   19.56,   23.16,   23.00,   20.95,   17.28,   12.41,    9.19,   14.90
42.52506,3.08317,T2M,1987,    5.53,    8.20,    9.39,   13.19,   14.64,   18.79,   22.93,   23.03,   22.42,   17.50,   11.88,   10.79,   14.89
42.52506,3.08317,T2M,1988,   10.31,    8.72,    9.87,   12.97,   16.31,   19.59,   22.93,   23.32,   19.90,   17.19,   12.12,    8.73,   15.19
42.52506,3.08317,T2M,1989,    9.01,   10.02,   11.80,   12.10,   17.64,   21.02,   23.95,   23.93,   19.76,   16.39,   13.02,   11.25,   15.86
42.52506,3.08317,T2M,1990,    9.52,   11.95,   11.91,   12.72,   18.40,   20.36,   23.36,   23.98,   20.63,   17.14,   11.80,    7.19,   15.77
42.52506,3.08317,T2M,1991,    8.54,    8.06,   12.17,   11.90,   14.72,   19.44,   23.57,   24.18,   22.21,   14.91,   11.17,    9.34,   15.06
42.52506,3.08317,T2M,1992,    7.51,    8.80,   10.79,   12.96,   17.42,   17.95,   22.30,   23.95,   19.60,   14.63,   13.13,    9.79,   14.93
42.52506,3.08317,T2M,1993,    9.18,    8.41,   10.32,   12.77,   16.94,   20.31,   21.39,   22.86,   18.94,   14.97,   10.79,    9.91,   14.77
42.52506,3.08317,T2M,1994,    8.39,    8.99,   12.32,   11.48,   16.99,   20.21,   24.69,   24.92,   19.12,   15.72,   14.14,   10.29,   15.65
42.52506,3.08317,T2M,1995,    8.00,   10.69,   10.22,   13.14,   16.08,   19.51,   24.16,   23.54,   18.30,   17.86,   12.57,   10.23,   15.39
42.52506,3.08317,T2M,1996,   10.81,    7.59,   10.01,   12.88,   15.88,   20.58,   22.47,   22.39,   18.02,   15.08,   11.61,    9.77,   14.78
42.52506,3.08317,T2M,1997,    8.87,   10.58,   12.54,   13.40,   16.63,   19.44,   21.59,   23.90,   20.89,   17.55,   13.41,    9.79,   15.75
42.52506,3.08317,T2M,1998,    9.52,   10.31,   11.37,   12.46,   16.93,   20.29,   23.26,   23.23,   19.35,   15.57,   10.18,    8.68,   15.13
42.52506,3.08317,T2M,1999,    9.13,    7.71,   11.40,   13.26,   17.12,   19.99,   22.87,   23.58,   21.51,   17.14,   10.53,    8.67,   15.29
