-BEGIN HEADER-
NASA/POWER SRB/FLASHFlux/MERRA2/GEOS 5.12.4 (FP-IT) 0.5 x 0.5 Degree Interannual Averages/Sums 
Dates (month/day/year): 01/01/1981 through 12/31/2019 
Location: Latitude  41.5921   Longitude 9.2762 
Elevation from MERRA-2: Average for 1/2x1/2 degree lat/lon region = 284.18 meters   Site = na 
Climate zone: na (reference Briggs et al: http://www.energycodes.gov) 
Value for missing model data cannot be computed or out of model availability range: -999 
Parameter(s): 
RH2M MERRA2 1/2x1/2 Relative Humidity at 2 Meters (%) 
T2M MERRA2 1/2x1/2 Temperature at 2 Meters (C) 
-END HEADER-
LAT,LON,PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
41.59212,9.27616,T2M,1981,    7.37,    7.64,   11.12,   13.42,   15.71,   20.82,   22.63,   24.15,   21.48,   17.21,   12.30,   10.39,   15.40
41.59212,9.27616,T2M,1982,   10.40,    9.22,    9.83,   12.28,   17.00,   21.59,   25.75,   23.93,   22.19,   16.82,   13.63,   10.49,   16.14
41.59212,9.27616,T2M,1983,    9.47,    7.53,   10.72,   12.82,   16.02,   20.82,   26.44,   23.67,   21.14,   17.02,   13.38,    9.98,   15.80
41.59212,9.27616,T2M,1984,    8.83,    7.62,    9.39,   12.23,   13.85,   18.73,   23.39,   22.56,   19.30,   16.50,   14.13,   10.49,   14.78
41.59212,9.27616,T2M,1985,    6.65,    9.42,    9.50,   12.71,   15.59,   20.03,   25.29,   23.90,   22.54,   17.95,   11.88,   11.07,   15.58
41.59212,9.27616,T2M,1986,    8.65,    7.31,   10.42,   11.71,   18.38,   19.62,   23.58,   24.72,   21.43,   18.15,   13.28,    9.84,   15.65
41.59212,9.27616,T2M,1987,    8.03,    8.70,    8.37,   12.99,   15.27,   19.93,   24.84,   24.77,   23.56,   18.37,   13.33,   11.52,   15.85
41.59212,9.27616,T2M,1988,   10.37,    9.14,   10.14,   12.99,   16.86,   20.07,   24.57,   25.06,   20.51,   18.51,   12.28,    9.82,   15.89
41.59212,9.27616,T2M,1989,    9.26,   10.31,   12.59,   12.24,   17.02,   20.26,   24.41,   24.79,   20.19,   16.26,   12.72,   10.91,   15.95
41.59212,9.27616,T2M,1990,    9.64,   11.59,   11.64,   12.48,   17.95,   21.12,   24.06,   24.18,   21.20,   18.48,   12.36,    8.02,   16.09
41.59212,9.27616,T2M,1991,    8.70,    8.40,   11.80,   11.63,   14.11,   19.66,   24.80,   25.29,   22.29,   16.26,   11.90,    8.83,   15.35
41.59212,9.27616,T2M,1992,    8.85,    9.04,   10.92,   12.83,   18.13,   18.86,   23.32,   25.58,   21.31,   16.50,   13.98,   10.56,   15.85
41.59212,9.27616,T2M,1993,    9.00,    8.44,    9.76,   12.61,   17.45,   21.11,   23.06,   25.28,   20.63,   16.76,   12.02,   10.60,   15.61
41.59212,9.27616,T2M,1994,    9.33,    8.86,   12.60,   11.77,   17.25,   20.46,   26.10,   26.72,   21.09,   16.98,   14.90,   11.22,   16.50
