-BEGIN HEADER-
NASA/POWER SRB/FLASHFlux/MERRA2/GEOS 5.12.4 (FP-IT) 0.5 x 0.5 Degree Interannual Averages/Sums 
Dates (month/day/year): 01/01/1981 through 12/31/2019 
Location: Latitude  42.1881   Longitude 9.0684 
Elevation from MERRA-2: Average for 1/2x1/2 degree lat/lon region = 406.3 meters   Site = na 
Climate zone: na (reference Briggs et al: http://www.energycodes.gov) 
Value for missing model data cannot be computed or out of model availability range: -999 
Parameter(s): 
RH2M MERRA2 1/2x1/2 Relative Humidity at 2 Meters (%) 
T2M MERRA2 1/2x1/2 Temperature at 2 Meters (C) 
-END HEADER-
LAT,LON,PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
42.1881,9.06842,T2M,1981,    5.60,    6.17,   10.37,   12.81,   15.31,   20.85,   22.58,   24.03,   20.84,   16.22,   10.82,    8.81,   14.58
42.1881,9.06842,T2M,1982,    8.93,    7.70,    8.58,   11.41,   16.54,   21.70,   25.90,   23.68,   21.65,   15.48,   12.41,    9.01,   15.29
42.1881,9.06842,T2M,1983,    8.27,    5.87,    9.72,   12.12,   15.56,   20.68,   26.57,   23.28,   20.53,   15.97,   11.71,    8.38,   14.95
42.1881,9.06842,T2M,1984,    7.20,    6.02,    8.09,   11.28,   12.95,   18.43,   23.54,   22.18,   18.42,   15.34,   12.76,    8.89,   13.78
42.1881,9.06842,T2M,1985,    4.96,    7.97,    8.29,   11.90,   15.16,   20.06,   25.40,   24.13,   22.22,   16.98,   10.34,    9.70,   14.80
42.1881,9.06842,T2M,1986,    7.05,    5.56,    9.20,   10.91,   18.40,   19.46,   23.47,   24.68,   20.78,   17.13,   11.83,    8.24,   14.79
42.1881,9.06842,T2M,1987,    6.35,    7.24,    6.99,   12.35,   14.98,   19.97,   24.98,   24.84,   23.25,   17.20,   11.87,   10.09,   15.05
42.1881,9.06842,T2M,1988,    8.99,    7.79,    9.10,   12.30,   16.48,   19.73,   24.60,   25.12,   19.85,   17.65,   10.63,    8.25,   15.07
42.1881,9.06842,T2M,1989,    7.87,    9.23,   11.82,   11.47,   16.84,   20.14,   24.55,   24.69,   19.39,   15.30,   11.10,    9.30,   15.19
42.1881,9.06842,T2M,1990,    8.06,   10.53,   10.72,   11.65,   17.74,   21.14,   24.09,   23.89,   20.64,   17.45,   10.87,    6.38,   15.29
