-BEGIN HEADER-
NASA/POWER SRB/FLASHFlux/MERRA2/GEOS 5.12.4 (FP-IT) 0.5 x 0.5 Degree Interannual Averages/Sums 
Dates (month/day/year): 01/01/1981 through 12/31/2019 
Location: Latitude  47.4582   Longitude -1.1758 
Elevation from MERRA-2: Average for 1/2x1/2 degree lat/lon region = 62.05 meters   Site = na 
Climate zone: na (reference Briggs et al: http://www.energycodes.gov) 
Value for missing model data cannot be computed or out of model availability range: -999 
Parameter(s): 
T2M MERRA2 1/2x1/2 Temperature at 2 Meters (C) 
RH2M MERRA2 1/2x1/2 Relative Humidity at 2 Meters (%) 
-END HEADER-
LAT,LON,PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
47.45815,-1.17582,T2M,1981,    4.84,    2.83,    9.28,   10.08,   12.53,   15.41,   17.36,   18.97,   16.34,   11.62,    7.55,    5.43,   11.07
47.45815,-1.17582,T2M,1982,    6.22,    5.94,    6.96,    9.10,   13.34,   17.38,   19.13,   17.43,   17.18,   11.61,    9.12,    5.72,   11.62
47.45815,-1.17582,T2M,1983,    6.11,    3.14,    7.53,    8.78,   11.58,   17.09,   21.42,   18.77,   16.04,   11.54,    7.63,    4.44,   11.22
47.45815,-1.17582,T2M,1984,    5.78,    3.89,    5.76,    9.96,   10.54,   16.45,   18.59,   18.39,   14.91,   12.00,    9.55,    5.14,   10.93
47.45815,-1.17582,T2M,1985,    0.28,    4.04,    5.59,    9.85,   12.58,   15.29,   18.64,   16.60,   16.90,   11.68,    4.71,    5.77,   10.19
47.45815,-1.17582,T2M,1986,    5.44,   -1.22,    6.69,    6.80,   12.74,   17.22,   18.40,   16.76,   14.40,   14.23,    8.62,    6.55,   10.64
47.45815,-1.17582,T2M,1987,   -1.66,    3.84,    5.57,   11.43,   12.31,   15.85,   19.44,   19.54,   18.10,   12.67,    7.45,    5.58,   10.87
47.45815,-1.17582,T2M,1988,    7.87,    5.81,    7.56,   11.02,   14.21,   17.23,   17.21,   18.61,   16.08,   13.28,    6.90,    6.43,   11.87
47.45815,-1.17582,T2M,1989,    4.17,    6.74,    9.87,    8.63,   16.96,   18.41,   21.53,   20.41,   17.49,   14.22,    7.45,    6.31,   12.73
47.45815,-1.17582,T2M,1990,    6.79,    9.85,    8.57,    9.85,   16.96,   16.69,   21.59,   22.27,   17.20,   14.00,    8.10,    3.50,   12.97
47.45815,-1.17582,T2M,1991,    4.11,    2.29,    9.49,    9.92,   13.65,   15.85,   20.57,   22.21,   19.12,   11.49,    7.79,    3.47,   11.72
47.45815,-1.17582,T2M,1992,    2.19,    4.95,    8.30,    9.85,   16.25,   18.06,   20.19,   20.24,   15.85,   10.31,   10.26,    5.18,   11.82
47.45815,-1.17582,T2M,1993,    7.30,    4.27,    7.85,   10.94,   14.22,   17.93,   17.98,   18.66,   14.68,   10.06,    4.63,    7.68,   11.40
47.45815,-1.17582,T2M,1994,    6.78,    6.70,    9.62,    9.55,   13.85,   17.41,   21.07,   19.67,   14.93,   12.80,   10.48,    8.18,   12.63
