-BEGIN HEADER-
NASA/POWER SRB/FLASHFlux/MERRA2/GEOS 5.12.4 (FP-IT) 0.5 x 0.5 Degree Interannual Averages/Sums 
Dates (month/day/year): 01/01/1981 through 12/31/2019 
Location: Latitude  47.6832   Longitude 2.6534 
Elevation from MERRA-2: Average for 1/2x1/2 degree lat/lon region = 169.58 meters   Site = na 
Climate zone: na (reference Briggs et al: http://www.energycodes.gov) 
Value for missing model data cannot be computed or out of model availability range: -999 
Parameter(s): 
RH2M MERRA2 1/2x1/2 Relative Humidity at 2 Meters (%) 
T2M MERRA2 1/2x1/2 Temperature at 2 Meters (C) 
-END HEADER-
LAT,LON,PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
47.68319,2.65345,T2M,1981,    1.46,    1.17,    8.51,    9.56,   12.31,   15.08,   17.31,   17.93,   15.45,   10.08,    5.33,    2.59,    9.78
47.68319,2.65345,T2M,1982,    3.56,    3.91,    5.17,    8.04,   13.07,   17.41,   19.31,   17.44,   17.19,   10.38,    7.49,    3.50,   10.57
47.68319,2.65345,T2M,1983,    4.10,    0.78,    5.96,    8.43,   10.90,   17.34,   21.32,   18.42,   15.08,   10.38,    5.45,    2.62,   10.13
47.68319,2.65345,T2M,1984,    2.82,    1.91,    4.07,    8.48,   10.22,   15.79,   18.19,   18.02,   13.79,   10.84,    8.77,    2.79,    9.66
47.68319,2.65345,T2M,1985,   -3.02,    1.48,    3.93,    9.08,   12.34,   14.90,   18.85,   16.72,   16.29,   10.52,    2.30,    3.05,    8.91
47.68319,2.65345,T2M,1986,    2.39,   -2.85,    4.55,    6.19,   13.52,   17.60,   18.59,   17.28,   13.48,   12.79,    6.56,    3.60,    9.56
47.68319,2.65345,T2M,1987,   -3.85,    1.70,    3.44,   10.66,   11.24,   15.33,   18.43,   18.30,   17.77,   11.80,    5.71,    2.96,    9.49
47.68319,2.65345,T2M,1988,    5.86,    3.69,    5.60,   10.12,   14.14,   16.46,   17.28,   18.69,   15.16,   11.88,    4.83,    4.82,   10.74
47.68319,2.65345,T2M,1989,    2.45,    4.34,    9.04,    7.96,   15.83,   16.90,   20.15,   19.72,   16.28,   12.66,    5.31,    3.90,   11.26
47.68319,2.65345,T2M,1990,    3.62,    7.92,    7.94,    8.67,   16.36,   17.01,   20.89,   22.42,   15.80,   13.27,    6.13,    1.43,   11.82
47.68319,2.65345,T2M,1991,    2.70,    0.33,    8.89,    8.91,   12.18,   15.86,   21.52,   21.95,   18.46,   10.25,    5.67,    1.41,   10.74
47.68319,2.65345,T2M,1992,    0.52,    3.39,    7.35,    9.38,   15.89,   17.03,   20.79,   21.04,   15.51,    8.57,    8.08,    3.47,   10.94
47.68319,2.65345,T2M,1993,    4.74,    1.93,    6.33,   10.96,   14.71,   17.93,   18.21,   18.48,   13.88,    9.05,    2.45,    4.76,   10.34
47.68319,2.65345,T2M,1994,    4.27,    3.90,    8.56,    8.48,   13.64,   16.97,   21.72,   19.64,   14.43,   11.26,    9.23,    5.59,   11.53
47.68319,2.65345,T2M,1995,    3.31,    6.58,    5.36,    9.10,   13.28,   15.48,   21.03,   19.76,   13.79,   14.11,    5.69,    2.07,   10.83
47.68319,2.65345,T2M,1996,    3.78,    1.40,    4.99,    9.46,   12.16,   17.67,   18.73,   18.28,   13.30,   10.69,    5.48,    0.87,    9.76
47.68319,2.65345,T2M,1997,   -1.06,    5.58,    8.13,    8.85,   13.44,   16.47,   18.51,   22.26,   16.09,   10.54,    7.49,    4.18,   10.90
47.68319,2.65345,T2M,1998,    3.43,    3.87,    6.98,    8.54,   14.63,   16.99,   18.18,   19.77,   15.37,   10.53,    3.25,    3.00,   10.42
47.68319,2.65345,T2M,1999,    4.20,    2.92,    7.25,    9.85,   15.26,   16.04,   20.08,   19.07,   17.57,   11.05,    4.05,    3.88,   10.99
47.68319,2.65345,T2M,2000,    1.88,    5.43,    6.24,    9.32,   14.91,   17.25,   16.75,   19.22,   15.99,   10.77,    7.28,    6.03,   10.94
47.68319,2.65345,T2M,2001,    3.79,    4.05,    7.94,    8.19,   14.77,   16.04,   18.87,   19.29,   12.90,   13.89,    4.04,    0.70,   10.43
47.68319,2.65345,T2M,2002,    3.03,    5.97,    7.56,    9.66,   12.87,   17.83,   18.06,   18.10,   14.29,   11.15,    8.09,    5.73,   11.05
47.68319,2.65345,T2M,2003,    1.04,    1.51,    8.04,   10.06,   14.00,   20.58,   20.32,   23.59,   15.81,    8.72,    7.28,    3.29,   11.24
47.68319,2.65345,T2M,2004,    3.05,    3.19,    5.26,    9.68,   12.77,   17.55,   18.76,   19.35,   16.42,   12.01,    5.58,    1.86,   10.47
47.68319,2.65345,T2M,2005,    3.09,    1.21,    6.13,   10.28,   14.13,   19.04,   19.96,   18.22,   16.57,   14.39,    4.66,    1.32,   10.81
47.68319,2.65345,T2M,2006,    0.96,    1.34,    5.20,    9.66,   13.76,   18.35,   23.62,   17.00,   18.41,   13.79,    8.06,    3.45,   11.19
47.68319,2.65345,T2M,2007,    5.65,    6.63,    6.56,   13.64,   14.88,   17.54,   17.48,   17.20,   14.06,   10.20,    4.76,    2.61,   10.95
47.68319,2.65345,T2M,2008,    4.42,    4.79,    5.86,    8.38,   15.49,   16.82,   18.28,   18.06,   13.23,   10.15,    6.18,    1.39,   10.27
47.68319,2.65345,T2M,2009,   -0.53,    2.15,    5.67,   11.25,   14.81,   16.89,   19.00,   20.29,   15.79,   11.11,    8.46,    2.41,   10.65
47.68319,2.65345,T2M,2010,   -1.14,    1.94,    5.30,   10.09,   12.10,   17.63,   20.62,   18.06,   14.50,   10.06,    5.81,   -1.63,    9.48
47.68319,2.65345,T2M,2011,    2.48,    4.25,    7.16,   12.80,   15.34,   17.28,   17.41,   19.15,   17.21,   12.06,    8.79,    5.81,   11.68
47.68319,2.65345,T2M,2012,    4.06,   -0.89,    8.37,    8.57,   14.65,   16.63,   17.93,   20.12,   15.32,   11.84,    6.33,    4.58,   10.68
47.68319,2.65345,T2M,2013,    1.59,    1.02,    4.23,    8.99,   10.95,   16.16,   20.81,   18.57,   15.83,   12.94,    5.40,    3.44,   10.05
47.68319,2.65345,T2M,2014,    5.31,    5.59,    7.77,   11.10,   13.01,   17.50,   19.27,   16.91,   16.67,   13.22,    8.67,    3.32,   11.56
47.68319,2.65345,T2M,2015,    2.67,    2.25,    6.83,   10.97,   13.93,   17.99,   21.06,   20.28,   14.06,   10.07,    9.21,    6.87,   11.40
47.68319,2.65345,T2M,2016,    4.04,    4.68,    5.43,    9.12,   13.49,   16.77,   19.43,   19.73,   17.70,    9.87,    5.91,    2.86,   10.77
47.68319,2.65345,T2M,2017,   -0.55,    5.48,    9.03,    9.45,   15.08,   19.70,   20.03,   19.14,   14.54,   12.51,    5.88,    3.57,   11.19
47.68319,2.65345,T2M,2018,    6.35,    0.08,    5.75,   12.20,   15.21,   18.53,   21.79,   20.58,   16.79,   12.48,    6.69,    5.13,   11.88
47.68319,2.65345,T2M,2019,    1.74,    5.41,    8.06,   10.27,   12.51,   19.16,   22.17,   20.99,   16.73,   12.77,    6.67,    5.57,   11.87
47.68319,2.65345,RH2M,1981,   92.55,   87.13,   86.79,   80.82,   82.30,   80.36,   80.66,   80.70,   79.25,   87.89,   91.03,   94.39,   85.33
47.68319,2.65345,RH2M,1982,   94.50,   91.29,   84.87,   78.88,   79.83,   79.71,   77.94,   77.37,   78.62,   89.47,   91.27,   94.65,   84.84
47.68319,2.65345,RH2M,1983,   93.95,   89.87,   87.42,   86.01,   83.89,   78.95,   79.76,   80.04,   80.88,   83.83,   90.66,   92.66,   85.64
47.68319,2.65345,RH2M,1984,   93.19,   87.88,   82.91,   74.33,   80.56,   77.29,   73.42,   76.31,   82.77,   89.01,   91.44,   95.47,   83.72
47.68319,2.65345,RH2M,1985,   90.54,   87.69,   85.55,   80.26,   83.36,   78.36,   74.70,   75.38,   73.68,   79.35,   89.62,   92.15,   82.53
47.68319,2.65345,RH2M,1986,   92.11,   86.00,   86.27,   82.03,   79.32,   77.67,   70.90,   70.13,   77.18,   84.42,   91.46,   94.65,   82.66
47.68319,2.65345,RH2M,1987,   85.97,   92.87,   79.93,   77.46,   74.11,   78.79,   77.65,   73.19,   74.23,   86.67,   92.18,   94.14,   82.20
47.68319,2.65345,RH2M,1988,   93.12,   87.65,   86.22,   79.24,   81.86,   78.55,   76.36,   71.64,   78.85,   85.37,   90.89,   95.04,   83.73
47.68319,2.65345,RH2M,1989,   94.42,   86.36,   80.44,   79.10,   72.18,   68.77,   67.47,   62.95,   66.73,   75.09,   84.69,   91.90,   77.46
47.68319,2.65345,RH2M,1990,   90.35,   84.72,   76.76,   72.94,   62.67,   64.57,   50.76,   47.82,   58.14,   75.08,   89.46,   91.92,   72.00
47.68319,2.65345,RH2M,1991,   88.04,   85.74,   79.35,   68.11,   62.38,   62.05,   54.05,   51.07,   62.09,   79.43,   89.18,   91.33,   72.65
47.68319,2.65345,RH2M,1992,   89.64,   86.17,   77.28,   71.10,   63.88,   70.57,   61.64,   60.68,   69.12,   81.99,   92.09,   93.30,   76.41
47.68319,2.65345,RH2M,1993,   90.88,   86.71,   74.70,   77.95,   74.65,   72.25,   65.86,   58.60,   76.27,   86.00,   88.22,   94.72,   78.84
47.68319,2.65345,RH2M,1994,   92.01,   90.06,   85.05,   78.60,   76.36,   75.66,   70.40,   69.35,   79.62,   82.12,   92.48,   92.74,   81.98
47.68319,2.65345,RH2M,1995,   90.64,   89.16,   83.06,   81.90,   74.47,   76.33,   72.00,   69.00,   77.22,   82.51,   86.12,   91.70,   81.12
47.68319,2.65345,RH2M,1996,   92.66,   87.68,   77.27,   70.98,   75.70,   64.88,   61.68,   64.04,   67.33,   81.70,   91.07,   91.19,   77.16
47.68319,2.65345,RH2M,1997,   93.56,   86.61,   82.87,   67.21,   75.37,   75.17,   71.27,   66.98,   67.07,   77.39,   91.52,   93.09,   78.99
47.68319,2.65345,RH2M,1998,   89.91,   89.03,   77.70,   82.54,   73.91,   71.71,   68.35,   58.52,   76.12,   85.85,   88.84,   92.78,   79.53
47.68319,2.65345,RH2M,1999,   91.18,   88.00,   84.53,   80.84,   79.00,   74.29,   71.66,   69.74,   73.34,   85.68,   90.75,   93.66,   81.86
47.68319,2.65345,RH2M,2000,   93.48,   88.41,   81.48,   80.89,   78.06,   75.37,   77.66,   71.82,   76.00,   85.27,   92.24,   92.51,   82.75
47.68319,2.65345,RH2M,2001,   90.92,   87.61,   87.50,   81.44,   77.86,   72.32,   76.26,   71.61,   80.91,   84.93,   91.37,   91.43,   82.82
47.68319,2.65345,RH2M,2002,   92.95,   87.86,   79.96,   73.56,   76.91,   74.23,   71.53,   75.08,   73.15,   82.02,   92.77,   94.62,   81.19
47.68319,2.65345,RH2M,2003,   91.19,   84.96,   76.17,   71.61,   76.88,   74.37,   64.34,   54.90,   63.01,   81.69,   91.41,   92.71,   76.89
47.68319,2.65345,RH2M,2004,   92.71,   84.50,   79.15,   78.29,   72.95,   68.25,   68.29,   72.67,   69.91,   84.26,   92.20,   94.40,   79.80
47.68319,2.65345,RH2M,2005,   91.41,   85.14,   83.73,   77.48,   73.22,   68.36,   67.48,   63.91,   71.65,   80.43,   88.66,   92.27,   78.61
47.68319,2.65345,RH2M,2006,   92.02,   89.41,   82.52,   73.98,   79.28,   68.90,   61.72,   71.25,   74.39,   86.99,   91.21,   92.99,   80.35
47.68319,2.65345,RH2M,2007,   91.95,   88.45,   82.20,   72.95,   78.65,   77.90,   75.00,   77.26,   75.64,   84.73,   90.42,   93.20,   82.35
47.68319,2.65345,RH2M,2008,   90.51,   87.99,   82.82,   80.60,   76.54,   78.27,   72.35,   73.85,   75.41,   82.50,   92.08,   93.75,   82.20
47.68319,2.65345,RH2M,2009,   91.81,   87.43,   79.52,   78.39,   77.50,   74.26,   69.18,   65.66,   72.46,   80.27,   90.28,   93.23,   79.95
47.68319,2.65345,RH2M,2010,   90.98,   87.85,   77.92,   73.20,   72.88,   72.75,   67.66,   70.10,   73.16,   80.01,   92.64,   94.97,   79.46
47.68319,2.65345,RH2M,2011,   91.88,   90.72,   80.53,   73.05,   67.19,   69.03,   66.61,   70.82,   74.16,   79.00,   91.58,   93.16,   78.90
47.68319,2.65345,RH2M,2012,   92.03,   80.94,   79.18,   76.16,   77.74,   78.33,   72.53,   64.09,   68.07,   84.34,   92.92,   93.27,   79.97
47.68319,2.65345,RH2M,2013,   93.46,   87.39,   82.67,   79.04,   81.46,   78.51,   77.57,   72.98,   79.20,   87.96,   90.52,   92.44,   83.59
47.68319,2.65345,RH2M,2014,   92.67,   88.76,   78.67,   77.15,   77.42,   73.28,   78.37,   77.91,   77.45,   86.13,   92.64,   93.91,   82.85
47.68319,2.65345,RH2M,2015,   92.72,   88.28,   81.70,   73.98,   77.77,   71.98,   66.27,   68.98,   74.77,   84.88,   90.67,   93.86,   80.45
47.68319,2.65345,RH2M,2016,   92.63,   86.40,   82.89,   78.12,   79.03,   84.30,   76.17,   72.05,   74.42,   83.56,   90.61,   94.62,   82.89
47.68319,2.65345,RH2M,2017,   92.01,   88.85,   83.01,   71.77,   77.72,   70.69,   71.28,   72.89,   75.72,   82.27,   89.62,   94.59,   80.85
