-BEGIN HEADER-
NASA/POWER SRB/FLASHFlux/MERRA2/GEOS 5.12.4 (FP-IT) 0.5 x 0.5 Degree Interannual Averages/Sums 
Dates (month/day/year): 01/01/1981 through 12/31/2019 
Location: Latitude  43.2064   Longitude 3.0769 
Elevation from MERRA-2: Average for 1/2x1/2 degree lat/lon region = 169.63 meters   Site = na 
Climate zone: na (reference Briggs et al: http://www.energycodes.gov) 
Value for missing model data cannot be computed or out of model availability range: -999 
Parameter(s): 
RH2M MERRA2 1/2x1/2 Relative Humidity at 2 Meters (%) 
T2M MERRA2 1/2x1/2 Temperature at 2 Meters (C) 
-END HEADER-
LAT,LON,PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
43.20638,3.07687,T2M,1981,    5.38,    5.60,   10.67,   12.44,   14.35,   19.92,   20.62,   22.87,   19.83,   14.73,   10.42,    7.61,   13.75
43.20638,3.07687,T2M,1982,    8.33,    8.22,    8.33,   11.72,   14.95,   20.36,   24.52,   21.24,   19.68,   13.98,   10.78,    7.31,   14.15
43.20638,3.07687,T2M,1983,    6.97,    5.46,    9.20,   11.34,   14.56,   19.36,   24.75,   22.25,   19.99,   15.38,   11.70,    7.29,   14.07
43.20638,3.07687,T2M,1984,    6.61,    5.80,    7.60,   11.18,   12.95,   18.83,   22.35,   21.31,   17.53,   14.30,   12.10,    7.31,   13.18
43.20638,3.07687,T2M,1985,    1.83,    8.22,    7.45,   12.19,   14.08,   18.66,   23.77,   21.83,   21.09,   16.61,    7.23,    7.61,   13.41
43.20638,3.07687,T2M,1986,    5.86,    4.19,    8.40,    9.46,   16.58,   19.33,   23.32,   22.55,   20.31,   16.09,   10.75,    7.31,   13.74
43.20638,3.07687,T2M,1987,    3.01,    6.48,    7.65,   12.27,   13.92,   18.48,   22.80,   22.95,   21.65,   16.07,    9.88,    9.05,   13.72
43.20638,3.07687,T2M,1988,    8.68,    6.96,    8.25,   11.94,   15.59,   18.99,   22.72,   22.99,   19.36,   16.27,   10.29,    6.91,   14.11
43.20638,3.07687,T2M,1989,    7.29,    8.38,   10.71,   10.99,   17.28,   20.95,   24.11,   23.48,   19.13,   15.17,   11.16,    9.40,   14.88
43.20638,3.07687,T2M,1990,    7.49,   10.57,   10.79,   11.59,   18.05,   19.97,   23.55,   23.75,   19.77,   16.26,   10.03,    5.05,   14.77
43.20638,3.07687,T2M,1991,    6.69,    6.12,   11.17,   10.94,   14.29,   19.32,   23.83,   24.24,   21.44,   13.56,    9.57,    7.15,   14.08
43.20638,3.07687,T2M,1992,    5.49,    7.07,    9.56,   12.13,   17.08,   17.39,   22.19,   23.69,   18.92,   13.11,   11.55,    8.24,   13.89
