-BEGIN HEADER-
NASA/POWER SRB/FLASHFlux/MERRA2/GEOS 5.12.4 (FP-IT) 0.5 x 0.5 Degree Interannual Averages/Sums 
Dates (month/day/year): 01/01/1981 through 12/31/2019 
Location: Latitude  47.3292   Longitude -0.6706 
Elevation from MERRA-2: Average for 1/2x1/2 degree lat/lon region = 87.88 meters   Site = na 
Climate zone: na (reference Briggs et al: http://www.energycodes.gov) 
Value for missing model data cannot be computed or out of model availability range: -999 
Parameter(s): 
T2M MERRA2 1/2x1/2 Temperature at 2 Meters (C) 
RH2M MERRA2 1/2x1/2 Relative Humidity at 2 Meters (%) 
-END HEADER-
LAT,LON,PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
47.32922,-0.67058,T2M,1981,    4.34,    2.46,    9.17,    9.98,   12.43,   15.37,   17.33,   19.03,   16.28,   11.38,    7.14,    5.01,   10.88
47.32922,-0.67058,T2M,1982,    5.85,    5.57,    6.63,    8.90,   13.33,   17.47,   19.27,   17.41,   17.21,   11.40,    8.78,    5.36,   11.46
47.32922,-0.67058,T2M,1983,    5.74,    2.81,    7.35,    8.62,   11.43,   17.14,   21.40,   18.69,   15.91,   11.32,    7.34,    4.06,   11.04
47.32922,-0.67058,T2M,1984,    5.33,    3.58,    5.46,    9.69,   10.42,   16.40,   18.65,   18.30,   14.75,   11.70,    9.33,    4.66,   10.71
47.32922,-0.67058,T2M,1985,   -0.21,    3.62,    5.26,    9.68,   12.40,   15.21,   18.70,   16.51,   16.91,   11.50,    4.26,    5.07,    9.94
47.32922,-0.67058,T2M,1986,    4.85,   -1.55,    6.34,    6.62,   12.79,   17.34,   18.48,   16.82,   14.35,   14.08,    8.19,    6.03,   10.45
47.32922,-0.67058,T2M,1987,   -2.17,    3.53,    5.21,   11.29,   12.15,   15.84,   19.41,   19.52,   18.08,   12.57,    7.16,    5.07,   10.67
47.32922,-0.67058,T2M,1988,    7.52,    5.49,    7.32,   10.82,   14.18,   17.14,   17.29,   18.74,   15.96,   13.06,    6.58,    6.13,   11.71
47.32922,-0.67058,T2M,1989,    3.78,    6.25,    9.76,    8.42,   16.81,   18.29,   21.42,   20.39,   17.36,   14.05,    7.08,    5.86,   12.50
47.32922,-0.67058,T2M,1990,    6.13,    9.49,    8.47,    9.69,   16.88,   16.71,   21.55,   22.40,   17.01,   13.92,    7.81,    3.13,   12.79
47.32922,-0.67058,T2M,1991,    3.86,    1.87,    9.38,    9.79,   13.44,   15.88,   20.77,   22.34,   19.04,   11.28,    7.38,    3.10,   11.57
47.32922,-0.67058,T2M,1992,    1.78,    4.66,    8.21,    9.64,   16.24,   18.04,   20.37,   20.41,   15.79,    9.97,    9.94,    4.79,   11.67
47.32922,-0.67058,T2M,1993,    6.72,    3.82,    7.59,   10.77,   14.19,   17.89,   18.03,   18.59,   14.49,    9.85,    4.24,    7.23,   11.17
47.32922,-0.67058,T2M,1994,    6.40,    6.29,    9.48,    9.42,   13.80,   17.42,   21.32,   19.70,   14.73,   12.54,   10.21,    7.80,   12.47
47.32922,-0.67058,T2M,1995,    5.39,    8.33,    7.04,    9.76,   13.55,   16.09,   20.67,   20.49,   14.53,   14.60,    7.25,    3.64,   11.81
47.32922,-0.67058,T2M,1996,    6.04,    3.57,    6.41,    9.99,   11.99,   17.56,   18.81,   18.46,   14.63,   12.36,    7.23,    2.15,   10.79
47.32922,-0.67058,T2M,1997,    0.48,    7.11,    9.44,   10.16,   14.08,   16.27,   19.04,   21.84,   17.20,   12.50,    9.07,    5.94,   11.95
47.32922,-0.67058,T2M,1998,    4.95,    4.99,    8.14,    8.94,   14.93,   16.29,   17.81,   19.25,   16.10,   12.09,    5.23,    5.07,   11.19
47.32922,-0.67058,T2M,1999,    6.29,    5.20,    8.22,   10.37,   14.99,   16.34,   20.00,   18.66,   17.26,   12.07,    5.84,    6.09,   11.82
47.32922,-0.67058,T2M,2000,    3.50,    6.90,    6.96,    9.15,   14.57,   17.08,   16.85,   18.56,   16.15,   11.40,    8.06,    7.35,   11.39
47.32922,-0.67058,T2M,2001,    5.42,    5.06,    8.54,    8.69,   14.06,   16.22,   18.31,   18.67,   13.78,   14.28,    5.74,    2.05,   10.95
47.32922,-0.67058,T2M,2002,    5.80,    7.11,    8.03,    9.88,   12.68,   16.43,   17.31,   17.35,   14.73,   12.25,    9.49,    7.31,   11.56
47.32922,-0.67058,T2M,2003,    2.67,    3.35,    8.65,   10.50,   13.50,   19.40,   19.08,   21.87,   15.98,    9.91,    8.73,    4.85,   11.58
47.32922,-0.67058,T2M,2004,    5.20,    4.15,    5.98,    9.78,   13.13,   17.70,   18.03,   18.89,   17.04,   12.50,    7.61,    3.89,   11.18
47.32922,-0.67058,T2M,2005,    5.46,    2.87,    7.30,   10.38,   13.76,   19.07,   19.97,   18.74,   17.17,   15.12,    6.22,    2.95,   11.64
