-BEGIN HEADER-
NASA/POWER SRB/FLASHFlux/MERRA2/GEOS 5.12.4 (FP-IT) 0.5 x 0.5 Degree Interannual Averages/Sums 
Dates (month/day/year): 01/01/1981 through 12/31/2019 
Location: Latitude  47.5128   Longitude 1.4588 
Elevation from MERRA-2: Average for 1/2x1/2 degree lat/lon region = 124.14 meters   Site = na 
Climate zone: na (reference Briggs et al: http://www.energycodes.gov) 
Value for missing model data cannot be computed or out of model availability range: -999 
Parameter(s): 
RH2M MERRA2 1/2x1/2 Relative Humidity at 2 Meters (%) 
T2M MERRA2 1/2x1/2 Temperature at 2 Meters (C) 
-END HEADER-
LAT,LON,PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
47.51277,1.45883,T2M,1981,    2.77,    1.64,    8.60,    9.75,   12.07,   15.17,   17.59,   18.96,   16.48,   10.55,    5.97,    3.26,   10.29
47.51277,1.45883,T2M,1982,    3.98,    4.73,    5.70,    8.30,   13.08,   17.63,   19.81,   18.05,   17.90,   10.70,    7.82,    4.12,   11.02
47.51277,1.45883,T2M,1983,    4.72,    1.49,    6.58,    8.35,   10.99,   17.39,   21.32,   18.82,   15.83,   11.07,    6.25,    3.19,   10.56
47.51277,1.45883,T2M,1984,    3.72,    2.69,    4.63,    8.88,   10.36,   16.52,   19.62,   19.11,   14.68,   11.21,    8.96,    3.46,   10.34
47.51277,1.45883,T2M,1985,   -1.90,    1.91,    4.38,    9.19,   12.23,   14.81,   19.05,   17.33,   17.42,   11.42,    3.16,    3.97,    9.46
47.51277,1.45883,T2M,1986,    3.09,   -2.39,    5.05,    6.23,   12.86,   17.92,   19.67,   18.24,   14.10,   13.67,    7.17,    4.65,   10.11
47.51277,1.45883,T2M,1987,   -3.36,    2.31,    3.91,   10.91,   11.68,   15.83,   19.21,   19.31,   18.45,   12.16,    6.16,    3.47,   10.04
47.51277,1.45883,T2M,1988,    6.40,    4.36,    6.10,   10.14,   14.09,   16.61,   17.53,   19.76,   15.98,   12.50,    5.44,    5.41,   11.22
47.51277,1.45883,T2M,1989,    2.84,    5.00,    9.26,    8.11,   16.28,   18.23,   21.48,   20.62,   17.15,   13.67,    5.91,    4.48,   11.97
47.51277,1.45883,T2M,1990,    4.42,    8.23,    7.97,    9.01,   16.84,   17.29,   21.66,   23.20,   16.72,   13.70,    6.83,    2.19,   12.37
47.51277,1.45883,T2M,1991,    3.19,    0.49,    8.88,    9.20,   12.76,   16.02,   21.50,   22.37,   18.63,   10.75,    6.06,    1.98,   11.05
47.51277,1.45883,T2M,1992,    1.04,    3.63,    7.63,    9.31,   16.24,   17.86,   21.06,   20.87,   15.72,    8.96,    8.70,    3.95,   11.27
47.51277,1.45883,T2M,1993,    5.22,    2.39,    6.65,   10.58,   14.05,   17.71,   18.38,   18.68,   14.27,    9.12,    2.91,    5.42,   10.51
47.51277,1.45883,T2M,1994,    4.99,    4.42,    8.54,    8.68,   13.47,   17.05,   22.34,   20.18,   14.59,   11.60,    9.61,    6.25,   11.86
47.51277,1.45883,T2M,1995,    4.13,    7.17,    5.82,    9.19,   13.37,   15.81,   21.90,   21.37,   14.52,   14.75,    6.41,    2.63,   11.46
47.51277,1.45883,T2M,1996,    4.45,    2.09,    5.48,    9.61,   11.95,   18.45,   19.64,   19.16,   14.31,   11.57,    6.04,    1.20,   10.35
47.51277,1.45883,T2M,1997,   -0.65,    5.89,    8.49,    9.14,   13.44,   16.39,   18.89,   22.79,   16.88,   11.48,    8.04,    4.74,   11.32
47.51277,1.45883,T2M,1998,    3.88,    4.22,    7.29,    8.56,   14.53,   16.78,   18.37,   20.35,   16.09,   11.11,    4.10,    3.75,   10.80
47.51277,1.45883,T2M,1999,    4.89,    3.84,    7.65,    9.83,   15.10,   16.10,   20.60,   19.55,   17.95,   11.42,    4.98,    4.75,   11.44
47.51277,1.45883,T2M,2000,    2.50,    5.89,    6.46,    9.09,   14.61,   17.20,   17.25,   19.88,   16.66,   11.15,    7.27,    6.26,   11.20
47.51277,1.45883,T2M,2001,    4.05,    4.29,    7.86,    8.14,   14.45,   16.32,   19.06,   19.73,   13.82,   14.07,    4.82,    1.40,   10.72
47.51277,1.45883,T2M,2002,    3.90,    6.30,    7.59,    9.70,   12.81,   17.65,   18.68,   18.54,   14.91,   11.89,    8.54,    6.16,   11.42
47.51277,1.45883,T2M,2003,    1.58,    2.21,    8.09,   10.02,   13.66,   20.81,   21.05,   24.62,   16.68,    9.45,    7.86,    3.82,   11.71
47.51277,1.45883,T2M,2004,    3.85,    3.61,    5.44,    9.68,   12.96,   18.31,   19.57,   19.96,   17.27,   12.15,    6.49,    2.66,   11.01
47.51277,1.45883,T2M,2005,    3.97,    2.01,    6.44,   10.22,   13.93,   19.59,   20.42,   19.07,   17.42,   15.22,    5.33,    1.90,   11.35
47.51277,1.45883,T2M,2006,    1.75,    1.89,    5.57,    9.75,   13.77,   19.26,   24.21,   17.80,   19.12,   13.94,    8.23,    3.64,   11.63
47.51277,1.45883,T2M,2007,    6.23,    6.90,    6.73,   13.45,   14.42,   17.17,   17.47,   17.69,   14.73,   10.81,    5.55,    3.28,   11.22
47.51277,1.45883,T2M,2008,    4.97,    5.20,    6.13,    8.36,   15.37,   16.77,   18.52,   18.75,   13.86,   10.62,    6.66,    1.90,   10.61
47.51277,1.45883,T2M,2009,   -0.01,    2.75,    6.04,   10.94,   14.45,   17.43,   19.52,   21.14,   16.49,   11.85,    8.88,    2.92,   11.08
47.51277,1.45883,T2M,2010,   -0.73,    2.40,    5.47,    9.93,   12.24,   17.96,   21.31,   18.68,   15.36,   10.76,    6.05,   -1.09,    9.90
47.51277,1.45883,T2M,2011,    2.92,    4.92,    7.46,   12.81,   15.06,   17.57,   17.73,   19.13,   17.25,   12.63,    9.46,    6.40,   11.98
47.51277,1.45883,T2M,2012,    4.66,   -0.12,    8.64,    8.29,   14.38,   16.43,   17.93,   20.44,   15.71,   12.00,    6.71,    5.24,   10.91
47.51277,1.45883,T2M,2013,    2.61,    1.82,    4.40,    8.69,   11.20,   15.98,   20.81,   19.11,   16.54,   13.37,    6.08,    4.03,   10.44
47.51277,1.45883,T2M,2014,    5.75,    6.14,    7.97,   11.14,   12.86,   17.54,   19.74,   17.17,   17.38,   13.51,    9.04,    3.71,   11.86
47.51277,1.45883,T2M,2015,    3.36,    2.78,    7.06,   11.18,   13.80,   18.57,   21.75,   21.13,   14.49,   10.72,    9.96,    7.33,   11.90
47.51277,1.45883,T2M,2016,    4.57,    5.10,    5.76,    8.86,   13.54,   16.72,   19.51,   20.94,   18.96,   10.53,    6.99,    3.38,   11.25
47.51277,1.45883,T2M,2017,    0.58,    5.98,    9.41,    9.76,   15.40,   20.36,   20.81,   19.93,   15.25,   13.33,    6.70,    4.17,   11.84
47.51277,1.45883,T2M,2018,    6.77,    0.76,    6.07,   11.99,   15.00,   18.91,   22.66,   21.78,   17.58,   13.02,    6.97,    5.88,   12.36
47.51277,1.45883,T2M,2019,    2.48,    5.73,    8.29,   10.24,   12.78,   19.13,   22.77,   21.18,   17.30,   12.91,    7.08,    5.92,   12.19
47.51277,1.45883,RH2M,1981,   93.11,   88.03,   88.16,   80.73,   84.94,   79.77,   77.54,   72.48,   71.64,   86.15,   90.82,   94.53,   83.99
47.51277,1.45883,RH2M,1982,   94.73,   92.61,   84.68,   79.33,   80.33,   77.46,   71.49,   71.12,   72.46,   88.23,   92.38,   94.94,   83.27
47.51277,1.45883,RH2M,1983,   94.61,   90.12,   87.45,   86.60,   84.63,   78.78,   79.86,   76.50,   76.27,   79.90,   88.32,   92.49,   84.61
47.51277,1.45883,RH2M,1984,   92.62,   86.90,   82.24,   74.23,   80.24,   72.78,   62.51,   66.77,   77.15,   88.93,   92.43,   95.64,   81.03
47.51277,1.45883,RH2M,1985,   91.60,   89.14,   86.04,   82.82,   84.42,   79.18,   71.68,   69.39,   66.26,   74.50,   87.08,   90.99,   81.05
47.51277,1.45883,RH2M,1986,   92.25,   86.42,   86.92,   83.16,   80.91,   74.71,   62.39,   60.12,   71.19,   81.35,   90.75,   94.47,   80.34
47.51277,1.45883,RH2M,1987,   85.27,   93.10,   81.89,   78.77,   71.84,   73.82,   70.85,   66.07,   68.74,   86.77,   91.75,   93.90,   80.15
47.51277,1.45883,RH2M,1988,   93.93,   89.36,   88.09,   82.07,   82.15,   78.54,   72.31,   62.88,   73.59,   81.42,   89.75,   94.65,   82.37
47.51277,1.45883,RH2M,1989,   95.18,   87.96,   82.60,   79.87,   70.86,   59.90,   59.05,   56.73,   61.94,   72.16,   84.53,   92.19,   75.18
47.51277,1.45883,RH2M,1990,   91.89,   87.49,   78.97,   74.11,   60.40,   61.06,   47.63,   43.81,   54.26,   73.26,   87.57,   91.18,   70.85
47.51277,1.45883,RH2M,1991,   89.64,   86.94,   81.17,   70.65,   62.40,   61.26,   53.39,   50.07,   63.93,   78.77,   89.41,   92.16,   73.22
47.51277,1.45883,RH2M,1992,   90.91,   88.57,   79.64,   73.88,   61.08,   62.26,   57.82,   61.19,   69.11,   81.22,   92.93,   94.06,   76.00
47.51277,1.45883,RH2M,1993,   93.04,   88.77,   80.05,   82.87,   78.74,   74.22,   65.45,   57.97,   74.86,   86.34,   89.75,   94.25,   80.46
47.51277,1.45883,RH2M,1994,   93.92,   92.96,   87.47,   79.46,   78.41,   73.97,   64.03,   65.57,   79.38,   83.24,   93.60,   94.41,   82.12
47.51277,1.45883,RH2M,1995,   92.16,   91.70,   86.73,   84.03,   76.05,   75.60,   65.43,   58.93,   74.18,   78.21,   85.63,   92.24,   79.98
47.51277,1.45883,RH2M,1996,   94.04,   88.06,   80.37,   73.93,   76.13,   60.53,   56.81,   58.60,   64.09,   79.42,   91.01,   91.70,   76.20
