-BEGIN HEADER-
NASA/POWER SRB/FLASHFlux/MERRA2/GEOS 5.12.4 (FP-IT) 0.5 x 0.5 Degree Interannual Averages/Sums 
Dates (month/day/year): 01/01/1981 through 12/31/2019 
Location: Latitude  44.8617   Longitude 0.5022 
Elevation from MERRA-2: Average for 1/2x1/2 degree lat/lon region = 146.68 meters   Site = na 
Climate zone: na (reference Briggs et al: http://www.energycodes.gov) 
Value for missing model data cannot be computed or out of model availability range: -999 
Parameter(s): 
T2M MERRA2 1/2x1/2 Temperature at 2 Meters (C) 
RH2M MERRA2 1/2x1/2 Relative Humidity at 2 Meters (%) 
-END HEADER-
LAT,LON,PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
44.86171,0.50216,T2M,1981,    3.53,    3.24,    9.92,   11.46,   13.09,   17.26,   18.67,   20.72,   17.83,   12.43,    7.24,    5.47,   11.79
44.86171,0.50216,T2M,1982,    6.88,    6.65,    6.79,   10.31,   14.13,   18.82,   22.48,   19.32,   19.20,   11.97,    8.90,    5.09,   12.57
44.86171,0.50216,T2M,1983,    4.44,    3.63,    7.34,    9.88,   12.33,   18.16,   23.38,   20.56,   18.28,   13.33,    9.82,    4.43,   12.18
44.86171,0.50216,T2M,1984,    4.68,    3.56,    5.67,   10.78,   11.41,   17.63,   21.71,   20.25,   15.93,   12.61,   10.39,    4.39,   11.60
44.86171,0.50216,T2M,1985,   -1.30,    6.78,    5.54,   10.91,   13.06,   16.83,   21.35,   19.96,   20.82,   15.36,    4.31,    4.79,   11.55
44.86171,0.50216,T2M,1986,    4.35,    1.70,    6.79,    7.13,   14.92,   18.35,   21.95,   20.64,   18.78,   15.21,    8.08,    5.55,   12.03
44.86171,0.50216,T2M,1987,   -0.34,    4.50,    6.57,   12.13,   13.31,   17.39,   21.72,   22.29,   21.05,   14.34,    7.49,    6.24,   12.26
44.86171,0.50216,T2M,1988,    7.41,    5.41,    6.79,   11.95,   15.07,   17.75,   19.16,   20.90,   17.89,   14.74,    7.96,    4.96,   12.52
44.86171,0.50216,T2M,1989,    4.15,    6.41,    9.68,    9.18,   17.30,   20.12,   23.62,   22.78,   18.70,   14.66,    9.46,    8.02,   13.73
44.86171,0.50216,T2M,1990,    5.46,    9.83,    9.29,   10.58,   18.54,   19.59,   24.66,   24.67,   19.40,   15.13,    7.90,    1.93,   13.95
44.86171,0.50216,T2M,1991,    4.14,    3.88,   10.41,    9.94,   13.98,   18.28,   23.32,   25.07,   20.48,   11.48,    7.48,    3.89,   12.75
44.86171,0.50216,T2M,1992,    1.91,    5.10,    8.42,   10.69,   17.23,   17.16,   21.51,   22.46,   16.88,   10.47,   10.02,    5.77,   12.33
44.86171,0.50216,T2M,1993,    4.99,    4.35,    7.83,   11.05,   15.47,   18.74,   19.44,   21.71,   15.77,   11.36,    5.93,    6.90,   12.01
44.86171,0.50216,T2M,1994,    5.17,    6.05,    9.99,    9.53,   15.51,   18.03,   22.87,   22.72,   16.31,   13.13,   10.49,    6.33,   13.06
44.86171,0.50216,T2M,1995,    4.58,    7.66,    7.05,   10.56,   14.87,   17.86,   23.26,   22.39,   15.39,   16.11,    7.87,    5.66,   12.81
44.86171,0.50216,T2M,1996,    7.62,    3.70,    7.18,   10.90,   14.13,   19.20,   21.23,   19.38,   15.53,   12.28,    7.37,    5.19,   12.01
44.86171,0.50216,T2M,1997,    3.67,    7.68,    9.99,   11.56,   16.06,   17.55,   19.81,   23.71,   18.95,   14.49,    9.40,    5.54,   13.23
