-BEGIN HEADER-
NASA/POWER SRB/FLASHFlux/MERRA2/GEOS 5.12.4 (FP-IT) 0.5 x 0.5 Degree Interannual Averages/Sums 
Dates (month/day/year): 01/01/1981 through 12/31/2019 
Location: Latitude  46.6636   Longitude 6.0304 
Elevation from MERRA-2: Average for 1/2x1/2 degree lat/lon region = 708.09 meters   Site = na 
Climate zone: na (reference Briggs et al: http://www.energycodes.gov) 
Value for missing model data cannot be computed or out of model availability range: -999 
Parameter(s): 
T2M MERRA2 1/2x1/2 Temperature at 2 Meters (C) 
RH2M MERRA2 1/2x1/2 Relative Humidity at 2 Meters (%) 
-END HEADER-
LAT,LON,PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
46.66364,6.03043,T2M,1981,   -4.74,   -4.02,    4.70,    8.36,   10.77,   14.42,   15.68,   16.58,   13.88,    8.02,    2.72,   -1.61,    7.12
46.66364,6.03043,T2M,1982,    1.17,    1.12,    2.17,    5.82,   11.76,   15.82,   18.86,   15.95,   15.63,    8.39,    4.52,    0.42,    8.51
46.66364,6.03043,T2M,1983,    0.64,   -3.95,    3.30,    6.71,    9.37,   15.71,   21.03,   17.71,   13.97,    8.81,    4.20,   -0.36,    8.17
46.66364,6.03043,T2M,1984,   -1.29,   -2.70,    1.09,    6.16,    8.41,   13.88,   16.93,   16.78,   11.86,    9.05,    6.33,    0.87,    7.31
46.66364,6.03043,T2M,1985,   -7.18,   -0.75,    1.20,    6.68,   10.68,   13.35,   17.99,   16.31,   15.50,   10.55,   -0.13,    1.37,    7.18
46.66364,6.03043,T2M,1986,   -2.03,   -5.18,    2.66,    4.60,   13.11,   15.55,   17.11,   16.98,   14.08,   10.98,    4.41,   -0.33,    7.74
46.66364,6.03043,T2M,1987,   -6.78,   -0.59,    0.65,    8.26,    8.78,   13.30,   17.15,   16.44,   16.23,   10.27,    3.51,    2.12,    7.48
46.66364,6.03043,T2M,1988,    2.25,   -0.22,    1.30,    8.34,   12.77,   14.62,   16.71,   17.74,   13.17,   10.55,    2.24,    0.33,    8.35
46.66364,6.03043,T2M,1989,    0.58,    2.32,    6.02,    5.73,   13.25,   14.10,   18.44,   17.91,   14.05,    9.96,    3.61,    2.46,    9.09
46.66364,6.03043,T2M,1990,    0.74,    4.41,    5.47,    5.76,   13.89,   14.36,   17.83,   19.07,   13.42,   11.13,    2.71,   -3.00,    8.85
46.66364,6.03043,T2M,1991,   -0.11,   -1.22,    6.12,    5.95,    8.54,   13.71,   19.18,   19.95,   16.56,    7.64,    3.04,   -1.44,    8.22
46.66364,6.03043,T2M,1992,   -2.09,    0.38,    3.92,    6.50,   13.41,   14.17,   17.68,   19.51,   13.79,    6.47,    5.36,    0.49,    8.32
46.66364,6.03043,T2M,1993,    1.38,   -0.42,    3.02,    8.39,   12.96,   15.78,   15.75,   17.66,   12.23,    7.70,    1.02,    0.92,    8.09
46.66364,6.03043,T2M,1994,   -0.05,    0.66,    6.43,    5.40,   11.94,   15.56,   20.59,   19.19,   12.72,    9.16,    6.70,    1.80,    9.23
46.66364,6.03043,T2M,1995,   -2.94,    2.59,    1.53,    6.67,   11.25,   13.26,   19.45,   17.33,   10.79,   12.05,    2.84,   -0.05,    7.94
46.66364,6.03043,T2M,1996,    1.39,   -2.75,    2.06,    7.48,   10.84,   15.47,   15.77,   15.79,   10.42,    8.48,    2.52,   -0.61,    7.28
46.66364,6.03043,T2M,1997,   -0.64,    2.60,    5.61,    6.26,   11.99,   14.60,   16.06,   19.32,   15.14,    8.85,    4.36,    0.60,    8.76
46.66364,6.03043,T2M,1998,   -0.12,    2.43,    3.64,    6.25,   12.70,   15.44,   17.43,   18.06,   12.77,    8.04,    0.24,   -0.59,    8.06
46.66364,6.03043,T2M,1999,    0.63,   -2.79,    3.93,    6.87,   14.07,   14.03,   17.64,   17.39,   15.97,    9.28,    0.65,   -0.30,    8.19
46.66364,6.03043,T2M,2000,   -1.98,    1.77,    3.73,    7.79,   13.57,   16.43,   15.10,   18.56,   14.46,    9.01,    4.44,    2.68,    8.81
46.66364,6.03043,T2M,2001,    0.23,    1.36,    5.66,    5.25,   13.67,   14.20,   17.67,   18.67,   10.62,   12.43,    1.41,   -2.85,    8.25
46.66364,6.03043,T2M,2002,   -0.95,    2.69,    5.14,    7.58,   10.69,   17.52,   17.18,   16.69,   12.45,    9.49,    5.36,    2.81,    8.92
46.66364,6.03043,T2M,2003,   -1.83,   -3.50,    5.52,    7.76,   13.08,   21.20,   20.15,   23.40,   14.44,    6.68,    5.07,    0.70,    9.47
46.66364,6.03043,T2M,2004,   -1.08,    0.47,    2.50,    7.30,   10.60,   15.52,   17.66,   17.98,   14.20,   10.88,    2.64,   -0.03,    8.24
46.66364,6.03043,T2M,2005,   -1.64,   -3.64,    3.24,    7.30,   12.34,   17.04,   17.85,   15.96,   14.69,   11.52,    3.00,   -3.15,    7.94
46.66364,6.03043,T2M,2006,   -2.76,   -1.21,    1.79,    7.33,   11.74,   16.55,   21.80,   14.09,   16.25,   12.02,    6.02,    1.75,    8.83
46.66364,6.03043,T2M,2007,    2.11,    3.42,    3.80,   12.29,   12.94,   15.88,   16.08,   15.78,   11.79,    8.18,    1.53,   -0.62,    8.62
46.66364,6.03043,T2M,2008,    1.58,    2.29,    2.13,    6.38,   13.74,   15.68,   17.05,   16.65,   11.64,    8.72,    3.08,   -1.70,    8.12
46.66364,6.03043,T2M,2009,   -3.70,   -1.53,    2.47,    9.60,   14.14,   15.31,   17.85,   19.56,   14.84,    8.87,    5.85,   -0.07,    8.65
46.66364,6.03043,T2M,2010,   -3.71,   -1.70,    2.50,    8.30,    9.94,   15.55,   19.31,   16.10,   12.39,    8.35,    3.26,   -2.39,    7.37
46.66364,6.03043,T2M,2011,   -0.47,    1.73,    4.98,   10.79,   14.22,   15.50,   15.36,   18.53,   15.77,    9.75,    6.32,    1.60,    9.54
46.66364,6.03043,T2M,2012,    0.21,   -4.95,    5.95,    6.85,   12.59,   16.15,   16.61,   18.88,   13.66,    9.64,    4.88,   -0.46,    8.38
46.66364,6.03043,T2M,2013,   -1.35,   -3.96,    1.88,    7.63,    8.94,   14.52,   19.13,   17.27,   14.05,   11.07,    2.16,    0.93,    7.76
46.66364,6.03043,T2M,2014,    1.60,    2.00,    5.63,    9.18,   10.80,   16.52,   16.77,   15.16,   14.50,   11.81,    6.61,    0.99,    9.33
46.66364,6.03043,T2M,2015,   -0.31,   -2.23,    4.70,    8.35,   12.28,   16.93,   20.82,   19.38,   12.45,    8.34,    6.07,    4.74,    9.37
46.66364,6.03043,T2M,2016,    1.19,    2.05,    2.84,    7.17,   11.31,   15.30,   17.97,   18.07,   16.01,    7.93,    4.00,    1.47,    8.79
46.66364,6.03043,T2M,2017,   -3.99,    3.30,    6.97,    7.28,   12.99,   18.28,   18.69,   19.23,   12.26,   10.43,    2.94,   -0.77,    9.00
46.66364,6.03043,T2M,2018,    3.33,   -2.35,    2.89,   11.16,   13.81,   16.72,   20.01,   19.68,   16.46,   10.95,    5.42,    2.47,   10.12
46.66364,6.03043,T2M,2019,   -1.68,    2.51,    5.22,    7.90,    9.69,   18.11,   20.34,   19.08,   15.08,   11.38,    4.05,    2.68,    9.57
46.66364,6.03043,RH2M,1981,   88.43,   86.57,   89.42,   81.05,   80.81,   78.08,   79.79,   77.51,   82.44,   88.28,   88.21,   92.69,   84.44
46.66364,6.03043,RH2M,1982,   90.17,   85.41,   84.48,   76.29,   73.86,   78.77,   74.30,   79.86,   78.20,   86.73,   88.17,   92.48,   82.39
46.66364,6.03043,RH2M,1983,   87.76,   90.74,   88.80,   85.78,   85.63,   77.89,   71.23,   74.27,   79.00,   82.25,   85.31,   85.77,   82.81
46.66364,6.03043,RH2M,1984,   91.76,   91.81,   84.29,   78.18,   83.21,   78.32,   70.47,   71.73,   81.37,   86.33,   84.06,   90.08,   82.61
46.66364,6.03043,RH2M,1985,   89.70,   89.28,   88.24,   82.58,   83.29,   79.87,   76.47,   72.94,   70.70,   70.64,   85.82,   86.62,   81.30
46.66364,6.03043,RH2M,1986,   90.85,   87.68,   87.00,   86.61,   82.55,   77.42,   71.99,   67.94,   73.37,   79.55,   84.78,   90.92,   81.68
46.66364,6.03043,RH2M,1987,   91.25,   90.45,   84.88,   79.45,   81.02,   82.55,   81.94,   78.17,   76.73,   83.79,   90.60,   87.27,   83.97
46.66364,6.03043,RH2M,1988,   89.03,   88.64,   92.09,   81.99,   82.14,   79.44,   76.17,   71.55,   77.31,   85.06,   88.91,   91.74,   83.67
46.66364,6.03043,RH2M,1989,   84.82,   83.56,   80.13,   85.06,   75.84,   73.36,   68.32,   63.71,   69.03,   73.04,   76.62,   78.20,   75.91
46.66364,6.03043,RH2M,1990,   80.91,   85.84,   79.82,   81.29,   72.93,   77.24,   67.18,   57.16,   65.94,   77.38,   89.91,   90.30,   77.07
46.66364,6.03043,RH2M,1991,   84.72,   81.77,   82.52,   74.75,   75.83,   73.68,   64.09,   56.77,   66.05,   82.55,   88.95,   85.22,   76.37
46.66364,6.03043,RH2M,1992,   86.99,   84.54,   84.37,   82.25,   75.80,   81.00,   77.21,   64.95,   74.73,   88.26,   90.62,   85.60,   81.34
46.66364,6.03043,RH2M,1993,   87.16,   80.08,   79.71,   78.54,   76.26,   76.48,   74.42,   65.63,   79.60,   85.86,   88.06,   93.41,   80.44
46.66364,6.03043,RH2M,1994,   90.39,   86.48,   86.11,   85.15,   81.18,   76.79,   67.82,   64.14,   81.48,   82.30,   88.85,   90.25,   81.69
46.66364,6.03043,RH2M,1995,   90.35,   89.68,   84.33,   84.34,   77.34,   79.82,   72.67,   69.81,   78.82,   83.93,   83.08,   87.34,   81.73
46.66364,6.03043,RH2M,1996,   83.74,   88.02,   79.65,   76.32,   79.83,   74.05,   74.00,   74.78,   73.45,   81.45,   90.53,   86.83,   80.20
46.66364,6.03043,RH2M,1997,   84.12,   84.55,   82.05,   72.94,   76.68,   78.13,   77.80,   72.16,   72.33,   79.02,   84.30,   89.68,   79.47
