-BEGIN HEADER-
NASA/POWER SRB/FLASHFlux/MERRA2/GEOS 5.12.4 (FP-IT) 0.5 x 0.5 Degree Interannual Averages/Sums 
Dates (month/day/year): 01/01/1981 through 12/31/2019 
Location: Latitude  44.2366   Longitude 1.769 
Elevation from MERRA-2: Average for 1/2x1/2 degree lat/lon region = 274.62 meters   Site = na 
Climate zone: na (reference Briggs et al: http://www.energycodes.gov) 
Value for missing model data cannot be computed or out of model availability range: -999 
Parameter(s): 
RH2M MERRA2 1/2x1/2 Relative Humidity at 2 Meters (%) 
T2M MERRA2 1/2x1/2 Temperature at 2 Meters (C) 
-END HEADER-
LAT,LON,PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
44.2366,1.76897,T2M,1981,    2.66,    2.79,    9.48,   11.18,   12.73,   17.16,   18.36,   20.29,   17.53,   12.12,    7.17,    4.82,   11.41
44.2366,1.76897,T2M,1982,    6.40,    6.42,    6.28,   10.11,   13.79,   18.61,   22.20,   18.93,   18.59,   11.48,    8.53,    4.48,   12.18
44.2366,1.76897,T2M,1983,    4.04,    3.05,    7.03,    9.60,   12.38,   18.00,   23.55,   19.83,   17.83,   12.71,    9.59,    4.29,   11.88
44.2366,1.76897,T2M,1984,    3.99,    3.16,    5.23,   10.22,   10.93,   17.22,   20.93,   19.29,   15.38,   12.48,   10.24,    4.07,   11.11
44.2366,1.76897,T2M,1985,   -2.01,    6.44,    5.03,   10.67,   12.60,   16.55,   21.34,   19.85,   20.10,   15.05,    3.88,    4.37,   11.17
44.2366,1.76897,T2M,1986,    3.44,    1.56,    6.24,    7.11,   15.32,   18.35,   21.74,   21.01,   18.83,   14.79,    7.91,    4.86,   11.83
44.2366,1.76897,T2M,1987,   -0.30,    4.09,    6.09,   11.78,   12.71,   17.11,   21.25,   22.20,   20.92,   14.30,    7.16,    6.39,   12.01
44.2366,1.76897,T2M,1988,    6.84,    4.72,    6.05,   11.27,   14.64,   17.42,   19.36,   20.88,   17.32,   14.70,    7.53,    3.97,   12.09
44.2366,1.76897,T2M,1989,    4.38,    6.30,    9.20,    8.89,   16.70,   19.38,   23.11,   22.54,   17.96,   13.77,    9.12,    7.62,   13.30
44.2366,1.76897,T2M,1990,    5.13,    9.31,    9.08,   10.00,   17.93,   19.19,   24.32,   23.70,   19.15,   14.80,    7.14,    1.38,   13.46
44.2366,1.76897,T2M,1991,    3.86,    3.71,   10.22,    9.44,   13.59,   18.61,   23.60,   24.99,   20.20,   11.19,    7.07,    3.74,   12.58
44.2366,1.76897,T2M,1992,    1.95,    4.98,    7.91,   10.54,   16.72,   16.42,   20.95,   22.84,   17.18,   10.35,    9.38,    5.74,   12.10
44.2366,1.76897,T2M,1993,    4.80,    4.10,    7.34,   10.64,   15.07,   18.29,   19.03,   21.47,   15.69,   11.27,    5.74,    6.01,   11.67
44.2366,1.76897,T2M,1994,    4.25,    5.22,    9.59,    8.69,   15.38,   17.68,   22.33,   22.30,   16.04,   12.80,   10.31,    5.59,   12.57
44.2366,1.76897,T2M,1995,    3.59,    7.13,    6.31,   10.28,   14.31,   17.23,   22.34,   21.51,   14.74,   15.71,    7.60,    5.64,   12.24
44.2366,1.76897,T2M,1996,    7.65,    3.12,    6.78,   10.54,   13.84,   18.76,   20.90,   19.15,   15.08,   11.77,    6.82,    5.53,   11.70
44.2366,1.76897,T2M,1997,    3.99,    7.34,    9.64,   11.06,   15.51,   17.23,   19.51,   23.02,   18.63,   14.25,    9.10,    5.21,   12.91
44.2366,1.76897,T2M,1998,    5.28,    6.83,    7.99,    9.19,   15.02,   18.13,   20.80,   21.76,   17.10,   11.64,    4.74,    3.47,   11.87
44.2366,1.76897,T2M,1999,    4.78,    3.39,    8.14,   10.74,   16.30,   17.51,   21.74,   21.82,   19.20,   13.11,    5.28,    4.07,   12.23
44.2366,1.76897,T2M,2000,    2.50,    6.68,    7.54,   10.76,   15.92,   19.16,   19.89,   22.49,   18.60,   12.35,    8.11,    7.36,   12.63
44.2366,1.76897,T2M,2001,    5.54,    4.74,   10.42,    9.26,   15.31,   18.66,   20.89,   22.42,   15.53,   16.33,    5.19,    1.27,   12.19
44.2366,1.76897,T2M,2002,    5.10,    6.66,    9.65,   11.84,   14.39,   21.05,   21.40,   20.59,   17.27,   13.80,    9.01,    6.80,   13.16
44.2366,1.76897,T2M,2003,    2.02,    3.49,    9.61,   12.46,   16.30,   25.17,   24.21,   27.36,   18.23,   11.71,    9.55,    5.02,   13.82
44.2366,1.76897,T2M,2004,    4.27,    4.43,    6.38,    9.83,   14.10,   20.20,   21.60,   21.60,   18.79,   15.00,    5.94,    4.40,   12.24
44.2366,1.76897,T2M,2005,    3.57,    1.49,    6.79,   10.92,   15.48,   21.42,   22.38,   20.36,   17.30,   15.31,    6.56,    1.16,   11.96
44.2366,1.76897,T2M,2006,    3.31,    2.79,    8.14,   11.18,   15.08,   20.19,   25.21,   18.83,   19.50,   15.68,    9.91,    4.01,   12.88
44.2366,1.76897,T2M,2007,    5.36,    7.07,    7.41,   14.22,   15.01,   18.13,   19.23,   19.60,   16.17,   12.02,    5.16,    3.85,   11.96
44.2366,1.76897,T2M,2008,    5.65,    7.13,    6.73,   10.06,   15.24,   17.81,   19.94,   20.23,   16.23,   12.09,    6.39,    2.83,   11.71
44.2366,1.76897,T2M,2009,    2.59,    3.92,    7.24,   10.63,   16.19,   18.88,   21.22,   22.50,   18.29,   13.23,    9.32,    3.48,   12.34
44.2366,1.76897,T2M,2010,    1.03,    3.33,    6.20,   11.66,   12.84,   17.89,   21.97,   20.45,   16.78,   11.59,    6.65,    1.97,   11.07
44.2366,1.76897,T2M,2011,    3.09,    4.94,    8.38,   13.60,   17.14,   18.25,   19.16,   22.19,   19.78,   14.24,   10.74,    6.41,   13.20
44.2366,1.76897,T2M,2012,    4.26,   -1.13,    9.32,    9.50,   15.39,   19.34,   20.24,   23.35,   17.70,   14.08,    8.41,    5.10,   12.18
44.2366,1.76897,T2M,2013,    2.32,    2.63,    7.02,    9.94,   11.47,   16.24,   22.43,   20.51,   17.67,   14.81,    6.12,    4.68,   11.38
44.2366,1.76897,T2M,2014,    6.35,    6.04,    8.36,   12.19,   13.36,   19.67,   20.04,   18.91,   19.15,   15.84,   11.09,    3.95,   12.94
44.2366,1.76897,T2M,2015,    3.57,    3.03,    8.22,   12.11,   15.24,   20.65,   23.97,   21.59,   16.25,   12.31,    9.68,    8.42,   12.98
44.2366,1.76897,T2M,2016,    6.22,    6.15,    6.74,   10.42,   13.82,   17.73,   20.69,   21.59,   19.49,   12.79,    8.30,    6.04,   12.52
44.2366,1.76897,T2M,2017,    1.67,    7.73,    9.86,   11.07,   15.72,   21.06,   21.39,   22.30,   15.70,   13.96,    6.34,    3.47,   12.55
44.2366,1.76897,T2M,2018,    6.96,    2.05,    7.00,   12.59,   15.11,   19.17,   22.56,   22.93,   19.96,   13.51,    9.15,    6.40,   13.18
44.2366,1.76897,T2M,2019,    1.77,    6.71,    8.72,   10.40,   13.17,   19.86,   24.13,   22.52,   19.04,   14.83,    7.45,    7.12,   13.02
44.2366,1.76897,RH2M,1981,   89.07,   84.20,   83.88,   75.75,   80.13,   74.04,   75.45,   66.66,   71.75,   82.99,   81.72,   91.02,   79.73
