-BEGIN HEADER-
NASA/POWER SRB/FLASHFlux/MERRA2/GEOS 5.12.4 (FP-IT) 0.5 x 0.5 Degree Interannual Averages/Sums 
Dates (month/day/year): 01/01/1981 through 12/31/2019 
Location: Latitude  48.3964   Longitude -68.6754 
Elevation from MERRA-2: Average for 1/2x1/2 degree lat/lon region = 182.85 meters   Site = na 
Climate zone: na (reference Briggs et al: http://www.energycodes.gov) 
Value for missing model data cannot be computed or out of model availability range: -999 
Parameter(s): 
T2M MERRA2 1/2x1/2 Temperature at 2 Meters (C) 
RH2M MERRA2 1/2x1/2 Relative Humidity at 2 Meters (%) 
-END HEADER-
LAT,LON,PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
48.39639,-68.67542,T2M,1981,  -16.72,   -5.73,   -3.04,    1.30,    7.96,   13.81,   17.02,   15.67,   11.17,    3.73,   -1.96,   -7.36,    3.02
48.39639,-68.67542,T2M,1982,  -18.10,  -14.61,   -8.14,   -2.28,    7.45,   13.17,   16.18,   13.06,   10.96,    5.55,   -1.53,   -9.06,    1.14
48.39639,-68.67542,T2M,1983,  -12.51,  -11.81,   -6.19,    2.34,    6.08,   14.42,   16.02,   15.60,   12.19,    4.96,   -3.18,  -12.01,    2.23
48.39639,-68.67542,T2M,1984,  -15.82,   -8.17,   -9.65,   -0.53,    6.59,   12.87,   17.20,   16.65,    9.85,    4.97,   -2.66,  -10.05,    1.79
48.39639,-68.67542,T2M,1985,  -17.85,  -10.97,   -8.22,   -1.78,    6.33,   12.79,   16.61,   15.28,   11.93,    5.21,   -3.45,  -12.25,    1.19
48.39639,-68.67542,T2M,1986,  -13.73,  -13.20,   -6.95,    3.15,    8.44,   10.94,   14.81,   14.27,    8.90,    3.15,   -4.22,  -10.80,    1.31
48.39639,-68.67542,T2M,1987,  -13.82,  -14.00,   -4.62,    4.20,    7.87,   13.84,   16.94,   14.76,   10.85,    4.96,   -3.03,  -10.14,    2.41
48.39639,-68.67542,T2M,1988,  -12.25,  -13.38,   -7.71,    1.71,    8.93,   12.34,   17.26,   15.94,   10.24,    3.58,   -1.51,  -11.27,    2.03
48.39639,-68.67542,T2M,1989,  -13.72,  -13.49,   -8.68,    0.71,    9.83,   13.81,   16.35,   15.65,   11.96,    4.99,   -3.75,  -16.83,    1.48
48.39639,-68.67542,T2M,1990,  -11.14,  -14.01,   -6.70,    1.89,    6.92,   14.24,   16.83,   17.07,   11.02,    4.95,   -3.73,   -9.60,    2.41
48.39639,-68.67542,T2M,1991,  -16.77,  -11.25,   -5.62,    1.27,    7.98,   13.99,   16.29,   16.28,   10.14,    5.14,   -1.74,  -11.90,    2.05
48.39639,-68.67542,T2M,1992,  -15.23,  -14.28,   -9.22,    0.30,    8.23,   13.58,   14.07,   15.09,   12.04,    3.70,   -3.20,   -8.71,    1.40
48.39639,-68.67542,T2M,1993,  -15.38,  -17.54,   -8.05,    2.47,    8.11,   13.80,   16.49,   16.86,   10.72,    2.70,   -3.77,   -9.54,    1.51
48.39639,-68.67542,T2M,1994,  -19.57,  -14.86,   -5.81,    0.41,    6.55,   14.89,   17.30,   15.00,   10.79,    6.57,   -1.00,   -8.81,    1.88
48.39639,-68.67542,T2M,1995,  -11.73,  -14.66,   -6.33,   -0.67,    7.55,   14.66,   17.96,   16.43,   10.32,    7.50,   -2.88,  -10.86,    2.38
48.39639,-68.67542,T2M,1996,  -14.22,  -11.19,   -6.09,    2.00,    6.74,   14.83,   16.27,   16.30,   11.68,    4.26,   -2.48,   -5.80,    2.72
48.39639,-68.67542,T2M,1997,  -14.13,  -13.02,   -8.82,    0.08,    5.94,   14.00,   17.21,   15.46,   11.83,    4.83,   -3.03,   -9.80,    1.79
48.39639,-68.67542,T2M,1998,  -12.20,   -8.66,   -5.08,    2.96,   10.88,   14.47,   17.28,   16.81,   12.07,    5.58,   -2.53,   -8.35,    3.67
48.39639,-68.67542,T2M,1999,  -13.97,   -9.66,   -3.21,    1.22,   11.43,   16.11,   17.21,   16.19,   14.92,    4.11,   -0.50,   -8.18,    3.87
48.39639,-68.67542,T2M,2000,  -13.55,  -11.35,   -3.98,    0.46,    7.04,   12.86,   16.48,   16.42,   11.09,    5.26,   -0.70,  -10.88,    2.47
48.39639,-68.67542,T2M,2001,  -13.25,  -12.24,   -6.13,    1.48,   10.58,   14.98,   16.37,   17.05,   12.81,    6.48,    0.09,   -4.65,    3.72
48.39639,-68.67542,T2M,2002,  -11.41,  -11.51,   -7.20,    1.47,    6.92,   12.54,   16.97,   17.08,   13.31,    3.96,   -3.68,   -9.43,    2.50
48.39639,-68.67542,T2M,2003,  -15.65,  -15.29,   -7.95,   -0.85,    7.34,   14.74,   16.81,   16.34,   13.90,    5.55,   -1.26,   -7.51,    2.28
48.39639,-68.67542,T2M,2004,  -17.53,  -12.00,   -6.56,    0.05,    6.95,   11.94,   17.38,   15.83,   11.63,    6.07,   -3.21,  -11.70,    1.61
48.39639,-68.67542,T2M,2005,  -13.81,   -8.87,   -6.05,    2.06,    7.20,   15.13,   17.55,   16.68,   12.75,    7.03,   -0.46,   -8.06,    3.49
48.39639,-68.67542,T2M,2006,   -8.98,  -11.11,   -4.44,    2.77,    9.67,   14.92,   17.93,   15.02,   11.70,    5.31,    0.88,   -6.91,    3.98
48.39639,-68.67542,T2M,2007,  -10.79,  -13.02,   -6.91,    1.58,    8.49,   14.16,   16.58,   15.13,   11.82,    7.77,   -2.97,  -10.15,    2.73
