-BEGIN HEADER-
NASA/POWER SRB/FLASHFlux/MERRA2/GEOS 5.12.4 (FP-IT) 0.5 x 0.5 Degree Interannual Averages/Sums 
Dates (month/day/year): 01/01/1981 through 12/31/2019 
Location: Latitude  46.6034   Longitude 1.8883 
Elevation from MERRA-2: Average for 1/2x1/2 degree lat/lon region = 203.67 meters   Site = na 
Climate zone: na (reference Briggs et al: http://www.energycodes.gov) 
Value for missing model data cannot be computed or out of model availability range: -999 
Parameter(s): 
RH2M MERRA2 1/2x1/2 Relative Humidity at 2 Meters (%) 
T2M MERRA2 1/2x1/2 Temperature at 2 Meters (C) 
-END HEADER-
LAT,LON,PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
46.60336,1.88834,T2M,1981,    1.94,    1.35,    8.61,    9.88,   12.03,   15.17,   17.68,   19.08,   16.61,   10.82,    5.84,    3.68,   10.28
46.60336,1.88834,T2M,1982,    4.83,    5.12,    5.38,    8.21,   13.28,   17.65,   20.12,   18.19,   18.20,   10.95,    7.96,    4.13,   11.20
46.60336,1.88834,T2M,1983,    4.36,    1.72,    6.20,    8.51,   10.93,   17.36,   21.67,   18.86,   16.21,   11.34,    6.55,    3.08,   10.62
46.60336,1.88834,T2M,1984,    3.51,    2.19,    4.50,    9.08,   10.38,   16.45,   20.51,   19.42,   14.86,   11.26,    9.13,    3.27,   10.40
46.60336,1.88834,T2M,1985,   -2.74,    3.22,    4.13,    9.23,   12.17,   15.16,   19.65,   17.94,   18.43,   12.51,    2.86,    4.17,    9.76
46.60336,1.88834,T2M,1986,    3.03,   -1.28,    5.16,    5.89,   13.29,   17.70,   20.07,   18.88,   15.35,   13.63,    6.96,    4.52,   10.35
46.60336,1.88834,T2M,1987,   -3.47,    2.57,    4.09,   10.70,   11.56,   15.83,   19.77,   19.90,   19.00,   12.63,    6.15,    4.29,   10.28
46.60336,1.88834,T2M,1988,    6.39,    4.04,    5.58,   10.43,   14.02,   16.54,   17.63,   19.96,   16.39,   12.86,    5.71,    4.78,   11.22
46.60336,1.88834,T2M,1989,    2.96,    5.06,    9.16,    8.03,   16.37,   18.43,   21.80,   20.66,   17.18,   13.37,    6.42,    5.14,   12.10
46.60336,1.88834,T2M,1990,    4.45,    8.49,    7.99,    8.65,   16.65,   17.50,   22.06,   23.31,   16.96,   13.94,    6.66,    1.42,   12.37
46.60336,1.88834,T2M,1991,    3.01,    1.30,    8.92,    8.91,   12.56,   16.61,   22.08,   22.81,   19.14,   10.35,    6.01,    1.96,   11.20
46.60336,1.88834,T2M,1992,    0.81,    3.66,    7.25,    9.06,   16.07,   16.84,   20.86,   21.09,   15.63,    8.77,    8.67,    4.39,   11.12
46.60336,1.88834,T2M,1993,    4.79,    2.66,    6.35,   10.26,   14.23,   17.70,   18.36,   19.38,   14.30,    9.53,    3.44,    5.34,   10.58
46.60336,1.88834,T2M,1994,    4.49,    4.64,    8.72,    8.33,   13.84,   16.90,   22.20,   21.12,   14.75,   11.92,    9.56,    5.92,   11.92
46.60336,1.88834,T2M,1995,    3.57,    6.74,    5.61,    9.03,   13.55,   15.90,   22.07,   21.33,   14.43,   15.04,    6.38,    3.14,   11.44
46.60336,1.88834,T2M,1996,    5.46,    1.99,    5.35,    9.48,   12.24,   17.92,   19.57,   18.94,   14.11,   11.28,    5.96,    2.31,   10.41
46.60336,1.88834,T2M,1997,    0.51,    6.20,    8.25,    9.10,   13.60,   16.52,   18.69,   22.87,   17.31,   11.61,    8.29,    4.61,   11.49
46.60336,1.88834,T2M,1998,    3.86,    4.43,    6.88,    8.42,   14.25,   16.84,   19.14,   20.88,   16.23,   10.90,    3.75,    3.46,   10.80
46.60336,1.88834,T2M,1999,    4.53,    3.05,    7.50,    9.62,   15.24,   16.16,   20.65,   20.02,   18.23,   11.82,    4.24,    4.18,   11.33
46.60336,1.88834,T2M,2000,    2.10,    5.67,    6.10,    9.35,   14.93,   17.44,   17.42,   20.46,   17.02,   11.24,    7.63,    6.56,   11.34
46.60336,1.88834,T2M,2001,    4.50,    4.16,    8.48,    8.02,   14.48,   16.27,   19.06,   20.14,   13.82,   14.80,    4.07,    0.56,   10.75
46.60336,1.88834,T2M,2002,    3.79,    6.10,    7.82,    9.83,   12.95,   18.29,   19.00,   18.60,   14.96,   12.11,    8.41,    6.24,   11.54
46.60336,1.88834,T2M,2003,    1.25,    1.98,    8.12,   10.29,   13.88,   21.41,   21.30,   25.43,   16.52,    9.67,    7.83,    3.73,   11.84
46.60336,1.88834,T2M,2004,    3.70,    3.21,    5.13,    9.11,   12.78,   18.02,   19.41,   19.50,   16.86,   12.78,    5.60,    2.82,   10.77
46.60336,1.88834,T2M,2005,    3.45,    1.13,    6.33,   10.07,   14.08,   19.58,   20.81,   19.21,   17.09,   15.05,    4.84,    1.27,   11.14
