-BEGIN HEADER-
NASA/POWER SRB/FLASHFlux/MERRA2/GEOS 5.12.4 (FP-IT) 0.5 x 0.5 Degree Interannual Averages/Sums 
Dates (month/day/year): 01/01/1981 through 12/31/2019 
Location: Latitude  44.1641   Longitude 5.0051 
Elevation from MERRA-2: Average for 1/2x1/2 degree lat/lon region = 544.56 meters   Site = na 
Climate zone: na (reference Briggs et al: http://www.energycodes.gov) 
Value for missing model data cannot be computed or out of model availability range: -999 
Parameter(s): 
RH2M MERRA2 1/2x1/2 Relative Humidity at 2 Meters (%) 
T2M MERRA2 1/2x1/2 Temperature at 2 Meters (C) 
-END HEADER-
LAT,LON,PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
44.16412,5.00512,T2M,1981,   -0.69,    1.41,    7.35,   10.59,   12.65,   17.93,   19.29,   21.33,   17.30,   10.88,    5.63,    1.78,   10.50
44.16412,5.00512,T2M,1982,    4.16,    3.53,    4.50,    8.85,   14.69,   18.99,   23.79,   20.28,   18.42,   10.85,    7.18,    2.92,   11.56
44.16412,5.00512,T2M,1983,    3.31,    0.26,    5.96,    8.50,   11.90,   17.87,   24.49,   20.75,   17.32,   11.90,    7.27,    3.37,   11.15
44.16412,5.00512,T2M,1984,    1.38,    1.22,    3.89,    8.88,   10.49,   16.47,   21.20,   19.78,   14.68,   11.41,    8.10,    3.25,   10.09
44.16412,5.00512,T2M,1985,   -3.19,    4.01,    3.75,    9.19,   12.14,   16.57,   22.53,   20.37,   19.61,   13.54,    3.11,    4.24,   10.52
44.16412,5.00512,T2M,1986,    0.63,   -0.50,    5.29,    7.28,   15.34,   18.35,   21.86,   21.44,   17.81,   13.23,    6.96,    2.10,   10.89
44.16412,5.00512,T2M,1987,   -1.24,    2.82,    3.69,    9.97,   11.96,   16.90,   21.18,   21.71,   19.78,   12.78,    5.76,    5.08,   10.91
44.16412,5.00512,T2M,1988,    4.29,    2.74,    4.45,    9.81,   14.02,   16.81,   21.14,   21.89,   16.89,   13.46,    5.44,    2.80,   11.18
44.16412,5.00512,T2M,1989,    3.63,    5.12,    8.39,    8.24,   15.92,   18.73,   23.13,   22.27,   17.33,   12.33,    6.58,    4.91,   12.27
44.16412,5.00512,T2M,1990,    3.22,    6.99,    8.16,    8.71,   16.44,   18.67,   23.13,   22.29,   17.05,   13.67,    5.60,    0.48,   12.07
44.16412,5.00512,T2M,1991,    2.69,    1.96,    8.64,    8.71,   12.31,   18.40,   24.14,   23.40,   18.84,   10.38,    5.35,    1.71,   11.44
44.16412,5.00512,T2M,1992,    2.13,    3.66,    6.82,   10.00,   15.75,   16.07,   20.96,   23.05,   16.96,    9.71,    7.70,    4.07,   11.43
44.16412,5.00512,T2M,1993,    3.73,    3.01,    5.80,    9.75,   14.62,   19.18,   20.27,   22.62,   15.70,   10.65,    4.64,    3.12,   11.14
44.16412,5.00512,T2M,1994,    2.44,    3.28,    8.82,    7.59,   14.64,   18.97,   24.61,   23.60,   15.71,   11.59,    9.22,    4.14,   12.11
44.16412,5.00512,T2M,1995,    0.82,    5.21,    4.39,    9.52,   13.51,   17.19,   23.70,   20.76,   14.06,   14.13,    5.86,    3.52,   11.10
44.16412,5.00512,T2M,1996,    4.75,    1.11,    4.89,    9.66,   13.30,   19.00,   20.34,   19.45,   13.78,   10.87,    5.57,    3.72,   10.57
44.16412,5.00512,T2M,1997,    3.16,    5.06,    8.51,    9.54,   15.18,   18.06,   20.28,   22.35,   19.11,   12.68,    7.54,    3.32,   12.11
44.16412,5.00512,T2M,1998,    3.07,    5.81,    6.63,    8.61,   15.08,   18.61,   22.33,   22.18,   16.11,   10.61,    3.43,    2.24,   11.27
44.16412,5.00512,T2M,1999,    2.87,    1.44,    6.85,    9.35,   16.32,   18.09,   22.45,   21.77,   18.58,   12.55,    4.02,    2.06,   11.43
44.16412,5.00512,T2M,2000,    1.76,    4.68,    6.74,    9.89,   15.84,   19.52,   19.57,   22.46,   17.62,   11.45,    6.35,    5.36,   11.79
44.16412,5.00512,T2M,2001,    3.72,    3.79,    8.56,    8.26,   15.33,   18.53,   22.05,   23.12,   14.38,   14.85,    5.02,    0.58,   11.58
44.16412,5.00512,T2M,2002,    2.80,    5.05,    8.30,   10.70,   13.77,   21.01,   21.54,   20.77,   15.36,   12.10,    8.25,    4.75,   12.07
44.16412,5.00512,T2M,2003,    1.19,    0.92,    7.37,   10.16,   16.37,   24.25,   24.20,   26.36,   16.97,   10.64,    7.98,    3.71,   12.58
44.16412,5.00512,T2M,2004,    1.80,    3.14,    5.37,    9.30,   13.53,   19.93,   22.15,   21.42,   18.18,   14.09,    5.53,    3.36,   11.51
44.16412,5.00512,T2M,2005,    1.44,    0.37,    5.91,    9.49,   15.22,   21.02,   22.15,   20.14,   17.01,   13.06,    5.77,   -0.04,   11.02
44.16412,5.00512,T2M,2006,    1.12,    2.16,    5.45,   10.52,   14.65,   20.73,   25.54,   18.88,   18.78,   14.42,    8.64,    4.55,   12.17
44.16412,5.00512,T2M,2007,    4.31,    5.22,    6.62,   13.94,   15.37,   18.78,   20.98,   20.59,   16.45,   11.81,    5.42,    2.74,   11.89
44.16412,5.00512,T2M,2008,    4.37,    5.00,    5.24,    9.08,   15.12,   18.36,   21.21,   21.09,   15.55,   12.15,    5.76,    1.64,   11.24
44.16412,5.00512,T2M,2009,    1.24,    2.23,    5.50,   10.42,   16.27,   19.43,   22.59,   23.84,   18.12,   11.85,    7.98,    2.45,   11.88
44.16412,5.00512,T2M,2010,   -0.60,    1.73,    4.94,   10.19,   12.42,   18.03,   23.28,   21.07,   16.18,   11.03,    5.48,    0.86,   10.43
44.16412,5.00512,T2M,2011,    2.29,    4.19,    7.02,   12.56,   16.72,   18.30,   19.38,   21.88,   19.14,   13.28,    8.92,    3.83,   12.33
44.16412,5.00512,T2M,2012,    2.81,   -0.78,    8.94,    9.22,   14.73,   19.72,   21.69,   23.44,   17.14,   12.44,    7.75,    2.16,   11.65
44.16412,5.00512,T2M,2013,    1.45,    0.04,    5.01,    9.88,   11.04,   16.91,   22.62,   21.44,   17.39,   14.02,    5.09,    4.28,   10.84
44.16412,5.00512,T2M,2014,    4.16,    4.27,    7.37,   11.22,   13.43,   19.85,   19.97,   19.48,   17.90,   14.40,    9.23,    3.61,   12.11
44.16412,5.00512,T2M,2015,    2.50,    1.71,    6.95,   10.76,   15.13,   20.36,   25.06,   22.09,   15.83,   11.04,    8.10,    6.89,   12.27
44.16412,5.00512,T2M,2016,    3.95,    4.57,    5.82,   10.19,   13.53,   18.76,   22.78,   22.20,   19.21,   11.50,    6.93,    4.58,   12.02
44.16412,5.00512,T2M,2017,    0.51,    6.00,    9.06,   10.18,   15.21,   22.07,   23.12,   23.42,   15.43,   13.72,    5.74,    1.96,   12.24
44.16412,5.00512,T2M,2018,    5.54,    1.12,    5.69,   12.35,   15.16,   19.39,   24.25,   22.87,   20.01,   13.69,    8.16,    4.39,   12.79
44.16412,5.00512,T2M,2019,    0.81,    5.51,    7.58,    9.51,   12.61,   21.38,   24.57,   23.58,   18.87,   14.11,    5.83,    5.61,   12.54
44.16412,5.00512,RH2M,1981,   79.78,   77.88,   81.32,   73.15,   70.97,   60.19,   58.83,   51.27,   67.73,   77.37,   76.43,   88.54,   71.93
44.16412,5.00512,RH2M,1982,   86.22,   81.85,   76.30,   68.61,   58.98,   62.90,   48.83,   57.54,   63.89,   77.65,   87.14,   89.28,   71.53
44.16412,5.00512,RH2M,1983,   81.71,   83.48,   80.93,   80.61,   76.60,   65.31,   49.95,   58.58,   63.06,   68.63,   80.25,   78.28,   72.19
44.16412,5.00512,RH2M,1984,   86.29,   81.14,   77.81,   68.82,   75.02,   68.96,   47.40,   55.55,   67.10,   77.67,   83.90,   85.99,   72.93
44.16412,5.00512,RH2M,1985,   84.99,   85.57,   82.38,   74.92,   76.36,   65.57,   50.71,   50.50,   49.20,   63.08,   74.93,   80.69,   69.82
44.16412,5.00512,RH2M,1986,   84.07,   81.88,   79.30,   79.44,   72.27,   58.96,   46.18,   45.85,   59.81,   70.22,   76.84,   85.75,   69.97
44.16412,5.00512,RH2M,1987,   83.82,   82.93,   76.68,   73.39,   65.22,   61.39,   59.72,   52.48,   59.61,   80.35,   83.98,   87.28,   72.18
44.16412,5.00512,RH2M,1988,   87.79,   81.60,   79.22,   80.35,   77.45,   70.55,   53.90,   50.41,   58.56,   80.09,   77.84,   81.84,   73.27
44.16412,5.00512,RH2M,1989,   78.09,   71.05,   64.78,   71.49,   59.30,   50.23,   43.30,   43.15,   53.64,   61.97,   73.57,   78.71,   62.37
44.16412,5.00512,RH2M,1990,   75.50,   81.76,   63.17,   67.24,   59.19,   53.60,   39.86,   44.57,   52.89,   74.25,   79.68,   80.28,   64.20
44.16412,5.00512,RH2M,1991,   75.41,   72.37,   74.33,   59.28,   54.24,   48.99,   35.88,   43.40,   62.51,   75.28,   84.92,   73.45,   63.26
44.16412,5.00512,RH2M,1992,   80.60,   76.01,   73.22,   65.23,   64.45,   71.77,   60.80,   49.92,   61.41,   80.26,   84.56,   83.65,   70.97
44.16412,5.00512,RH2M,1993,   81.92,   69.40,   69.82,   72.27,   70.13,   58.37,   51.04,   45.36,   66.59,   82.74,   83.68,   88.73,   70.01
44.16412,5.00512,RH2M,1994,   85.74,   83.24,   75.97,   76.05,   70.46,   56.11,   45.51,   45.90,   71.59,   78.94,   87.52,   86.79,   71.88
44.16412,5.00512,RH2M,1995,   84.38,   83.76,   75.12,   74.09,   66.86,   58.93,   49.12,   55.55,   65.89,   78.80,   76.10,   86.11,   71.15
44.16412,5.00512,RH2M,1996,   86.78,   82.01,   77.58,   72.61,   71.64,   60.51,   55.04,   58.78,   62.74,   74.47,   85.62,   87.68,   72.93
44.16412,5.00512,RH2M,1997,   84.64,   79.86,   69.53,   62.34,   62.19,   62.07,   55.85,   56.21,   54.87,   66.64,   81.33,   83.51,   68.19
44.16412,5.00512,RH2M,1998,   83.46,   72.25,   67.65,   74.00,   64.18,   60.11,   46.47,   45.91,   64.26,   76.50,   75.84,   78.56,   67.38
44.16412,5.00512,RH2M,1999,   84.53,   79.91,   74.53,   72.70,   69.42,   55.76,   47.96,   55.77,   64.11,   76.66,   83.13,   84.43,   70.69
44.16412,5.00512,RH2M,2000,   83.05,   80.30,   71.93,   73.51,   68.07,   57.07,   51.11,   47.39,   56.65,   78.15,   87.22,   86.76,   70.06
44.16412,5.00512,RH2M,2001,   88.88,   78.25,   83.43,   72.43,   73.00,   53.59,   50.86,   45.14,   58.02,   75.65,   74.62,   73.92,   68.95
44.16412,5.00512,RH2M,2002,   74.93,   77.45,   66.94,   60.59,   62.09,   49.84,   49.14,   53.39,   71.39,   74.65,   86.91,   89.34,   67.99
44.16412,5.00512,RH2M,2003,   86.33,   78.09,   73.02,   69.68,   58.71,   44.53,   38.85,   40.39,   57.62,   72.06,   82.11,   80.65,   65.08
44.16412,5.00512,RH2M,2004,   87.24,   76.18,   73.64,   71.29,   65.45,   50.88,   42.58,   55.88,   54.43,   76.61,   81.01,   81.22,   68.03
44.16412,5.00512,RH2M,2005,   80.32,   72.79,   71.86,   70.29,   60.81,   54.81,   47.60,   49.91,   68.99,   76.73,   81.32,   84.09,   68.25
44.16412,5.00512,RH2M,2006,   80.87,   80.14,   78.70,   70.86,   63.50,   46.11,   48.71,   54.14,   65.05,   74.79,   80.56,   82.95,   68.81
44.16412,5.00512,RH2M,2007,   85.61,   82.79,   72.42,   66.18,   65.69,   63.93,   49.21,   53.36,   55.35,   66.18,   71.00,   76.52,   67.26
44.16412,5.00512,RH2M,2008,   82.00,   77.02,   72.51,   71.30,   69.85,   68.11,   54.65,   52.76,   66.50,   76.84,   85.55,   85.05,   71.81
44.16412,5.00512,RH2M,2009,   84.05,   82.35,   75.88,   77.89,   65.56,   57.96,   46.91,   47.42,   61.02,   70.66,   83.28,   86.12,   69.82
44.16412,5.00512,RH2M,2010,   86.81,   84.70,   79.39,   74.97,   74.55,   67.33,   50.85,   50.10,   59.80,   72.09,   86.26,   85.34,   72.59
44.16412,5.00512,RH2M,2011,   84.99,   79.52,   77.40,   68.55,   58.33,   60.82,   56.58,   51.66,   58.80,   64.84,   83.47,   86.78,   69.24
44.16412,5.00512,RH2M,2012,   82.75,   69.43,   65.30,   71.48,   67.87,   58.86,   48.86,   48.53,   65.34,   76.64,   86.08,   87.35,   69.02
44.16412,5.00512,RH2M,2013,   83.57,   81.16,   80.46,   79.13,   77.35,   68.09,   59.04,   53.87,   61.68,   76.01,   79.41,   80.10,   73.27
44.16412,5.00512,RH2M,2014,   87.06,   85.28,   74.11,   71.12,   64.48,   56.98,   62.29,   59.81,   65.99,   77.34,   87.42,   87.00,   73.17
44.16412,5.00512,RH2M,2015,   86.86,   84.38,   79.80,   71.89,   66.85,   61.07,   45.50,   53.71,   64.87,   78.13,   78.48,   88.92,   71.63
44.16412,5.00512,RH2M,2016,   87.69,   83.05,   74.90,   69.00,   64.09,   63.14,   51.56,   48.74,   58.36,   73.03,   84.91,   79.11,   69.74
44.16412,5.00512,RH2M,2017,   80.65,   83.47,   76.11,   66.48,   66.55,   55.72,   46.17,   45.96,   56.05,   57.30,   73.12,   84.51,   65.90
44.16412,5.00512,RH2M,2018,   85.52,   77.84,   80.07,   72.09,   75.36,   68.99,   50.59,   54.62,   52.42,   69.04,   87.48,   87.95,   71.80
44.16412,5.00512,RH2M,2019,   83.07,   77.37,   71.06,   71.55,   67.47,   51.93,   47.47,   46.69,   53.94,   75.01,   89.47,   87.04,   68.45
