-BEGIN HEADER-
NASA/POWER SRB/FLASHFlux/MERRA2/GEOS 5.12.4 (FP-IT) 0.5 x 0.5 Degree Interannual Averages/Sums 
Dates (month/day/year): 01/01/1981 through 12/31/2019 
Location: Latitude  43.7437   Longitude 4.7951 
Elevation from MERRA-2: Average for 1/2x1/2 degree lat/lon region = 132.51 meters   Site = na 
Climate zone: na (reference Briggs et al: http://www.energycodes.gov) 
Value for missing model data cannot be computed or out of model availability range: -999 
Parameter(s): 
T2M MERRA2 1/2x1/2 Temperature at 2 Meters (C) 
RH2M MERRA2 1/2x1/2 Relative Humidity at 2 Meters (%) 
-END HEADER-
LAT,LON,PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
43.74365,4.79513,T2M,1981,    3.50,    4.84,   10.37,   13.21,   15.48,   20.69,   22.03,   23.86,   20.27,   14.35,    8.87,    6.23,   13.69
43.74365,4.79513,T2M,1982,    7.36,    7.08,    8.00,   11.64,   16.92,   21.51,   25.92,   22.38,   20.92,   14.12,   10.52,    6.38,   14.44
43.74365,4.79513,T2M,1983,    6.15,    4.26,    8.88,   11.43,   14.84,   20.41,   26.29,   23.32,   20.07,   14.97,   10.57,    6.60,   14.04
43.74365,4.79513,T2M,1984,    5.24,    4.99,    7.31,   11.62,   13.50,   19.35,   23.48,   22.26,   17.59,   14.41,   11.51,    6.57,   13.18
43.74365,4.79513,T2M,1985,    0.84,    7.24,    7.08,   12.21,   14.93,   19.49,   25.00,   22.57,   21.70,   16.40,    6.59,    7.31,   13.48
43.74365,4.79513,T2M,1986,    4.62,    3.05,    8.23,   10.14,   17.64,   20.56,   24.33,   23.71,   20.33,   16.07,   10.26,    5.74,   13.79
43.74365,4.79513,T2M,1987,    1.87,    5.91,    6.96,   12.43,   14.55,   19.40,   23.72,   23.97,   21.96,   15.96,    9.03,    7.74,   13.66
43.74365,4.79513,T2M,1988,    7.78,    6.20,    7.90,   12.27,   16.52,   19.72,   23.87,   24.11,   19.58,   16.23,    8.81,    5.90,   14.11
43.74365,4.79513,T2M,1989,    6.49,    7.95,   10.78,   11.36,   18.23,   21.63,   25.37,   24.49,   19.88,   15.09,    9.88,    8.23,   15.00
43.74365,4.79513,T2M,1990,    6.32,   10.13,   10.71,   11.89,   18.83,   20.93,   24.84,   24.44,   19.81,   16.61,    9.17,    4.15,   14.85
43.74365,4.79513,T2M,1991,    5.90,    5.34,   11.51,   11.47,   15.02,   20.58,   25.50,   25.18,   21.37,   13.56,    8.78,    5.19,   14.17
43.74365,4.79513,T2M,1992,    5.17,    6.74,    9.95,   12.90,   18.17,   18.67,   23.34,   24.87,   19.52,   13.27,   10.81,    7.49,   14.27
43.74365,4.79513,T2M,1993,    6.81,    5.98,    8.77,   12.52,   17.09,   21.32,   22.43,   24.48,   18.62,   13.76,    7.78,    6.60,   13.90
43.74365,4.79513,T2M,1994,    5.74,    6.56,   11.25,   10.66,   17.09,   21.30,   26.50,   25.66,   18.47,   14.46,   12.11,    7.33,   14.82
43.74365,4.79513,T2M,1995,    4.76,    8.44,    7.89,   12.19,   16.02,   20.20,   25.84,   23.83,   17.16,   16.85,    9.24,    7.04,   14.16
43.74365,4.79513,T2M,1996,    8.51,    4.61,    7.79,   12.25,   15.79,   21.37,   23.12,   22.30,   16.82,   13.83,    9.23,    7.32,   13.61
43.74365,4.79513,T2M,1997,    6.57,    7.98,   11.03,   12.30,   17.34,   19.99,   22.64,   24.52,   21.28,   15.87,   11.07,    6.76,   14.82
