-BEGIN HEADER-
NASA/POWER SRB/FLASHFlux/MERRA2/GEOS 5.12.4 (FP-IT) 0.5 x 0.5 Degree Interannual Averages/Sums 
Dates (month/day/year): 01/01/1981 through 12/31/2019 
Location: Latitude  45.7041   Longitude 4.9186 
Elevation from MERRA-2: Average for 1/2x1/2 degree lat/lon region = 423.42 meters   Site = na 
Climate zone: na (reference Briggs et al: http://www.energycodes.gov) 
Value for missing model data cannot be computed or out of model availability range: -999 
Parameter(s): 
T2M MERRA2 1/2x1/2 Temperature at 2 Meters (C) 
RH2M MERRA2 1/2x1/2 Relative Humidity at 2 Meters (%) 
-END HEADER-
LAT,LON,PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
45.70409,4.91864,T2M,1981,   -1.09,   -0.33,    7.42,    9.66,   12.04,   15.59,   17.33,   18.44,   15.88,   10.11,    4.12,    1.74,    9.30
45.70409,4.91864,T2M,1982,    3.27,    2.98,    4.20,    7.48,   13.27,   17.78,   21.29,   18.18,   17.45,    9.93,    6.59,    1.95,   10.40
45.70409,4.91864,T2M,1983,    2.31,   -0.31,    5.01,    8.29,   11.48,   16.97,   22.35,   19.39,   16.01,   10.26,    5.22,    1.67,    9.95
45.70409,4.91864,T2M,1984,    1.33,    0.53,    3.50,    7.90,   10.07,   15.64,   19.57,   18.57,   14.18,   10.23,    7.75,    2.20,    9.32
45.70409,4.91864,T2M,1985,   -4.74,    2.03,    3.16,    8.58,   12.08,   15.26,   19.94,   18.85,   17.75,   11.84,    1.61,    2.76,    9.13
45.70409,4.91864,T2M,1986,    0.70,   -2.08,    4.31,    6.24,   14.47,   17.38,   20.06,   19.71,   16.20,   12.63,    6.14,    1.93,    9.89
45.70409,4.91864,T2M,1987,   -4.20,    1.28,    3.22,    9.83,   10.97,   15.44,   19.59,   19.63,   18.87,   12.13,    4.94,    3.04,    9.60
45.70409,4.91864,T2M,1988,    4.23,    2.22,    4.26,    9.84,   13.93,   16.19,   18.80,   20.18,   15.62,   12.00,    3.81,    2.33,   10.32
45.70409,4.91864,T2M,1989,    1.81,    3.67,    7.62,    7.64,   14.98,   16.90,   21.27,   20.62,   16.33,   11.56,    5.05,    3.40,   10.96
45.70409,4.91864,T2M,1990,    2.28,    7.24,    7.12,    7.71,   16.45,   17.57,   21.38,   21.87,   15.85,   13.03,    4.91,   -1.03,   11.23
45.70409,4.91864,T2M,1991,    1.34,    1.07,    8.24,    7.94,   11.26,   17.49,   22.36,   22.73,   18.58,    9.40,    4.62,    0.03,   10.48
45.70409,4.91864,T2M,1992,   -0.78,    2.13,    5.97,    8.86,   14.65,   15.75,   19.99,   22.18,   15.74,    8.18,    6.97,    2.81,   10.23
45.70409,4.91864,T2M,1993,    2.98,    0.93,    4.67,    9.59,   14.03,   17.76,   18.52,   19.98,   14.22,    9.07,    2.25,    2.98,    9.81
45.70409,4.91864,T2M,1994,    1.78,    2.92,    7.97,    6.95,   13.44,   16.74,   22.29,   21.67,   14.43,   10.51,    8.18,    3.36,   10.91
45.70409,4.91864,T2M,1995,    0.79,    5.17,    3.97,    8.29,   12.62,   15.28,   21.61,   19.81,   13.02,   13.58,    4.36,    1.80,   10.06
45.70409,4.91864,T2M,1996,    3.93,    0.18,    3.88,    8.72,   12.33,   17.33,   18.41,   18.29,   12.71,   10.20,    4.48,    1.67,    9.38
45.70409,4.91864,T2M,1997,   -0.22,    4.40,    7.12,    8.05,   13.95,   16.89,   18.79,   22.40,   17.43,   10.58,    6.55,    2.93,   10.77
45.70409,4.91864,T2M,1998,    2.34,    3.53,    5.60,    8.34,   14.04,   17.47,   20.36,   20.35,   15.27,    9.91,    2.16,    1.18,   10.09
45.70409,4.91864,T2M,1999,    2.63,    0.80,    6.12,    8.76,   15.45,   15.94,   20.40,   20.22,   17.93,   10.91,    2.36,    2.06,   10.37
45.70409,4.91864,T2M,2000,    0.56,    4.20,    5.53,    9.53,   14.99,   18.02,   18.19,   21.19,   16.70,   10.48,    6.54,    4.75,   10.91
45.70409,4.91864,T2M,2001,    2.88,    3.17,    8.26,    7.55,   14.90,   16.98,   20.66,   21.15,   13.17,   14.04,    2.88,   -1.10,   10.44
45.70409,4.91864,T2M,2002,    1.31,    4.98,    7.04,    9.99,   13.03,   20.57,   20.17,   19.54,   14.57,   11.29,    7.74,    4.63,   11.27
45.70409,4.91864,T2M,2003,   -0.14,   -0.12,    6.73,    9.95,   15.25,   23.79,   22.87,   25.85,   16.06,    9.23,    6.80,    2.14,   11.60
45.70409,4.91864,T2M,2004,    1.46,    1.86,    4.23,    8.61,   12.61,   18.46,   20.47,   19.88,   16.49,   13.06,    4.31,    1.00,   10.23
45.70409,4.91864,T2M,2005,    0.89,   -0.67,    4.91,    8.72,   13.60,   18.58,   20.28,   18.27,   16.44,   13.34,    4.20,   -0.79,    9.88
45.70409,4.91864,T2M,2006,   -0.42,    0.32,    4.73,    9.20,   13.51,   18.75,   23.97,   16.99,   18.20,   13.90,    7.67,    2.38,   10.82
45.70409,4.91864,T2M,2007,    3.41,    4.84,    5.64,   13.24,   14.53,   17.49,   18.23,   18.00,   13.93,    9.68,    3.69,    1.03,   10.33
45.70409,4.91864,T2M,2008,    3.02,    4.38,    4.54,    8.46,   15.13,   17.11,   18.92,   18.75,   13.50,   10.19,    5.11,    0.29,    9.97
45.70409,4.91864,T2M,2009,   -1.09,    1.03,    4.62,   10.47,   15.32,   17.48,   20.63,   21.88,   16.24,   10.67,    7.87,    1.85,   10.63
45.70409,4.91864,T2M,2010,   -1.82,    0.74,    4.37,    9.93,   11.57,   16.72,   21.26,   19.02,   14.50,    9.94,    5.13,   -0.32,    9.30
45.70409,4.91864,T2M,2011,    1.14,    2.94,    6.26,   11.95,   15.95,   17.77,   17.66,   20.59,   17.79,   11.63,    7.78,    4.15,   11.34
