-BEGIN HEADER-
NASA/POWER SRB/FLASHFlux/MERRA2/GEOS 5.12.4 (FP-IT) 0.5 x 0.5 Degree Interannual Averages/Sums 
Dates (month/day/year): 01/01/1981 through 12/31/2019 
Location: Latitude  43.5502   Longitude -0.0581 
Elevation from MERRA-2: Average for 1/2x1/2 degree lat/lon region = 157.94 meters   Site = na 
Climate zone: na (reference Briggs et al: http://www.energycodes.gov) 
Value for missing model data cannot be computed or out of model availability range: -999 
Parameter(s): 
RH2M MERRA2 1/2x1/2 Relative Humidity at 2 Meters (%) 
T2M MERRA2 1/2x1/2 Temperature at 2 Meters (C) 
-END HEADER-
LAT,LON,PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
43.55021,-0.05808,T2M,1981,    4.76,    4.49,   10.74,   11.69,   13.69,   17.87,   19.49,   21.32,   18.68,   13.70,    8.97,    7.15,   12.76
43.55021,-0.05808,T2M,1982,    7.72,    7.24,    7.65,   10.88,   14.75,   19.20,   22.49,   19.67,   19.74,   12.75,    9.46,    6.17,   13.17
43.55021,-0.05808,T2M,1983,    5.69,    4.81,    8.32,   10.54,   13.06,   19.01,   23.90,   20.71,   19.06,   14.21,   10.92,    5.67,   13.04
43.55021,-0.05808,T2M,1984,    5.97,    4.32,    6.15,   11.91,   11.43,   17.74,   21.87,   20.47,   16.71,   13.52,   10.85,    5.59,   12.23
43.55021,-0.05808,T2M,1985,    0.42,    8.14,    6.28,   11.68,   13.33,   17.52,   21.90,   20.03,   20.86,   15.90,    5.54,    6.10,   12.32
43.55021,-0.05808,T2M,1986,    5.66,    3.48,    7.86,    7.59,   15.52,   18.48,   21.52,   20.91,   19.31,   15.64,    8.92,    6.62,   12.69
43.55021,-0.05808,T2M,1987,    1.71,    5.57,    7.89,   13.22,   13.53,   17.63,   21.47,   22.32,   22.04,   15.10,    8.75,    7.31,   13.08
43.55021,-0.05808,T2M,1988,    8.30,    6.29,    7.60,   12.30,   15.35,   17.99,   19.76,   21.21,   18.49,   15.79,    9.33,    5.44,   13.18
43.55021,-0.05808,T2M,1989,    5.07,    7.62,   10.61,    9.71,   17.73,   20.42,   23.75,   22.82,   18.91,   15.55,   10.94,    9.28,   14.42
43.55021,-0.05808,T2M,1990,    6.46,   10.88,   10.03,   10.90,   18.56,   19.35,   24.03,   24.45,   20.73,   15.86,    9.04,    3.15,   14.48
