-BEGIN HEADER-
NASA/POWER SRB/FLASHFlux/MERRA2/GEOS 5.12.4 (FP-IT) 0.5 x 0.5 Degree Interannual Averages/Sums 
Dates (month/day/year): 01/01/1981 through 12/31/2019 
Location: Latitude  4.912   Longitude -52.2591 
Elevation from MERRA-2: Average for 1/2x1/2 degree lat/lon region = 34.2 meters   Site = na 
Climate zone: na (reference Briggs et al: http://www.energycodes.gov) 
Value for missing model data cannot be computed or out of model availability range: -999 
Parameter(s): 
T2M MERRA2 1/2x1/2 Temperature at 2 Meters (C) 
RH2M MERRA2 1/2x1/2 Relative Humidity at 2 Meters (%) 
-END HEADER-
LAT,LON,PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
4.91196,-52.25914,T2M,1981,   25.41,   25.33,   25.56,   25.94,   25.83,   25.53,   25.37,   25.77,   26.15,   26.36,   26.84,   26.16,   25.86
4.91196,-52.25914,T2M,1982,   25.10,   25.24,   25.46,   25.58,   25.83,   25.58,   25.26,   25.46,   25.99,   26.64,   26.18,   25.95,   25.69
4.91196,-52.25914,T2M,1983,   25.43,   25.68,   25.97,   26.08,   26.29,   26.10,   25.59,   26.00,   26.13,   26.60,   26.37,   25.34,   25.96
4.91196,-52.25914,T2M,1984,   24.79,   24.82,   25.21,   25.12,   25.19,   25.21,   25.19,   25.40,   25.59,   25.76,   25.57,   25.36,   25.27
4.91196,-52.25914,T2M,1985,   24.71,   24.53,   25.21,   25.28,   25.43,   25.29,   25.11,   25.30,   25.71,   25.62,   25.63,   25.03,   25.24
4.91196,-52.25914,T2M,1986,   24.81,   25.05,   25.09,   25.66,   25.70,   25.18,   25.08,   25.28,   25.93,   26.07,   25.66,   25.23,   25.40
4.91196,-52.25914,T2M,1987,   25.14,   25.32,   25.56,   25.99,   25.98,   25.85,   25.75,   26.09,   26.28,   27.08,   27.27,   26.21,   26.05
4.91196,-52.25914,T2M,1988,   25.58,   25.37,   25.60,   25.91,   25.84,   25.54,   25.45,   25.99,   25.95,   26.07,   26.06,   25.12,   25.71
4.91196,-52.25914,T2M,1989,   24.88,   24.89,   24.73,   25.43,   25.51,   25.53,   25.47,   25.71,   25.89,   26.09,   25.72,   25.47,   25.45
4.91196,-52.25914,T2M,1990,   25.20,   24.90,   25.38,   25.79,   25.81,   25.56,   25.61,   25.70,   26.31,   26.74,   26.57,   26.01,   25.80
4.91196,-52.25914,T2M,1991,   25.23,   25.30,   25.42,   25.82,   25.64,   25.73,   25.37,   25.45,   25.67,   25.82,   26.62,   26.12,   25.68
4.91196,-52.25914,T2M,1992,   24.84,   25.24,   25.28,   25.85,   26.07,   25.68,   25.27,   25.66,   26.03,   26.81,   26.49,   25.51,   25.73
4.91196,-52.25914,T2M,1993,   25.05,   24.97,   25.28,   25.59,   26.10,   25.76,   25.73,   25.84,   25.92,   26.67,   26.19,   25.70,   25.74
4.91196,-52.25914,T2M,1994,   25.16,   24.93,   25.31,   25.49,   25.69,   25.68,   25.52,   25.78,   26.16,   26.30,   26.01,   25.35,   25.62
4.91196,-52.25914,T2M,1995,   24.98,   24.91,   25.66,   25.99,   25.96,   25.63,   25.61,   26.06,   26.34,   26.77,   26.41,   26.31,   25.89
4.91196,-52.25914,T2M,1996,   25.34,   25.45,   25.37,   25.82,   25.75,   25.69,   25.47,   25.76,   26.08,   26.37,   25.99,   25.91,   25.75
4.91196,-52.25914,T2M,1997,   25.32,   25.06,   24.89,   25.68,   25.59,   25.80,   25.65,   25.81,   26.84,   27.92,   27.49,   26.00,   26.01
4.91196,-52.25914,T2M,1998,   25.96,   26.64,   26.36,   26.90,   26.84,   26.40,   26.30,   26.72,   26.82,   27.32,   26.70,   26.22,   26.60
