-BEGIN HEADER-
NASA/POWER SRB/FLASHFlux/MERRA2/GEOS 5.12.4 (FP-IT) 0.5 x 0.5 Degree Interannual Averages/Sums 
Dates (month/day/year): 01/01/1981 through 12/31/2019 
Location: Latitude  42.9605   Longitude 1.0924 
Elevation from MERRA-2: Average for 1/2x1/2 degree lat/lon region = 1194.37 meters   Site = na 
Climate zone: na (reference Briggs et al: http://www.energycodes.gov) 
Value for missing model data cannot be computed or out of model availability range: -999 
Parameter(s): 
RH2M MERRA2 1/2x1/2 Relative Humidity at 2 Meters (%) 
T2M MERRA2 1/2x1/2 Temperature at 2 Meters (C) 
-END HEADER-
LAT,LON,PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
42.96048,1.09244,T2M,1981,   -0.96,   -0.57,    5.58,    6.45,    8.89,   14.16,   15.48,   17.38,   14.58,    9.12,    5.92,    1.16,    8.15
42.96048,1.09244,T2M,1982,    2.13,    2.16,    1.76,    6.24,   10.33,   15.41,   19.64,   16.42,   14.40,    7.99,    4.29,    0.55,    8.48
42.96048,1.09244,T2M,1983,    2.09,   -1.21,    3.85,    5.30,    8.77,   15.22,   21.00,   16.50,   15.36,    9.97,    6.76,    1.78,    8.84
42.96048,1.09244,T2M,1984,    0.51,   -0.95,    0.69,    6.88,    6.25,   13.33,   18.67,   15.60,   11.90,    8.53,    5.79,    0.70,    7.35
42.96048,1.09244,T2M,1985,   -5.83,    3.62,    0.44,    6.74,    8.35,   14.11,   19.35,   17.49,   16.33,   11.13,    1.26,    1.81,    7.92
42.96048,1.09244,T2M,1986,   -0.84,   -2.19,    3.21,    2.95,   12.01,   15.19,   17.84,   18.03,   15.12,   10.69,    4.48,    0.94,    8.19
42.96048,1.09244,T2M,1987,   -2.53,    0.50,    2.81,    7.86,    8.58,   13.73,   17.35,   19.17,   17.80,   10.46,    3.57,    4.33,    8.68
42.96048,1.09244,T2M,1988,    2.58,    0.61,    2.29,    6.72,   10.65,   13.18,   17.48,   18.34,   14.38,   11.67,    5.40,    1.06,    8.73
42.96048,1.09244,T2M,1989,    1.90,    2.84,    5.82,    4.53,   12.47,   15.51,   19.34,   18.58,   13.38,   10.72,    6.40,    4.61,    9.73
42.96048,1.09244,T2M,1990,    2.27,    5.98,    5.37,    5.16,   12.62,   15.23,   19.45,   18.87,   15.65,   10.24,    3.41,   -1.50,    9.42
42.96048,1.09244,T2M,1991,    0.57,    0.53,    5.63,    4.85,    7.91,   14.63,   19.42,   20.67,   15.73,    7.52,    3.70,    1.29,    8.59
42.96048,1.09244,T2M,1992,   -0.73,    1.54,    3.39,    5.91,   12.25,   11.37,   17.61,   19.49,   14.44,    6.61,    6.66,    1.92,    8.39
42.96048,1.09244,T2M,1993,    2.42,   -0.08,    3.71,    5.84,   11.00,   15.46,   16.82,   18.86,   12.25,    6.47,    3.62,    2.41,    8.29
42.96048,1.09244,T2M,1994,    0.05,    1.27,    6.87,    3.79,   11.53,   14.75,   21.08,   20.50,   12.14,    9.50,    6.93,    2.33,    9.29
42.96048,1.09244,T2M,1995,   -0.74,    3.76,    2.70,    6.41,   10.70,   13.60,   19.70,   17.22,   11.04,   12.06,    5.11,    2.33,    8.69
42.96048,1.09244,T2M,1996,    2.61,   -1.23,    2.87,    6.19,    9.93,   14.59,   17.16,   16.02,   11.24,    8.44,    3.86,    1.49,    7.80
42.96048,1.09244,T2M,1997,    0.21,    4.98,    6.80,    7.49,   11.98,   14.12,   16.12,   18.69,   15.76,   11.36,    5.28,    1.65,    9.56
