-BEGIN HEADER-
NASA/POWER SRB/FLASHFlux/MERRA2/GEOS 5.12.4 (FP-IT) 0.5 x 0.5 Degree Interannual Averages/Sums 
Dates (month/day/year): 01/01/1981 through 12/31/2019 
Location: Latitude  46.7566   Longitude -1.0936 
Elevation from MERRA-2: Average for 1/2x1/2 degree lat/lon region = 56.93 meters   Site = na 
Climate zone: na (reference Briggs et al: http://www.energycodes.gov) 
Value for missing model data cannot be computed or out of model availability range: -999 
Parameter(s): 
RH2M MERRA2 1/2x1/2 Relative Humidity at 2 Meters (%) 
T2M MERRA2 1/2x1/2 Temperature at 2 Meters (C) 
-END HEADER-
LAT,LON,PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
46.75659,-1.09362,T2M,1981,    5.24,    3.26,    9.41,   10.37,   12.74,   15.66,   17.54,   19.30,   16.64,   12.25,    7.87,    6.22,   11.43
46.75659,-1.09362,T2M,1982,    6.74,    6.40,    7.30,    9.35,   13.48,   17.51,   19.38,   17.63,   17.55,   12.10,    9.64,    6.25,   11.97
46.75659,-1.09362,T2M,1983,    6.31,    3.68,    7.76,    9.19,   11.84,   17.20,   21.58,   18.99,   16.51,   12.10,    8.11,    4.99,   11.57
46.75659,-1.09362,T2M,1984,    6.30,    4.08,    6.08,   10.33,   10.75,   16.70,   18.87,   18.61,   15.17,   12.32,   10.16,    5.66,   11.27
46.75659,-1.09362,T2M,1985,    0.72,    4.97,    5.98,   10.12,   12.63,   15.56,   18.86,   16.75,   17.22,   12.21,    5.13,    6.02,   10.54
46.75659,-1.09362,T2M,1986,    5.90,   -0.13,    7.08,    7.09,   12.91,   17.19,   18.65,   16.99,   15.00,   14.64,    9.07,    7.07,   11.03
46.75659,-1.09362,T2M,1987,   -1.14,    4.32,    5.98,   11.52,   12.56,   15.88,   19.74,   19.62,   18.31,   13.15,    7.96,    6.11,   11.20
46.75659,-1.09362,T2M,1988,    8.32,    6.24,    7.77,   11.26,   14.41,   17.39,   17.32,   18.58,   16.29,   13.74,    7.35,    6.53,   12.12
46.75659,-1.09362,T2M,1989,    4.50,    7.03,   10.01,    8.85,   17.12,   18.58,   21.55,   20.52,   17.64,   14.34,    8.15,    6.98,   12.98
46.75659,-1.09362,T2M,1990,    7.19,   10.10,    8.76,   10.05,   17.14,   16.97,   21.75,   22.31,   17.52,   14.34,    8.48,    3.77,   13.22
46.75659,-1.09362,T2M,1991,    4.43,    2.98,    9.57,    9.93,   13.83,   15.95,   20.53,   22.31,   19.36,   11.86,    8.19,    4.07,   11.98
46.75659,-1.09362,T2M,1992,    2.51,    5.29,    8.37,    9.98,   16.45,   18.14,   20.37,   20.41,   16.18,   10.71,   10.76,    5.76,   12.10
46.75659,-1.09362,T2M,1993,    7.69,    4.64,    7.95,   10.90,   14.38,   18.29,   18.19,   19.00,   15.03,   10.66,    5.37,    8.17,   11.74
46.75659,-1.09362,T2M,1994,    7.08,    7.16,    9.72,    9.74,   14.20,   17.53,   21.34,   20.05,   15.37,   13.34,   10.84,    8.55,   12.95
46.75659,-1.09362,T2M,1995,    6.31,    8.84,    7.77,   10.22,   13.90,   16.47,   20.68,   20.45,   14.98,   14.97,    8.15,    4.73,   12.31
46.75659,-1.09362,T2M,1996,    7.06,    4.39,    6.99,   10.23,   12.41,   17.69,   19.00,   18.58,   15.04,   12.90,    8.22,    3.21,   11.33
46.75659,-1.09362,T2M,1997,    1.64,    7.59,    9.83,   10.63,   14.48,   16.38,   19.18,   22.02,   17.91,   13.40,   10.06,    6.75,   12.52
46.75659,-1.09362,T2M,1998,    5.84,    5.54,    8.64,    9.33,   15.07,   16.25,   17.96,   19.49,   16.48,   12.75,    6.14,    5.88,   11.66
46.75659,-1.09362,T2M,1999,    7.16,    5.76,    8.80,   10.69,   15.13,   16.62,   20.08,   18.96,   17.73,   12.92,    6.60,    6.99,   12.33
46.75659,-1.09362,T2M,2000,    4.12,    7.46,    7.41,    9.63,   14.82,   17.13,   17.13,   18.78,   16.59,   12.14,    9.13,    8.41,   11.91
46.75659,-1.09362,T2M,2001,    6.39,    5.66,    9.26,    9.18,   14.21,   16.49,   18.42,   18.90,   14.25,   14.81,    6.29,    2.57,   11.41
46.75659,-1.09362,T2M,2002,    6.56,    7.67,    8.46,   10.27,   12.92,   16.44,   17.37,   17.36,   15.14,   12.94,   10.35,    8.22,   12.00
46.75659,-1.09362,T2M,2003,    3.47,    3.99,    9.13,   10.94,   13.81,   19.31,   19.19,   21.84,   16.30,   10.82,    9.54,    5.89,   12.06
46.75659,-1.09362,T2M,2004,    6.08,    4.60,    6.45,   10.06,   13.50,   17.77,   17.99,   18.95,   17.41,   13.34,    8.15,    4.79,   11.61
46.75659,-1.09362,T2M,2005,    6.16,    3.50,    7.77,   10.60,   13.94,   19.19,   20.22,   19.16,   17.34,   15.48,    7.07,    3.77,   12.07
46.75659,-1.09362,T2M,2006,    3.76,    3.42,    7.38,   10.43,   14.10,   18.92,   22.76,   18.06,   18.45,   15.19,   10.25,    5.34,   12.39
46.75659,-1.09362,T2M,2007,    7.65,    8.68,    7.89,   13.48,   14.55,   16.98,   17.23,   17.57,   14.97,   11.67,    7.23,    5.16,   11.93
46.75659,-1.09362,T2M,2008,    6.85,    7.17,    7.68,    9.48,   15.32,   16.75,   17.79,   17.82,   14.13,   11.56,    8.22,    3.74,   11.39
46.75659,-1.09362,T2M,2009,    2.92,    4.59,    7.53,   10.57,   14.59,   17.71,   18.26,   19.41,   16.63,   13.06,   10.87,    5.13,   11.81
46.75659,-1.09362,T2M,2010,    1.51,    4.11,    6.38,   10.77,   12.81,   17.65,   20.04,   18.15,   15.79,   12.07,    7.84,    1.51,   10.75
46.75659,-1.09362,T2M,2011,    4.43,    6.90,    8.29,   13.27,   15.08,   16.82,   17.75,   18.97,   17.80,   13.68,   11.75,    8.59,   12.80
46.75659,-1.09362,T2M,2012,    6.32,    1.57,    9.61,    9.09,   14.54,   16.86,   17.98,   19.95,   16.25,   13.50,    8.76,    7.49,   11.87
46.75659,-1.09362,T2M,2013,    5.35,    3.84,    6.34,    9.33,   11.81,   16.08,   21.19,   18.96,   16.93,   14.55,    8.16,    6.07,   11.60
46.75659,-1.09362,T2M,2014,    8.00,    7.90,    8.77,   11.64,   13.23,   17.83,   19.67,   17.38,   18.23,   14.63,   10.95,    5.82,   12.86
46.75659,-1.09362,T2M,2015,    5.82,    4.28,    8.09,   11.91,   14.11,   17.86,   19.32,   19.04,   14.99,   11.72,   11.80,    9.36,   12.40
46.75659,-1.09362,T2M,2016,    7.37,    6.96,    7.08,    9.35,   13.88,   17.23,   19.05,   20.05,   18.06,   11.46,    8.78,    5.76,   12.10
46.75659,-1.09362,T2M,2017,    2.76,    7.61,   10.00,   10.58,   15.52,   19.12,   19.99,   19.56,   15.68,   14.53,    8.33,    6.37,   12.53
46.75659,-1.09362,T2M,2018,    8.50,    3.12,    7.52,   12.30,   15.17,   19.05,   21.21,   20.48,   17.45,   13.02,    8.53,    8.09,   12.93
46.75659,-1.09362,T2M,2019,    4.43,    7.37,    9.44,   10.87,   13.35,   18.06,   21.73,   19.97,   17.49,   14.14,    8.73,    7.93,   12.83
46.75659,-1.09362,RH2M,1981,   90.13,   85.48,   87.06,   79.28,   83.07,   77.76,   80.51,   75.49,   79.21,   86.90,   90.06,   91.15,   83.85
46.75659,-1.09362,RH2M,1982,   93.24,   91.05,   82.92,   77.10,   78.79,   79.42,   75.67,   78.23,   78.97,   87.61,   89.88,   92.53,   83.75
46.75659,-1.09362,RH2M,1983,   93.89,   88.03,   86.08,   84.39,   82.27,   78.75,   80.35,   80.54,   81.34,   83.42,   88.89,   91.54,   84.95
46.75659,-1.09362,RH2M,1984,   89.96,   85.59,   82.62,   74.80,   81.96,   76.78,   72.41,   74.19,   80.95,   88.41,   90.33,   93.25,   82.61
46.75659,-1.09362,RH2M,1985,   91.06,   88.30,   83.31,   81.63,   82.49,   78.54,   76.39,   77.92,   75.11,   79.54,   87.57,   92.27,   82.82
46.75659,-1.09362,RH2M,1986,   90.77,   88.56,   85.63,   80.63,   81.44,   78.38,   74.51,   72.54,   74.96,   83.61,   88.68,   92.59,   82.66
46.75659,-1.09362,RH2M,1987,   85.14,   91.12,   81.26,   79.93,   71.21,   75.33,   70.58,   67.35,   74.67,   85.72,   89.08,   93.57,   80.33
46.75659,-1.09362,RH2M,1988,   90.92,   84.16,   85.21,   82.26,   81.15,   76.54,   76.43,   74.28,   77.94,   81.02,   87.22,   94.17,   82.62
46.75659,-1.09362,RH2M,1989,   93.27,   88.42,   82.15,   79.86,   70.91,   62.85,   61.62,   61.90,   62.98,   75.61,   82.79,   88.36,   75.83
46.75659,-1.09362,RH2M,1990,   91.15,   86.78,   76.57,   74.79,   65.41,   67.22,   52.38,   51.44,   58.91,   76.74,   86.57,   88.03,   72.90
46.75659,-1.09362,RH2M,1991,   88.21,   85.38,   81.06,   71.76,   63.40,   69.27,   60.30,   53.70,   68.04,   80.49,   88.08,   88.74,   74.79
46.75659,-1.09362,RH2M,1992,   89.61,   84.90,   80.74,   76.50,   64.42,   62.53,   63.15,   69.32,   73.68,   79.45,   92.63,   91.68,   77.36
46.75659,-1.09362,RH2M,1993,   91.46,   83.96,   78.02,   82.80,   75.81,   72.75,   70.19,   62.64,   75.52,   83.87,   87.72,   90.67,   79.58
46.75659,-1.09362,RH2M,1994,   91.87,   88.60,   85.54,   77.16,   78.64,   73.20,   68.94,   72.74,   82.03,   83.96,   93.51,   92.55,   82.35
46.75659,-1.09362,RH2M,1995,   88.52,   90.07,   83.02,   81.85,   76.56,   76.38,   75.64,   71.02,   81.00,   84.09,   85.86,   91.59,   82.08
46.75659,-1.09362,RH2M,1996,   93.22,   85.47,   80.30,   76.90,   79.36,   69.06,   67.82,   66.59,   67.57,   82.21,   88.67,   91.55,   79.06
46.75659,-1.09362,RH2M,1997,   92.92,   89.58,   82.65,   68.33,   73.31,   75.74,   70.15,   71.44,   64.43,   75.21,   88.38,   92.72,   78.70
46.75659,-1.09362,RH2M,1998,   87.59,   90.47,   80.51,   85.31,   75.53,   76.44,   76.08,   64.75,   78.92,   86.92,   87.49,   92.95,   81.84
46.75659,-1.09362,RH2M,1999,   90.84,   88.79,   85.50,   83.68,   81.68,   75.59,   74.97,   76.64,   79.79,   88.09,   92.33,   91.12,   84.06
46.75659,-1.09362,RH2M,2000,   93.72,   90.67,   83.28,   83.48,   81.90,   80.10,   80.11,   79.14,   81.92,   88.20,   90.87,   93.58,   85.57
