-BEGIN HEADER-
NASA/POWER SRB/FLASHFlux/MERRA2/GEOS 5.12.4 (FP-IT) 0.5 x 0.5 Degree Interannual Averages/Sums 
Dates (month/day/year): 01/01/1981 through 12/31/2019 
Location: Latitude  50.0521   Longitude 4.2096 
Elevation from MERRA-2: Average for 1/2x1/2 degree lat/lon region = 166.91 meters   Site = na 
Climate zone: na (reference Briggs et al: http://www.energycodes.gov) 
Value for missing model data cannot be computed or out of model availability range: -999 
Parameter(s): 
RH2M MERRA2 1/2x1/2 Relative Humidity at 2 Meters (%) 
T2M MERRA2 1/2x1/2 Temperature at 2 Meters (C) 
-END HEADER-
LAT,LON,PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
50.05213,4.20964,T2M,1981,    1.25,    0.42,    7.41,    8.09,   12.12,   14.10,   16.03,   16.47,   13.95,    8.14,    5.13,   -0.38,    8.61
50.05213,4.20964,T2M,1982,   -0.47,    1.91,    4.41,    6.79,   12.09,   15.97,   17.79,   16.22,   15.72,    9.72,    6.69,    2.13,    9.11
50.05213,4.20964,T2M,1983,    3.94,   -1.09,    4.61,    7.56,    9.96,   15.52,   19.79,   17.42,   13.64,    9.68,    4.63,    2.02,    9.04
50.05213,4.20964,T2M,1984,    1.72,    1.06,    3.16,    7.01,    9.79,   13.82,   16.07,   17.14,   12.62,   10.19,    7.39,    2.44,    8.56
50.05213,4.20964,T2M,1985,   -4.80,   -1.75,    2.81,    7.59,   12.36,   13.40,   17.01,   15.29,   14.05,    9.27,    1.32,    3.30,    7.55
50.05213,4.20964,T2M,1986,    1.03,   -4.56,    3.30,    5.17,   12.43,   16.17,   16.57,   15.14,   11.24,   11.14,    6.02,    2.89,    8.13
50.05213,4.20964,T2M,1987,   -4.05,    0.22,    1.81,    9.53,    9.63,   13.81,   16.50,   15.91,   15.07,   10.42,    4.85,    1.95,    8.00
50.05213,4.20964,T2M,1988,    4.68,    2.70,    4.44,    8.21,   13.42,   14.63,   15.72,   16.49,   13.39,   10.49,    3.97,    5.26,    9.48
50.05213,4.20964,T2M,1989,    2.58,    3.52,    7.40,    6.64,   14.01,   14.83,   17.71,   16.98,   14.64,   11.17,    4.12,    3.14,    9.78
50.05213,4.20964,T2M,1990,    3.07,    6.19,    7.01,    7.42,   13.90,   14.61,   17.11,   18.95,   12.67,   11.58,    5.01,    1.47,    9.95
50.05213,4.20964,T2M,1991,    1.83,   -1.30,    7.65,    7.53,   10.07,   13.10,   18.44,   18.55,   15.94,    9.49,    4.31,    1.22,    8.97
50.05213,4.20964,T2M,1992,    0.75,    2.96,    6.11,    8.00,   14.16,   15.95,   18.20,   18.11,   13.75,    7.15,    6.72,    2.13,    9.52
50.05213,4.20964,T2M,1993,    3.65,    0.98,    4.74,   10.30,   14.05,   15.94,   16.10,   15.41,   12.80,    7.93,    1.30,    3.72,    8.96
50.05213,4.20964,T2M,1994,    3.39,    1.56,    6.49,    7.52,   11.94,   15.09,   20.34,   17.17,   12.87,    8.81,    8.67,    4.28,    9.90
