-BEGIN HEADER-
NASA/POWER SRB/FLASHFlux/MERRA2/GEOS 5.12.4 (FP-IT) 0.5 x 0.5 Degree Interannual Averages/Sums 
Dates (month/day/year): 01/01/1981 through 12/31/2019 
Location: Latitude  45.5697   Longitude -0.4819 
Elevation from MERRA-2: Average for 1/2x1/2 degree lat/lon region = 72.35 meters   Site = na 
Climate zone: na (reference Briggs et al: http://www.energycodes.gov) 
Value for missing model data cannot be computed or out of model availability range: -999 
Parameter(s): 
RH2M MERRA2 1/2x1/2 Relative Humidity at 2 Meters (%) 
T2M MERRA2 1/2x1/2 Temperature at 2 Meters (C) 
-END HEADER-
LAT,LON,PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
45.56965,-0.48187,T2M,1981,    4.48,    3.22,    9.70,   10.92,   12.96,   16.36,   18.22,   20.65,   17.63,   12.54,    7.30,    6.04,   11.72
45.56965,-0.48187,T2M,1982,    6.97,    6.27,    6.98,    9.69,   13.93,   18.25,   20.87,   18.64,   18.86,   12.25,    9.43,    5.92,   12.37
45.56965,-0.48187,T2M,1983,    5.32,    3.79,    7.58,    9.46,   11.91,   17.69,   22.57,   20.03,   17.60,   13.16,    9.03,    4.65,   11.95
45.56965,-0.48187,T2M,1984,    5.68,    3.75,    5.89,   10.59,   11.27,   17.16,   20.80,   20.12,   15.82,   12.59,   10.21,    4.94,   11.59
45.56965,-0.48187,T2M,1985,   -0.47,    5.90,    5.82,   10.55,   12.72,   16.26,   20.10,   18.23,   19.54,   14.24,    4.63,    5.29,   11.09
45.56965,-0.48187,T2M,1986,    5.30,    1.07,    7.06,    7.03,   13.65,   17.69,   20.31,   18.95,   17.14,   15.11,    8.47,    6.30,   11.58
45.56965,-0.48187,T2M,1987,   -0.85,    4.46,    6.25,   11.83,   12.97,   16.59,   20.91,   20.96,   19.66,   13.87,    7.77,    5.89,   11.73
45.56965,-0.48187,T2M,1988,    8.01,    5.86,    7.28,   11.68,   14.75,   17.40,   17.92,   19.74,   17.35,   14.36,    7.62,    5.88,   12.34
45.56965,-0.48187,T2M,1989,    3.98,    6.46,    9.99,    9.11,   17.33,   19.80,   22.79,   21.58,   18.42,   14.82,    8.98,    7.36,   13.44
45.56965,-0.48187,T2M,1990,    5.87,    9.99,    9.02,   10.29,   17.86,   18.16,   23.10,   23.85,   18.52,   14.96,    8.46,    2.75,   13.60
45.56965,-0.48187,T2M,1991,    4.44,    3.54,    9.67,    9.87,   13.75,   16.86,   21.78,   23.71,   20.28,   11.67,    7.75,    3.89,   12.32
45.56965,-0.48187,T2M,1992,    1.88,    5.03,    8.28,   10.03,   16.77,   17.88,   20.98,   21.12,   16.31,   10.41,   10.58,    5.75,   12.11
45.56965,-0.48187,T2M,1993,    5.90,    4.45,    7.72,   10.97,   14.96,   18.61,   18.98,   20.53,   15.34,   11.03,    5.64,    7.67,   11.87
45.56965,-0.48187,T2M,1994,    6.26,    6.61,    9.76,    9.65,   14.82,   17.80,   22.41,   21.58,   15.90,   13.38,   10.72,    7.57,   13.08
45.56965,-0.48187,T2M,1995,    5.50,    8.16,    7.48,   10.37,   14.46,   17.14,   22.48,   22.13,   15.43,   15.89,    8.09,    5.35,   12.74
45.56965,-0.48187,T2M,1996,    7.31,    3.98,    7.02,   10.64,   13.31,   18.56,   20.32,   19.28,   15.56,   12.61,    7.94,    4.07,   11.74
45.56965,-0.48187,T2M,1997,    2.76,    7.65,    9.71,   10.83,   15.11,   16.99,   19.46,   23.31,   18.80,   13.92,    9.74,    6.15,   12.90
45.56965,-0.48187,T2M,1998,    5.81,    5.79,    8.27,    9.50,   14.93,   16.79,   19.05,   21.38,   17.24,   12.46,    5.66,    4.59,   11.83
