-BEGIN HEADER-
NASA/POWER SRB/FLASHFlux/MERRA2/GEOS 5.12.4 (FP-IT) 0.5 x 0.5 Degree Interannual Averages/Sums 
Dates (month/day/year): 01/01/1981 through 12/31/2019 
Location: Latitude  46.1128   Longitude 10.7077 
Elevation from MERRA-2: Average for 1/2x1/2 degree lat/lon region = 1615.89 meters   Site = na 
Climate zone: na (reference Briggs et al: http://www.energycodes.gov) 
Value for missing model data cannot be computed or out of model availability range: -999 
Parameter(s): 
T2M MERRA2 1/2x1/2 Temperature at 2 Meters (C) 
RH2M MERRA2 1/2x1/2 Relative Humidity at 2 Meters (%) 
-END HEADER-
LAT,LON,PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
46.11281,10.70771,T2M,1981,   -9.54,   -6.33,    0.49,    4.25,    6.90,   11.55,   12.09,   13.02,    9.69,    3.55,   -2.02,   -8.05,    3.01
46.11281,10.70771,T2M,1982,   -6.16,   -6.88,   -4.18,    1.53,    7.80,   12.09,   14.62,   12.80,   11.49,    4.21,    0.50,   -5.47,    3.58
46.11281,10.70771,T2M,1983,   -4.16,   -8.03,   -0.64,    2.62,    6.30,   11.37,   16.65,   13.04,   10.52,    5.77,    0.09,   -4.99,    4.12
46.11281,10.70771,T2M,1984,   -8.31,   -8.35,   -5.06,    0.80,    4.36,   10.23,   13.22,   12.28,    7.97,    5.63,    0.78,   -4.38,    2.46
46.11281,10.70771,T2M,1985,  -10.77,   -6.39,   -3.70,    2.01,    7.11,    9.85,   14.82,   13.22,   12.05,    6.22,   -4.07,   -3.83,    3.10
46.11281,10.70771,T2M,1986,   -8.98,   -9.76,   -2.43,    1.15,    9.75,   11.01,   12.95,   13.12,   10.37,    6.46,    0.35,   -4.84,    3.34
46.11281,10.70771,T2M,1987,   -9.00,   -4.93,   -6.19,    2.94,    5.47,    9.99,   13.89,   13.34,   12.93,    5.52,   -0.45,   -3.63,    3.36
46.11281,10.70771,T2M,1988,   -4.86,   -7.01,   -4.08,    3.29,    8.13,   10.02,   14.23,   14.06,    9.70,    6.71,   -1.90,   -5.78,    3.58
46.11281,10.70771,T2M,1989,   -3.02,   -1.47,    1.39,    1.76,    7.78,    9.79,   13.30,   13.01,    9.12,    5.51,   -1.24,   -3.46,    4.41
46.11281,10.70771,T2M,1990,   -4.43,   -1.37,    1.50,    1.66,    8.86,   10.89,   14.20,   14.07,    9.30,    6.04,   -2.03,   -9.53,    4.13
46.11281,10.70771,T2M,1991,   -6.66,   -8.29,    1.78,    1.42,    4.22,   10.58,   15.07,   15.11,   11.47,    3.81,   -1.74,   -6.11,    3.46
46.11281,10.70771,T2M,1992,   -5.29,   -4.21,   -0.80,    1.88,    8.89,    9.97,   13.80,   15.74,    9.75,    2.79,    0.05,   -5.36,    3.96
46.11281,10.70771,T2M,1993,   -5.04,   -4.73,   -2.77,    3.07,    8.55,   11.89,   12.32,   14.11,    8.04,    4.29,   -1.85,   -4.61,    3.66
46.11281,10.70771,T2M,1994,   -5.98,   -6.51,    1.41,    1.39,    8.16,   11.54,   15.87,   15.33,    9.50,    4.60,    1.99,   -3.45,    4.56
46.11281,10.70771,T2M,1995,   -9.32,   -3.54,   -3.77,    2.76,    7.46,    9.66,   15.53,   12.34,    7.21,    7.80,   -2.05,   -5.58,    3.25
46.11281,10.70771,T2M,1996,   -5.57,   -8.81,   -4.16,    3.57,    7.68,   12.44,   12.55,   12.20,    6.02,    4.14,   -1.81,   -6.18,    2.71
46.11281,10.70771,T2M,1997,   -4.57,   -3.53,    0.97,    1.64,    8.12,   10.94,   12.14,   13.75,   11.93,    4.95,   -0.45,   -4.99,    4.29
46.11281,10.70771,T2M,1998,   -6.36,   -1.53,   -1.67,    1.82,    8.15,   12.33,   14.28,   14.83,    8.67,    4.28,   -3.06,   -5.93,    3.85
46.11281,10.70771,T2M,1999,   -5.22,   -7.30,   -1.13,    3.03,    9.31,   10.90,   13.72,   13.45,   11.02,    5.53,   -2.82,   -7.06,    3.69
46.11281,10.70771,T2M,2000,   -7.99,   -3.72,   -0.92,    3.67,    9.53,   13.03,   11.68,   14.31,   10.31,    5.62,   -1.18,   -3.62,    4.25
46.11281,10.70771,T2M,2001,   -6.43,   -5.19,   -0.15,    0.90,    9.57,   10.84,   14.05,   15.33,    6.68,    8.16,   -1.05,   -7.20,    3.86
46.11281,10.70771,T2M,2002,   -4.73,   -2.89,    1.07,    3.07,    8.14,   13.88,   13.65,   12.68,    8.24,    5.07,    0.98,   -3.33,    4.69
46.11281,10.70771,T2M,2003,   -7.69,   -8.62,    0.25,    2.17,    9.99,   16.19,   15.41,   17.70,   10.05,    2.49,    0.77,   -4.66,    4.58
46.11281,10.70771,T2M,2004,   -9.16,   -5.65,   -3.23,    3.07,    6.28,   11.97,   13.73,   13.96,   10.51,    6.60,   -0.52,   -3.93,    3.66
46.11281,10.70771,T2M,2005,   -7.88,   -8.74,   -1.82,    3.03,    9.06,   13.30,   14.28,   12.09,   10.58,    5.86,   -1.33,   -8.88,    3.36
46.11281,10.70771,T2M,2006,   -8.37,   -6.55,   -4.21,    3.34,    8.00,   12.71,   16.74,   10.47,   11.93,    7.25,    1.12,   -2.54,    4.21
46.11281,10.70771,T2M,2007,   -3.68,   -2.58,   -0.22,    7.54,    9.09,   12.46,   14.31,   13.15,    8.46,    5.28,   -2.43,   -5.73,    4.68
46.11281,10.70771,T2M,2008,   -4.59,   -3.04,   -1.52,    2.11,    8.44,   12.59,   13.71,   14.07,    8.57,    6.50,   -0.88,   -6.90,    4.11
46.11281,10.70771,T2M,2009,   -7.58,   -8.23,   -3.89,    3.89,   10.22,   11.53,   14.19,   15.72,   11.11,    4.48,    0.45,   -7.98,    3.72
46.11281,10.70771,T2M,2010,   -9.46,   -7.61,   -3.56,    3.29,    6.81,   12.04,   15.63,   12.72,    8.75,    3.40,   -1.50,   -9.12,    2.67
46.11281,10.70771,T2M,2011,   -7.29,   -3.97,   -0.46,    5.83,    9.60,   12.03,   12.49,   15.21,   12.57,    5.25,    2.22,   -4.46,    4.95
46.11281,10.70771,T2M,2012,   -7.53,   -9.11,    2.53,    2.36,    8.24,   13.14,   14.69,   15.82,   10.26,    5.75,    0.67,   -7.66,    4.14
46.11281,10.70771,T2M,2013,   -6.93,   -8.27,   -3.16,    3.76,    5.77,   11.13,   15.21,   14.29,   10.53,    6.16,   -1.05,   -3.39,    3.74
46.11281,10.70771,T2M,2014,   -4.72,   -4.18,   -0.40,    4.81,    7.01,   12.20,   12.86,   11.93,   10.00,    7.04,    2.90,   -3.58,    4.70
46.11281,10.70771,T2M,2015,   -5.78,   -5.85,   -0.64,    3.69,    9.05,   12.96,   17.39,   15.29,    8.79,    4.92,    2.62,    0.10,    5.28
46.11281,10.70771,T2M,2016,   -5.11,   -3.16,   -2.00,    4.39,    6.91,   11.60,   14.83,   13.98,   11.76,    4.27,   -0.39,   -2.14,    4.59
46.11281,10.70771,T2M,2017,   -7.68,   -2.45,    2.36,    3.80,    8.91,   14.45,   14.83,   15.77,    8.18,    6.28,   -1.68,   -6.87,    4.70
46.11281,10.70771,T2M,2018,   -4.46,   -7.75,   -2.65,    6.06,    9.52,   13.10,   15.33,   15.27,   11.80,    6.95,    1.38,   -3.97,    5.12
46.11281,10.70771,T2M,2019,   -8.32,   -2.48,    0.98,    3.49,    5.30,   15.37,   15.96,   15.25,   10.82,    7.08,   -0.39,   -3.62,    4.99
46.11281,10.70771,RH2M,1981,   73.15,   79.15,   82.39,   75.63,   77.25,   73.18,   75.85,   73.67,   84.03,   84.97,   73.42,   83.83,   78.05
46.11281,10.70771,RH2M,1982,   80.73,   83.88,   81.93,   74.28,   73.35,   73.75,   71.89,   76.76,   77.95,   84.22,   86.94,   84.97,   79.20
46.11281,10.70771,RH2M,1983,   72.02,   81.17,   78.10,   81.02,   80.58,   75.72,   66.46,   71.19,   71.38,   72.10,   70.20,   76.94,   74.69
46.11281,10.70771,RH2M,1984,   78.65,   85.23,   85.72,   78.05,   82.02,   75.09,   66.40,   75.84,   77.21,   79.90,   79.92,   84.33,   79.01
46.11281,10.70771,RH2M,1985,   84.73,   84.83,   86.62,   77.48,   79.27,   76.16,   72.01,   70.23,   66.96,   69.50,   85.74,   83.91,   78.08
46.11281,10.70771,RH2M,1986,   84.55,   90.00,   84.74,   86.82,   79.78,   75.17,   73.56,   74.45,   73.49,   71.76,   75.67,   70.93,   78.32
46.11281,10.70771,RH2M,1987,   81.37,   87.04,   80.47,   76.68,   73.05,   73.82,   76.14,   71.43,   73.48,   86.99,   81.19,   78.37,   78.29
46.11281,10.70771,RH2M,1988,   86.09,   78.65,   78.43,   81.05,   81.37,   77.04,   74.35,   71.17,   72.20,   82.47,   72.79,   79.53,   77.95
46.11281,10.70771,RH2M,1989,   65.14,   73.02,   74.99,   83.44,   74.29,   74.22,   77.26,   72.79,   78.44,   67.60,   77.06,   73.83,   74.31
46.11281,10.70771,RH2M,1990,   73.49,   72.24,   69.56,   77.96,   72.02,   75.67,   65.17,   64.00,   68.83,   79.74,   82.20,   84.31,   73.75
46.11281,10.70771,RH2M,1991,   76.08,   82.07,   84.22,   74.94,   73.65,   74.94,   69.78,   64.41,   72.02,   78.90,   82.84,   66.74,   74.98
46.11281,10.70771,RH2M,1992,   76.22,   73.49,   75.47,   79.59,   74.59,   78.83,   75.12,   67.69,   72.80,   87.16,   80.57,   79.08,   76.72
46.11281,10.70771,RH2M,1993,   78.96,   67.47,   75.91,   76.30,   75.66,   72.19,   69.99,   65.60,   79.16,   87.91,   83.59,   80.98,   76.20
46.11281,10.70771,RH2M,1994,   82.22,   86.66,   76.31,   77.05,   75.36,   69.97,   67.52,   65.09,   82.40,   78.09,   83.93,   80.97,   77.04
46.11281,10.70771,RH2M,1995,   80.01,   83.53,   75.15,   73.99,   74.71,   76.84,   73.06,   72.58,   76.12,   70.71,   77.31,   86.32,   76.65
46.11281,10.70771,RH2M,1996,   87.04,   86.11,   81.05,   71.74,   75.59,   68.39,   71.14,   76.03,   74.57,   82.00,   86.32,   85.97,   78.83
46.11281,10.70771,RH2M,1997,   80.22,   74.96,   70.48,   64.13,   69.86,   77.93,   72.83,   75.33,   68.16,   68.52,   87.45,   87.87,   74.81
46.11281,10.70771,RH2M,1998,   79.39,   67.56,   69.74,   80.82,   72.97,   73.39,   69.84,   65.28,   77.66,   80.65,   78.71,   77.84,   74.51
