-BEGIN HEADER-
NASA/POWER SRB/FLASHFlux/MERRA2/GEOS 5.12.4 (FP-IT) 0.5 x 0.5 Degree Interannual Averages/Sums 
Dates (month/day/year): 01/01/1981 through 12/31/2019 
Location: Latitude  47.2816   Longitude 2.9583 
Elevation from MERRA-2: Average for 1/2x1/2 degree lat/lon region = 200.29 meters   Site = na 
Climate zone: na (reference Briggs et al: http://www.energycodes.gov) 
Value for missing model data cannot be computed or out of model availability range: -999 
Parameter(s): 
T2M MERRA2 1/2x1/2 Temperature at 2 Meters (C) 
RH2M MERRA2 1/2x1/2 Relative Humidity at 2 Meters (%) 
-END HEADER-
LAT,LON,PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
47.28155,2.95835,T2M,1981,    1.23,    1.03,    8.49,    9.80,   12.21,   15.11,   17.44,   18.07,   15.63,   10.31,    5.26,    2.89,    9.84
47.28155,2.95835,T2M,1982,    4.11,    4.05,    5.10,    8.10,   13.19,   17.47,   19.47,   17.60,   17.39,   10.50,    7.56,    3.57,   10.71
47.28155,2.95835,T2M,1983,    3.97,    1.01,    5.89,    8.49,   10.93,   17.42,   21.55,   18.47,   15.31,   10.45,    5.59,    2.50,   10.19
47.28155,2.95835,T2M,1984,    2.86,    1.82,    4.11,    8.65,   10.27,   15.90,   18.60,   18.20,   14.01,   10.83,    8.75,    2.78,    9.75
47.28155,2.95835,T2M,1985,   -3.16,    1.97,    3.89,    9.11,   12.24,   15.06,   19.17,   17.09,   16.76,   11.02,    2.23,    3.14,    9.08
47.28155,2.95835,T2M,1986,    2.43,   -2.34,    4.66,    6.12,   13.58,   17.63,   18.98,   17.79,   14.22,   12.89,    6.56,    3.55,    9.75
47.28155,2.95835,T2M,1987,   -4.03,    1.88,    3.59,   10.59,   11.32,   15.47,   18.81,   18.69,   18.19,   12.01,    5.74,    3.25,    9.66
47.28155,2.95835,T2M,1988,    5.90,    3.63,    5.37,   10.28,   14.09,   16.49,   17.42,   18.89,   15.37,   12.03,    4.87,    4.51,   10.76
47.28155,2.95835,T2M,1989,    2.29,    4.30,    8.99,    7.99,   15.93,   17.16,   20.50,   19.92,   16.39,   12.59,    5.42,    4.14,   11.36
47.28155,2.95835,T2M,1990,    3.51,    7.91,    7.82,    8.59,   16.24,   17.18,   21.12,   22.55,   16.08,   13.45,    6.10,    1.14,   11.84
47.28155,2.95835,T2M,1991,    2.61,    0.62,    8.90,    8.79,   12.13,   16.17,   21.78,   22.32,   18.67,   10.08,    5.67,    1.38,   10.83
47.28155,2.95835,T2M,1992,    0.37,    3.32,    7.16,    9.31,   15.90,   16.86,   20.75,   21.16,   15.53,    8.61,    8.12,    3.68,   10.92
47.28155,2.95835,T2M,1993,    4.55,    2.10,    6.20,   10.71,   14.60,   17.88,   18.33,   18.92,   14.06,    9.22,    2.69,    4.78,   10.39
47.28155,2.95835,T2M,1994,    4.09,    4.02,    8.60,    8.38,   13.79,   17.07,   21.68,   20.11,   14.48,   11.44,    9.12,    5.53,   11.58
47.28155,2.95835,T2M,1995,    3.13,    6.43,    5.31,    9.02,   13.40,   15.56,   21.16,   19.83,   13.85,   14.41,    5.55,    2.29,   10.86
47.28155,2.95835,T2M,1996,    4.29,    1.54,    4.96,    9.47,   12.25,   17.54,   18.74,   18.38,   13.40,   10.70,    5.56,    1.35,    9.88
47.28155,2.95835,T2M,1997,   -0.62,    5.63,    8.01,    8.93,   13.52,   16.49,   18.44,   22.36,   16.34,   10.73,    7.61,    4.10,   10.99
47.28155,2.95835,T2M,1998,    3.41,    3.83,    6.83,    8.47,   14.46,   16.92,   18.45,   19.92,   15.51,   10.48,    3.24,    2.80,   10.41
47.28155,2.95835,T2M,1999,    3.96,    2.79,    7.20,    9.68,   15.26,   15.96,   19.91,   19.12,   17.59,   11.21,    3.86,    3.74,   10.91
47.28155,2.95835,T2M,2000,    1.77,    5.30,    6.06,    9.36,   14.92,   17.33,   16.93,   19.65,   16.29,   10.86,    7.35,    6.00,   11.00
47.28155,2.95835,T2M,2001,    3.98,    4.03,    8.20,    8.20,   14.87,   16.17,   19.04,   19.73,   13.13,   14.21,    3.77,    0.45,   10.54
47.28155,2.95835,T2M,2002,    2.93,    5.92,    7.69,    9.86,   13.00,   18.36,   18.54,   18.29,   14.54,   11.33,    8.07,    5.79,   11.22
47.28155,2.95835,T2M,2003,    0.96,    1.48,    7.99,   10.21,   14.09,   21.08,   20.69,   24.27,   15.99,    8.94,    7.29,    3.25,   11.41
