-BEGIN HEADER-
NASA/POWER SRB/FLASHFlux/MERRA2/GEOS 5.12.4 (FP-IT) 0.5 x 0.5 Degree Interannual Averages/Sums 
Dates (month/day/year): 01/01/1981 through 12/31/2019 
Location: Latitude  45.545   Longitude 1.0413 
Elevation from MERRA-2: Average for 1/2x1/2 degree lat/lon region = 340.06 meters   Site = na 
Climate zone: na (reference Briggs et al: http://www.energycodes.gov) 
Value for missing model data cannot be computed or out of model availability range: -999 
Parameter(s): 
T2M MERRA2 1/2x1/2 Temperature at 2 Meters (C) 
RH2M MERRA2 1/2x1/2 Relative Humidity at 2 Meters (%) 
-END HEADER-
LAT,LON,PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
45.54495,1.04133,T2M,1981,    2.01,    1.47,    8.12,    9.64,   11.28,   15.01,   16.77,   18.78,   16.00,   10.46,    5.60,    3.58,    9.95
45.54495,1.04133,T2M,1982,    5.25,    5.18,    5.02,    8.20,   12.66,   16.87,   19.57,   17.46,   17.47,   10.45,    7.56,    3.84,   10.82
45.54495,1.04133,T2M,1983,    3.64,    1.95,    5.79,    8.07,   10.34,   16.60,   21.64,   18.94,   16.47,   11.64,    7.88,    3.36,   10.58
45.54495,1.04133,T2M,1984,    3.12,    1.87,    4.13,    9.04,    9.67,   15.83,   20.07,   19.03,   14.25,   11.03,    8.97,    3.20,   10.04
45.54495,1.04133,T2M,1985,   -3.14,    4.66,    3.73,    8.95,   11.59,   14.91,   19.16,   18.01,   18.91,   13.34,    2.76,    4.09,    9.77
45.54495,1.04133,T2M,1986,    2.58,   -0.35,    5.09,    5.10,   13.00,   16.64,   19.41,   18.61,   16.59,   13.57,    6.81,    4.27,   10.18
45.54495,1.04133,T2M,1987,   -2.42,    2.81,    4.29,   10.23,   11.21,   15.20,   19.71,   20.34,   19.23,   12.53,    5.92,    4.98,   10.37
45.54495,1.04133,T2M,1988,    5.91,    3.68,    5.13,   10.24,   13.48,   15.97,   17.08,   19.19,   16.19,   12.91,    6.12,    4.11,   10.86
45.54495,1.04133,T2M,1989,    3.02,    4.74,    8.24,    7.43,   15.53,   17.91,   21.81,   20.72,   16.90,   13.10,    7.35,    5.92,   11.94
45.54495,1.04133,T2M,1990,    4.18,    8.03,    7.56,    8.26,   16.17,   17.23,   22.09,   22.90,   17.21,   13.54,    6.28,    0.60,   12.03
