-BEGIN HEADER-
NASA/POWER SRB/FLASHFlux/MERRA2/GEOS 5.12.4 (FP-IT) 0.5 x 0.5 Degree Interannual Averages/Sums 
Dates (month/day/year): 01/01/1981 through 12/31/2019 
Location: Latitude  43.3532   Longitude 5.3657 
Elevation from MERRA-2: Average for 1/2x1/2 degree lat/lon region = 95.15 meters   Site = na 
Climate zone: na (reference Briggs et al: http://www.energycodes.gov) 
Value for missing model data cannot be computed or out of model availability range: -999 
Parameter(s): 
RH2M MERRA2 1/2x1/2 Relative Humidity at 2 Meters (%) 
T2M MERRA2 1/2x1/2 Temperature at 2 Meters (C) 
-END HEADER-
LAT,LON,PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
43.35321,5.36574,T2M,1981,    6.46,    7.19,   11.16,   13.54,   15.76,   20.30,   21.60,   23.42,   20.65,   15.82,   11.33,    8.63,   14.70
43.35321,5.36574,T2M,1982,    9.27,    8.96,    9.73,   12.42,   16.35,   20.60,   24.74,   22.18,   21.02,   15.62,   12.66,    9.24,   15.27
43.35321,5.36574,T2M,1983,    8.54,    7.00,   10.35,   12.25,   15.12,   20.05,   24.91,   23.05,   20.31,   16.36,   12.74,    9.11,   15.03
43.35321,5.36574,T2M,1984,    7.68,    7.23,    9.05,   12.20,   13.92,   18.75,   22.40,   21.93,   17.86,   15.59,   13.40,    9.49,   14.15
43.35321,5.36574,T2M,1985,    4.20,    9.42,    8.89,   12.86,   15.06,   19.15,   23.68,   21.79,   21.27,   17.70,    9.51,    9.74,   14.47
43.35321,5.36574,T2M,1986,    7.14,    5.87,    9.72,   11.25,   17.48,   19.62,   23.15,   23.17,   20.42,   17.24,   12.57,    8.54,   14.74
43.35321,5.36574,T2M,1987,    5.57,    7.89,    8.65,   12.87,   14.67,   18.79,   23.29,   23.14,   22.09,   17.22,   11.59,   10.21,   14.70
43.35321,5.36574,T2M,1988,    9.87,    8.48,    9.46,   12.80,   16.70,   19.75,   23.22,   23.33,   19.62,   17.25,   11.46,    8.51,   15.06
43.35321,5.36574,T2M,1989,    8.93,    9.62,   11.70,   12.05,   17.80,   20.41,   23.96,   23.64,   19.88,   16.10,   12.01,   10.56,   15.60
43.35321,5.36574,T2M,1990,    9.07,   11.38,   11.73,   12.71,   18.30,   20.09,   23.10,   23.54,   20.04,   17.49,   11.36,    7.36,   15.54
43.35321,5.36574,T2M,1991,    8.64,    7.40,   12.27,   12.04,   14.92,   19.16,   23.34,   23.81,   21.56,   14.98,   10.95,    8.30,   14.83
43.35321,5.36574,T2M,1992,    8.12,    8.95,   11.03,   13.25,   17.81,   18.47,   22.50,   24.07,   19.52,   14.93,   12.58,    9.83,   15.11
43.35321,5.36574,T2M,1993,    9.03,    8.23,   10.24,   12.96,   17.24,   20.55,   21.52,   23.38,   19.17,   15.22,   10.53,    9.01,   14.80
43.35321,5.36574,T2M,1994,    8.12,    8.50,   12.05,   11.45,   16.88,   20.34,   25.00,   24.76,   18.83,   15.95,   14.01,   10.14,   15.55
43.35321,5.36574,T2M,1995,    7.52,   10.26,    9.69,   12.83,   15.74,   19.25,   24.58,   23.50,   17.84,   17.64,   11.69,    9.52,   15.04
43.35321,5.36574,T2M,1996,   10.40,    7.00,    9.52,   13.05,   16.05,   20.62,   22.26,   22.37,   17.60,   15.13,   11.35,    9.62,   14.61
43.35321,5.36574,T2M,1997,    9.24,    9.83,   12.08,   13.00,   16.80,   19.42,   21.71,   23.84,   21.09,   17.19,   13.01,    9.38,   15.58
43.35321,5.36574,T2M,1998,    9.26,   10.26,   11.00,   12.36,   17.23,   20.16,   23.09,   23.26,   19.05,   15.17,    9.58,    8.24,   14.92
43.35321,5.36574,T2M,1999,    8.79,    7.34,   11.27,   12.93,   17.37,   20.17,   23.38,   23.44,   21.74,   17.20,   10.55,    8.38,   15.26
43.35321,5.36574,T2M,2000,    7.77,    9.59,   10.78,   12.86,   17.61,   21.02,   21.26,   23.61,   20.26,   16.03,   12.20,   11.28,   15.37
43.35321,5.36574,T2M,2001,    9.46,    9.01,   12.34,   12.25,   17.18,   20.32,   22.94,   24.08,   18.13,   18.43,   11.23,    7.54,   15.29
43.35321,5.36574,T2M,2002,    8.71,    9.96,   12.12,   13.79,   16.23,   21.33,   22.45,   22.42,   19.37,   16.73,   13.62,   10.69,   15.65
43.35321,5.36574,T2M,2003,    7.75,    7.51,   11.27,   13.41,   17.88,   24.03,   24.76,   26.90,   20.21,   15.34,   13.09,    9.88,   16.05
