-BEGIN HEADER-
NASA/POWER SRB/FLASHFlux/MERRA2/GEOS 5.12.4 (FP-IT) 0.5 x 0.5 Degree Interannual Averages/Sums 
Dates (month/day/year): 01/01/1981 through 12/31/2019 
Location: Latitude  43.734   Longitude 3.5485 
Elevation from MERRA-2: Average for 1/2x1/2 degree lat/lon region = 279.23 meters   Site = na 
Climate zone: na (reference Briggs et al: http://www.energycodes.gov) 
Value for missing model data cannot be computed or out of model availability range: -999 
Parameter(s): 
RH2M MERRA2 1/2x1/2 Relative Humidity at 2 Meters (%) 
T2M MERRA2 1/2x1/2 Temperature at 2 Meters (C) 
-END HEADER-
LAT,LON,PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
43.73401,3.54853,T2M,1981,    3.55,    4.10,    9.67,   12.05,   13.98,   19.91,   20.86,   22.85,   19.19,   13.22,    8.61,    5.70,   12.86
43.73401,3.54853,T2M,1982,    6.70,    6.57,    6.92,   10.83,   15.13,   20.19,   24.72,   20.85,   19.35,   12.75,    9.44,    5.65,   13.29
43.73401,3.54853,T2M,1983,    5.59,    3.59,    8.19,   10.25,   13.52,   19.01,   24.73,   21.96,   19.15,   14.18,    9.62,    5.88,   13.03
43.73401,3.54853,T2M,1984,    4.77,    4.26,    6.31,   10.54,   12.28,   18.55,   22.32,   21.12,   16.69,   13.37,   10.37,    5.67,   12.21
43.73401,3.54853,T2M,1985,    0.25,    6.20,    6.12,   11.17,   13.62,   18.19,   23.82,   21.82,   21.10,   15.20,    5.67,    6.42,   12.50
43.73401,3.54853,T2M,1986,    4.06,    1.68,    7.18,    8.70,   16.25,   19.42,   23.60,   22.43,   19.66,   14.85,    9.38,    5.54,   12.80
43.73401,3.54853,T2M,1987,    1.03,    5.08,    6.07,   11.44,   13.46,   18.12,   22.59,   23.24,   21.12,   14.59,    7.86,    7.18,   12.69
43.73401,3.54853,T2M,1988,    6.92,    5.28,    7.17,   11.15,   15.08,   18.55,   22.50,   23.01,   18.88,   15.07,    8.02,    5.57,   13.13
43.73401,3.54853,T2M,1989,    5.65,    7.00,    9.91,   10.15,   16.82,   20.60,   24.43,   23.39,   18.69,   13.97,    8.90,    7.23,   13.95
43.73401,3.54853,T2M,1990,    5.65,    9.22,    9.94,   10.65,   17.63,   19.56,   23.82,   23.65,   18.86,   15.27,    8.18,    3.16,   13.83
43.73401,3.54853,T2M,1991,    4.81,    4.28,   10.28,   10.25,   13.97,   19.43,   24.48,   24.45,   20.45,   12.30,    8.03,    4.71,   13.18
43.73401,3.54853,T2M,1992,    4.24,    5.75,    8.88,   11.81,   16.86,   17.10,   22.02,   23.60,   18.39,   11.85,   10.24,    6.70,   13.15
43.73401,3.54853,T2M,1993,    5.98,    5.06,    7.86,   11.22,   15.56,   19.77,   21.13,   23.34,   17.15,   12.39,    6.60,    6.03,   12.72
43.73401,3.54853,T2M,1994,    5.16,    5.60,   10.46,    9.75,   15.76,   20.02,   25.24,   24.46,   17.22,   13.02,   11.24,    6.55,   13.76
43.73401,3.54853,T2M,1995,    4.24,    7.69,    7.12,   11.37,   15.06,   19.38,   24.51,   23.01,   16.33,   15.85,    8.60,    6.19,   13.32
43.73401,3.54853,T2M,1996,    7.97,    3.88,    6.97,   11.15,   14.48,   20.05,   22.23,   20.99,   15.94,   12.73,    8.38,    6.69,   12.65
43.73401,3.54853,T2M,1997,    5.30,    7.21,   10.52,   11.41,   15.89,   18.46,   21.45,   23.44,   19.96,   14.95,   10.14,    6.06,   13.77
43.73401,3.54853,T2M,1998,    5.83,    7.22,    8.56,    9.96,   15.95,   19.46,   23.13,   23.20,   17.41,   13.04,    6.17,    5.06,   12.96
43.73401,3.54853,T2M,1999,    5.94,    4.47,    9.05,   11.42,   16.57,   18.99,   22.96,   22.50,   19.57,   14.37,    6.79,    4.93,   13.19
43.73401,3.54853,T2M,2000,    4.11,    7.11,    8.52,   10.98,   16.48,   19.69,   20.41,   23.01,   18.93,   13.18,    8.95,    8.13,   13.31
43.73401,3.54853,T2M,2001,    6.06,    5.84,   10.45,   10.19,   16.77,   20.10,   22.58,   23.50,   16.75,   16.26,    7.51,    2.98,   13.31
43.73401,3.54853,T2M,2002,    5.62,    7.45,    9.88,   12.48,   15.05,   21.07,   22.84,   21.96,   17.23,   14.14,   10.58,    7.39,   13.84
43.73401,3.54853,T2M,2003,    3.44,    3.93,    9.16,   11.74,   16.75,   24.11,   25.28,   27.18,   18.39,   12.46,    9.81,    6.15,   14.10
43.73401,3.54853,T2M,2004,    4.76,    5.20,    7.04,   10.53,   14.51,   20.72,   22.53,   22.35,   19.15,   15.55,    7.91,    6.06,   13.05
43.73401,3.54853,T2M,2005,    4.55,    3.17,    7.51,   11.53,   16.40,   22.11,   23.44,   21.70,   18.54,   15.19,    7.94,    2.68,   12.95
43.73401,3.54853,T2M,2006,    4.20,    4.33,    7.89,   12.06,   15.85,   20.90,   26.73,   20.91,   19.62,   16.17,   11.22,    6.63,   13.93
43.73401,3.54853,T2M,2007,    6.68,    7.56,    8.51,   14.73,   16.04,   19.53,   21.42,   21.54,   18.13,   13.55,    7.87,    5.10,   13.42
