-BEGIN HEADER-
NASA/POWER SRB/FLASHFlux/MERRA2/GEOS 5.12.4 (FP-IT) 0.5 x 0.5 Degree Interannual Averages/Sums 
Dates (month/day/year): 01/01/1981 through 12/31/2019 
Location: Latitude  45.5925   Longitude 0.6633 
Elevation from MERRA-2: Average for 1/2x1/2 degree lat/lon region = 228.04 meters   Site = na 
Climate zone: na (reference Briggs et al: http://www.energycodes.gov) 
Value for missing model data cannot be computed or out of model availability range: -999 
Parameter(s): 
T2M MERRA2 1/2x1/2 Temperature at 2 Meters (C) 
RH2M MERRA2 1/2x1/2 Relative Humidity at 2 Meters (%) 
-END HEADER-
LAT,LON,PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
45.59251,0.66334,T2M,1981,    2.80,    2.10,    8.75,   10.16,   11.93,   15.71,   17.52,   19.72,   16.67,   11.17,    6.18,    4.39,   10.64
45.59251,0.66334,T2M,1982,    5.86,    5.69,    5.74,    8.82,   13.22,   17.68,   20.40,   18.06,   18.10,   11.10,    8.23,    4.54,   11.48
45.59251,0.66334,T2M,1983,    4.21,    2.65,    6.47,    8.64,   10.92,   17.12,   22.41,   19.66,   17.06,   12.27,    8.37,    3.76,   11.18
45.59251,0.66334,T2M,1984,    3.94,    2.57,    4.78,    9.69,   10.39,   16.66,   20.88,   19.63,   14.86,   11.65,    9.46,    3.75,   10.71
45.59251,0.66334,T2M,1985,   -2.30,    5.20,    4.50,    9.64,   12.07,   15.55,   20.05,   18.32,   19.46,   13.92,    3.39,    4.51,   10.38
45.59251,0.66334,T2M,1986,    3.49,    0.15,    5.86,    5.78,   13.30,   17.28,   20.29,   18.91,   16.95,   14.14,    7.36,    4.95,   10.78
45.59251,0.66334,T2M,1987,   -1.93,    3.46,    5.00,   10.94,   12.06,   16.00,   20.44,   20.78,   19.58,   13.07,    6.58,    5.26,   10.97
45.59251,0.66334,T2M,1988,    6.64,    4.46,    5.93,   10.84,   14.01,   16.57,   17.69,   19.87,   16.80,   13.48,    6.70,    4.78,   11.51
45.59251,0.66334,T2M,1989,    3.39,    5.36,    8.93,    8.07,   16.39,   18.86,   22.34,   21.16,   17.61,   13.79,    7.99,    6.49,   12.58
45.59251,0.66334,T2M,1990,    4.69,    8.72,    8.16,    9.08,   16.96,   17.75,   22.78,   23.63,   17.71,   14.06,    7.06,    1.25,   12.68
45.59251,0.66334,T2M,1991,    3.45,    2.38,    8.99,    8.83,   12.62,   16.60,   21.81,   23.41,   19.67,   10.58,    6.48,    3.00,   11.55
45.59251,0.66334,T2M,1992,    1.30,    4.11,    7.35,    9.24,   16.04,   16.67,   20.60,   21.04,   15.47,    9.13,    9.16,    5.14,   11.29
45.59251,0.66334,T2M,1993,    4.58,    3.43,    6.70,   10.07,   14.27,   17.82,   18.20,   20.08,   14.36,   10.17,    4.81,    5.98,   10.92
45.59251,0.66334,T2M,1994,    4.80,    5.17,    8.98,    8.52,   14.21,   16.98,   21.97,   21.34,   14.99,   12.24,    9.82,    6.02,   12.14
45.59251,0.66334,T2M,1995,    3.86,    6.84,    6.05,    9.45,   13.73,   16.48,   22.34,   21.79,   14.32,   14.97,    7.22,    4.34,   11.82
45.59251,0.66334,T2M,1996,    6.55,    2.52,    6.00,    9.70,   12.60,   18.06,   19.88,   18.61,   14.54,   11.35,    6.35,    3.82,   10.86
45.59251,0.66334,T2M,1997,    2.46,    6.62,    8.85,    9.94,   14.42,   16.37,   18.64,   23.01,   18.06,   12.94,    8.65,    4.94,   12.11
45.59251,0.66334,T2M,1998,    4.64,    5.36,    7.09,    8.41,   14.03,   16.51,   19.21,   21.41,   16.39,   11.09,    4.21,    3.50,   11.03
