-BEGIN HEADER-
NASA/POWER SRB/FLASHFlux/MERRA2/GEOS 5.12.4 (FP-IT) 0.5 x 0.5 Degree Interannual Averages/Sums 
Dates (month/day/year): 01/01/1981 through 12/31/2019 
Location: Latitude  44.8015   Longitude 0.3265 
Elevation from MERRA-2: Average for 1/2x1/2 degree lat/lon region = 99.55 meters   Site = na 
Climate zone: na (reference Briggs et al: http://www.energycodes.gov) 
Value for missing model data cannot be computed or out of model availability range: -999 
Parameter(s): 
T2M MERRA2 1/2x1/2 Temperature at 2 Meters (C) 
RH2M MERRA2 1/2x1/2 Relative Humidity at 2 Meters (%) 
-END HEADER-
LAT,LON,PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
44.80151,0.3265,T2M,1981,    4.08,    3.56,   10.19,   11.58,   13.36,   17.44,   18.98,   21.17,   18.11,   12.82,    7.55,    6.02,   12.12
44.80151,0.3265,T2M,1982,    7.23,    6.72,    7.14,   10.48,   14.35,   18.93,   22.40,   19.41,   19.39,   12.28,    9.20,    5.55,   12.79
44.80151,0.3265,T2M,1983,    4.69,    3.91,    7.62,   10.10,   12.56,   18.34,   23.35,   20.59,   18.39,   13.57,    9.93,    4.60,   12.35
44.80151,0.3265,T2M,1984,    5.22,    3.84,    5.89,   11.08,   11.60,   17.75,   21.61,   20.33,   16.14,   12.83,   10.44,    4.73,   11.81
44.80151,0.3265,T2M,1985,   -0.71,    6.93,    5.95,   11.16,   13.27,   17.01,   21.35,   19.65,   20.68,   15.30,    4.59,    5.04,   11.71
44.80151,0.3265,T2M,1986,    4.94,    1.87,    7.19,    7.42,   14.97,   18.44,   21.81,   20.40,   18.67,   15.34,    8.27,    5.94,   12.18
44.80151,0.3265,T2M,1987,   -0.06,    4.78,    6.99,   12.49,   13.65,   17.55,   21.80,   22.24,   21.09,   14.50,    7.89,    6.29,   12.47
44.80151,0.3265,T2M,1988,    7.80,    5.82,    7.23,   12.24,   15.28,   17.97,   19.24,   20.89,   18.04,   14.90,    8.20,    5.32,   12.77
44.80151,0.3265,T2M,1989,    4.14,    6.68,   10.06,    9.47,   17.64,   20.48,   23.71,   22.65,   18.89,   14.97,    9.73,    8.33,   13.95
44.80151,0.3265,T2M,1990,    5.72,   10.22,    9.52,   10.91,   18.78,   19.64,   24.51,   24.70,   19.63,   15.39,    8.33,    2.34,   14.17
44.80151,0.3265,T2M,1991,    4.37,    4.18,   10.52,   10.28,   14.25,   18.19,   23.07,   25.01,   20.66,   11.63,    7.81,    4.05,   12.89
44.80151,0.3265,T2M,1992,    1.95,    5.24,    8.64,   10.84,   17.35,   17.34,   21.48,   22.14,   16.92,   10.71,   10.42,    5.89,   12.43
44.80151,0.3265,T2M,1993,    5.28,    4.53,    8.10,   11.30,   15.63,   19.02,   19.57,   21.71,   15.97,   11.54,    6.13,    7.47,   12.24
