-BEGIN HEADER-
NASA/POWER SRB/FLASHFlux/MERRA2/GEOS 5.12.4 (FP-IT) 0.5 x 0.5 Degree Interannual Averages/Sums 
Dates (month/day/year): 01/01/1981 through 12/31/2019 
Location: Latitude  44.0119   Longitude 4.6993 
Elevation from MERRA-2: Average for 1/2x1/2 degree lat/lon region = 348.86 meters   Site = na 
Climate zone: na (reference Briggs et al: http://www.energycodes.gov) 
Value for missing model data cannot be computed or out of model availability range: -999 
Parameter(s): 
T2M MERRA2 1/2x1/2 Temperature at 2 Meters (C) 
RH2M MERRA2 1/2x1/2 Relative Humidity at 2 Meters (%) 
-END HEADER-
LAT,LON,PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
44.01191,4.69928,T2M,1981,    0.66,    2.19,    8.57,   11.55,   13.70,   18.90,   20.40,   22.28,   18.33,   11.89,    6.37,    3.27,   11.56
44.01191,4.69928,T2M,1982,    5.18,    4.63,    5.66,    9.67,   15.65,   20.15,   24.77,   20.91,   19.27,   11.75,    8.02,    3.74,   12.49
44.01191,4.69928,T2M,1983,    4.03,    1.31,    6.82,    9.53,   12.94,   18.81,   25.47,   21.84,   18.33,   12.69,    7.95,    4.10,   12.05
44.01191,4.69928,T2M,1984,    2.54,    2.41,    4.93,    9.80,   11.56,   17.68,   22.33,   20.78,   15.82,   12.34,    9.08,    4.01,   11.13
44.01191,4.69928,T2M,1985,   -2.19,    4.74,    4.74,   10.20,   13.16,   17.65,   23.57,   21.37,   20.51,   14.22,    3.77,    4.91,   11.43
44.01191,4.69928,T2M,1986,    1.82,    0.13,    6.20,    8.17,   16.10,   19.35,   23.08,   22.41,   18.71,   14.06,    7.74,    3.07,   11.81
44.01191,4.69928,T2M,1987,   -1.07,    3.59,    4.71,   10.85,   12.86,   17.93,   22.20,   22.80,   20.51,   13.63,    6.44,    5.47,   11.70
44.01191,4.69928,T2M,1988,    5.29,    3.71,    5.69,   10.66,   14.93,   17.80,   22.17,   22.85,   17.88,   14.19,    6.00,    3.59,   12.10
44.01191,4.69928,T2M,1989,    4.16,    5.82,    9.02,    9.33,   16.84,   20.11,   24.26,   23.27,   18.29,   13.07,    7.29,    5.68,   13.15
44.01191,4.69928,T2M,1990,    3.80,    8.10,    8.91,    9.82,   17.61,   19.74,   24.12,   23.39,   18.13,   14.57,    6.58,    1.28,   13.04
44.01191,4.69928,T2M,1991,    3.28,    2.95,    9.60,    9.71,   13.41,   19.71,   25.13,   24.38,   19.79,   11.25,    6.22,    2.31,   12.37
44.01191,4.69928,T2M,1992,    2.48,    4.39,    7.92,   11.05,   16.66,   17.06,   22.02,   24.01,   17.88,   10.61,    8.53,    4.94,   12.33
44.01191,4.69928,T2M,1993,    4.53,    3.64,    6.56,   10.76,   15.43,   20.03,   21.08,   23.44,   16.65,   11.46,    5.13,    4.06,   11.95
44.01191,4.69928,T2M,1994,    3.36,    4.23,    9.61,    8.69,   15.43,   19.83,   25.65,   24.59,   16.67,   12.29,    9.99,    4.74,   12.99
44.01191,4.69928,T2M,1995,    2.06,    6.25,    5.50,   10.29,   14.53,   18.59,   24.77,   22.14,   15.08,   14.99,    6.60,    4.31,   12.14
44.01191,4.69928,T2M,1996,    5.93,    1.99,    5.58,   10.33,   14.04,   19.84,   21.31,   20.43,   14.74,   11.77,    6.56,    4.62,   11.46
44.01191,4.69928,T2M,1997,    3.77,    5.81,    9.23,   10.35,   16.10,   18.85,   21.28,   23.45,   19.86,   13.54,    8.52,    4.18,   12.95
