-BEGIN HEADER-
NASA/POWER SRB/FLASHFlux/MERRA2/GEOS 5.12.4 (FP-IT) 0.5 x 0.5 Degree Interannual Averages/Sums 
Dates (month/day/year): 01/01/1981 through 12/31/2019 
Location: Latitude  47.3814   Longitude 1.0175 
Elevation from MERRA-2: Average for 1/2x1/2 degree lat/lon region = 115.64 meters   Site = na 
Climate zone: na (reference Briggs et al: http://www.energycodes.gov) 
Value for missing model data cannot be computed or out of model availability range: -999 
Parameter(s): 
RH2M MERRA2 1/2x1/2 Relative Humidity at 2 Meters (%) 
T2M MERRA2 1/2x1/2 Temperature at 2 Meters (C) 
-END HEADER-
LAT,LON,PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
47.38136,1.01751,T2M,1981,    2.67,    1.70,    8.78,   10.04,   12.32,   15.42,   18.06,   19.64,   17.03,   10.98,    6.08,    3.83,   10.60
47.38136,1.01751,T2M,1982,    4.72,    5.20,    5.83,    8.50,   13.42,   18.01,   20.47,   18.48,   18.38,   11.07,    8.17,    4.46,   11.42
47.38136,1.01751,T2M,1983,    4.78,    1.94,    6.71,    8.68,   11.18,   17.64,   21.66,   19.20,   16.33,   11.46,    6.67,    3.29,   10.85
47.38136,1.01751,T2M,1984,    3.95,    2.76,    4.84,    9.33,   10.66,   16.99,   20.67,   19.76,   15.17,   11.49,    9.29,    3.55,   10.73
47.38136,1.01751,T2M,1985,   -1.98,    2.77,    4.56,    9.46,   12.36,   15.22,   19.66,   17.92,   18.20,   12.31,    3.30,    4.12,    9.86
47.38136,1.01751,T2M,1986,    3.40,   -1.77,    5.41,    6.32,   13.23,   18.15,   20.36,   18.99,   14.99,   13.96,    7.22,    4.85,   10.51
47.38136,1.01751,T2M,1987,   -3.35,    2.70,    4.25,   11.02,   11.96,   16.26,   19.94,   19.94,   18.94,   12.62,    6.38,    3.91,   10.41
47.38136,1.01751,T2M,1988,    6.69,    4.53,    6.12,   10.52,   14.31,   16.87,   17.92,   20.39,   16.57,   13.06,    5.84,    5.33,   11.54
47.38136,1.01751,T2M,1989,    3.04,    5.26,    9.52,    8.34,   16.74,   18.95,   22.09,   21.15,   17.61,   13.92,    6.40,    4.98,   12.39
47.38136,1.01751,T2M,1990,    4.61,    8.63,    8.17,    9.15,   17.18,   17.73,   22.33,   23.67,   17.21,   14.12,    7.11,    2.09,   12.70
47.38136,1.01751,T2M,1991,    3.27,    1.05,    9.09,    9.36,   13.10,   16.60,   22.15,   22.95,   19.15,   10.82,    6.29,    2.17,   11.40
47.38136,1.01751,T2M,1992,    1.13,    3.86,    7.73,    9.45,   16.55,   18.00,   21.38,   21.21,   15.94,    9.16,    8.93,    4.36,   11.50
47.38136,1.01751,T2M,1993,    5.16,    2.66,    6.77,   10.63,   14.31,   18.06,   18.86,   19.34,   14.61,    9.48,    3.31,    5.68,   10.79
47.38136,1.01751,T2M,1994,    5.05,    4.83,    8.84,    8.84,   13.86,   17.37,   22.95,   21.08,   14.99,   12.05,    9.78,    6.45,   12.23
47.38136,1.01751,T2M,1995,    4.17,    7.24,    6.00,    9.38,   13.75,   16.26,   22.57,   22.05,   14.84,   15.21,    6.64,    3.16,   11.81
47.38136,1.01751,T2M,1996,    5.21,    2.36,    5.68,    9.83,   12.38,   18.62,   20.08,   19.51,   14.71,   11.74,    6.29,    1.84,   10.71
47.38136,1.01751,T2M,1997,   -0.00,    6.22,    8.56,    9.38,   13.71,   16.70,   19.19,   23.08,   17.37,   11.87,    8.39,    4.88,   11.64
47.38136,1.01751,T2M,1998,    4.09,    4.35,    7.32,    8.71,   14.56,   17.07,   19.04,   20.99,   16.52,   11.32,    4.19,    3.78,   11.04
47.38136,1.01751,T2M,1999,    4.96,    3.81,    7.86,    9.96,   15.36,   16.47,   21.06,   20.06,   18.34,   11.85,    4.90,    4.78,   11.67
47.38136,1.01751,T2M,2000,    2.50,    6.00,    6.46,    9.37,   14.98,   17.54,   17.76,   20.57,   17.11,   11.44,    7.68,    6.59,   11.51
47.38136,1.01751,T2M,2001,    4.46,    4.39,    8.31,    8.33,   14.68,   16.63,   19.42,   20.24,   14.15,   14.57,    4.60,    1.23,   10.97
47.38136,1.01751,T2M,2002,    4.01,    6.38,    7.84,    9.92,   13.06,   18.16,   19.15,   18.83,   15.29,   12.26,    8.75,    6.44,   11.70
47.38136,1.01751,T2M,2003,    1.63,    2.39,    8.25,   10.38,   13.98,   21.42,   21.53,   25.51,   16.99,    9.81,    8.03,    3.98,   12.05
47.38136,1.01751,T2M,2004,    4.02,    3.55,    5.47,    9.71,   13.14,   18.57,   19.79,   20.08,   17.46,   12.64,    6.33,    2.98,   11.17
47.38136,1.01751,T2M,2005,    3.98,    1.94,    6.65,   10.40,   14.31,   20.23,   21.08,   19.64,   17.64,   15.44,    5.29,    1.79,   11.59
47.38136,1.01751,T2M,2006,    1.99,    1.97,    6.03,   10.01,   13.90,   19.51,   24.68,   18.21,   19.37,   14.27,    8.54,    3.68,   11.90
47.38136,1.01751,T2M,2007,    6.23,    7.12,    6.84,   13.62,   14.72,   17.44,   17.85,   18.11,   15.05,   11.16,    5.55,    3.42,   11.44
47.38136,1.01751,T2M,2008,    5.13,    5.69,    6.34,    8.50,   15.48,   17.04,   18.90,   19.27,   14.18,   10.96,    6.68,    2.10,   10.88
47.38136,1.01751,T2M,2009,    0.27,    2.91,    6.13,   11.05,   14.81,   17.77,   20.01,   21.63,   16.82,   12.20,    9.15,    3.31,   11.38
47.38136,1.01751,T2M,2010,   -0.49,    2.58,    5.63,   10.28,   12.49,   18.17,   21.65,   19.25,   15.80,   11.11,    6.37,   -0.67,   10.22
47.38136,1.01751,T2M,2011,    2.96,    5.00,    7.60,   12.93,   15.65,   18.01,   18.31,   19.80,   17.68,   12.95,    9.97,    6.69,   12.33
47.38136,1.01751,T2M,2012,    4.59,   -0.40,    8.72,    8.64,   14.65,   16.87,   18.54,   21.22,   16.49,   12.48,    7.22,    5.46,   11.26
47.38136,1.01751,T2M,2013,    2.78,    2.01,    4.89,    9.01,   11.26,   16.24,   21.31,   19.64,   17.16,   13.80,    6.24,    4.17,   10.76
47.38136,1.01751,T2M,2014,    6.04,    6.44,    8.09,   11.35,   13.14,   18.29,   20.20,   17.64,   18.00,   14.02,    9.53,    3.88,   12.24
47.38136,1.01751,T2M,2015,    3.56,    2.93,    7.33,   11.57,   14.30,   19.34,   22.45,   21.65,   14.95,   10.94,   10.18,    7.59,   12.29
47.38136,1.01751,T2M,2016,    5.08,    5.39,    5.98,    9.19,   13.67,   16.96,   20.01,   21.70,   19.66,   10.93,    7.24,    3.78,   11.65
47.38136,1.01751,T2M,2017,    0.71,    6.28,    9.58,   10.02,   15.63,   20.84,   21.30,   20.54,   15.69,   13.71,    6.65,    4.17,   12.13
47.38136,1.01751,T2M,2018,    6.94,    0.99,    6.38,   12.19,   15.24,   19.25,   23.29,   22.50,   18.55,   13.36,    7.48,    6.00,   12.76
47.38136,1.01751,T2M,2019,    2.53,    6.18,    8.49,   10.50,   13.07,   19.73,   23.72,   22.05,   17.91,   13.30,    7.32,    6.37,   12.64
47.38136,1.01751,RH2M,1981,   93.49,   88.46,   88.45,   80.87,   84.45,   79.74,   75.96,   69.24,   69.19,   85.88,   90.36,   94.17,   83.35
47.38136,1.01751,RH2M,1982,   94.73,   92.54,   85.51,   79.75,   79.81,   76.25,   68.47,   69.13,   69.92,   87.39,   91.85,   95.03,   82.48
47.38136,1.01751,RH2M,1983,   94.39,   90.86,   88.04,   86.37,   84.76,   78.45,   79.32,   75.48,   74.63,   78.12,   86.53,   92.05,   84.06
47.38136,1.01751,RH2M,1984,   92.24,   87.24,   82.55,   73.70,   79.60,   71.04,   56.75,   63.13,   74.33,   88.15,   91.65,   95.60,   79.64
47.38136,1.01751,RH2M,1985,   91.76,   90.21,   86.48,   83.39,   84.27,   78.91,   69.88,   65.90,   61.41,   68.64,   85.86,   89.57,   79.63
47.38136,1.01751,RH2M,1986,   91.98,   86.96,   86.77,   84.17,   81.26,   74.41,   59.37,   56.93,   68.97,   80.08,   90.68,   93.85,   79.56
47.38136,1.01751,RH2M,1987,   86.17,   93.05,   82.93,   79.47,   71.87,   72.24,   68.68,   63.60,   66.94,   86.79,   92.22,   94.40,   79.78
47.38136,1.01751,RH2M,1988,   93.82,   90.12,   88.74,   83.31,   82.55,   78.43,   71.53,   59.97,   70.41,   78.44,   87.15,   94.46,   81.55
47.38136,1.01751,RH2M,1989,   93.96,   86.54,   81.06,   79.85,   68.42,   56.07,   56.63,   54.53,   58.74,   70.18,   83.43,   90.19,   73.23
47.38136,1.01751,RH2M,1990,   90.72,   87.25,   78.96,   75.25,   61.54,   59.94,   45.30,   41.52,   52.93,   72.32,   87.15,   90.75,   70.18
47.38136,1.01751,RH2M,1991,   89.34,   86.89,   81.08,   70.37,   61.00,   59.74,   50.18,   48.78,   62.35,   78.53,   89.27,   91.96,   72.36
47.38136,1.01751,RH2M,1992,   90.67,   87.60,   80.22,   74.97,   61.51,   63.10,   58.61,   60.80,   68.65,   82.91,   93.54,   94.31,   76.36
47.38136,1.01751,RH2M,1993,   93.40,   88.37,   80.89,   83.13,   79.12,   74.48,   63.43,   55.90,   74.14,   87.23,   89.76,   94.27,   80.28
47.38136,1.01751,RH2M,1994,   93.92,   92.87,   88.17,   80.26,   78.81,   74.76,   61.58,   62.28,   78.43,   83.58,   93.19,   94.11,   81.74
47.38136,1.01751,RH2M,1995,   92.27,   91.71,   87.41,   84.07,   76.12,   74.36,   61.81,   54.98,   71.92,   77.07,   84.05,   91.79,   78.86
47.38136,1.01751,RH2M,1996,   94.25,   89.36,   81.64,   75.08,   77.25,   61.74,   55.34,   56.84,   62.20,   79.81,   91.12,   92.53,   76.40
47.38136,1.01751,RH2M,1997,   93.88,   89.32,   85.59,   70.64,   75.95,   74.33,   68.62,   64.32,   60.30,   74.07,   90.81,   93.79,   78.43
47.38136,1.01751,RH2M,1998,   91.38,   91.22,   82.16,   86.29,   77.66,   72.43,   65.11,   52.24,   71.55,   86.35,   88.87,   93.82,   79.83
47.38136,1.01751,RH2M,1999,   92.28,   90.38,   86.72,   84.03,   81.25,   74.60,   65.87,   65.28,   70.55,   87.33,   91.63,   94.33,   81.97
47.38136,1.01751,RH2M,2000,   94.58,   91.16,   85.57,   84.28,   80.71,   76.99,   72.46,   63.22,   69.78,   85.15,   93.24,   94.52,   82.61
47.38136,1.01751,RH2M,2001,   93.58,   91.20,   91.21,   85.57,   79.61,   72.29,   72.30,   65.80,   74.85,   83.38,   91.19,   91.89,   82.69
47.38136,1.01751,RH2M,2002,   93.39,   89.23,   83.45,   76.98,   77.56,   71.21,   63.94,   70.14,   69.72,   79.87,   92.60,   95.09,   80.22
47.38136,1.01751,RH2M,2003,   92.77,   89.14,   81.66,   75.91,   78.68,   69.94,   57.98,   46.70,   57.30,   79.15,   91.63,   93.87,   76.15
47.38136,1.01751,RH2M,2004,   93.56,   88.55,   84.00,   81.38,   74.60,   64.09,   61.57,   68.72,   67.34,   83.03,   92.68,   94.08,   79.45
47.38136,1.01751,RH2M,2005,   92.87,   86.47,   84.77,   80.08,   74.00,   63.12,   61.74,   55.53,   65.88,   77.31,   86.78,   92.74,   76.73
47.38136,1.01751,RH2M,2006,   93.52,   89.81,   85.58,   77.69,   80.94,   64.85,   55.79,   65.07,   69.40,   88.26,   91.62,   94.22,   79.69
47.38136,1.01751,RH2M,2007,   93.16,   91.44,   86.17,   78.07,   81.69,   78.77,   73.66,   71.45,   70.81,   80.91,   89.13,   93.48,   82.36
47.38136,1.01751,RH2M,2008,   92.21,   89.18,   85.61,   83.43,   78.81,   77.88,   67.04,   66.12,   69.81,   79.20,   93.06,   93.80,   81.31
47.38136,1.01751,RH2M,2009,   92.55,   88.13,   82.59,   80.99,   79.18,   71.49,   61.21,   56.85,   66.18,   76.82,   90.27,   93.75,   78.27
47.38136,1.01751,RH2M,2010,   91.90,   88.97,   81.55,   77.16,   72.84,   70.51,   60.70,   62.71,   65.87,   76.70,   92.66,   95.01,   77.98
47.38136,1.01751,RH2M,2011,   92.97,   92.91,   83.87,   76.06,   66.58,   62.88,   62.71,   67.42,   73.28,   77.50,   91.00,   93.56,   78.30
