-BEGIN HEADER-
NASA/POWER SRB/FLASHFlux/MERRA2/GEOS 5.12.4 (FP-IT) 0.5 x 0.5 Degree Interannual Averages/Sums 
Dates (month/day/year): 01/01/1981 through 12/31/2019 
Location: Latitude  30.5887   Longitude -9.5252 
Elevation from MERRA-2: Average for 1/2x1/2 degree lat/lon region = 298.58 meters   Site = na 
Climate zone: na (reference Briggs et al: http://www.energycodes.gov) 
Value for missing model data cannot be computed or out of model availability range: -999 
Parameter(s): 
RH2M MERRA2 1/2x1/2 Relative Humidity at 2 Meters (%) 
T2M MERRA2 1/2x1/2 Temperature at 2 Meters (C) 
-END HEADER-
LAT,LON,PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
30.58867,-9.52524,T2M,1981,   14.57,   14.58,   17.67,   15.93,   19.13,   22.74,   24.73,   24.67,   23.73,   21.73,   20.50,   16.14,   19.71
30.58867,-9.52524,T2M,1982,   15.07,   15.17,   16.74,   16.72,   20.09,   21.95,   24.60,   24.53,   21.98,   20.24,   17.10,   13.59,   19.01
30.58867,-9.52524,T2M,1983,   14.97,   15.13,   18.86,   18.09,   18.59,   23.30,   23.89,   23.99,   24.23,   23.06,   18.76,   16.13,   19.94
30.58867,-9.52524,T2M,1984,   14.04,   14.96,   15.51,   18.74,   17.19,   22.03,   28.33,   24.82,   23.58,   21.03,   16.76,   15.18,   19.36
30.58867,-9.52524,T2M,1985,   13.28,   15.36,   16.00,   17.47,   17.89,   21.70,   26.35,   26.91,   24.30,   21.71,   18.06,   15.35,   19.56
30.58867,-9.52524,T2M,1986,   14.29,   14.60,   15.79,   15.40,   21.12,   21.09,   25.87,   26.11,   24.43,   20.28,   17.15,   15.24,   19.32
30.58867,-9.52524,T2M,1987,   15.24,   15.00,   17.20,   19.29,   19.49,   22.83,   23.88,   24.52,   26.27,   20.13,   17.76,   15.70,   19.80
30.58867,-9.52524,T2M,1988,   14.11,   14.73,   16.84,   17.36,   18.41,   20.12,   26.86,   27.76,   25.13,   20.48,   17.99,   14.85,   19.57
30.58867,-9.52524,T2M,1989,   13.62,   15.02,   17.38,   16.43,   19.23,   22.11,   25.95,   26.47,   23.79,   22.26,   17.63,   16.50,   19.73
30.58867,-9.52524,T2M,1990,   13.42,   17.23,   17.88,   16.93,   19.85,   21.84,   26.44,   27.90,   24.04,   20.80,   18.05,   15.14,   19.98
30.58867,-9.52524,T2M,1991,   14.11,   13.48,   14.90,   16.77,   19.04,   22.59,   25.68,   25.84,   23.97,   19.03,   17.48,   15.88,   19.10
30.58867,-9.52524,T2M,1992,   14.31,   15.49,   16.03,   18.57,   20.84,   19.79,   24.46,   25.67,   24.01,   18.66,   17.71,   15.03,   19.23
30.58867,-9.52524,T2M,1993,   13.64,   14.37,   16.56,   17.41,   17.84,   21.55,   25.86,   24.82,   21.54,   18.61,   15.33,   15.11,   18.58
30.58867,-9.52524,T2M,1994,   13.85,   14.85,   16.35,   17.49,   19.27,   23.14,   27.63,   26.02,   23.05,   20.25,   18.78,   16.71,   19.81
30.58867,-9.52524,T2M,1995,   14.91,   16.43,   16.92,   17.86,   22.29,   21.76,   26.15,   25.97,   22.89,   22.23,   19.93,   16.30,   20.33
30.58867,-9.52524,T2M,1996,   15.43,   14.03,   15.21,   17.42,   19.76,   23.08,   24.98,   24.05,   22.31,   21.36,   18.32,   15.14,   19.27
30.58867,-9.52524,T2M,1997,   14.86,   17.17,   17.79,   18.24,   18.86,   21.44,   23.43,   23.95,   23.34,   21.61,   18.63,   16.08,   19.63
30.58867,-9.52524,T2M,1998,   15.60,   17.54,   18.78,   18.08,   18.07,   23.47,   25.95,   26.33,   23.48,   21.89,   19.74,   15.02,   20.34
30.58867,-9.52524,T2M,1999,   14.19,   13.61,   15.56,   18.71,   20.53,   23.02,   25.30,   25.49,   22.34,   20.48,   17.13,   14.86,   19.30
30.58867,-9.52524,T2M,2000,   13.28,   16.99,   18.52,   16.48,   19.45,   24.37,   25.60,   25.80,   23.27,   19.75,   17.07,   16.14,   19.74
30.58867,-9.52524,T2M,2001,   14.99,   15.15,   18.00,   19.13,   19.85,   24.10,   24.83,   25.37,   21.83,   22.52,   17.79,   16.92,   20.07
30.58867,-9.52524,T2M,2002,   16.24,   16.61,   16.76,   17.60,   19.62,   22.03,   24.11,   23.22,   22.69,   22.47,   18.48,   16.32,   19.70
30.58867,-9.52524,T2M,2003,   14.30,   14.45,   17.43,   17.23,   20.82,   23.01,   26.55,   26.43,   24.59,   20.17,   17.70,   15.57,   19.89
30.58867,-9.52524,T2M,2004,   15.00,   15.93,   16.77,   17.02,   17.88,   23.62,   26.44,   25.91,   24.39,   21.56,   17.19,   14.45,   19.69
30.58867,-9.52524,T2M,2005,   13.49,   13.03,   17.15,   18.47,   21.21,   23.96,   24.78,   25.37,   23.75,   21.17,   17.42,   14.92,   19.60
30.58867,-9.52524,T2M,2006,   12.76,   13.62,   16.70,   18.40,   20.43,   21.48,   25.96,   24.52,   24.03,   21.80,   19.51,   14.34,   19.49
30.58867,-9.52524,T2M,2007,   14.69,   15.62,   16.68,   16.41,   19.31,   21.30,   26.58,   23.94,   21.81,   20.89,   17.99,   15.29,   19.24
30.58867,-9.52524,T2M,2008,   15.20,   16.58,   17.24,   19.51,   18.77,   23.18,   25.24,   26.15,   22.32,   18.97,   15.53,   13.57,   19.36
30.58867,-9.52524,T2M,2009,   12.69,   14.80,   16.61,   16.98,   19.62,   22.92,   27.63,   25.28,   21.63,   22.77,   19.40,   16.81,   19.80
30.58867,-9.52524,T2M,2010,   14.84,   16.20,   16.88,   18.54,   19.20,   21.15,   25.56,   27.17,   24.27,   20.26,   17.79,   17.29,   19.96
