-BEGIN HEADER-
NASA/POWER SRB/FLASHFlux/MERRA2/GEOS 5.12.4 (FP-IT) 0.5 x 0.5 Degree Interannual Averages/Sums 
Dates (month/day/year): 01/01/1981 through 12/31/2019 
Location: Latitude  43.4174   Longitude 6.2665 
Elevation from MERRA-2: Average for 1/2x1/2 degree lat/lon region = 241.63 meters   Site = na 
Climate zone: na (reference Briggs et al: http://www.energycodes.gov) 
Value for missing model data cannot be computed or out of model availability range: -999 
Parameter(s): 
RH2M MERRA2 1/2x1/2 Relative Humidity at 2 Meters (%) 
T2M MERRA2 1/2x1/2 Temperature at 2 Meters (C) 
-END HEADER-
LAT,LON,PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
43.41737,6.26647,T2M,1981,    5.51,    6.24,   10.27,   12.84,   15.35,   20.84,   21.98,   23.86,   20.31,   15.16,   10.69,    7.43,   14.25
43.41737,6.26647,T2M,1982,    8.49,    7.48,    8.75,   12.07,   16.44,   21.05,   25.51,   22.95,   20.77,   14.78,   11.75,    8.62,   14.93
43.41737,6.26647,T2M,1983,    8.10,    5.63,    9.79,   11.46,   14.71,   20.38,   25.47,   22.84,   20.02,   15.96,   11.59,    8.20,   14.57
43.41737,6.26647,T2M,1984,    6.36,    6.12,    8.23,   11.75,   13.01,   18.21,   22.89,   22.02,   17.72,   15.00,   11.99,    8.47,   13.50
43.41737,6.26647,T2M,1985,    3.34,    8.21,    8.08,   12.05,   14.47,   19.36,   24.27,   22.69,   21.73,   16.75,    8.91,    9.35,   14.13
43.41737,6.26647,T2M,1986,    6.11,    5.07,    8.93,   10.72,   17.46,   20.07,   23.51,   23.47,   20.06,   16.48,   11.81,    7.40,   14.32
43.41737,6.26647,T2M,1987,    5.30,    7.29,    7.83,   12.48,   15.00,   19.18,   23.77,   23.90,   22.50,   15.98,   10.81,    9.43,   14.50
43.41737,6.26647,T2M,1988,    8.37,    7.40,    9.04,   12.12,   16.31,   19.43,   23.81,   24.06,   19.77,   16.62,   10.45,    8.24,   14.67
43.41737,6.26647,T2M,1989,    7.83,    8.90,   11.76,   11.38,   17.66,   20.40,   24.40,   24.08,   19.40,   15.51,   10.72,    9.10,   15.14
43.41737,6.26647,T2M,1990,    7.83,   10.37,   11.28,   12.12,   17.93,   20.51,   23.59,   23.91,   20.18,   16.69,   10.23,    6.39,   15.12
