-BEGIN HEADER-
NASA/POWER SRB/FLASHFlux/MERRA2/GEOS 5.12.4 (FP-IT) 0.5 x 0.5 Degree Interannual Averages/Sums 
Dates (month/day/year): 01/01/1981 through 12/31/2019 
Location: Latitude  44.4689   Longitude 26.0735 
Elevation from MERRA-2: Average for 1/2x1/2 degree lat/lon region = 79.64 meters   Site = na 
Climate zone: na (reference Briggs et al: http://www.energycodes.gov) 
Value for missing model data cannot be computed or out of model availability range: -999 
Parameter(s): 
RH2M MERRA2 1/2x1/2 Relative Humidity at 2 Meters (%) 
T2M MERRA2 1/2x1/2 Temperature at 2 Meters (C) 
-END HEADER-
LAT,LON,PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
44.46889,26.07345,T2M,1981,   -3.27,   -0.99,    6.21,    9.70,   14.59,   22.10,   22.56,   22.46,   18.69,   14.31,    3.71,    1.52,   11.04
44.46889,26.07345,T2M,1982,   -2.02,   -2.11,    3.98,    9.49,   17.68,   22.15,   22.13,   23.03,   20.48,   12.27,    4.46,    3.02,   11.29
44.46889,26.07345,T2M,1983,    1.25,    0.81,    7.00,   13.90,   19.38,   20.28,   23.58,   21.63,   18.92,   11.16,    2.41,   -1.26,   11.65
44.46889,26.07345,T2M,1984,    0.12,   -0.58,    2.62,    8.82,   16.70,   19.74,   21.94,   21.11,   20.22,   15.09,    4.45,   -1.47,   10.76
44.46889,26.07345,T2M,1985,   -7.82,   -6.90,    2.69,   12.75,   19.83,   21.11,   23.68,   23.93,   18.06,   10.68,    4.72,    1.93,   10.49
44.46889,26.07345,T2M,1986,    0.29,   -2.96,    3.84,   13.25,   18.42,   21.93,   22.50,   25.13,   19.68,   10.93,    4.01,   -1.99,   11.33
44.46889,26.07345,T2M,1987,   -4.45,   -0.48,    0.10,    9.73,   15.31,   21.80,   26.26,   22.52,   21.27,    9.97,    6.84,   -0.70,   10.73
44.46889,26.07345,T2M,1988,    1.38,    1.45,    5.62,    9.89,   16.49,   21.06,   26.59,   24.98,   19.29,    9.81,   -0.23,   -0.19,   11.39
44.46889,26.07345,T2M,1989,   -0.23,    3.38,    8.70,   14.66,   16.50,   20.18,   23.55,   24.92,   17.99,   12.64,    4.52,    0.54,   12.33
44.46889,26.07345,T2M,1990,   -3.84,    4.07,    9.79,   12.32,   17.48,   21.90,   25.59,   24.32,   18.44,   12.59,    8.45,    1.42,   12.75
44.46889,26.07345,T2M,1991,    0.07,   -0.85,    5.17,   10.45,   14.75,   21.87,   24.13,   22.85,   18.77,   12.44,    5.58,   -2.89,   11.09
44.46889,26.07345,T2M,1992,   -1.38,    0.41,    6.16,   11.92,   16.02,   21.45,   23.79,   27.11,   18.27,   13.85,    6.31,   -1.52,   11.90
44.46889,26.07345,T2M,1993,   -1.12,   -0.77,    3.17,   10.52,   17.95,   22.24,   23.56,   23.81,   18.34,   13.82,   -0.05,    1.42,   11.15
44.46889,26.07345,T2M,1994,    2.03,    1.18,    7.52,   13.31,   19.05,   22.06,   24.81,   24.83,   23.07,   12.16,    3.86,   -0.36,   12.86
44.46889,26.07345,T2M,1995,   -2.94,    4.49,    6.05,   10.84,   16.40,   22.71,   25.09,   23.10,   17.61,   11.35,    1.98,   -1.36,   11.31
44.46889,26.07345,T2M,1996,   -3.53,   -2.81,    0.42,    9.47,   19.09,   23.30,   24.47,   23.53,   15.78,   11.21,    8.36,    0.24,   10.83
44.46889,26.07345,T2M,1997,   -3.39,    1.40,    4.52,    7.34,   17.89,   22.13,   23.40,   21.55,   16.40,    9.87,    5.61,    0.22,   10.63
44.46889,26.07345,T2M,1998,    0.59,    2.66,    4.09,   13.48,   17.14,   23.54,   25.79,   25.69,   17.18,   13.01,    2.78,   -4.29,   11.85
44.46889,26.07345,T2M,1999,   -0.15,    1.26,    6.61,   12.75,   16.96,   23.68,   26.12,   24.71,   19.36,   12.47,    4.73,    2.40,   12.64
44.46889,26.07345,T2M,2000,   -4.47,    2.26,    6.06,   14.37,   18.97,   23.51,   26.57,   25.95,   17.94,   12.13,    9.59,    2.60,   12.98
44.46889,26.07345,T2M,2001,    0.90,    2.69,    9.30,   11.75,   18.15,   21.49,   26.50,   26.38,   19.69,   14.40,    4.37,   -4.62,   12.65
44.46889,26.07345,T2M,2002,   -2.52,    6.24,    8.50,   10.79,   18.81,   23.62,   26.21,   23.22,   18.39,   11.40,    7.07,   -3.76,   12.35
44.46889,26.07345,T2M,2003,   -2.17,   -4.89,    2.77,    9.09,   19.97,   24.27,   25.25,   26.25,   17.10,   10.41,    6.56,   -0.49,   11.27
44.46889,26.07345,T2M,2004,   -2.92,    0.87,    6.01,   11.54,   15.86,   20.75,   23.80,   23.06,   19.01,   14.10,    7.12,    1.90,   11.79
44.46889,26.07345,T2M,2005,    0.70,   -2.40,    4.04,   11.30,   17.84,   20.04,   22.98,   22.78,   18.48,   11.34,    4.79,    1.49,   11.20
44.46889,26.07345,T2M,2006,   -3.83,   -0.63,    5.06,   12.14,   16.74,   21.37,   24.09,   24.34,   19.23,   13.74,    7.21,    1.85,   11.84
44.46889,26.07345,T2M,2007,    4.12,    3.78,    7.97,   12.45,   20.13,   25.06,   28.15,   25.25,   17.88,   12.77,    3.71,   -0.87,   13.43
44.46889,26.07345,T2M,2008,   -3.03,    2.55,    8.24,   13.03,   17.42,   22.97,   24.57,   26.74,   18.05,   13.65,    6.66,    3.19,   12.87
44.46889,26.07345,T2M,2009,   -0.10,    1.81,    6.00,   12.24,   18.79,   23.28,   25.32,   24.53,   19.35,   13.05,    7.94,    0.47,   12.78
44.46889,26.07345,T2M,2010,   -3.37,   -0.04,    5.05,   11.71,   17.20,   21.49,   23.93,   26.63,   19.74,    9.95,   11.24,    0.50,   12.06
44.46889,26.07345,T2M,2011,   -2.24,   -1.82,    4.95,   10.24,   17.07,   21.98,   24.98,   23.95,   22.07,   11.04,    3.01,    2.38,   11.55
44.46889,26.07345,T2M,2012,   -2.54,   -6.93,    6.22,   13.96,   18.59,   24.54,   28.85,   26.07,   21.05,   15.30,    7.78,   -1.75,   12.65
44.46889,26.07345,T2M,2013,   -0.18,    2.94,    5.23,   13.23,   19.83,   22.61,   24.10,   25.17,   18.21,   12.45,    8.57,   -0.04,   12.72
44.46889,26.07345,T2M,2014,    0.23,    2.76,    9.04,   12.28,   17.05,   20.22,   23.81,   24.99,   19.08,   11.96,    5.47,    0.43,   12.33
44.46889,26.07345,T2M,2015,   -0.28,    1.30,    5.59,   10.82,   18.13,   21.21,   26.23,   25.45,   20.80,   11.56,    8.00,    2.70,   12.69
44.46889,26.07345,T2M,2016,   -3.43,    6.41,    7.31,   14.51,   16.26,   22.71,   25.75,   24.78,   20.44,   10.51,    5.47,   -0.90,   12.48
44.46889,26.07345,T2M,2017,   -6.44,    0.89,    8.69,   10.89,   16.79,   23.10,   24.57,   25.57,   20.42,   12.64,    6.67,    2.94,   12.29
44.46889,26.07345,T2M,2018,    0.39,    1.11,    3.46,   15.31,   19.34,   23.03,   23.51,   25.37,   20.44,   14.28,    4.74,   -1.02,   12.55
44.46889,26.07345,T2M,2019,   -1.11,    3.12,    8.72,   11.30,   17.69,   24.09,   24.75,   26.11,   20.98,   14.94,   10.91,    3.85,   13.83
44.46889,26.07345,RH2M,1981,   89.56,   87.77,   83.19,   74.13,   73.21,   63.93,   55.72,   50.87,   59.87,   66.19,   80.67,   88.52,   72.71
44.46889,26.07345,RH2M,1982,   83.33,   82.00,   77.01,   72.24,   60.27,   53.19,   58.26,   57.12,   60.29,   71.61,   78.02,   86.81,   69.96
44.46889,26.07345,RH2M,1983,   83.61,   74.21,   63.25,   61.69,   54.24,   59.89,   59.64,   59.13,   53.22,   64.42,   77.17,   89.04,   66.60
44.46889,26.07345,RH2M,1984,   88.21,   84.93,   82.84,   75.08,   71.42,   63.14,   55.37,   54.71,   53.20,   60.29,   80.22,   83.81,   71.06
44.46889,26.07345,RH2M,1985,   90.66,   81.14,   79.28,   62.27,   56.85,   53.38,   48.87,   47.82,   50.58,   60.37,   81.11,   87.26,   66.57
44.46889,26.07345,RH2M,1986,   88.56,   87.37,   81.50,   65.88,   51.87,   55.73,   55.73,   45.30,   45.93,   62.67,   77.38,   81.64,   66.52
44.46889,26.07345,RH2M,1987,   83.05,   86.62,   73.17,   67.38,   70.16,   59.19,   46.57,   48.12,   47.34,   69.03,   83.77,   88.08,   68.44
44.46889,26.07345,RH2M,1988,   89.39,   80.48,   77.96,   73.34,   69.35,   64.49,   49.08,   43.05,   55.71,   63.74,   80.43,   87.04,   69.46
44.46889,26.07345,RH2M,1989,   82.35,   75.44,   68.81,   62.43,   57.62,   61.14,   47.89,   45.58,   60.80,   66.69,   76.65,   84.66,   65.77
44.46889,26.07345,RH2M,1990,   89.36,   73.22,   56.75,   61.04,   52.74,   49.95,   37.30,   39.16,   46.95,   59.90,   74.59,   85.30,   60.44
44.46889,26.07345,RH2M,1991,   78.39,   77.32,   68.26,   66.02,   63.71,   59.12,   60.40,   54.38,   54.49,   65.41,   82.62,   82.37,   67.65
44.46889,26.07345,RH2M,1992,   79.79,   71.95,   64.32,   64.01,   51.47,   57.10,   45.60,   38.77,   45.91,   62.63,   70.47,   76.58,   60.67
44.46889,26.07345,RH2M,1993,   75.68,   64.13,   76.00,   61.81,   61.53,   49.64,   44.72,   45.04,   48.82,   64.07,   80.97,   88.00,   63.39
44.46889,26.07345,RH2M,1994,   88.13,   76.11,   62.49,   61.86,   50.58,   49.84,   52.26,   45.62,   47.86,   67.78,   71.58,   83.81,   63.11
44.46889,26.07345,RH2M,1995,   87.79,   78.65,   70.42,   64.34,   60.99,   55.44,   47.38,   47.13,   59.44,   66.03,   79.99,   88.83,   67.13
44.46889,26.07345,RH2M,1996,   87.01,   86.08,   77.77,   70.06,   66.43,   47.08,   40.75,   47.05,   63.24,   70.92,   79.35,   87.68,   68.56
44.46889,26.07345,RH2M,1997,   88.09,   74.20,   66.11,   71.54,   58.85,   59.45,   54.56,   61.98,   54.48,   66.46,   84.78,   87.15,   68.94
44.46889,26.07345,RH2M,1998,   87.58,   81.28,   68.84,   64.99,   60.63,   51.45,   43.91,   37.38,   65.47,   74.25,   81.10,   85.49,   66.76
44.46889,26.07345,RH2M,1999,   90.15,   77.48,   70.98,   68.42,   59.46,   52.02,   45.54,   49.82,   61.62,   69.20,   77.28,   83.97,   67.10
44.46889,26.07345,RH2M,2000,   84.94,   76.41,   67.75,   65.64,   46.73,   38.67,   32.82,   34.50,   55.92,   64.17,   76.63,   81.84,   60.43
44.46889,26.07345,RH2M,2001,   80.84,   71.75,   62.80,   60.85,   51.18,   50.27,   44.49,   40.39,   54.91,   58.88,   70.92,   81.28,   60.64
44.46889,26.07345,RH2M,2002,   87.69,   64.86,   57.56,   61.53,   47.57,   46.46,   50.58,   54.20,   56.24,   74.23,   87.08,   86.97,   64.60
44.46889,26.07345,RH2M,2003,   92.19,   82.20,   75.42,   69.04,   59.31,   48.91,   46.62,   42.43,   60.63,   75.32,   87.54,   88.24,   68.91
44.46889,26.07345,RH2M,2004,   87.89,   81.26,   76.52,   66.31,   65.43,   65.59,   53.68,   57.66,   58.11,   68.26,   79.54,   88.60,   70.72
44.46889,26.07345,RH2M,2005,   85.76,   89.55,   74.31,   69.62,   69.90,   63.60,   69.10,   67.71,   68.99,   79.86,   89.75,   90.23,   76.46
