-BEGIN HEADER-
NASA/POWER SRB/FLASHFlux/MERRA2/GEOS 5.12.4 (FP-IT) 0.5 x 0.5 Degree Interannual Averages/Sums 
Dates (month/day/year): 01/01/1981 through 12/31/2019 
Location: Latitude  36.7081   Longitude 4.0412 
Elevation from MERRA-2: Average for 1/2x1/2 degree lat/lon region = 361.85 meters   Site = na 
Climate zone: na (reference Briggs et al: http://www.energycodes.gov) 
Value for missing model data cannot be computed or out of model availability range: -999 
Parameter(s): 
T2M MERRA2 1/2x1/2 Temperature at 2 Meters (C) 
RH2M MERRA2 1/2x1/2 Relative Humidity at 2 Meters (%) 
-END HEADER-
LAT,LON,PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
36.70808,4.04117,T2M,1981,    8.09,    9.53,   13.60,   14.42,   17.33,   21.15,   23.12,   24.75,   23.03,   19.92,   14.55,   12.18,   16.85
36.70808,4.04117,T2M,1982,   10.61,   10.49,   11.37,   13.66,   16.90,   22.93,   27.55,   25.48,   22.73,   18.16,   13.48,    9.58,   16.95
36.70808,4.04117,T2M,1983,    8.98,    8.90,   11.55,   14.79,   18.32,   22.85,   28.20,   25.14,   23.68,   19.51,   15.68,   10.86,   17.42
36.70808,4.04117,T2M,1984,    9.80,    9.08,   10.36,   14.56,   15.81,   20.94,   26.42,   24.59,   22.54,   16.95,   14.68,   10.64,   16.38
36.70808,4.04117,T2M,1985,    7.90,   12.16,   10.35,   14.48,   16.43,   22.04,   25.82,   25.54,   22.94,   19.19,   14.98,   11.17,   16.94
36.70808,4.04117,T2M,1986,    9.38,   10.01,   11.31,   13.00,   19.34,   21.84,   24.92,   27.31,   23.47,   19.29,   13.99,   10.53,   17.08
36.70808,4.04117,T2M,1987,    9.00,    9.82,   11.81,   15.48,   16.98,   21.85,   24.96,   27.65,   25.77,   20.82,   14.17,   12.52,   17.61
36.70808,4.04117,T2M,1988,   11.32,   10.56,   12.04,   15.17,   18.86,   21.83,   26.12,   26.88,   22.55,   20.41,   14.92,   10.31,   17.61
36.70808,4.04117,T2M,1989,    9.66,   10.77,   13.17,   14.03,   17.94,   21.94,   26.36,   27.05,   22.90,   19.39,   15.80,   13.51,   17.76
36.70808,4.04117,T2M,1990,   10.42,   12.96,   13.52,   14.18,   18.11,   23.25,   24.97,   25.44,   25.35,   20.10,   14.42,    9.76,   17.73
36.70808,4.04117,T2M,1991,    9.50,    8.89,   12.76,   12.82,   15.28,   21.43,   25.65,   27.16,   24.13,   18.11,   13.33,   10.04,   16.64
36.70808,4.04117,T2M,1992,    9.09,   10.06,   11.26,   13.54,   17.68,   19.74,   23.77,   26.42,   23.66,   17.97,   14.78,   11.21,   16.62
36.70808,4.04117,T2M,1993,    9.44,    9.47,   11.46,   14.18,   18.14,   22.46,   25.17,   26.55,   22.43,   18.32,   13.49,   11.16,   16.90
36.70808,4.04117,T2M,1994,   10.05,   10.65,   13.48,   13.25,   20.13,   22.68,   27.65,   29.50,   23.71,   18.89,   15.56,   11.67,   18.15
36.70808,4.04117,T2M,1995,    9.66,   11.95,   11.67,   13.38,   18.59,   21.68,   25.70,   25.69,   21.73,   19.89,   15.09,   13.00,   17.37
36.70808,4.04117,T2M,1996,   11.90,    9.40,   12.04,   14.10,   17.23,   20.94,   24.69,   25.61,   20.95,   16.92,   14.52,   12.03,   16.73
36.70808,4.04117,T2M,1997,   10.85,   12.06,   12.73,   14.99,   19.73,   23.81,   24.77,   25.96,   23.11,   19.58,   14.66,   11.33,   17.83
36.70808,4.04117,T2M,1998,   10.40,   11.52,   12.38,   14.84,   17.15,   23.43,   25.86,   25.86,   23.46,   17.34,   13.40,    9.82,   17.15
36.70808,4.04117,T2M,1999,    9.63,    8.67,   12.17,   14.72,   20.44,   23.02,   25.62,   27.97,   24.02,   20.84,   13.25,   10.33,   17.62
36.70808,4.04117,T2M,2000,    8.42,   10.72,   12.93,   15.32,   19.95,   22.57,   26.56,   27.35,   23.11,   17.78,   14.29,   12.10,   17.62
36.70808,4.04117,T2M,2001,   10.51,    9.77,   15.08,   14.52,   17.82,   23.78,   26.12,   26.84,   22.83,   21.64,   13.43,    9.64,   17.72
36.70808,4.04117,T2M,2002,    9.56,   11.12,   12.78,   14.89,   18.93,   24.07,   24.84,   24.86,   22.43,   19.46,   14.32,   11.78,   17.46
36.70808,4.04117,T2M,2003,    9.49,    8.69,   12.16,   14.51,   17.57,   24.31,   27.62,   28.23,   22.80,   19.50,   14.50,   10.01,   17.50
36.70808,4.04117,T2M,2004,   10.10,   11.22,   12.29,   13.71,   15.81,   21.62,   25.25,   27.02,   23.75,   21.37,   12.88,   10.60,   17.16
36.70808,4.04117,T2M,2005,    7.79,    7.24,   11.57,   14.14,   19.25,   23.13,   26.32,   25.10,   22.33,   19.66,   13.67,    9.73,   16.72
36.70808,4.04117,T2M,2006,    8.28,    9.07,   12.53,   16.17,   20.05,   22.92,   26.79,   25.50,   23.15,   21.14,   16.03,   11.48,   17.81
36.70808,4.04117,T2M,2007,   10.83,   11.67,   11.74,   14.43,   18.37,   21.92,   25.67,   26.45,   22.78,   18.65,   12.78,   10.20,   17.16
36.70808,4.04117,T2M,2008,   10.29,   10.98,   11.96,   15.06,   17.93,   21.59,   26.26,   26.53,   23.25,   18.88,   12.82,    9.54,   17.11
36.70808,4.04117,T2M,2009,    9.59,    9.02,   11.59,   12.74,   18.82,   23.13,   27.66,   26.57,   21.95,   18.48,   15.08,   12.11,   17.29
36.70808,4.04117,T2M,2010,   10.45,   11.17,   12.22,   15.18,   16.82,   21.23,   26.07,   25.91,   22.70,   18.74,   13.58,   10.54,   17.09
