LAT,LON,PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
47.75307,7.38502,T2M,1981,   -3.80,   -2.00,    6.23,    8.79,   11.92,   15.21,   16.38,   17.08,   14.26,    8.24,    2.94,   -1.19,    7.89
47.75307,7.38502,T2M,1982,    0.07,    0.79,    3.19,    6.25,   12.39,   16.34,   18.89,   16.50,   15.95,    8.74,    4.91,    1.11,    8.80
47.75307,7.38502,T2M,1983,    1.33,   -2.69,    3.94,    8.01,   10.13,   16.37,   20.73,   17.86,   13.71,    8.69,    3.02,   -0.37,    8.46
47.75307,7.38502,T2M,1984,   -0.79,   -1.42,    1.86,    6.49,    9.40,   14.34,   16.81,   16.88,   12.31,    9.38,    6.01,    0.74,    7.69
47.75307,7.38502,T2M,1985,   -6.90,   -1.12,    2.05,    7.29,   12.32,   13.83,   18.21,   16.77,   15.02,    9.33,    0.10,    1.45,    7.41
47.75307,7.38502,T2M,1986,   -0.84,   -5.94,    2.76,    5.49,   13.96,   16.04,   17.37,   16.87,   13.29,   10.62,    4.66,    0.40,    7.98
47.75307,7.38502,T2M,1987,   -6.13,    0.10,    0.61,    8.95,    9.63,   14.18,   17.72,   16.83,   16.19,   10.04,    3.69,    0.94,    7.76
47.75307,7.38502,T2M,1988,    2.72,    0.62,    2.53,    8.75,   13.87,   15.44,   17.22,   17.76,   13.27,   10.23,    2.28,    1.20,    8.86
47.75307,7.38502,T2M,1989,    0.51,    2.44,    6.96,    6.66,   13.80,   15.04,   18.40,   17.86,   14.08,   10.08,    2.47,    1.74,    9.22
47.75307,7.38502,T2M,1990,    0.53,    5.16,    6.15,    6.56,   14.47,   15.41,   18.13,   19.23,   13.22,   11.10,    3.07,   -2.29,    9.26
47.75307,7.38502,T2M,1991,   -0.07,   -1.42,    6.50,    6.86,    9.80,   14.53,   20.06,   20.03,   16.54,    7.97,    3.33,   -1.35,    8.63
47.75307,7.38502,T2M,1992,   -1.97,    1.05,    4.52,    7.13,   14.17,   15.65,   18.70,   20.01,   14.20,    6.73,    5.58,    0.20,    8.85
47.75307,7.38502,T2M,1993,    1.73,   -0.85,    3.67,    9.52,   14.08,   16.67,   16.89,   17.63,   12.72,    7.50,    0.41,    2.03,    8.56
47.75307,7.38502,T2M,1994,    0.77,    1.03,    7.11,    6.73,   12.50,   16.43,   21.07,   18.85,   13.34,    8.98,    6.86,    2.30,    9.72
47.75307,7.38502,T2M,1995,   -1.40,    3.35,    2.44,    7.91,   12.13,   13.97,   20.08,   17.51,   11.43,   12.13,    2.75,   -0.82,    8.49
47.75307,7.38502,T2M,1996,   -0.74,   -1.86,    1.93,    8.23,   11.48,   16.38,   16.31,   16.64,   10.65,    8.71,    2.92,   -1.58,    7.45
47.75307,7.38502,T2M,1997,   -2.34,    2.83,    5.91,    6.52,   12.55,   15.36,   16.87,   20.16,   14.86,    8.27,    3.86,    0.96,    8.85
47.75307,7.38502,T2M,1998,    0.89,    2.36,    4.51,    7.33,   13.65,   16.51,   17.48,   18.20,   13.17,    8.81,    0.76,   -0.29,    8.66
47.75307,7.38502,T2M,1999,    1.37,   -1.37,    4.97,    8.19,   14.45,   15.01,   18.31,   17.69,   16.29,    8.83,    1.10,    0.51,    8.85
47.75307,7.38502,T2M,2000,   -1.40,    2.69,    4.49,    9.06,   14.31,   17.15,   15.65,   18.77,   14.80,    9.67,    5.00,    2.79,    9.43
47.75307,7.38502,T2M,2001,    0.17,    1.86,    5.94,    6.32,   14.44,   14.91,   18.51,   19.21,   11.23,   12.89,    1.38,   -1.72,    8.82
47.75307,7.38502,T2M,2002,   -0.91,    3.82,    5.86,    8.04,   12.10,   18.61,   18.11,   17.75,   12.72,    9.60,    5.76,    2.50,    9.52
47.75307,7.38502,T2M,2003,   -1.28,   -3.17,    5.83,    8.11,   14.05,   21.67,   20.09,   23.16,   14.56,    6.27,    5.06,    0.75,    9.67
47.75307,7.38502,T2M,2004,   -0.61,    0.85,    3.35,    8.55,   11.57,   16.32,   17.94,   18.45,   14.38,   10.65,    2.97,   -0.64,    8.67
47.75307,7.38502,T2M,2005,   -0.33,   -2.17,    3.82,    8.68,   13.16,   17.79,   18.27,   16.17,   15.25,   11.50,    3.21,   -1.59,    8.71
47.75307,7.38502,T2M,2006,   -2.94,   -0.82,    2.03,    7.78,   12.74,   17.18,   22.14,   14.86,   16.62,   12.01,    6.09,    2.01,    9.19
47.75307,7.38502,T2M,2007,    3.12,    3.90,    4.63,   12.19,   14.10,   16.82,   16.85,   16.63,   12.29,    8.59,    2.00,   -0.02,    9.29
47.75307,7.38502,T2M,2008,    1.43,    2.43,    3.22,    7.17,   14.48,   16.85,   17.85,   17.10,   11.85,    8.73,    3.49,   -1.15,    8.64
47.75307,7.38502,T2M,2009,   -3.41,   -0.83,    3.09,   10.52,   14.72,   15.87,   18.28,   19.35,   14.82,    8.72,    6.19,    0.06,    9.00
47.75307,7.38502,T2M,2010,   -3.45,   -0.88,    3.24,    8.61,   10.63,   16.50,   19.99,   16.68,   12.63,    8.15,    3.77,   -2.84,    7.79
47.75307,7.38502,T2M,2011,   -0.01,    1.39,    5.17,   11.39,   14.63,   16.54,   15.84,   18.63,   15.93,    9.48,    5.47,    2.58,    9.79
47.75307,7.38502,T2M,2012,    1.14,   -4.04,    6.40,    7.75,   13.69,   16.78,   17.25,   19.03,   13.86,    9.21,    4.89,    0.30,    8.90
47.75307,7.38502,T2M,2013,   -0.93,   -2.53,    1.65,    8.19,   10.23,   15.55,   19.70,   17.77,   14.26,   11.10,    3.13,    0.96,    8.32
47.75307,7.38502,T2M,2014,    2.14,    2.83,    6.24,   10.20,   12.04,   17.22,   17.78,   15.82,   14.89,   12.09,    6.55,    1.41,    9.97
47.75307,7.38502,T2M,2015,    0.54,   -1.12,    5.22,    8.71,   13.07,   17.07,   21.01,   19.82,   12.80,    8.48,    6.50,    4.77,    9.81
47.75307,7.38502,T2M,2016,    1.43,    2.66,    3.41,    7.93,   12.44,   16.31,   18.82,   18.72,   16.50,    8.10,    3.84,    0.45,    9.23
47.75307,7.38502,T2M,2017,   -4.11,    3.20,    7.37,    7.79,   14.05,   18.97,   19.17,   19.35,   12.83,   10.64,    3.48,    0.26,    9.45
47.75307,7.38502,T2M,2018,    4.00,   -2.21,    3.21,   12.14,   14.98,   17.69,   20.56,   20.10,   16.23,   10.72,    5.18,    2.65,   10.51
47.75307,7.38502,T2M,2019,   -0.87,    2.76,    6.11,    8.60,   10.82,   19.18,   20.28,   19.35,   14.91,   11.28,    4.41,    2.72,   10.00
47.75307,7.38502,RH2M,1981,   91.64,   87.53,   87.62,   80.17,   78.89,   77.66,   80.49,   78.93,   84.16,   89.70,   92.01,   93.24,   85.17
47.75307,7.38502,RH2M,1982,   92.95,   88.13,   85.17,   76.85,   75.89,   80.82,   79.54,   82.06,   81.56,   89.12,   90.57,   93.59,   84.68
47.75307,7.38502,RH2M,1983,   93.19,   91.06,   89.34,   84.47,   84.77,   78.45,   75.29,   79.49,   81.71,   85.65,   89.13,   90.80,   85.25
47.75307,7.38502,RH2M,1984,   92.93,   90.56,   82.65,   76.74,   82.24,   78.20,   76.06,   78.41,   84.79,   88.22,   88.75,   93.38,   84.40
47.75307,7.38502,RH2M,1985,   90.94,   87.24,   86.99,   80.46,   81.91,   78.74,   76.74,   75.33,   76.35,   79.11,   88.61,   90.98,   82.77
47.75307,7.38502,RH2M,1986,   91.92,   88.85,   87.27,   84.84,   81.27,   79.19,   74.68,   75.60,   78.78,   85.27,   88.55,   92.91,   84.07
47.75307,7.38502,RH2M,1987,   89.34,   91.95,   83.13,   77.95,   78.98,   81.99,   80.94,   78.81,   80.81,   86.79,   93.33,   93.44,   84.74
47.75307,7.38502,RH2M,1988,   91.34,   89.20,   90.60,   79.61,   80.40,   78.33,   76.32,   74.84,   81.06,   88.33,   91.55,   95.33,   84.74
47.75307,7.38502,RH2M,1989,   92.37,   88.04,   80.19,   83.94,   75.11,   72.28,   73.67,   70.10,   75.47,   78.88,   83.20,   87.00,   79.97
47.75307,7.38502,RH2M,1990,   89.77,   85.77,   79.94,   78.52,   69.26,   73.60,   64.89,   61.38,   69.39,   79.04,   91.71,   92.72,   77.93
47.75307,7.38502,RH2M,1991,   88.59,   84.09,   81.45,   71.20,   69.77,   69.88,   63.68,   57.77,   68.63,   83.33,   90.33,   88.84,   76.42
47.75307,7.38502,RH2M,1992,   92.13,   87.23,   81.92,   78.04,   72.31,   76.71,   73.25,   66.02,   74.93,   86.78,   91.73,   89.28,   80.83
47.75307,7.38502,RH2M,1993,   90.64,   84.52,   76.89,   75.15,   74.13,   73.42,   70.87,   66.02,   79.21,   87.32,   88.27,   93.07,   79.93
47.75307,7.38502,RH2M,1994,   91.41,   86.82,   85.46,   80.90,   79.59,   75.76,   70.44,   70.78,   81.47,   81.07,   92.31,   91.01,   82.21
47.75307,7.38502,RH2M,1995,   88.92,   89.95,   81.15,   81.65,   75.34,   78.51,   73.63,   73.94,   79.89,   86.12,   86.68,   91.12,   82.19
47.75307,7.38502,RH2M,1996,   91.20,   85.40,   77.93,   71.74,   78.37,   69.69,   70.99,   73.94,   73.98,   83.50,   91.67,   89.65,   79.84
47.75307,7.38502,RH2M,1997,   89.78,   86.86,   83.24,   70.82,   72.95,   76.83,   75.30,   70.55,   72.88,   79.87,   89.59,   91.76,   80.01
47.75307,7.38502,RH2M,1998,   87.31,   85.16,   76.35,   80.20,   70.78,   71.58,   71.13,   63.87,   79.42,   85.75,   88.48,   90.70,   79.17
47.75307,7.38502,RH2M,1999,   87.87,   90.52,   83.38,   80.46,   79.36,   74.32,   75.65,   74.70,   75.81,   85.46,   89.80,   91.75,   82.38
47.75307,7.38502,RH2M,2000,   92.95,   87.64,   82.53,   77.11,   76.03,   69.52,   75.24,   69.32,   75.54,   84.13,   88.30,   89.79,   80.67
47.75307,7.38502,RH2M,2001,   88.68,   83.93,   87.91,   80.87,   76.99,   71.77,   70.26,   68.49,   79.77,   83.68,   90.67,   88.91,   80.97
47.75307,7.38502,RH2M,2002,   90.15,   87.23,   76.63,   72.31,   76.59,   67.58,   67.42,   72.95,   75.58,   81.64,   93.55,   93.55,   79.56
47.75307,7.38502,RH2M,2003,   89.92,   84.29,   75.38,   72.10,   74.53,   65.02,   61.56,   53.04,   64.65,   82.84,   88.84,   88.04,   74.97
47.75307,7.38502,RH2M,2004,   90.68,   82.86,   77.78,   75.14,   69.97,   67.52,   67.40,   74.09,   74.74,   86.35,   93.03,   92.17,   79.31
47.75307,7.38502,RH2M,2005,   89.39,   87.66,   84.70,   77.67,   74.24,   70.01,   71.63,   73.07,   76.14,   83.00,   87.12,   92.92,   80.60
47.75307,7.38502,RH2M,2006,   90.06,   88.31,   86.88,   78.86,   79.28,   73.56,   69.11,   78.04,   81.75,   87.82,   90.18,   90.48,   82.84
47.75307,7.38502,RH2M,2007,   92.51,   89.34,   84.31,   71.94,   77.56,   79.87,   77.63,   79.48,   80.21,   85.37,   91.79,   89.75,   83.29
