LAT,LON,PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
45.3455,4.8805,T2M,1981,25.83,26.13,26.29,26.69,26.71,26.51,26.44,26.96,27.15,27.45,27.57,27,26.73
45.3455,4.8805,T2M,1982,26.03,26.12,26.3,26.56,26.73,26.54,26.33,27.07,27.51,27.3,27.13,26.61,26.69
45.3455,4.8805,T2M,1983,26.07,25.98,26.62,26.49,26.92,26.95,26.87,27.17,27.34,27.37,27.22,26.64,26.81
45.3455,4.8805,T2M,1984,25.65,25.83,26.05,26.12,25.97,25.81,25.96,26.58,26.81,26.95,26.44,26,26.18
45.3455,4.8805,T2M,1985,25.17,25.44,25.57,26.06,26.51,26.1,26.24,26.37,26.79,26.89,26.41,25.85,26.12
45.3455,4.8805,T2M,1986,25.51,25.62,26.07,26.41,26.52,26.08,26.09,26.33,27.14,27.19,26.62,25.91,26.29
45.3455,4.8805,T2M,1987,25.81,25.85,26.25,26.67,26.68,26.84,26.71,27.52,27.82,27.79,27.39,27.46,26.9
45.3455,4.8805,T2M,1988,26.4,26.08,26.34,26.98,26.93,26.6,26.44,27,27.19,27.37,26.94,26.08,26.7
45.3455,4.8805,T2M,1989,25.45,25.41,25.29,25.92,26.31,26.22,26.57,26.89,27.33,27.21,26.56,25.95,26.26
45.3455,4.8805,T2M,1990,25.65,25.45,26.03,26.24,26.42,26.34,26.53,26.82,27.47,27.58,27.3,26.56,26.54
45.3455,4.8805,T2M,1991,25.85,26.06,26.09,26.5,26.49,26.37,26.35,26.59,26.9,26.94,27.02,26.42,26.47
45.3455,4.8805,T2M,1992,25.75,25.78,25.89,26.49,27.14,26.74,26.62,27,27.48,27.2,27.11,26.35,26.63
45.3455,4.8805,T2M,1993,25.73,25.86,26.15,26.55,26.75,26.57,26.77,27.09,27.21,27.45,27.05,26.79,26.67
45.3455,4.8805,T2M,1994,26.27,25.63,25.92,26.5,26.81,26.46,26.64,26.95,27.37,27.22,26.96,26.28,26.59
45.3455,4.8805,T2M,1995,26.07,26.03,26.49,27.07,27.01,26.45,26.52,27.27,27.48,27.71,27.12,26.9,26.85
45.3455,4.8805,T2M,1996,26.29,26.06,26.34,26.58,26.66,26.38,26.21,26.82,27.38,27.37,26.82,26.61,26.63
45.3455,4.8805,T2M,1997,26,25.47,25.26,26.55,26.41,26.56,26.91,27.19,27.87,28.04,27.79,26.76,26.74
45.3455,4.8805,T2M,1998,26.47,26.88,26.97,27.6,27.48,26.96,27.24,27.52,27.86,27.78,27.1,26.61,27.21
45.3455,4.8805,T2M,1999,25.73,25.91,26.14,26.52,26.72,26.45,26.51,26.75,27,27.16,27.09,26.72,26.56
45.3455,4.8805,T2M,2000,25.95,25.7,25.82,26.01,26.23,26.22,26.43,26.95,27.2,27.41,27.03,25.87,26.4
45.3455,4.8805,T2M,2001,25.38,25.66,26.36,26.64,26.91,26.42,26.57,27.05,27.19,27.19,27.28,26.79,26.62
45.3455,4.8805,T2M,2002,26.5,26.07,26.68,26.6,26.47,26.26,26.55,27.05,27.21,27.46,27.11,26.56,26.72
45.3455,4.8805,T2M,2003,26.21,26.55,26.56,27.17,26.53,26.5,26.56,27.23,27.66,27.78,27.46,27.11,26.94
45.3455,4.8805,T2M,2004,26.49,26.51,26.6,27.33,26.53,26.33,26.7,27.28,27.62,27.84,27.66,27.31,27.02
45.3455,4.8805,T2M,2005,26.89,26.83,26.83,26.93,27.32,27.23,27.08,27.46,27.89,28.02,27.62,26.97,27.26
45.3455,4.8805,T2M,2006,26.2,26.08,26.52,27.04,27.06,26.41,26.69,27.2,27.76,27.95,27.63,27.02,26.97
45.3455,4.8805,T2M,2007,26.82,26.61,26.79,27.19,27.05,26.53,26.86,27.2,27.52,27.6,27.54,26.4,27.01
45.3455,4.8805,T2M,2008,26.11,25.81,25.7,26.39,26.65,26.69,26.73,27.38,27.38,27.71,27.71,26.7,26.75
45.3455,4.8805,T2M,2009,26.35,26.14,26.48,26.86,27.15,26.9,27.2,27.72,27.88,27.97,27.91,27.15,27.15
45.3455,4.8805,T2M,2010,26.78,27.11,27.76,28.04,27.59,27.37,27.12,27.64,27.95,28.21,27.61,27.1,27.52
45.3455,4.8805,T2M,2011,26.5,26.23,26.2,26.84,27.19,27.2,27.04,27.54,28.01,27.69,27.37,27.22,27.09
45.3455,4.8805,T2M,2012,26.61,26.1,26.4,27.07,26.88,27.01,27.02,27.36,27.88,28.11,28.18,27.49,27.18
