LAT,LON,PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
44.8378,0.5792,T2M,1981,9.01,11.59,14.82,21.84,23.65,25.73,27.24,28.69,25.1,20.61,15.6,10.58,19.58
44.8378,0.5792,T2M,1982,9.68,9.71,17.64,20.28,23.21,28.01,30.65,30.03,26.67,20.37,14.46,9.62,20.09
44.8378,0.5792,T2M,1983,8.24,10.36,14.08,18.54,23.86,26.25,27.72,28.21,25.36,21.09,16.12,5.7,18.83
44.8378,0.5792,T2M,1984,6.63,11.94,16.84,21.87,25.29,28.42,29.6,29.35,25.04,21.33,13.4,14.38,20.37
44.8378,0.5792,T2M,1985,5.04,9.26,16.67,20.23,24.34,26.2,27.31,30.96,25.94,20.53,16.7,7.58,19.28
44.8378,0.5792,T2M,1986,9.58,12.72,16.54,22.89,23.4,25.98,29.57,29.22,25.94,19.33,13.31,8.44,19.78
44.8378,0.5792,T2M,1987,8.16,11.23,13.02,18.68,23.65,24.86,26.61,29.27,25.46,21,14.78,10.69,18.99
44.8378,0.5792,T2M,1988,6.83,10.76,15.54,20.51,23.93,27.06,28.1,29.88,27.11,21.95,17.59,12.04,20.13
44.8378,0.5792,T2M,1989,12.13,9.66,15.03,20.49,26.32,27.75,29.88,29.03,25.29,20.48,14.66,5.13,19.71
44.8378,0.5792,T2M,1990,12.16,14.06,16.06,20.15,24.59,30.65,27.12,27.72,25.63,19.66,15.99,10.58,20.39
44.8378,0.5792,T2M,1991,8.03,11.86,15.85,20.91,24.67,27.59,28.11,28.96,23.85,21.23,12.47,11.47,19.63
44.8378,0.5792,T2M,1992,8.33,12.51,15.22,18.29,21.26,26.04,27.32,27.06,26.23,22.64,12.78,11.02,19.08
44.8378,0.5792,T2M,1993,8.7,11.33,14.47,18.73,22.26,25.61,28.47,30.54,26.41,20.04,11.96,11.07,19.18
44.8378,0.5792,T2M,1994,10.13,11.47,16.04,20.32,22.92,27.97,30.16,28.39,24.2,20.38,16.1,12.01,20.05
44.8378,0.5792,T2M,1995,9.86,13.21,15.17,20.21,25.2,26.06,29.44,29.22,26.31,21.21,14.49,11.23,20.17
44.8378,0.5792,T2M,1996,9.2,13.43,13.63,20.53,27.07,28.6,30.5,27.92,24.53,20.94,15.32,10.8,20.22
44.8378,0.5792,T2M,1997,7.84,10.71,16.27,17.17,22.21,25.59,28.36,29.51,28.02,20.26,13.17,9.07,19.06
44.8378,0.5792,T2M,1998,12.22,11.59,13.99,19.25,27.82,30.45,30.77,28.33,26.8,20.94,16.28,10.27,20.77
44.8378,0.5792,T2M,1999,10.86,15.36,16.84,22.31,25.24,27.77,27.8,30.98,27.57,21.34,17.38,11.6,21.28
44.8378,0.5792,T2M,2000,12.12,15.71,18.81,21.31,25.78,26.86,30.95,30.48,27.03,20.6,12.59,6.67,20.76
44.8378,0.5792,T2M,2001,8.3,13.28,12.6,21.38,24.64,28.62,30.91,29.92,23.75,19.05,16.15,11.04,20
44.8378,0.5792,T2M,2002,10.81,9.77,15.25,23.09,25.91,28.84,25.86,27.51,24.73,20.11,12.46,10.24,19.6
44.8378,0.5792,T2M,2003,8.11,10.32,14.68,21.03,27.73,27.65,27.43,28.89,24.16,20.91,17.1,11.57,20.02
44.8378,0.5792,T2M,2004,11.49,10.43,18.12,19.04,23.46,26.16,27.39,28.05,26.42,23.2,15.02,9.45,19.88
44.8378,0.5792,T2M,2005,11.25,12.22,14.89,19.7,23.99,29.08,29.9,29.01,29.2,21.17,17.35,10.58,20.73
44.8378,0.5792,T2M,2006,13.74,12.24,18.67,23.47,25.18,28.38,28.97,30.24,25.66,21.51,16.1,11.33,21.34
44.8378,0.5792,T2M,2007,7.32,10.74,17.24,17.44,22.78,25.58,25.32,26.6,25.02,21.53,16.02,12.41,19.05
44.8378,0.5792,T2M,2008,9.82,15.2,16.74,21.21,25.95,30.25,28.36,27.93,25.51,21.11,16.67,11.51,20.86
44.8378,0.5792,T2M,2009,11.16,15.29,16.69,19.89,24.93,29.3,31.25,30.66,24.54,19.39,14.42,7.1,20.41
44.8378,0.5792,T2M,2010,7.45,7.16,13.23,19.48,24.73,28.12,28.26,31.3,25.42,20.87,15.75,11.14,19.48
44.8378,0.5792,T2M,2011,8.77,11.15,18.77,24.52,25.58,30.24,31.31,32.7,28.24,20.67,16.18,10.22,21.58
44.8378,0.5792,T2M,2012,11.34,12.56,17.87,22.41,24.61,29.23,28.46,30.13,25.78,20.33,16.52,13.29,21.06
44.8378,0.5792,T2M,2013,10.55,13.46,16.05,19.59,23.35,27.77,29.04,30.28,26.8,20.92,12.57,8.4,19.93
44.8378,0.5792,T2M,2014,8.05,10.99,14.45,20.69,23.35,27.37,29.01,30.43,26.12,22.66,12.25,11.73,19.81
44.8378,0.5792,T2M,2015,7.71,10.04,14.89,20.65,23.39,25.5,28.71,30.68,28.05,23.47,15.4,12.26,20.12
44.8378,0.5792,T2M,2016,9.04,13.33,17.47,20.53,23.08,26.32,30.02,27.63,25.87,22.86,17.99,11.29,20.47
44.8378,0.5792,T2M,2017,11.77,15.94,18.2,21.14,24.21,28.22,30.27,28.69,24.57,20.29,17.7,10.37,20.97
44.8378,0.5792,T2M,2018,7.82,13.54,18.12,19.18,26.6,29.42,29.7,30.05,25.3,19.63,12.19,10.34,20.2
44.8378,0.5792,T2M,2019,9.45,12.44,15.04,20.21,24.26,27.54,29.08,31.85,29.61,21.41,14.04,11.76,20.6
44.8378,0.5792,RH2M,1981,70.63,70.52,66.85,68.51,66.22,82.35,72.99,58.64,64.96,76.01,73.77,67.31,69.86
44.8378,0.5792,RH2M,1982,65.32,67.98,70.23,59.31,73.53,60.52,47.69,52.39,55.1,64.18,74.3,73.5,63.65
44.8378,0.5792,RH2M,1983,74.73,74.86,69.26,55.73,61.86,66.31,64.89,64.7,64.08,69.43,66.46,64.04,66.33
44.8378,0.5792,RH2M,1984,69.42,57.7,59.54,36.51,50.72,54.26,48.99,52.16,56.25,80.98,74.92,82.89,60.43
44.8378,0.5792,RH2M,1985,74.82,77.53,76.7,69.56,64.76,66.16,63.36,46.24,62.72,75.57,83.52,79.19,69.94
44.8378,0.5792,RH2M,1986,73.31,70.16,57.72,56.5,69.92,76.57,51.2,53.72,75.72,78.43,80.22,84.58,68.96
44.8378,0.5792,RH2M,1987,79.99,80.51,70.01,56.48,74.14,84.21,74.66,57.85,62.24,53.35,65.69,71.88,69.18
44.8378,0.5792,RH2M,1988,68.64,67.22,57.67,48.89,55.25,57.75,63.21,54.77,55.73,58.92,51.41,63.13,58.56
44.8378,0.5792,RH2M,1989,71.16,75.16,66.06,62.28,59.38,58.81,49.39,53.82,49.14,60.22,67.86,62.72,61.24
44.8378,0.5792,RH2M,1990,64.48,65.21,73.19,72.49,68.02,49.54,66.97,63.86,67.4,62.77,70.2,67.27,65.97
44.8378,0.5792,RH2M,1991,78.55,74.82,61.74,73.16,72.77,67.41,63.38,58.06,72.35,65.09,67.09,81.08,69.58
44.8378,0.5792,RH2M,1992,83.28,83.02,80.49,81.18,82.63,79.09,69.02,60.64,60.14,52.45,68.99,82.99,73.62
44.8378,0.5792,RH2M,1993,79.91,77.2,72.66,65.68,71.54,78.82,63.59,49.93,54.9,61.98,70.02,68.63,67.84
44.8378,0.5792,RH2M,1994,70.37,71.19,69.45,67.49,79,65.17,49.5,61.44,63.29,75.82,77.74,79.99,69.2
44.8378,0.5792,RH2M,1995,73.69,70.94,72.14,62.34,62.22,65.28,56.84,61.67,63.48,53.48,66.52,69.28,64.78
44.8378,0.5792,RH2M,1996,58.86,54.62,52.52,46.62,59,56.86,51.68,65.85,75.38,68.67,72.14,73.93,61.36
44.8378,0.5792,RH2M,1997,71.47,76.18,76.63,75.28,77.96,80.08,64.24,55.61,54.92,69.41,70.73,67.9,69.98
44.8378,0.5792,RH2M,1998,79.16,75.85,71.24,55.83,48.8,52.06,52.92,68.54,72.19,79.64,85.86,79.74,68.45
44.8378,0.5792,RH2M,1999,75.56,65.84,66.69,60.38,63.49,66.4,66.41,50.3,45.95,52.68,56.02,55.58,60.43
44.8378,0.5792,RH2M,2000,64.44,66.51,66.4,58.91,67.4,68.79,45.21,49.11,49.82,76.6,83.81,81.77,64.89
44.8378,0.5792,RH2M,2001,79.62,81.59,77.86,72.18,67.85,56.71,49.8,56.37,76.12,70.18,76.46,76.67,70.02
44.8378,0.5792,RH2M,2002,74.43,61,64.38,66.36,55.96,56.18,85.06,73.2,69.52,80.84,74.89,80.77,70.33
44.8378,0.5792,RH2M,2003,78.91,80.24,75.64,61.55,55.03,66.87,71.93,60.88,72.17,69.53,68.3,60.22,68.36
44.8378,0.5792,RH2M,2004,71.18,72.36,71.43,78.96,74.69,78.22,69.54,61.03,59.39,77.89,81.64,77.11,72.77
44.8378,0.5792,RH2M,2005,80.87,81.68,74.86,60,64.89,54.73,58.21,62.16,55.97,59.16,55.56,57.06,63.69
44.8378,0.5792,RH2M,2006,47.49,59.72,60.78,58.59,62.45,54.49,61.32,55.06,61.75,65.57,65.53,65.55,59.86
44.8378,0.5792,RH2M,2007,77.96,75.36,76.75,76.89,78.2,80,85.76,82.56,79.1,63.15,68.11,64.62,75.7
44.8378,0.5792,RH2M,2008,62.28,57.55,62.23,56.61,56.52,50.39,60.44,67.81,55.82,55.08,54.13,55.3,57.89
44.8378,0.5792,RH2M,2009,52.29,51.17,63.44,57.11,64.54,54.05,49.28,49.71,73.31,79.94,79.06,79.92,62.88
44.8378,0.5792,RH2M,2010,79.88,81.12,73.21,72.48,67.95,67.09,69.69,49.75,75.36,54.95,58.25,59.14,67.28
44.8378,0.5792,RH2M,2011,66.17,63.98,58.14,47.64,54.46,49.19,47.45,42.79,41.16,60.21,62.26,76.28,55.81
44.8378,0.5792,RH2M,2012,70.04,75.44,77.81,61.64,69.42,54.68,63.22,53.08,61.75,67.73,64.21,59.91,64.9
44.8378,0.5792,RH2M,2013,71.84,60.28,54.85,63.46,66.63,63.07,55.57,51.27,63.74,72.27,75.14,73.92,64.35
44.8378,0.5792,RH2M,2014,63.08,67.49,64.89,54.54,62.24,68.04,57.79,50.64,69.02,63.44,69.95,79.57,64.19
44.8378,0.5792,RH2M,2015,73.83,74,79.55,78.56,85.77,82.68,64.98,50.18,55.42,55.21,81.01,79.89,71.71
44.8378,0.5792,RH2M,2016,76.13,66.83,71.71,69.91,78.42,75.13,58.22,73.18,74.64,66.99,73.95,78.02,71.94
44.8378,0.5792,RH2M,2017,71.07,73.16,74.88,67.46,61.96,61.35,53.66,63.05,72.14,64.05,68.78,71.52,66.87
44.8378,0.5792,RH2M,2018,64.06,77.42,64.54,60.41,59.61,59.53,55.15,53.46,80.3,84.5,77.51,76.14,67.62
44.8378,0.5792,RH2M,2019,78.48,79.37,69,66.92,76.14,69.24,58.92,49.56,55.45,56.52,70.87,64.63,66.16
